,File_Name,Description
10,Road Collisions by Severity – London Datastore,"Road Collisions Data by fatal, serious or slight severity casualty groups by borough and ward.
An collision is classed by the worst level of casualty. For example if an accident caused 1 slight injury, 2 serious injuries, and 1 fatality, the collision would be classed as fatal.
Road casualty statistics can be found at a separate page.
Accident and casualty data can also be found on DFT's Road Safety Data page.
See more on the UKDA website and the DfT website."
11,myhealthlondon Indicators – London Datastore,"Series of indicators underlying the myhealthlondon website. Information about outcome standards is also available.

Each indicator is provided as a separate data file which can be found using the links below. Full metadata for the indicators are also available.



Indicator 1 - One year cancer survival for lung cancer and breast cancer (Borough level)
 

Indicator 2 - Identifying the prevalence of cancer (Borough level)
 

Indicator 3 - Cervical Screening 
 

Indicator 4 - GP recorded smoking (all patients)
 

Indicator 5 - GP recorded smoking (patients with long term conditions) 
 

Indicator 6a - Identification of the prevalence of atrial fibrillation
 

Indicator 6b - Treatment of atrial fibrillation
 

Indicator 7 - Uptake of immunisations for children
 

Indicator 8 - Uptake of immunisation for influenza for patients aged over 65, and those at risk under 65 
 

Indicator 9 - Identifying the prevalence of chronic obstructive pulmonary disease based on estimates for the local population 
 

Indicator 10 - Identifying the prevalence of asthma - no data for 2009
 

Indicator 11 - Identifying the prevalence of Diabetes - no data for 2009
 

Indicator 12 - Identifying the prevalence of coronary heart disease
 

Indicator 13 - Identifying the prevalence of dementia - data no longer available
 

Indicator 14 - Monitoring safe, rational and cost effective prescribing in general practice (Borough level)
 

Indicator 15 - The rate of emergency hospital admission for people with long term conditions usually managed by GPs
 

Indicator 16 - Rate of A&amp;E attendances 
 

Indicator 17 - Satisfaction with the quality of consultation at the GP practice 
 

Indicator 17a - Percentage of patients who gave a positive answer to 'did the doctor or nurse take notice of your views about how to deal with your health problem?'
 

Indicator 17b - Percentage of patients who gave a positive answer to 'did the doctor or nurse give you information about the things you might do to deal with your health problem?'
 

Indicator 17c - Percentage of patients who gave a positive answer to 'did you and the doctor or nurse agree about how best to manage your health problem?
 

Indicator 17d - Percentage of patients who gave a positive answer to 'did the doctor or nurse give you a written document about the discussions you had about managing your health problem?'
 

Indicator 17e - Percentage of patients who gave a positive answer to 'did you want a written plan summarising your discussion with the doctor or nurse?'
 

Indicator 17f - Percentage of patients who gave a positive answer to 'did the doctor or nurse ever tell you that you had something called a 'care plan?'
 

Indicator 17g - Percentage of patients who gave a positive answer to 'do you think that having these discussions with your doctor or nurse has helped improve how you manage your health problem?'
 

Indicator 18 - Satisfaction with overall care received at the GP practice
 

Indicator 19 - Patients leaving this GP practice without changing home address
 

Indicator 20 - Satisfaction in being able to see a preferred doctor 
 

Indicator 21 - Satisfaction with accessing primary care 
 

Indicator 22 - Significant event reviews (one year and three year minimum levels) 
 

     Indicators 23 &amp; 24 - Do not exist
 

Indicator 25 - Early detection of Cancer
 

Indicator 26b - Identifying the prevalence and assessing patients with a new diagnosis of depression - 26a data no longer available
 

Indicator 26c - Assessment of depression
 

Indicator 27a - Percentage of patients in the local area with serious mental illness contacted by their GP practice after missing their health review
 

Indicator 27b - Percentage of patients with serious mental illness with a physical health check in the last 15 months
 

Indicator 27c - Blood pressure checks for serious mental health illness
 

Indicator 27d - Physical health checks for serious mental health illness
 

Indicator 28 - End of life care
 

All indicators are provided at GP Practice level except for those marked as Borough level.

19 and 25 as of 04/09/2012

Indicator 6 updated as of 01/05/2013

Indicators 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 17a to 17g, 18, 20, 21, 22, 26a, 26c, 27c ,27d and 28 updated as of 17/12/2013

Indicator 26a has been discontinued and is no longer available on the Datastore.  There is a possibility that it may be reinstated in the future.

Data are provided in a standardised schema with each record containing an indicator ID and organisation ID.  These can be matched against the two lookup files below to identify the indicator (or sub-indicator where available) and organisation.



Indicator Lookup File (csv format)
 

Organisation Lookup File (csv format)
 

Period Lookup File (csv format)
 
"
12,Public Toilets – London Datastore,"The London Assembly Health and Public Services Committee has published a report into the availability of information about public toilets in London. This package provides supporting information from the investigation.
Borough Summary Data
This table (available in xls or csv) summarises the information collected by the Assembly for each London Borough.
Open Data Standard
The Committee has also published a new standard open data format for recording information about public toilets (available in xls or csv). Supporting guidance is also available in either pdf or rtf format.
View the blog about the new format from Victoria Borwick, Chair of the Health and Public Services Committee."
13,"Physically Active Children, Borough – London Datastore","Percentage of school children who spend a minimum of two hours each week on high quality Physical Education and school sport within and beyond the curriculum.

There is the potential for error in the collection, collation and interpretation of the data (bias may be introduced due to poor response rates and selective opt out of larger children which it is not possible to control for).

TNS Social Research: Annual Survey of School Sport Partnerships on behalf of the Department for Children, Schools and Families
"
14,Drug Treatment Rates – London Datastore,"Numbers of people in contact with drug action teams.
Next release 1/10/2010
http://www.nta.nhs.uk/statistics.aspx"
15,Life Expectancy by Deprivation – London Datastore,"Life expectancy at birth, years for all ages by national deprivation quintile and Males and Females.

Deprivation quintiles were assigned to Lower Layer Super Output Areas (LSOAs) at a national level. Results will be missing for areas where a local authority had none of its population living in a particular quintile. Results are also not presented for areas where the population at risk for the years 2003–07 was less than 5,000 i.e. where the total aggregated population for these years fell below this threshold.

Confidence intervals available from the Association of Public Health Observatories website.

Relevant links:
   http://www.apho.org.uk/default.aspx?QN=HP_DATATABLES

http://www.apho.org.uk/resource/item.aspx?RID=50198
"
16,"Prevalence of Common Mental Health Problems, Borough – London Datastore","Number of cases of common mental health problems per 1000 of the population aged 16-74 by type of mental health problem.

Data on rates are presented as total cases per 1000 population aged 16-74.

Detail of case numbers are available from NEPHO for males and females, for quinary age-groups.  These are not intended to be used at this level, rather to provide flexible data for grouping up.
"
17,Census 2001 Key Statistics 21: Long Term Illness – London Datastore,"Census Key Statistics Table KS21: Households with limiting long-term illness and dependent children.

Note: * A dependent child is a person in a household aged 0 -15 (whether or not in a family) or a person aged   16 - 18 who is a full-time student in a family with parent(s). Cells in this table have been randomly adjusted to avoid the release of confidential data.

Census day was 29 April 2001.
"
18,Census 2001 Key Statistics 08: Health – London Datastore,"Census Key Statistics Table KS08: Health and provision of unpaid care.

Limiting long-term illness covers any long-term illness; health problem or disability which limits daily activities or work.  Working age population is 16-64 inclusive for men and 16-59 inclusive for women.

General health refers to health over the 12 months prior to Census day (29 April 2001).

Provision of unpaid care: looking after; giving help or support to family members; friends; neighbours or others because of long-term physical or mental ill-health or disability or problems relating to old age.

Cells in this table have been randomly adjusted to avoid the release of confidential data. All data is © Crown Copyright 2003. Census day was 29 April 2001.
"
19,Estimation of Health Impacts of Particulate Pollution in London – London Datastore,"Data relating to populations and population weighted annual mean PM2.5 (ug/m3) by Ward and estimated attributable deaths (rounded to whole numbers) each year based on 2008 rates at concentration coefficients of 6%, 1% and 12% per 10 ug/m3 of PM2.5.
Note that the 6% co efficient factor is considered the 'best estimate' by the Committee on the Medical Effects of Air Pollutants (COMEAP).
Commissioned to inform the Mayor's Air Quality Strategy, will be updated as appropriate.
Based on 2008 population rates
Click here for the Clearing London's air webpage."
20,"Number of People Registered as Deaf or Hard of Hearing by Age Group, Borough – London Datastore","This data shows the number of people registered with Councils with Social Services Responsibilities (CSSRs) as being deaf or hard of hearing by age group.
Age groups are: 0-17, 18-64, 65-74, 75 and over.
Numbers are rounded to nearest five.
The data are compiled from the triennial return SSDA 910 which is submitted to The Information Centre (The IC).
People who are registered as deaf or hard of hearing that are also blind or partially sighted are recorded on the Register of Blind and Partially Sighted Persons (SSDA 902 form), unless stated these are excluded from this report. Data on these by category of disability is available here:
http://data.london.gov.uk/dataset/number-registered-blind-and-partially-sighted-people-additional-disability-categor
and by age here:
http://data.london.gov.uk/dataset/number-registered-blind-and-partially-sighted-people-age-group-borough
All ages total includes some cases where the age was not known. Therefore the age groups may not add to the total. Regional totals are estimated to take account of missing data.
Dash (""-"") means a local authority was unable to submit details on the number of people registered as being deaf and hard of hearing.
Download from NHS website"
21,myhealthlondon Maternity Indicators – London Datastore,"Series of maternity related indicators underlying the myhealthlondon website. All 34 indicators are provided in a single Excel spreadsheet and complete metadata is also available for download.
"
22,Physically Active Children – London Datastore,"Percentage of school children who spend a minimum of two hours each week on high quality PE and school sport within and beyond the curriculum.
There is the potential for error in the collection, collation and interpretation of the data (bias may be introduced due to poor response rates and selective opt out of larger children which it is not possible to control for).
The percentage of children attending state schools belonging to a School Sport Partnership who participate in at least 2 hours of high quality PE and school sport in a typical week of the academic year.
TNS Social Research: Annual Survey of School Sport Partnerships on behalf of the Department for Children, Schools and Families.
Visit the APHO website"
