Ref No,Contract Title,Directorate,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6120,E-Tendering Software,Corporate Services,Procurement,Corporate Procurement Services,Gillian Maxwell,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£10,000","£10,000",£0,24,No,No,Budget Holder Approval,TBC,01/04/2018,01/04/2020,,, EU Supply
6117,Poplar Fire Station - Replacement Kitchen Project ,Corporate Services,Technical and Support Services,Project Delivery,Ian McLaughlin,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£140,000","£140,000",£0,3,No,No,Delegated Authority,,06/02/2018,06/05/2018,,, H&V Building Services Ltd
6115,Citrix Security Solution,Corporate Services,Information and Communications Technology ,Virtual Desktop Delivery,Philip Hillary,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£102,072","£80,000","£22,072",36,No,No,Budget Holder Approval,Technology Products 2,08/01/2018,08/01/2021,,, Softcat PLC
6114,Training - Fire Investigation Qualification,Operations,Fire Safety (Regulatory and Community),FSR Learning,Susan Naylor,Gillian Maxwell,No,No,Yes,No,Goods/Service,Expenditure,"£35,000","£35,000",£0,24,No,No,Head of Procurement approval for single tender action,,01/02/2018,01/02/2020,,, Gardiner Associates Training and Research Ltd
6113,Replacement Wireless LAN Controllers,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£119,981","£195,000","-£75,019",36,No,No,Budget Holder Approval,Crown Commercial Service Technology Products 2 Framework ,01/01/2018,01/01/2021,,, Q Associates Limited
6112,Flame Retardant Bedding,Operations,Fire Safety (Regulatory and Community),CS Policy and Projects,Marvin Ikua,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£26,000","£26,000",£0,48,No,No,Budget Holder Approval,Safe and Well Equipment Framework,01/03/2018,01/03/2022,,," Thomas Kneale & Co Limited  , Vision Support Services "
6111,Battersea Fire Station - Electrical Rewire Project ,Corporate Services,Technical and Support Services,Project Delivery,Ian McLaughlin,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£300,000","£300,000",£0,3,No,No,Delegated Authority,,20/12/2017,20/03/2018,,, Lindfield Electrical Services Ltd
6110,Provision of Insurance Services,Corporate Services,Finance,Accountancy & Treasury,Peter Risby,Robert Fisher,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£4,731,158","£5,217,000","-£485,842",36,No,No,Delegated Authority,,30/06/2018,30/06/2021,,," Risk Management Partners Limited, Travelers Insurance Co Ltd"
6107,Chelsea Replacement Heating System Project ,Corporate Services,Technical and Support Services,Project Delivery,Bryan Pearce,Gerald Dennis,Yes,No,Yes,No,Works,Expenditure,"£350,000","£350,000",£0,3,No,No,Delegated Authority,,22/11/2017,22/02/2018,,, BTU Installation & Maintenance Ltd
6106,Deptford Appliance Door Replacement Project ,Corporate Services,Technical and Support Services,Project Delivery,Ian McLaughlin,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£75,000","£75,000",£0,3,No,No,Delegated Authority,,23/01/2018,23/04/2018,,, H&V Building Services Ltd
6099,"Paddington FS, alterations to fitness facilities",Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£50,000","£50,000",£0,2,No,No,Budget Holder Approval,,30/01/2018,30/03/2018,,, BNC
6095,Business Administration Apprenticeship Training ,Safety and Assurance,Training and Professional Development,Cultural Change,Damian Candish,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£10,000","£10,000",£0,12,No,No,Delegated Authority,TFL 93582,08/01/2018,08/01/2019,,, Outsource Training Ltd
6094,Purchase & maintenance of mail screening X-ray scanner,Corporate Services,Information and Communications Technology ,Business Intelligence,David Morris,Hitesh Mistry,No,No,Yes,No,Goods/Service,Expenditure,"£17,177","£17,177",£0,60,No,No,Budget Holder Approval,,31/12/2017,31/12/2022,,, Todd Research Ltd
6093,Sutton Fire Station - Rear Appliance Bay Door Replacement Project ,Corporate Services,Technical and Support Services,Project Delivery,Ian McLaughlin,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£135,808","£135,808",£0,4,No,No,Delegated Authority,,18/12/2017,18/04/2018,,, H&V Building Services Limited
6092,Kingston Fire Station - Heating Replacement Project ,Corporate Services,Technical and Support Services,Project Delivery,Bryan Pearce,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£320,000","£320,000",£0,3,No,No,Committee Decision,,20/11/2017,20/02/2018,,, Corrigenda Limited
6091,Visualfiles Annual Maintenance Agreement ,Corporate Services,General Counsel,Legal Services Management & Business Support,Christopher Marshall,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£44,787","£44,787",£0,36,No,No,Delegated Authority,,01/04/2017,01/04/2020,,, LexisNexis 
6090,Croydon Fire Station - Shower Refurbishment Project ,Corporate Services,Technical and Support Services,Project Delivery,Ian McLaughlin,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£237,276","£20,000","£217,276",3,No,No,Delegated Authority,,05/03/2018,05/06/2018,,,H&V Building Services Ltd 
6087,Replacement Paging System,Corporate Services,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£98,390","£35,000","£63,390",36,No,No,Budget Holder Approval,,13/10/2017,13/10/2020,,, PageOne Communications Limited
6084,Provision and Installation of Replacement UPS Battery System @ LFB Merton LOC,Corporate Services,Technical and Support Services,FM Service Delivery Team,Neville Harper,Anouska Herman,No,No,Yes,No,Works,Expenditure,£120,£120,£0,12,No,No,Budget Holder Approval,,08/02/2018,07/02/2019,,,Power Control Limited 
6082,Refurbishment of Camping Out Facilities (South),Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£154,695","£80,000","£74,695",2,No,No,Budget Holder Approval,,24/10/2017,24/12/2017,,, B Nokes Contracts Ltd
6073,"Project Manager, Quantity Surveyor and Contract Administrator Duties on IELP Project",Corporate Services,Technical and Support Services,Estates & Major Works,Rupert Palmer,Michael McCarthy,No,No,Yes,No,Goods/Service,Expenditure,"£136,762","£150,000","-£13,238",29,No,No,Committee Decision,,03/10/2017,31/12/2019,,, Burke Hunter Adams 
6072,"For the provision of water and seawage, automated reading across the LFb estate",Corporate Services,Technical and Support Services,FM Service Delivery Team,Grace Lukumoi,Robert Fisher,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£250,000","£250,000",£0,60,No,No,Delegated Authority,Water Lot1 Aggregation RM3790,01/08/2018,01/08/2023,,, Anglian Water Business (National) Ltd trading as Wave
6070,Supply of Marine Fuel ,Corporate Services,Procurement,Corporate Procurement Services,Robert Fisher,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£20,000","£20,000",£0,24,No,No,Delegated Authority,National Fuels Framework,01/10/2017,01/10/2019,,, Certas Energy UK Ltd
6069,Supply of Diesel for Strategic Reserve Storage Tanks,Corporate Services,Procurement,Corporate Procurement Services,Robert Fisher,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£1,000,000","£1,000,000",£0,24,No,No,Delegated Authority,National Fuels Framework,01/10/2017,30/09/2019,,, WFL (UK) Ltd t/a Hall Fuels
6067,Netcall Upgrade (telephony),Corporate Services,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£87,000","£87,000",£0,36,No,No,Budget Holder Approval,,25/07/2017,25/07/2020,,, Netcall Telecom Limited
6066,e-disclosure services,Corporate Services,General Counsel,Corporate & Commercial,Thomas Davies,Robert Fisher,No,No,Yes,No,Goods/Service,Expenditure,"£100,000","£100,000",£0,24,No,No,Delegated Authority,RM3717,11/09/2017,11/09/2019,,, PA Consulting Services Limited
6064,"Shoreditch Fire Station, appliance bay doors",Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£150,000","£150,000",£0,4,No,No,Budget Holder Approval,,19/12/2017,19/04/2018,,, Arkas Ltd
6057,Provision of Tax Advisory Services,Corporate Services,Finance,Accountancy & Treasury,Stephen Knight,Robert Fisher,No,No,Yes,Yes,Goods/Service,Expenditure,"£33,545","£32,000","£1,545",36,No,No,Budget Holder Approval,ESPO Consultancy framework 664 ,01/10/2017,01/10/2020,,, PSTAX
6056,Wimbledon Fire Station - appliance bay doors,Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Gerald Dennis,No,No,Yes,No,Works,Expenditure,"£150,000","£150,000",£0,4,No,No,Budget Holder Approval,,13/11/2017,13/03/2018,,, Arkas Ltd
6055,Lift Maintenance,Corporate Services,Technical and Support Services,TSS Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£533,333","£175,000","£358,333",36,No,No,Committee Decision,,08/04/2018,08/04/2021,,, Apex Lifts & Escalator Engineers Limited
6054,Pest Control Services,Corporate Services,Technical and Support Services,TSS Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£340,000","£175,000","£165,000",36,No,No,Delegated Authority,,06/03/2018,06/03/2021,,, Servest Group Limited 
6050,Staff Health Check survey,Safety and Assurance,Strategy and Risk,Strategy Risk and Engagement,Regina Bonas,Anouska Herman,No,No,Yes,No,Goods/Service,Expenditure,"£40,000","£40,000",£0,24,No,No,Delegated Authority,,20/11/2017,20/11/2019,,,ORC International
6048,Vehicle Glass Replacement & Repair,Corporate Services,Procurement,Vehicle Administration,Floyd Phillip,Hitesh Mistry,Yes,No,Yes,No,Goods/Service,Expenditure,"£40,000","£40,000",£0,24,No,No,Budget Holder Approval,,01/06/2017,01/06/2019,,, Nationwide Windscreen Services
6047,Asbestos Management Services ,Corporate Services,Technical and Support Services,FM Service Delivery Team,Lloyd Bentley,Michael McCarthy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£117,223","£117,223",£0,10,Yes,Yes,Delegated Authority,,01/06/2017,01/04/2018,05/04/2018,04/03/2019, Gradient Consultancy Ltd
6044,Replacement of Extended Duration Breathing Apparatus (EDBA) Cylinders,Corporate Services,Technical and Support Services,Protective Equipment Group,Geoffrey Avis,Anouska Herman,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£500,000","£400,000","£100,000",60,No,No,Budget Holder Approval,Devon/Somerset Fire & Rescue Service Ref DS 072-11,12/07/2017,12/07/2022,,," Draeger Safety UK Ltd,              "
6043,New Cross Fire Station Rear Yard and Forecourt Upgrade,Corporate Services,Technical and Support Services,Project Delivery,David Attfield,Dean Kinsella,No,No,Yes,No,Works,Expenditure,"£255,000","£255,000",£0,8,No,No,Budget Holder Approval,,24/07/2017,24/03/2018,,, Walker Construction (UK) Limited 
6040,The Provision and Supply of Smoke Alarms and Related Products,Operations,Fire Safety (Regulatory and Community),CS Policy and Projects,Mark Hazelton,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£50,000","£50,000",£0,48,No,No,Delegated Authority,,01/11/2017,01/11/2021,,, Sprue
6039,Lease Cars,Corporate Services,Procurement,Vehicle Administration,Floyd Phillip,Hitesh Mistry,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£4,000,000","£4,000,000",£0,36,No,No,Budget Holder Approval,Halton Housing Framework,01/10/2017,01/10/2020,,," Days Fleet, Automotive Leasing, Daimler, Lex Autoleasing"
6038,Bromley Fire Station – lintel repairs to basement windows,Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Dean Kinsella,No,No,Yes,No,Works,Expenditure,"£22,500","£22,500",£0,2,No,No,Budget Holder Approval,,22/08/2017,22/10/2017,,, B Nokes Contracts
6036,"Kingston Fire Station, shower refurbishment",Corporate Services,Technical and Support Services,FM Service Delivery Team,Christopher Bate,Dean Kinsella,No,No,Yes,No,Works,Expenditure,"£20,000","£20,000",£0,2,No,No,Budget Holder Approval,,07/08/2017,07/10/2017,,, B Nokes
6035,Electric Vehicle Chargepoints,Corporate Services,Procurement,Contracts Management Group,Sandra Headlam,Robert Fisher,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£387,912","£387,912",£0,48,No,No,Delegated Authority,ESPO - 636 - Vehicle Charging Infrastructure,01/04/2018,31/03/2022,,, Chargemaster Plc  
6031,Aztec - Support Contract,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,Yes,No,Goods/Service,Expenditure,"£50,000","£50,000",£0,36,No,No,Delegated Authority,,01/04/2017,01/04/2020,,, Aztec
6029,Assessment Management Tool,Corporate Services,People Services,Training Assurance,Kelly Knight,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£29,680","£35,000","-£5,320",25,No,No,Budget Holder Approval,G-cloud 9,26/02/2018,22/04/2020,,, Skillset Ltd
6025,Supply of Electricity and Ancilliary Services,Corporate Services,Technical and Support Services,FM Service Delivery Team,Lloyd Bentley,Gillian Maxwell,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£1,000,000","£1,000,000",£0,60,No,No,Delegated Authority,CCS ,01/04/2016,31/03/2020,,, EDF Energy
6019,THE SUPPLY OF PROCUREMENT AND IMPROVEMENT SERVICES,Corporate Services,Procurement,Contracts Management Group,Mark Atkinson,Lesley Troke,No,No,Yes,No,Goods/Service,Expenditure,"£60,000","£60,000",£0,12,No,No,Head of Procurement approval for single tender action,,03/04/2017,03/04/2018,,, ACTIVE EPROC SOLUTIONS LTD
6017,LFB Training Centre - Communications Consultant,Corporate Services,Technical and Support Services,Property Supply Chain Management,Rupert Palmer,Michael McCarthy,No,No,Yes,No,Goods/Service,Expenditure,"£39,662","£20,000","£19,662",33,No,No,Committee Decision,,08/06/2017,08/03/2020,,, SP Broadway Ltd  
6014,Appointment of interim Head of HR Management,Corporate Services,People Services,Commissioner & Directors,Susan Budden,Dean Kinsella,No,No,Yes,Yes,Goods/Service,Expenditure,"£160,000","£160,000",£0,9,Yes,Yes,Head of Procurement approval for single tender action,,10/05/2017,10/02/2018,11/02/2018,29/06/2018, Odgers Interim
6011,LFB Website Managed Support Service,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,Yes,No,Yes,No,Goods/Service,Expenditure,"£18,334","£18,334",£0,12,No,No,Budget Holder Approval,,01/04/2017,01/04/2018,,, Clarity Information Solutions
6010,Provision of Occupational Health Services,Corporate Services,People Services,Wellbeing,David Amis,Gillian Maxwell,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£6,000,000","£6,000,000",£0,36,No,No,Committee Decision,,05/03/2018,05/03/2021,,, HML Ltd
6006,Esri Gazetteer Support,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,Yes,No,Yes,No,Goods/Service,Expenditure,"£65,000","£65,000",£0,36,No,No,Budget Holder Approval,,01/05/2017,01/05/2020,,, ESRI Ltd
6002,ICT Training Passport,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Robert Fisher,No,No,Yes,No,Goods/Service,Expenditure,"£25,000","£25,000",£0,48,No,No,Budget Holder Approval,TfL 90805 Desktop and Specialist IT,01/12/2017,01/12/2018,,, QA Ltd
6001,Cognos support renewal ,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,No,No,Yes,No,Goods/Service,Expenditure,"£120,000","£120,000",£0,36,No,No,Budget Holder Approval,,01/03/2017,28/02/2018,,, IBM
5999,SharePoint Platform Support,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£147,876","£60,000","£87,876",12,No,No,Budget Holder Approval,Gcloud 9,20/11/2017,20/11/2019,,, Silversands Limited
5986,Moore Stephens Application Support,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£626,806","£626,806",£0,36,No,No,Budget Holder Approval,,01/04/2017,01/04/2020,,, Moore Stephens LLP
5984,Atkins Support and Development,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£385,082","£2,560,000","-£2,174,918",36,Yes,No,Budget Holder Approval,,01/04/2017,01/04/2018,01/04/2018,31/03/2020, Atkins PLC
5983,Microsoft EA Renewal(s),Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£3,308,762","£2,000,000","£1,308,762",36,No,No,Budget Holder Approval,,11/12/2017,11/12/2020,,, Phoenix Software
5982,Microsoft Premier Support,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,No,No,Yes,No,Goods/Service,Expenditure,"£55,000","£55,000",£0,12,No,No,Budget Holder Approval,,01/04/2017,31/03/2019,,, Microsoft
