Senior Office Title,Value,Claim Date,Expenses Category,Details of Claim
Head of Strategy and Inclusion,8.00,08-May-2014,Travel Expense,Taxi from Tamworth station to CFOA HQ for CFOA National Operations Committee meeting
Head of Strategy and Inclusion,7.80,08-May-2014,Travel Expense,Taxi from CFOA HQ to Tamworth station re attendance at National Operations Committee
Head of Operational Resilience,50.50,08-May-2014,Travel,"TAMWORTH - STANDARD OPEN RETURN TICKET
EVENT: NOC MEETING AT CFOA HQ ON 8 MAY 2014"
Head of Operational Assurance,32.62,11-May-2014,Travel,Devon - Base
Head of Technical and Service Support,5.95,12-May-2014,Travel,H-BECKTON TC-HQ-H
Third Officer,11.76,12-May-2014,Travel,Home to office - May 2014
Third Officer,3.50,13-May-2014,Travel,BASE - BHQ - WOOD END AVENUE (CAR MAINTENANCE)
Head of Strategy and Inclusion,34.00,14-May-2014,Travel Expense,Return travel on Heathrow Express for meeting in Scotland with CFO Hay to discuss national operational guidance
Third Officer,2.10,15-May-2014,Travel,WOOD END AVENUE - BHQ (CAR MAINTENANCE)
Third Officer,0.14,19-May-2014,Travel,BHQ - NEWPORT STREET (RETURN CAR)
Head of Operational Resilience,321.00,22-May-2014,Travel,"MANCHESTER PICCADILLY FROM EUSTON 
EVENT: IFE MEETING"
Head of Technical and Service Support,57.80,23-May-2014,Travel,Home to office - May 2014
Director of Operational Resilience and Training,183.60,23-May-2014,Travel,Home to office - May 2014
Head of Operational Assurance,57.12,28-May-2014,Travel,Home to office - May 2014
Head of Fire Safety,109.82,30-May-2014,Travel,Home to office - May 2014
Commissioner,286.29,30-May-2014,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Head of Operational Resilience,85.00,02-Jun-2014,Accommodation,"B&B THISTLE HOTEL LIVERPOOL CITY CENTRE
EVENT: NATIONAL RESILIENCE BOARD MEETING"
Director of Finance and Contractual Services,5.80,03-Jun-2014,Travel Expense,"Taxi  from  City Hall back to Brigade HQ, from attendance at  a meeting with Fiona Twycross, John Anthony and David Atkinson. "
Deputy Commissioner,9.00,03-Jun-2014,Travel Expense,"Meeting at GLA with Sharon Edwards, Jyoti Bhojani from Labour Group Office and David Atkinson"
Head of Operational Assurance,1.40,09-Jun-2014,Travel,HQ - Beckton (Opening of Training Centre)
Head of Operational Assurance,2.24,09-Jun-2014,Travel,Beckton Training Centre - Base
Head of Operational Assurance,17.22,12-Jun-2014,Travel,Base - Fire Service College (WFS Training Weekend)
Head of Technical and Service Support,4.25,12-Jun-2014,Travel,H-LHR Terminal 5 Long Stay
Head of Technical and Service Support,6.60,12-Jun-2014,Subsistence,Breakfast at Heathrow airport for business trip to Magirus Germany.
Head of Technical and Service Support,44.00,12-Jun-2014,Car Park,"Heathrow Airport Terminal 5 Long Stay.
entry: 06.00, Thu 12 June 2014
Exit: 21.00, fri 13 June 2014.

To facilitate travel to Magirus factory in Germany"
Head of Technical and Service Support,4.25,13-Jun-2014,Travel,LHR Terminal 5 Long Stay-H
Head of Operational Assurance,17.22,15-Jun-2014,Travel,Fire Service College - Base
Head of Operational Assurance,4.48,16-Jun-2014,Travel,Base - Beckton (run through of AC Op Assessments) - Base
Head of Fire Safety,3.74,16-Jun-2014,Travel,HQ - Hendon Police College - HQ
Head of Operational Assurance,4.48,18-Jun-2014,Travel,Base - Beckton (AC Op Assessments) - Base
Head of Operational Policy,6.60,19-Jun-2014,Subsistence,Delivery of presentation to Tall Buildings Conference at the University of Greenwich
Head of Operational Resilience,81.55,20-Jun-2014,Travel,"DESTINATION: PORTSMOUTH HARBOUR WITH STANDARD ANYTIME DAY RTN
EVENT: UKRO MEETING WITH CFO OF ISLE OF WIGHT"
Deputy Commissioner,32.40,20-Jun-2014,Travel,"Home to BRE Watford to Home.

Demonstration on Site"
Head of Operational Assurance,0.42,23-Jun-2014,Travel,HQ - City Hall - HQ
Head of Fire Safety,3.23,23-Jun-2014,Travel,HQ - Heathrow
Third Officer,0.14,23-Jun-2014,Travel,NEWPORT STREET - BHQ (PICK UP NEW VEHICLE)
Head of Fire Safety,7.48,24-Jun-2014,Travel,HQ -Watford - HQ
Head of Technical and Service Support,3.74,26-Jun-2014,Travel,H-HQ-CITY HALL-H
Head of Operational Assurance,59.50,26-Jun-2014,Travel,Home to office - June 2014
Third Officer,5.32,27-Jun-2014,Travel,BASE - BHQ - GOLDERS GREEN CREMATORIUM -BASE (BRIGADE FUNERAL)
Third Officer,3.22,28-Jun-2014,Travel,BASE - SOHO FS - BASE (PRIDE BREAKFAST)
Head of Technical and Service Support,3.91,28-Jun-2014,Travel,H-SOHO FS-HQ-H
Commissioner,239.38,30-Jun-2014,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Director of Operational Resilience and Training,252.90,30-Jun-2014,Travel,Home to office - June 2014
Third Officer,16.10,30-Jun-2014,Travel,Home to office - June 2014
Head of Technical and Service Support,51.00,30-Jun-2014,Travel,Home to office - June 2014
Head of Fire Safety,127.67,30-Jun-2014,Travel,Home to office - June 2014
Deputy Commissioner,12.50,01-Jul-2014,Travel Expense,"Travel back from pre-meeting re Strategy Committee with Councillor Hayward at Camden.  Passengers were Rita Dexter, Susan Ellison-Bunce, Cameila Thomas and Jyoti Bhojani. "
Head of Operational Resilience,240.00,02-Jul-2014,Accommodation,"2 NIGHTS AT REDESDALE ARMS, MORETON-IN-MARSH
EVENT:  NATIONAL RESILIENCE MEETING"
Head of Operational Policy,9.38,03-Jul-2014,Travel,St/By base - Chelmsford (return via M25 - to discuss input to Rome S &amp; R conference) 
Third Officer,3.22,03-Jul-2014,Travel,BASE - BHQ - LAMBETH ROAD BASE (LAS/LFB/MPS MEETING)
Head of Operational Policy,16.52,04-Jul-2014,Travel,St/by base - Office - Essex FRS HQ - St/by base (to represent Commissioner at youth engagement event)
Head of Technical and Service Support,3.74,04-Jul-2014,Travel,H-HQ-GLA-H
Head of Operational Policy,8.80,04-Jul-2014,Subsistence,Attend Essex FRS HQ on behalf of the Commissioner for youth engagement celebration event
Head of Operational Policy,7.42,09-Jul-2014,Travel,"St/by base - Office - St Matthias, Poplar - Office (Meeting for London Marathon planning purposes)"
Third Officer,5.60,10-Jul-2014,Travel,BASE - MERTON - BASE (STRIKE DAY)
Head of Operational Policy,6.72,10-Jul-2014,Travel,St/by base - Office - Eland House - Office - Stand-by base (IA liaison with CLG)
Head of Operational Assurance,4.48,10-Jul-2014,Travel,Base - Hotel Verta (BBC Interview re: Clapham Rail Crash) - Base
Third Officer,2.80,13-Jul-2014,Travel,BASE - MERTON (STRIKE DAY)
Third Officer,2.66,16-Jul-2014,Travel,BASE - BHQ - MERTON (STRIKE DAY)
Head of Technical and Service Support,40.80,17-Jul-2014,Travel,Home to office - July 2014
Third Officer,2.80,18-Jul-2014,Travel,MERTON - BASE (STRIKE DAY)
Head of Operational Assurance,0.98,18-Jul-2014,Travel,HQ - Brixton Fire Station (presenting Award) - HQ
Head of Operational Resilience,16.48,18-Jul-2014,Subsistence,Evening meal at Hotel during strike action duties at JOCC
Head of Operational Assurance,1.68,20-Jul-2014,Travel,Merton (JOCC Duty) - Base
Head of Operational Assurance,83.75,20-Jul-2014,Accommodation,"EVENT: BUSINESS CONTINUITY

DESTINATION: PREMIER INN, WIMBLEDON SOUTH
"
Head of Operational Assurance,1.68,20-Jul-2014,Travel,Base - Merton (JOCC Duty)
Head of Operational Policy,7.14,21-Jul-2014,Travel,St/by base - Eland House - Office - Stan-by base (call out for IA liaison with CLG)
Third Officer,5.60,21-Jul-2014,Travel,BASE - BHQ - MERTON -BASE (STRIKE DAY)
Commissioner,50.00,22-Jul-2014,Travel,Standard Super Off-Peak Return train ticket from London Paddington to Gloucestershire to attend a meeting with the Chairman of Fire Service Management Committee as the Strategic Adviser. Unfortunately Commissioner did not use this ticket due to heavy traffic en route to London Paddington and therefore missed this train.
Head of Operational Resilience,16.48,22-Jul-2014,Subsistence,Attending the NILO course at FSC
Third Officer,20.44,22-Jul-2014,Travel,Home to office - July 2014
Head of Operational Resilience,31.64,23-Jul-2014,Travel,BASE - FSC NILO MEETING - BASE
Head of Operational Assurance,7.00,23-Jul-2014,Travel,HQ - Hertford Fire Station (Eastern Region CFOA meeting) - HQ
Third Officer,2.38,23-Jul-2014,Travel,BASE - BHQ - DAGENHAM FS - BASE (CADETS PASS OUT)
Third Officer,3.78,24-Jul-2014,Travel,BASE - BHQ - ILFORD FS - BASE (CADETS PASS OUT)
Head of Operational Policy,20.30,24-Jul-2014,Travel,St/by base - Surrey FRS HQ (return - meeting with CP regarding policy collaboration via M25 anti-clockwise)
Head of Operational Assurance,2.38,24-Jul-2014,Travel,Base - Greenwich Fire Station (OHS meeting) - Base
Third Officer,6.30,25-Jul-2014,Travel,BASE - BHQ - WILLESDEN FS - BASE (STATION VISIT)
Director of Operational Resilience and Training,246.60,25-Jul-2014,Travel,Home to office - July 2014
Head of Fire Safety,109.82,31-Jul-2014,Travel,Home to office - July 2014
Head of Operational Assurance,71.40,31-Jul-2014,Travel,Home to office - July 2014
Head of Operational Policy,88.20,31-Jul-2014,Travel,Home to office - July 2014
Head of Operational Resilience,85.54,31-Jul-2014,Travel,Home to office - July 2014
Commissioner,239.38,31-Jul-2014,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Head of Operational Policy,5.88,01-Aug-2014,Travel,St/by base - BHQ (return)
Deputy Commissioner,32.40,02-Aug-2014,Travel,"Home to BRE Watford to Home.

Attend meeting for the Commissioner"
Commissioner,133.60,04-Aug-2014,Travel,Airline Administration fee applied for change of flight due to FBU industrial actions
Head of Technical and Service Support,16.15,04-Aug-2014,Travel,H-FSC
Head of Operational Assurance,0.42,06-Aug-2014,Travel,HQ - Scotland Yard - HQ
Head of Technical and Service Support,16.15,07-Aug-2014,Travel,FSC-H
Head of Operational Assurance,27.72,08-Aug-2014,Travel,Base - Hampshire FRS - Base (WFS award presentation)
Head of Operational Assurance,378.25,09-Aug-2014,Accommodation,"FOR 3 NIGHTS
EVENT: BUSINESS CONTINUITY

DESTINATION: PREMIER INN SOUTH WIMBLEDON"
Head of Operational Assurance,2.52,10-Aug-2014,Travel,Base - Merton (JOCC during strike action)
Head of Operational Assurance,5.04,10-Aug-2014,Travel,Base - Merton - Base (JOCC during strike action)
Head of Operational Assurance,5.04,11-Aug-2014,Travel,Merton - Base - Merton (JOCC during strike action)
Head of Operational Assurance,2.52,12-Aug-2014,Travel,Merton - Base (JOCC during strike action)
Third Officer,313.50,12-Aug-2014,Accommodation,"EVENT: BUSINESS CONTINUITY

DESTINATION: PREMIER INN, SOUTH WIMBLEDON"
Third Officer,2.80,12-Aug-2014,Travel,BASE - MERTON (STRIKE DAY)
Head of Operational Assurance,245.50,14-Aug-2014,Accommodation,"FOR 2 NIGHTS
EVENT: BUSINESS CONTINUITY

DESTINATION: PREMIER INN WIMBLEDON"
Head of Operational Assurance,5.04,14-Aug-2014,Travel,Base - Merton - Base (JOCC during strike action)
Head of Operational Assurance,2.52,14-Aug-2014,Travel,Base - Merton (JOCC during strike action)
Head of Operational Assurance,5.04,15-Aug-2014,Travel,Merton - Base - Merton (JOCC during strike action)
Third Officer,3.92,15-Aug-2014,Travel,BASE - BHQ - ST JOHNS CHURCH ILFORD - BASE (BRIGADE FUNERAL)
Third Officer,2.80,16-Aug-2014,Travel,BASE - MERTON (STRIKE DAY)
Head of Operational Assurance,2.52,16-Aug-2014,Travel,Merton - Base (JOCC during strike action)
Third Officer,2.80,17-Aug-2014,Travel,MERTON - BASE (STRIKE DAY)
Head of Operational Policy,5.88,18-Aug-2014,Travel,St/by base - BHQ (return)
Head of Operational Policy,43.26,19-Aug-2014,Travel,"St/by base - Oldbury Fire Station, WMFRS - St/by base (via M40 to visit WMFRS high rise training facility)"
Head of Technical and Service Support,4.42,19-Aug-2014,Travel,H-HQ-A24 Soho - H
Head of Operational Policy,6.60,19-Aug-2014,Subsistence,Visit to WMFRS high rise training facility at Oldbury fire station
Head of Operational Policy,5.88,20-Aug-2014,Travel,St/by base - BHQ (return)
Head of Operational Policy,5.88,21-Aug-2014,Travel,St/by base - BHQ (return)
Third Officer,2.94,21-Aug-2014,Travel,BASE - BHQ - DOWGATE FS - BASE (STATION VISIT)
Head of Operational Policy,5.88,22-Aug-2014,Travel,St/by base - BHQ (return)
Head of Operational Resilience,28.00,26-Aug-2014,Travel,Home to office - August 2014
Third Officer,23.38,28-Aug-2014,Travel,Home to office - August 2014
Head of Technical and Service Support,51.00,29-Aug-2014,Travel,Home to office - August 2014
Director of Operational Resilience and Training,162.00,29-Aug-2014,Travel,Home to office - August 2014
Head of Fire Safety,121.38,29-Aug-2014,Travel,Home to office - August 2014
Head of Operational Assurance,57.12,29-Aug-2014,Travel,Home to office - August 2014
Commissioner,239.38,29-Aug-2014,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Third Officer,3.12,05-Sep-2014,Travel,BASE - BHQ - ST JAMES'S COURT - BASE (JOINT SECRETARIES CONCILIATIONS)
Head of Operational Policy,15.40,08-Sep-2014,Travel,St/by base - Ryton (College of Policing for CBRN Gold course via A1 &amp; M1)
Head of Operational Policy,6.60,08-Sep-2014,Subsistence,"CBRN Gold command course 
College of Policing Ryton"
Head of Operational Policy,6.05,11-Sep-2014,Subsistence,"CBRN Gold command course 
College of Policing Ryton"
Head of Operational Policy,15.40,11-Sep-2014,Travel,Ryton - St/by base (return from CBRN course)
Head of Strategy and Inclusion,46.30,11-Sep-2014,Travel Expense,Travel to and from Tamworth for CFOA NOC meeting. 
Head of Strategy and Inclusion,3.90,11-Sep-2014,Travel Expense,Taxi from station to meeting location in Tamworth
Head of Strategy and Inclusion,3.70,11-Sep-2014,Travel Expense,Taxi from meeting location to Tamworth station
Head of Strategy and Inclusion,25.00,15-Sep-2014,Travel Expense,Taxi to CFOA Autumn conference 
Head of Strategy and Inclusion,96.00,15-Sep-2014,Travel,"TRAVEL DATES: 15/16 SEPTEMBER 2014
EVENT: CFOA CONFERENCE

DESTINATION: BURTON-UPON TRENT
"
Head of Operational Policy,182.44,16-Sep-2014,Accommodation,"TRAVEL DATES: 16 & 17 SEPTEMBER 2014
EVENT: NATIONAL USAR MEETING (NWG) & JESIP 

DESTINATION: PARK HOTEL NETHERTON"
Head of Operational Policy,5.50,16-Sep-2014,Travel Expense,Attending USAR national working group and JESIP validation exercise at Merseyside FRS
Head of Operational Policy,8.65,16-Sep-2014,Subsistence,Attending USAR national working group and JESIP validation exercise at Merseyside FRS
Head of Operational Policy,16.48,16-Sep-2014,Subsistence,Attending USAR national working group and JESIP validation exercise at Merseyside FRS
Head of Operational Policy,32.76,16-Sep-2014,Travel,"St/by base - Office - Park Hotel, Merseyside (to attend USAR NWG &amp; JESIP ex via M40 &amp; M6 toll)"
Head of Operational Policy,0.84,17-Sep-2014,Travel,Park Hotel - MFRS HQ - Park Hotel (USAR NWG)
Head of Operational Policy,5.59,17-Sep-2014,Subsistence,Attending USAR national working group and JESIP validation exercise at Merseyside FRS
Head of Operational Policy,5.50,18-Sep-2014,Travel Expense,Attending USAR national working group and JESIP validation exercise at Merseyside FRS
Head of Operational Policy,5.38,18-Sep-2014,Subsistence,Attending USAR national working group and JESIP validation exercise at Merseyside FRS
Head of Operational Resilience,69.44,18-Sep-2014,Accommodation,"EVENT: MEETING AT CFOA HQ

DESTINATION: HOLIDAY INN EXPRESS TAMWORTH"
Head of Operational Resilience,13.85,18-Sep-2014,Subsistence,evening meal while attending the CCWG meeting at CFOA Tamworth
Head of Operational Policy,33.04,18-Sep-2014,Travel,Park Hotel - MFRS HQ - MFRS T/C - St/by base
Deputy Commissioner,8.00,19-Sep-2014,Travel Expense,Taxi back to Union Street from Meeting and presentation to CELC and SLT Members  at Guildhall. 
Head of Operational Assurance,125.48,19-Sep-2014,Travel,"EVENT: NATIONAL ASSOCIATION OF WOMEN IN CONSTRUCTION UK & IR
DESTINATION: NEWCASTLE (2 STANDARD ADVANCE SINGLES)"
Head of Operational Resilience,17.42,19-Sep-2014,Travel,TAMWORTH CFOA CCWG MEETING - BASE
Third Officer,2.73,22-Sep-2014,Travel,BASE - BHQ - CITY HALL - BASE (20 YEAR AWARD CEREMONY)
Head of Operational Policy,11.48,22-Sep-2014,Travel,St/by base - Maldon (staff welfare visit via M25/A12)
Head of Operational Policy,7.84,23-Sep-2014,Travel,St/by base - Office - Fulham - Office - St/by base (JESIP trg)
Head of Operational Policy,4.50,23-Sep-2014,Subsistence,"Attending JESIP training @ MPS Empress State building, Fulham"
Head of Operational Policy,4.30,23-Sep-2014,Subsistence,"Attending JESIP training @ MPS Empress State building, Fulham"
Head of Operational Resilience,164.00,23-Sep-2014,Travel Expense,Travel to Birmingham for the CFOA National Resilience Board meeting 
Head of Operational Resilience,15.00,23-Sep-2014,Subsistence,Meal at hotel while attending the National Resilience Board meeting in Birmingham. 
Head of Operational Resilience,163.44,23-Sep-2014,Accommodation,"EVENT: NEC BIRMINGHAM

DESTINATION: HILTON BIRMINGHAM  METROPOLE
"
Third Officer,40.30,23-Sep-2014,Travel,Home to office - September 2014
Third Officer,3.12,24-Sep-2014,Travel,BASE - BHQ - ST JAMES'S COURT - BASE (JOINT SECRETARIES CONCILIATIONS)
Head of Procurement,52.03,24-Sep-2014,Travel,"Return Train Journey: Euston to Birmingham.
For National Procurement Group Conference."
Head of Procurement,78.70,24-Sep-2014,Accommodation,"Hotel: The Spires (Birmingham) 
RE:
National Procurement Group Conference."
Head of Operational Policy,6.44,24-Sep-2014,Travel,St/by base - Office - Lambeth - Office - St/by base (London Gold summit)
Third Officer,3.12,25-Sep-2014,Travel,BASE - BHQ - ST JAMES'S COURT - BASE (JOINT SECRETARIES CONCILIATIONS)
Head of Fire Safety,109.82,25-Sep-2014,Travel,Home to office - September 2014
Head of Operational Assurance,48.62,29-Sep-2014,Travel,Home to office - September 2014
Head of Operational Policy,64.68,30-Sep-2014,Travel,Home to office - September 2014
Head of Operational Resilience,81.25,30-Sep-2014,Travel,Home to office - September 2014
Director of Operational Resilience and Training,225.45,30-Sep-2014,Travel,Home to office - September 2014
Head of Technical and Service Support,74.80,30-Sep-2014,Travel,Home to office - September 2014
Head of Operational Assurance,15.99,30-Sep-2014,Travel,Base - Fire Service College (WFS Training Debrief)
Commissioner,239.38,30-Sep-2014,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Head of Operational Resilience,36.29,01-Oct-2014,Travel,"EVENT: NILO Course At Fire Service College

DESTINATION: Moreton-In-Marsh"
Head of Operational Assurance,15.99,01-Oct-2014,Travel,Fire Service College - Base
Head of Operational Policy,5.59,01-Oct-2014,Travel,St/by base - Office - F44 - St/by base (to attend DC's staff briefing)
Head of Operational Policy,29.38,03-Oct-2014,Travel,St-by base - FSC Moreton (return to attend Geohazard working group meeting on behalf of USAR NWG))
Head of Operational Policy,6.60,03-Oct-2014,Subsistence,USAR NWG Geohazard working group meeting at the FSC
Head of Operational Policy,5.79,03-Oct-2014,Subsistence,USAR NWG Geohazard working group meeting at the FSC
Third Officer,2.73,07-Oct-2014,Travel,BASE - BHQ - CITY HALL - BASE (Award Ceremony)
Head of Operational Policy,4.50,09-Oct-2014,Subsistence,Site visit to Alice Gross search location (Hanwell)
Head of Technical and Service Support,4.42,09-Oct-2014,Travel,H-HQ-Islington FS-HQ-H
Head of Operational Policy,9.49,09-Oct-2014,Travel,St-by base - Office - Hanwell - Office - St/by base (meeting with MPS at AG search site)
Head of Operational Assurance,2.21,10-Oct-2014,Travel,Beckton - Base
Head of Operational Assurance,3.77,10-Oct-2014,Travel,HQ - Beckton (DAC ICE run through)
Head of Operational Assurance,4.42,13-Oct-2014,Travel,Base - Beckton - Base
Head of Operational Resilience,105.00,13-Oct-2014,Travel,"EVENT: Attending An Exercise

DESTINATION: Bournemouth"
Head of Operational Assurance,4.42,14-Oct-2014,Travel,Base - Beckton - Base
Third Officer,3.12,14-Oct-2014,Travel,BASE - BHQ - ST JAMES' COURT - BASE (Joint Secretaries Concilliations)
Head of Operational Policy,7.28,15-Oct-2014,Travel,St-by base - Office - MPS Lillie Rd - Office - St/by base (Act as LFB Gold at Ebola SCG)
Head of Operational Policy,4.50,15-Oct-2014,Subsistence,"Attend Gold Exercise at MPS Empress State Building, Fulham"
Head of Operational Assurance,56.68,16-Oct-2014,Travel,Base - Yorkshire FRS (WFS Meeting) - Base
Head of Technical and Service Support,1.36,17-Oct-2014,Travel,H-West Norwood FS-H
Deputy Commissioner,8.00,17-Oct-2014,Travel Expense,"Taxi from Southwark Training Centre to Waterloo Station.
Opening and attendance at AFSA Reception and Awards Ceremony followed by Dinner and Dance "
Head of Technical and Service Support,4.08,20-Oct-2014,Travel,H-HQ-Old Kent Rd FS-HQ-H
Head of Operational Assurance,4.42,21-Oct-2014,Travel,Base - Beckton - Base
Head of Technical and Service Support,3.74,22-Oct-2014,Travel,H-HQ-H22 Lambeth-H
Head of Operational Policy,65.52,22-Oct-2014,Travel,Home to office - October 2014
Head of Operational Resilience,72.80,22-Oct-2014,Travel,Home to office - October 2014
Third Officer,30.94,23-Oct-2014,Travel,Home to office - October 2014
Head of Technical and Service Support,5.10,23-Oct-2014,Travel,H-Sutton FS-12PF Ex @ Sutton Hospital-H
Head of Operational Policy,7.02,23-Oct-2014,Travel,St-by base - Office - Battersea F/Stn - Office - St/by base
Head of Technical and Service Support,4.08,29-Oct-2014,Travel,H-HQ-Soho FS-H
Third Officer,3.12,29-Oct-2014,Travel,BASE - BHQ - ST JAMES' COURT - BASE (Joint Secretaries Concilliations)
Third Officer,5.33,30-Oct-2014,Travel,BASE - BHQ - LONDON ROAD CROYDON - BASE (Employment Tribunal)
Head of Technical and Service Support,51.68,30-Oct-2014,Travel,Home to office - October 2014
Commissioner,239.38,30-Oct-2014,Travel,This special allowance is in recognition of the on-call requirements placed upon the Commissioner and is in place of monthly mileage claims.
Third Officer,119.19,31-Oct-2014,Accommodation,"EVENT: Business Continuity

DESTINATION: Premier Inn South Wimbledon"
Head of Operational Assurance,321.69,31-Oct-2014,Accommodation,"EVENT: Business Continuity

DESTINATION: Premier Inn South Wimbledon (3 nights)"
Head of Technical and Service Support,6.46,31-Oct-2014,Travel,"H-Funeral + reception Isleworth, TW7 -H"
Head of Operational Assurance,64.09,31-Oct-2014,Travel,Home to office - October 2014
Director of Operational Resilience and Training,232.20,31-Oct-2014,Travel,Home to office - October 2014
Third Officer,2.47,31-Oct-2014,Travel,BASE - BHQ - MERTON (Strike Day)
Third Officer,5.20,01-Nov-2014,Travel,MERTON - BASE - MERTON (Strike Day)
Third Officer,2.60,02-Nov-2014,Travel,MERTON - BASE (Strike Day)
Head of Operational Assurance,2.34,02-Nov-2014,Travel,Base - Merton (strike response)
Head of Operational Assurance,2.34,03-Nov-2014,Travel,Merton - Base
Head of Operational Assurance,4.42,04-Nov-2014,Travel,Base - HQ - Base
Third Officer,5.20,04-Nov-2014,Travel,BASE - MERTON - BASE (Strike Day)
Third Officer,3.12,05-Nov-2014,Travel,BASE - BHQ - ST JAMES' COURT - BASE (Joint Secretaries Concilliations)
Head of Operational Assurance,4.42,05-Nov-2014,Travel,Base - HQ - Base
Third Officer,2.73,09-Nov-2014,Travel,BASE - LAMBETH FS - BASE (Service Of Remembrance)
Third Officer,2.73,10-Nov-2014,Travel,BASE - BHQ - CITY HALL - BASE (Award Ceremony)
