Senior Office Title,Value,Claim Date,Expenses Category,Details of Claim
Head of Operational Response,0.50,08-Jul-2016,Travel,HQ - MetCC - HQ
Head of Operational Policy,8.00,11-Jul-2016,Travel,H-inc 11082016 (Harrow) -H
Director of Operations,3.40,11-Jul-2016,Travel,BASE - BHQ - CITY HALL - BHQ - EDMONTON FS - BASE (GOVERNANCE PERFORMANCE AND AUDIT COMMITTEE &amp; STATION VISIT)
Director of Operations,2.10,12-Jul-2016,Travel,BASE - BHQ - MILLWALL FS - BASE (STATION VISIT)
Head of Operational Resilience,10.50,12-Jul-2016,Travel,BASE - COVENTRY CBRN COURSE
Director of Safety and Assurance,12.80,13-Jul-2016,Travel,Base-Fire Service College
Director of Operations,2.50,13-Jul-2016,Travel,BASE - BHQ - CITY HALL - BHQ -GUILDHALL - BASE (MEETING WITH CHAIR  AND CART MARKING PARADE)
Head of Operational Resilience,16.25,13-Jul-2016,Subsistence,evening meal at hotel while a CBRN Course at the College of Policing Ryton Coventry 
Head of Fire Safety,4.86,13-Jul-2016,Travel,Home to office - July 2016
Director of Operations,2.50,14-Jul-2016,Travel,BASE - BHQ - EUSTON TOWER - BASE (MEETING WITH ACAS)
Head of Operational Resilience,10.50,14-Jul-2016,Travel,RETURN FROM COVENTRY - BASE 
Head of Operational Response,1.90,14-Jul-2016,Travel,HQ - N1C 4AA - H
Director of Safety and Assurance,12.80,14-Jul-2016,Travel,Fire Service College - Base
Head of Operational Response,2.30,18-Jul-2016,Travel,H - LOC - HQ
Director of Operations,2.30,18-Jul-2016,Travel,BASE - BHQ - CITY HALL - BHQ -BASE (STRATEGY COMMITTEE)
Head of Operational Resilience,11.34,19-Jul-2016,Subsistence,evening meal while attenidng a West Midlands FRS Exercise  
Head of Operational Response,3.10,19-Jul-2016,Travel,HQ - A33 - H
Head of Operational Resilience,9.40,20-Jul-2016,Travel,BASE EPSOM PRESENTING AT A COURSE - BASE
Head of Fire Safety,2.16,20-Jul-2016,Travel,BHQ-F24 (Cadets)-Home
Director of Operations,14.70,21-Jul-2016,Travel,Home to office - July 2016
Head of Operational Response,1.80,25-Jul-2016,Travel,"HQ - Smugglers Way, Battersea - H (12PF)"
Head of Operational Response,2.30,25-Jul-2016,Travel,H - LOC - HQ
Head of Fire Safety,2.52,26-Jul-2016,Travel,BHQ-Erith (Cadets)-Home
Head of Strategy and Inclusion,7.00,27-Jul-2016,Travel Expense,Taxi from Guildhall to London Bridge station after IFE dinner
Director of Safety and Assurance,47.60,28-Jul-2016,Travel,Home to office - July 2016
Head of Operational Resilience,1.90,28-Jul-2016,Travel,RETURN FROM IFE CONFERENCE DOWGATE FS - BASE 
Head of Fire Stations,59.76,29-Jul-2016,Travel,Home to office - July 2016
Head of Operational Resilience,43.30,29-Jul-2016,Travel,Home to office - July 2016
Director of Safety and Assurance,3.60,11-Aug-2016,Travel,Base-Rainham-Base
Director of Operations,1.60,11-Aug-2016,Travel,BASE - INGREBOURNE HILL - BASE (OPENING OF BRAIDWOOD FOREST)
Director of Safety and Assurance,3.00,16-Aug-2016,Travel,Base-Beckton-Base
Director of Operations,2.40,17-Aug-2016,Travel,BASE - BHQ - ST JAMES' - BASE (EMR WORKSTREAM)
Head of Operational Resilience,53.50,18-Aug-2016,Travel,Home to office - August 2016
Head of Fire Safety,3.24,19-Aug-2016,Travel,BHQ-Hammersmith (Inc 20PF)-Home
Head of Fire Safety,4.41,20-Aug-2016,Travel,Home to office - August 2016
Director of Operations,2.10,20-Aug-2016,Travel,BASE - IMPERIAL WAR MUSEUM - BASE (SAFE IN THE CITY)
Director of Operations,2.10,22-Aug-2016,Travel,BASE - BHQ - CITY HALL - BASE (LFB REVIEW MEETING)
Director of Operations,2.40,23-Aug-2016,Travel,BASE - BHQ - ST JAMES' - BASE (CONCILIATION)
Head of Fire Stations,4.32,23-Aug-2016,Travel,Standby base-Beckton TC-Standby base
Director of Operations,2.30,25-Aug-2016,Travel,BASE - BHQ - SMITH SQUARE - BASE (CONCILIATION)
Head of Fire Stations,32.40,25-Aug-2016,Travel,Home to office - August 2016
Head of Fire Stations,4.08,26-Aug-2016,Travel,Standby base-Twickenham FS-Standby base
Director of Operations,16.80,30-Aug-2016,Travel,Home to office - August 2016
Director of Safety and Assurance,47.80,31-Aug-2016,Travel,Home to office - August 2016
Head of Operational Policy,7.50,31-Aug-2016,Subsistence,Waitrose. LSP6 FRU station briefings
Director of Operations,2.50,31-Aug-2016,Travel,BASE - BHQ - STRATFORD FS - BASE (REGULAR GM'S MEETING)
Head of Operational Policy,6.59,06-Sep-2016,Subsistence,USAR NWG Merseyside
Head of Operational Policy,16.48,06-Sep-2016,Subsistence,"Spice Lounge, Merseyside. USAR NWG"
Head of Operational Policy,5.50,06-Sep-2016,Travel Expense,Midland Expressway
Head of Operational Policy,5.50,07-Sep-2016,Travel Expense,Midland Expressway
Head of Fire Stations,3.25,07-Sep-2016,Travel,Base-Shadwell FS-Forest Hill FS-Base
Director of Operations,1.54,07-Sep-2016,Travel,BASE - SHADWELL FS - BASE (RE-OPENING CEREMONY)
Commissioner,150.00,07-Sep-2016,Accommodation,"Accommodation booked at Hotel Redesdale Arms, Moeton-in-Marsh for attendance at meeting and Demo on EU Eden Project.  Commissioner unable to attend due to commitments arising from meetings held that day in the Brigade "
Head of Fire Stations,6.76,08-Sep-2016,Travel,Standby base-Hillingdon FS-Standby base
Director of Operations,11.99,09-Sep-2016,Travel,BASE - BHQ - QUEENS ROAD READING -BASE (MEETING WITH ORH)
Director of Safety and Assurance,2.64,11-Sep-2016,Travel,Base-Camberwell-Base
Director of Safety and Assurance,44.00,12-Sep-2016,Travel,"Event: WFS Conference - Cardiff 
"
Director of Safety and Assurance,74.14,12-Sep-2016,Accommodation,Event: WFS Conference - Cardiff 
Head of Technical and Service Support,35.96,13-Sep-2016,Travel,Return train travel to Birmingham for CFOA Procurement Conference
Head of Procurement,20.00,13-Sep-2016,Travel Expense,CFOA Procurmeent workshop
Head of Technical and Service Support,20.00,13-Sep-2016,Travel Expense,CFOA Procurmeent workshop
Head of Procurement,27.00,13-Sep-2016,Travel Expense,CFOA procurement workshop
Head of Technical and Service Support,27.00,13-Sep-2016,Travel Expense,CFOA procurement workshop
Director of Operations,2.75,14-Sep-2016,Travel,BASE - BHQ - STRATFORD FS - BASE (REGULAR GMs MEETING)
Head of Operational Policy,3.96,14-Sep-2016,Travel,HQ-Lambeth-B
Head of Strategy and Inclusion,9.00,14-Sep-2016,Travel Expense,"Attendance at NJC Inclusion Working Group meeting at Local Government House, Smith Square"
Head of Strategy and Inclusion,9.00,14-Sep-2016,Travel Expense,"Attendance at NJC Inclusion Working Group meeting at Local Government House, Smith Square"
Head of Strategy and Inclusion,8.00,15-Sep-2016,Travel Expense,Travel to City Hall for GLA Equalities Framework meeting
Director of Operations,1.21,15-Sep-2016,Travel,BASE - BHQ
Director of Operations,1.10,16-Sep-2016,Travel,BHQ - CITY HALL - BASE (RESOURCES COMMITTEE)
Head of Operational Resilience,15.00,16-Sep-2016,Travel Expense,Taxi from Belfry Hotel to Tamworth Station attending Community awards on behalf of the LFB 
Head of Operational Resilience,16.48,20-Sep-2016,Subsistence,Attending Emergency Services Show Birmingham
Head of Operational Resilience,14.00,20-Sep-2016,Car Park,parking at hotel for the Emergency Services Show Birmingham 
Commissioner,150.78,20-Sep-2016,Travel,Return Journey (21.9.16) from London Euston to Liverpool Lime Street to attend National Resilience Capabilities Leads meeting and  National Resilience Board 
Commissioner,129.00,21-Sep-2016,Accommodation,Overnight accommodation at Marriott Hotel in Liverpool to attend National Resilience Capabilities Leads meeting and National Rseilience Board 
Head of Technical and Service Support,53.68,21-Sep-2016,Travel,Return train travel to Birmingham for Emergency Services Show
Head of Technical and Service Support,79.90,21-Sep-2016,Accommodation,Attendance at Emergency Services Show
Head of Operational Resilience,16.48,21-Sep-2016,Subsistence,Attending the Emergency Services Show Birmingham 
Head of Operational Policy,5.28,22-Sep-2016,Travel,B-Bethnal Green-East Ham-B
Head of Operational Resilience,14.41,22-Sep-2016,Travel,RETURN FROM BIRMINGHAM NEC - BASE 
Head of Fire Safety,12.96,25-Sep-2016,Travel,Home to office - September 2016
Head of Operational Resilience,66.22,27-Sep-2016,Travel,Home to office - September 2016
Director of Operations,37.18,27-Sep-2016,Travel,Home to office - September 2016
Head of Fire Safety,3.96,27-Sep-2016,Travel,BHQ - Hilton Hotels Group Watford - BHQ
Head of Strategy and Inclusion,38.00,28-Sep-2016,Travel Expense,Visit to Tamworth for CFOA National Operations Committee
Head of Strategy and Inclusion,7.40,28-Sep-2016,Travel Expense,Taxi from Tamworth station to CFOA offices for National Operations Committee
Head of Strategy and Inclusion,7.80,28-Sep-2016,Travel Expense,Taxi from CFOA offices to Tamworth station for National Operations Committee
Director of Operations,2.75,28-Sep-2016,Travel,BASE - BHQ - STRATFORD FS - BASE (REGULAR GMs MEETING)
Head of Operational Resilience,38.00,28-Sep-2016,Travel Expense,Train from London to Tamworth travelling to CFOA National Ops Committee
Head of Operational Resilience,7.80,28-Sep-2016,Travel Expense,Taxi from station to CFOA HQ for National Ops Committee meeting
Director of Safety and Assurance,63.58,29-Sep-2016,Travel,Home to office - September 2016
Head of Fire Stations,33.15,29-Sep-2016,Travel,Home to office - September 2016
Director of Operations,2.31,29-Sep-2016,Travel,BASE - BHQ - CITY HALL - BASE (AUTHORITY MEETING)
Head of Operational Resilience,108.62,30-Sep-2016,Travel Expense,"Eurostar caught earlier train back from Brussels attending  meeting 

additional cost required for ealier train"
Head of Fire Stations,1.04,30-Sep-2016,Travel,Standby base-H25-Standby base
Director of Operations,2.64,03-Oct-2016,Travel,BASE - BHQ - ST JAMES' - BASE (EMR WORKSTATION)
Head of Fire Stations,10.27,03-Oct-2016,Travel,Standby base-G30-Standby base (via A40/M25
Director of Operations,534.05,08-Oct-2016,Travel,"Travelling To:  London Heathrow Airport To Doha - Qatar
Reason For Travel: Represent LFBe at the Sport Is Great Mission
Travel Date: 08-10/11/2016
"
Head of Operational Response,0.44,11-Oct-2016,Travel,"HQ - Pratt Walk, Lambeth - HQ"
Head of Fire Stations,2.08,11-Oct-2016,Travel,Base-Mitcham FS-Base
Director of Operations,2.75,12-Oct-2016,Travel,BASE - BHQ - QUEEN ELIZABETH PARK - BASE (MAJOR EVENTS INTERNATIONAL SUMMIT)
Head of Fire Stations,4.94,13-Oct-2016,Travel,Standby base-Wembly FS-Standby base
Director of Operations,2.64,14-Oct-2016,Travel,BASE - BHQ - ST JAMES' - BASE (CONCILIATION)
Head of Operational Response,6.49,15-Oct-2016,Travel,H - IG6 3HD - H
Head of Fire Safety,3.96,15-Oct-2016,Travel,Home to office - October 2016
Director of Operations,3.19,16-Oct-2016,Travel,BASE - HEATHROW AIRPORT (EXTERNAL CONFERENCE DUBAI)
Director of Operations,70.00,16-Oct-2016,Travel,"On Site Parking At Heathrow Terminal 3 Airport
Reason For Travel: Attend And Speak At A Conference In Dubai On Behalf Of LFB Enterprises
TRAVEL DATE: 16-23/10/2016
"
Director of Operations,18.00,17-Oct-2016,Travel Expense,Taxi fron Dubai International Airport - Shang Ri La Hotel Dubai
Director of Operations,6.00,17-Oct-2016,Subsistence,Burger bar - Dubai
Director of Operations,7.00,17-Oct-2016,Subsistence,Subway - Dubai
Head of Operational Response,3.30,17-Oct-2016,Travel,H - LOC - H
Head of Operational Response,0.33,18-Oct-2016,Travel,HQ - A23
Head of Operational Response,5.00,18-Oct-2016,Travel Expense,trategic meeting - NCUG
Head of Operational Response,16.48,18-Oct-2016,Subsistence,Strategic Meeting - National Capita User Group meeting over evening meal
Director of Safety and Assurance,41.14,18-Oct-2016,Travel,Home to office - October 2016
Head of Operational Response,5.00,18-Oct-2016,Travel Expense,Liverpool Station to Premier Inn Hotel
Head of Operational Response,5.00,18-Oct-2016,Travel Expense,Strategic group meeting - NCUG
Head of Operational Resilience,41.36,19-Oct-2016,Travel,Home to office - October 2016
Head of Operational Response,13.00,19-Oct-2016,Travel Expense,National Capita User Group meeting
Head of Operational Response,13.00,19-Oct-2016,Travel Expense,National Capita User Group meeting
Head of Operational Response,6.30,19-Oct-2016,Subsistence,"Meal on train, due to late meeting, returning home at 2100 hours"
Director of Operations,6.00,19-Oct-2016,Subsistence,Subway - Dubai
Head of Operational Response,1.65,19-Oct-2016,Travel,A23 - H
Director of Operations,3.08,23-Oct-2016,Travel,HEATHROW AIRPORT - BASE (EXTERNAL CONFERENCE DUBAI)
Director of Operations,9.00,23-Oct-2016,Travel Expense,Taxi from Shang Ri La hotel - Dubai Internationaln Airport
Head of Operational Response,3.30,24-Oct-2016,Travel,H - LOC - H
Director of Operations,2.31,25-Oct-2016,Travel,BASE - BHQ - CITY HALL- BASE (30 &amp; 40 YEAR CEREMONY)
Head of Strategy and Inclusion,9.60,25-Oct-2016,Travel Expense,"Taxi to Local Government House, Smith Square for NJC Inclusion Working Group meeting"
Head of Strategy and Inclusion,7.40,25-Oct-2016,Travel Expense,"Taxi from Local Government House, Smith Square for NJC Inclusion Working Group meeting"
Director of Operations,23.43,28-Oct-2016,Travel,Home to office - October 2016
Head of Fire Stations,32.11,31-Oct-2016,Travel,Home to office - October 2016
Director of Operations,2.64,31-Oct-2016,Travel,BASE - BHQ - ST JAMES' - BASE (CONCILIATION)
Head of Operational Response,1.54,03-Nov-2016,Travel,HQ -H22 - H
Head of Operational Policy,466.85,06-Nov-2016,Travel,"Travelling To: Changi Singapore
Travel Date: Outbound 6/11/16 Return 13/11/16
 Reason For Travel: To Attend The Singapore Global Fire Fighter And Paramedic Challenge 2016
"
Head of Operational Resilience,2.86,07-Nov-2016,Travel,BASE - BECKTON TRAINING - BASE 
Head of Operational Response,5.00,08-Nov-2016,Travel Expense,Newcastle Station to Hotel
Head of Operational Response,16.48,08-Nov-2016,Subsistence,Pizza Hut Newcastle - BAPCO Conference
Director of Operations,12.00,08-Nov-2016,Travel Expense,Taxi from Qatar International Airport - Four Seasons Hotel Qatar
Director of Operations,6.60,08-Nov-2016,Subsistence,Breakfast at Heathrow Airport.
Director of Operations,26.00,08-Nov-2016,Travel Expense,Visa to enter Qatar
Head of Fire Safety,3.60,09-Nov-2016,Travel,BHQ - Sandilands Croydon - Home
Head of Operational Response,16.48,09-Nov-2016,Subsistence,Akbar's Necastle - BAPCO conference
Head of Operational Response,5.25,10-Nov-2016,Subsistence,Lunch in Newcastle - BAPCO conference
Head of Operational Response,13.43,10-Nov-2016,Subsistence,"Evening meal - Newcastle, following BAPCO conference"
Director of Operations,11.00,10-Nov-2016,Travel Expense,Taxi from Four Seasons Hotel Qatar - Doha International Airport
Head of Operational Response,8.80,11-Nov-2016,Subsistence,Lunch at Newcastle Station (Travelling Newcastle to Durham)
Head of Operational Response,5.00,11-Nov-2016,Travel Expense,Hotel to Necastle Station
Head of Operational Response,5.00,11-Nov-2016,Travel Expense,Durham Station to Hotel - For Remembrance events
Head of Operational Response,8.80,12-Nov-2016,Subsistence,Lunch in Durham - Festival of Remembrance
Head of Operational Response,16.15,12-Nov-2016,Subsistence,Evening meal in Durham - after Festival of Remembrance
Head of Operational Response,6.50,13-Nov-2016,Travel Expense,Hotel to Durham Station
Head of Operational Response,18.00,13-Nov-2016,Travel Expense,Kings Cross Station to HQ (with 2 large bags and LFB standard)
Director of Operations,2.31,13-Nov-2016,Travel,BASE - LAMBETH FS - BASE (REMEMBRANCE SERVICE)
Head of Operational Policy,3.85,14-Nov-2016,Travel,B-Plaistow-HQ
Commissioner,55.75,17-Nov-2016,Travel,"Travel to Birmingham New Street  from London Euston (return) to attend the Greenfleet Awards with Procurement Team, Nicol Thornton and Sue Budden "
Commissioner,91.99,17-Nov-2016,Accommodation,"Overnight accommodation at Premier Inn, Birmingham after attendance at the Greenfleet Awards. "
Head of Operational Response,7.04,18-Nov-2016,Travel,H - LOC - Surrey HQ - H
Head of Fire Stations,6.50,20-Nov-2016,Travel,Standby base-15PF Holloway Lane-Standby base
Head of Operational Response,7.37,21-Nov-2016,Travel,H - Beckton - H
Director of Operations,2.31,22-Nov-2016,Travel,BASE - BHQ - CITY HALL - BASE (20 YEAR AWARD CEREMONY)
Head of Operational Response,3.30,23-Nov-2016,Travel,H - LOC - H
Director of Operations,2.31,24-Nov-2016,Travel,BASE - BHQ - CITY HALL - BASE (AUTHORITY MEETING)
Director of Operations,0.66,25-Nov-2016,Travel,BASE - PLAISTOW FS - BASE (MEET UAE DELEGATES)
Head of Operational Response,3.30,25-Nov-2016,Travel,H - LOC - H
Head of Operational Resilience,11.88,25-Nov-2016,Travel,BASE - LOC MERTON EXERCISE - BASE 
Head of Fire Safety,11.16,25-Nov-2016,Travel,Home to office - November 2016
Director of Operations,9.90,28-Nov-2016,Travel,BASE - FROGS HALL THELNETHAM - BASE (WELFARE VISIT)
Head of Operational Policy,26.62,29-Nov-2016,Travel,B-Merseyside
Head of Operational Policy,72.00,29-Nov-2016,Accommodation,"Event: National Working Group
 
Destination: Novotel Liverpool
"
Head of Operational Policy,5.50,29-Nov-2016,Travel Expense,Midland Expressway to attend Merseyside for USAR NWG meeting.
Head of Operational Policy,16.48,29-Nov-2016,Subsistence,Evening meal in Merseyside ahead of the USAR NWG
Head of Operational Resilience,63.91,29-Nov-2016,Travel,Home to office - November 2016
Director of Operations,30.47,29-Nov-2016,Travel,Home to office - November 2016
Head of Fire Stations,53.43,30-Nov-2016,Travel,Home to office - November 2016
Head of Operational Policy,10.50,30-Nov-2016,Car Park,Car Park for Hotel in Merseyside while attending the USAR NWG
Head of Operational Policy,5.50,30-Nov-2016,Travel Expense,Midland Expressway to attend Merseyside for USAR NWG meeting.
Head of Operational Policy,26.62,30-Nov-2016,Travel,Merseyside-B
Head of Operational Response,0.44,30-Nov-2016,Travel,HQ - SE1 2BP - HQ
Director of Operations,2.31,30-Nov-2016,Travel,BASE - BHQ - DOCKHEAD FS - BASE (RE-OPENING FIRE STATION)
Head of Operational Policy,3.30,01-Dec-2016,Travel,"HQ-Damyns Hall, Upminster"
Head of Operational Response,2.53,01-Dec-2016,Travel,H - LOC - HQ
Head of Fire Stations,4.16,01-Dec-2016,Travel,Base-Beckton TC-Base
Head of Operational Policy,3.96,02-Dec-2016,Travel,HQ-Lambeth-B
Director of Operations,2.64,02-Dec-2016,Travel,BASE - BHQ - GREAT GEORGE STREET - ST THOMAS' HOSPITAL - BASE (FIRE AND EMERGENCY AWARDS AND EVELINA ZIP LINE)
Head of Operational Policy,3.74,05-Dec-2016,Travel,B-Stratford-HQ
Head of Operational Response,3.30,05-Dec-2016,Travel,H - Henley Business School
