Ref No,Contract Title,Directorate,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
5642,Fired-Up Framework Agreement - Supply of Vehicle Telematics Hardware and Software,Corporate Services,Procurement,Leavers,Abigail Semple,Gillian Maxwell,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 20,000,000","£ 20,000,000",£ 0,48,No,No,Committee Decision,Framework Agreement with Single Operator,07/11/2014,07/11/2018,,, Airwave Solutions Ltd. 
5648,Childcare Vouchers,Corporate Services,People Services,HR Advice & Employee Relations,Colman Donnelly,Dean Kinsella,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Committee Decision,HTE Europe ,08/11/2014,07/11/2018,,, EdenRed UK Group
5643,Fired-Up Framework Agreement - Supply of Equipment Tagging System,Corporate Services,Procurement,Leavers,Abigail Semple,Robert Fisher,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 20,000,000","£ 20,000,000",£ 0,48,No,No,Committee Decision,Framework Agreement with Single Operator,07/11/2014,07/11/2018,,, JV Facility Ltd. 
5764,Replacement of N-Shield Connect,Corporate Services,Information and Communications Technology ,Server,Adrian Stewart,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 28,000","£ 28,000",£ 0,36,No,No,Head of Procurement approval for single tender action,,16/11/2015,16/11/2018,,, Thales E-Security
6259,Fire Safety Qualifications,Operations,Fire Safety (Regulatory and Community),FSR Learning,Susan Naylor,Brigitte De Shong,No,No,Yes,No,Goods/Service,Expenditure,"£ 85,000","£ 85,000",£ 0,7,No,No,Head of Procurement approval for single tender action,,01/05/2018,01/12/2018,,, Fire Service College
6002,ICT Training Passport,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Robert Fisher,No,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 25,000",£ 0,48,No,No,Budget Holder Approval,TfL 90805 Desktop and Specialist IT,01/12/2017,01/12/2018,,, QA Ltd
5621,Provision of merchandising and promotional items,Corporate Services,Communications,Leavers,Emma Francis,Anouska Herman,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 120,000","£ 120,000",£ 0,48,No,No,Committee Decision,,15/12/2014,14/12/2018,,, Supplies Team
5732,Provision of Security Services,Corporate Services,Technical and Support Services,Estates & Major Works,Paul Greenwood,Michael McCarthy,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 640,000","£ 640,000",£ 0,36,No,No,Delegated Authority,CCS Framework 1056,01/01/2016,31/12/2018,,, Mitie Security Limited 
5739,Lone Worker Protection Services,Operations,Fire Safety (Regulatory and Community),FSR Policy Team,Philip Skelton,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 50,000","£ 80,000","(£ 30,000)",36,No,No,Budget Holder Approval,,04/01/2016,04/01/2019,,, Skyguard Limited
6095,Business Administration Apprenticeship Training ,Safety and Assurance,Training and Professional Development,Cultural Change,Damian Candish,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,12,No,No,Delegated Authority,TFL 93582,08/01/2018,08/01/2019,,, Outsource Training Ltd
5668,Fuel Cards and Associated Services Framework Agreement RM1027,Corporate Services,Procurement,Contracts Management Group,David Catchpole,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 4,000,000","£ 4,000,000",£ 0,48,No,No,Committee Decision,CCS Framework (CCS ran call off competition),17/01/2015,16/01/2019,,, ALLSTAR BUSINESS SOLUTIONS Ltd
5631,De-polluted cars,Corporate Services,Procurement,Corporate Procurement Services,Gillian Maxwell,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,£ 0,£ 0,48,No,No,Budget Holder Approval,,01/02/2015,31/01/2019,,, E&SB Davis
6142,Provision of Black Workwear Jackets for Senior Officers,Operations,Central Operations,Central Operations Team,Richard Tapp,Gillian Maxwell,No,No,Yes,No,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,12,No,No,Budget Holder Approval,,01/02/2018,01/02/2019,,, Burlington Uniforms
5571,Supply of ICT Hardware Support and Maintenance Services,Corporate Services,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 1,737,870","£ 1,500,000","£ 237,870",60,No,No,Committee Decision,GPS,28/02/2014,27/02/2019,,, Computacenter (UK) Ltd
5774,Audio and visual technical provision,Corporate Services,Communications,Ex temps (SPL ADMIN ONLY),Liz O'Hare,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 55,063","£ 50,000","£ 5,063",36,No,No,Delegated Authority,,01/03/2016,01/03/2019,,, CVS International 
6169,HR Systems support,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 10,442","£ 10,000",£ 442,12,No,No,Budget Holder Approval,,17/03/2018,17/03/2019,,, Reed Business
5982,Microsoft Premier Support,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,No,No,Yes,No,Goods/Service,Expenditure,"£ 55,000","£ 55,000",£ 0,12,No,No,Budget Holder Approval,,01/04/2017,31/03/2019,,, Microsoft
5749,Inspection of Fleet Vehicles,Corporate Services,Technical and Support Services,FLEET,Trevor Neal,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 140,000","£ 140,000",£ 0,36,No,No,Delegated Authority,,01/04/2016,01/04/2019,,, Applus Car Testing Service Ltd
6135,Network monitoring software,Corporate Services,Information and Communications Technology ,Network,Thomas Mohan,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 47,467","£ 30,000","£ 17,467",12,No,No,Budget Holder Approval,Technology Products 2 Agreement RM3733 ,09/04/2018,09/04/2019,,, COMPUTACENTER (UK) Ltd 
5672,Mobile Data Terminals and Other Devices for Vehicles and Fire Appliances,Corporate Services,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,£ 0,"£ 2,540,000","(£ 2,540,000)",48,No,No,Committee Decision,"CCS Framework 
RM1054 Technology Products (Lot 1: Technology Hardware)",01/05/2015,30/04/2019,,," Specialist Computer Centres Plc, Insight Direct (UK) Ltd, ERGO Computing UK Ltd "
5581,Provision of anti-entanglement Breathing Apparatus cylinder covers,Corporate Services,Technical and Support Services,Protective Equipment Group,Geoffrey Avis,Samantha Groves,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 41,090","£ 49,000","(£ 7,910)",36,Yes,No,Budget Holder Approval,,01/05/2014,30/04/2019,30/04/2017,30/04/2019, Ulster Supported Employment Ltd
6197,Service Desk ITSM Tool,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,Yes,No,Goods/Service,Expenditure,"£ 90,560","£ 90,560",£ 0,12,No,No,Budget Holder Approval,Technology Products 2,01/05/2018,01/05/2019,,,Marval
6140,Provision of Visual and Audible Warning Equipment - Cars,Corporate Services,Procurement,Vehicle Administration,Floyd Phillip,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 15,800","£ 50,000","(£ 34,200)",36,No,No,Budget Holder Approval,,31/05/2018,30/05/2019,,, Redtronic
6048,Vehicle Glass Replacement & Repair,Corporate Services,Procurement,Vehicle Administration,Floyd Phillip,Hitesh Mistry,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 40,000","£ 40,000",£ 0,24,No,No,Budget Holder Approval,,01/06/2017,01/06/2019,,, Nationwide Windscreen Services
5840,Accident Reporting and Recording Software Replacment Provision  ,Safety and Assurance,Health and Safety,Health & Safety,Adrian Bevan,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 114,210","£ 30,000","£ 84,210",24,No,No,Delegated Authority,G Cloud 8 ,05/06/2017,05/06/2019,,, Rivo Software Limited 
6156,Legal/Loggist Training,Safety and Assurance,Operational Resilience and Special Operation,Emergency Planning,Alex Townsend-Drake,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 15,000","£ 5,000","£ 10,000",12,No,No,Budget Holder Approval,,11/06/2018,11/06/2019,,, David Burrows-Sutcliffe
6162,Staff Engagement Survey,Safety and Assurance,Strategy and Risk,Strategy Risk and Engagement,Regina Bonas,Remmy Kamya,No,No,Yes,No,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,15,No,No,Delegated Authority,TFL 91930 CPT Customer Research and Insight Services relating to Employee Research,26/03/2018,26/06/2019,,, ORC International
5870,Transcription Services,Corporate Services,Procurement,FSR Enforcement Group,Andrew Jack,Gillian Maxwell,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 6,000","£ 6,000",£ 0,36,No,No,Delegated Authority,TfL/91768 - Pan GLA Transcription and General Note Taking Services,01/07/2016,30/06/2019,,, WordWave International Ltd (T/A DTI)
6286,Executive search - Head of London Resilience,Corporate Services,People Services,HR Advice & Employee Relations,Tracey Dennison,Robert Fisher,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 23,500","£ 23,500",£ 0,12,No,No,Delegated Authority,Local Government Resourcing Partnership LGRP,19/07/2018,19/07/2019,,, Gatenbysanderson Limited
5850,Supply Of Planned And Reactive Grounds Maintenance Services,Corporate Services,Technical and Support Services,FM Service Delivery Team,Claire Page,Robert Fisher,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 586,660","£ 480,000","£ 106,660",36,No,No,Committee Decision,MOPAC- Building and Facilities Management Services ,01/08/2016,31/07/2019,,, G. Burley & Sons Limited.
5851,Provision Of Inspection And Maintenance And Occasional Supply Of Gym Equipment,Corporate Services,Technical and Support Services,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 352,686","£ 450,000","(£ 97,314)",36,No,No,Committee Decision,MOPAC Miscellaneous repair and maintenance services,01/08/2016,01/08/2019,,, Sportsafe U.K Ltd
5930,SafeEnd security renewal,Corporate Services,Information and Communications Technology ,Security,Ashley Woodhams,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 11,419","£ 15,000","(£ 3,581)",32,No,No,Budget Holder Approval,,31/12/2016,31/08/2019,,, Capita
5754,Cleaning Consumables,Corporate Services,Procurement,Corporate Procurement Services,Robert Fisher,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 610,000","£ 610,000",£ 0,46,No,No,Delegated Authority,LCSG Framework Agreement for the Porvision of Cleaning Materials and Janitorial Products ,14/11/2016,31/08/2019,,, Greenham 
5860,Provision of aerial photography for use in brigade mapping applications,Corporate Services,Information and Communications Technology ,System Support & Improvement,Ramon Hooper,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 23,850","£ 30,000","(£ 6,150)",36,No,No,Budget Holder Approval,,01/09/2016,01/09/2019,,, Getmapping plc
6066,e-disclosure services,Corporate Services,General Counsel,Corporate & Commercial,Thomas Davies,Robert Fisher,No,No,Yes,No,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,24,No,No,Delegated Authority,,11/09/2017,11/09/2019,,, PA Consulting Services Limited
6069,Supply of Diesel for Strategic Reserve Storage Tanks,Corporate Services,Procurement,Corporate Procurement Services,Robert Fisher,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,24,No,No,Delegated Authority,National Fuels Framework,01/10/2017,30/09/2019,,, WFL (UK) Ltd t/a Hall Fuels
6070,Supply of Marine Fuel ,Corporate Services,Procurement,Corporate Procurement Services,Robert Fisher,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,24,No,No,Delegated Authority,National Fuels Framework,01/10/2017,01/10/2019,,, Certas Energy UK Ltd
5854,Supply Of Cleaning Services,Corporate Services,Technical and Support Services,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 6,578,895","£ 5,700,000","£ 878,895",36,No,No,Committee Decision,MOPAC- Building and Facilities Management Lot 1 ,08/10/2016,09/10/2019,,, Interserve (Facilities Management) Ltd
5893,Drugs and Alcohol screening,Corporate Services,People Services,HR Advice & Employee Relations,Colman Donnelly,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,36,No,No,Delegated Authority,,01/11/2016,31/10/2019,,, Alere Toxicology PLC
6124,Provision of Chilled Mains Drinking Water Dispenser Services,Corporate Services,Technical and Support Services,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 39,000","£ 39,000",£ 0,36,No,No,Delegated Authority,ESPO Water Coolers ,31/10/2017,31/10/2019,,, Water Coolers Limited 
5906,audience response system,Safety and Assurance,Operational Policy,Redbridge (Team),Frazer Ferguson,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 9,750","£ 9,750",£ 0,36,No,No,Budget Holder Approval,,01/11/2016,01/11/2019,,, Qwizdom UK Ltd
5835,Hyperconverged Infrastructure,Corporate Services,Information and Communications Technology ,ICT Management,Christopher Yiangou,Gillian Maxwell,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 377,185","£ 300,000","£ 77,185",36,No,No,Budget Holder Approval,,14/11/2016,14/11/2019,,, XMA Limited
5999,SharePoint Platform Support,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 147,876","£ 60,000","£ 87,876",12,No,No,Budget Holder Approval,Gcloud 9,20/11/2017,20/11/2019,,, Silversands Limited
6050,Staff Health Check survey,Safety and Assurance,Strategy and Risk,Strategy Risk and Engagement,Regina Bonas,Anouska Herman,No,No,Yes,No,Goods/Service,Expenditure,"£ 40,000","£ 40,000",£ 0,24,No,No,Delegated Authority,,20/11/2017,20/11/2019,,,Soden Construction Group
5660,Undress Uniform: Blue Shirts,Corporate Services,Procurement,Corporate Procurement Services,Gillian Maxwell,Gillian Maxwell,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,60,No,No,Head of Procurement approval for single tender action,,01/12/2014,30/11/2019,,, Burlington Uniforms Ltd
5935,Trend ScanMail for MS Exchange Suite Licence,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 13,789","£ 13,789",£ 0,12,No,No,Budget Holder Approval,RM3733 Technology Products 2,01/12/2016,01/12/2019,,, Phoenix
5923,Trainee Firefighter Assessment and Selection (Initial Sift),Corporate Services,People Services,Talent & Recruitment,Thomas Houghton,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 36,900","£ 36,000",£ 900,36,No,No,Budget Holder Approval,,15/12/2016,14/12/2019,,, Assessment and Development Consultants 
6073,"Project Manager, Quantity Surveyor and Contract Administrator Duties on IELP Project",Corporate Services,Technical and Support Services,Estates & Major Works,Rupert Palmer,Michael McCarthy,No,No,Yes,No,Goods/Service,Expenditure,"£ 136,762","£ 150,000","(£ 13,238)",29,No,No,Committee Decision,,03/10/2017,31/12/2019,,, Burke Hunter Adams 
6137,NEC3 Licence Agreement ,Corporate Services,Procurement,Corporate Procurement Services,Michael McCarthy,Not allocated,,No,Yes,No,Goods/Service,Expenditure,"£ 1,900","£ 1,900",£ 0,24,No,No,Delegated Authority,TFL NEC Licence Agreement ,03/01/2018,02/01/2020,,, NEC (Thomas Telford) 
5924,Replacement/Upgrade of network security products,Corporate Services,Information and Communications Technology ,Network,Thomas Mohan,Joseph Newton,No,No,Yes,No,Goods/Service,Expenditure,"£ 508,176","£ 500,000","£ 8,176",36,No,No,Budget Holder Approval,,01/02/2017,01/02/2020,,, Bramble CC
6114,Training - Fire Investigation Qualification,Operations,Fire Safety (Regulatory and Community),FSR Learning,Susan Naylor,Gillian Maxwell,No,No,Yes,No,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,24,No,No,Head of Procurement approval for single tender action,,01/02/2018,01/02/2020,,, Gardiner Associates Training and Research Ltd
5959,Citrix Renewal,Corporate Services,Information and Communications Technology ,ICT Management,Christopher Yiangou,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 465,000","£ 150,000","£ 315,000",36,No,No,Delegated Authority,Technology Products 2,01/02/2017,01/02/2020,,, Insight Direct
5979,Citrix – License Increase for email,Corporate Services,Information and Communications Technology ,ICT Management,Christopher Yiangou,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 43,000","£ 43,000",£ 0,24,No,No,Budget Holder Approval,,13/03/2017,01/02/2020,,, Insight Direct (UK) Limited
5920,Replacement ICT Password Safe,Corporate Services,Information and Communications Technology ,Security,Ashley Woodhams,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 80,000","(£ 55,000)",36,No,No,Budget Holder Approval,,01/02/2017,01/02/2020,,, Thycotic
5971,Cardinus Risk Management,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 30,000","£ 30,000",£ 0,36,No,No,Budget Holder Approval,TP2,03/02/2017,03/02/2020,,, Cardinus
6017,LFB Training Centre - Communications Consultant,Corporate Services,Technical and Support Services,Property Supply Chain Management,Rupert Palmer,Michael McCarthy,No,No,Yes,No,Goods/Service,Expenditure,"£ 39,662","£ 20,000","£ 19,662",33,No,No,Committee Decision,,08/06/2017,08/03/2020,,, SP Broadway Ltd  
6025,Supply of Electricity and Ancilliary Services,Corporate Services,Technical and Support Services,FM Service Delivery Team,Lloyd Bentley,Gillian Maxwell,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,60,No,No,Delegated Authority,CCS ,01/04/2016,31/03/2020,,, EDF Energy
5937,Mobile Telephony,Corporate Services,Information and Communications Technology ,ICT Management,Julian Martin,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 486,816","£ 100,000","£ 386,816",24,No,No,Budget Holder Approval,,01/04/2018,31/03/2020,,, vodafone
6031,Aztec - Support Contract,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,Yes,No,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,36,No,No,Delegated Authority,,01/04/2017,01/04/2020,,, Aztec
5873,Provision of Catering Services,Corporate Services,Technical and Support Services,Property Supply Chain Management,Paula Taylor,Gillian Maxwell,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 200,000","£ 200,000",£ 0,36,No,No,Budget Holder Approval,RM1056,01/04/2017,01/04/2020,,, ESS Government Services
6120,E-Tendering Software,Corporate Services,Procurement,Corporate Procurement Services,Gillian Maxwell,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,24,No,No,Budget Holder Approval,TBC,01/04/2018,01/04/2020,,, EU Supply
6091,Visualfiles Annual Maintenance Agreement ,Corporate Services,General Counsel,Legal Services Management & Business Support,Christopher Marshall,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 44,787","£ 44,787",£ 0,36,No,No,Delegated Authority,,01/04/2017,01/04/2020,,, LexisNexis 
5986,Moore Stephens Application Support,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 626,806","£ 626,806",£ 0,36,No,No,Budget Holder Approval,,01/04/2017,01/04/2020,,, Moore Stephens LLP
5785,Provision of Medical Consumables,Corporate Services,Procurement,Corporate Procurement Services,Gillian Maxwell,Anouska Herman,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 200,000","£ 200,000",£ 0,48,No,No,Delegated Authority,"NATIONAL SUPPLY & DELIVERY OF FIRST AID & PHARMACEUTICALS, EMERGENCY LIFE SUPPORT & TRAINING EQUIPMENT AND ASSOCIATED PRODUCTS",11/04/2016,10/04/2020,,, Aero Healthcare Limited 
5839,Supply of Stationery,Corporate Services,Procurement,Corporate Procurement Services,Gillian Maxwell,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,36,No,No,Delegated Authority,CCS RM3703,17/04/2017,17/04/2020,,, Banner Group
6029,Assessment Management Tool,Corporate Services,People Services,Training Assurance,Kelly Knight,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 29,680","£ 35,000","(£ 5,320)",25,No,No,Budget Holder Approval,G-cloud 9,26/02/2018,22/04/2020,,, Skillset Ltd
6006,Esri Gazetteer Support,Corporate Services,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 65,000","£ 65,000",£ 0,36,No,No,Budget Holder Approval,,01/05/2017,01/05/2020,,, ESRI Ltd
5719,Re-development of 8 Albert Embankment,Corporate Services,Technical and Support Services,Estates & Major Works,Rupert Palmer,Michael McCarthy,No,Yes,Yes,No,Works,Income,"£ 67,000,000","£ 50,000,000","£ 17,000,000",45,No,No,Committee Decision,,24/08/2016,24/05/2020,,, U and I Group PLC 
5723,Agreement for the Supply of Electronic Office Supplies ,Corporate Services,Procurement,Leavers,Keith Cook,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 228,000","£ 344,000","(£ 116,000)",48,No,No,Budget Holder Approval,LCSG,31/05/2016,31/05/2020,,, Supplies Team T/A Banner
5804,Chemical Protection Suits,Safety and Assurance,Operational Policy,Hazmat & Incident Comms Policy,Anthony Farrant,Gillian Maxwell,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,48,No,No,Budget Holder Approval,CFR1008/CPC ,06/06/2016,06/06/2020,,, Respirex International Ltd
5925,Multi Function Devices,Corporate Services,Information and Communications Technology ,ICT Management,Julian Martin,Hitesh Mistry,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 115,000","£ 115,000",£ 0,36,No,No,Budget Holder Approval,"Multifunctional Devices, Managed Print and Content Services and Records and Information Management",30/06/2017,30/06/2020,,, Canon
5886,Provision of Insurance Broking Services,Corporate Services,Finance,Accountancy & Treasury,Peter Risby,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 26,500","£ 45,000","(£ 18,500)",36,No,No,Delegated Authority,,01/07/2017,01/07/2020,,, Arthur J. Gallagher Insurance Brokers Limited
6067,Netcall Upgrade (telephony),Corporate Services,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 87,000","£ 87,000",£ 0,36,No,No,Budget Holder Approval,,25/07/2017,25/07/2020,,, Netcall Telecom Limited
5843,Project Manager and QS / Cost Consultancy Services for Third Training Centre,Corporate Services,Technical and Support Services,Property Supply Chain Management,Rupert Palmer,Michael McCarthy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 190,000","£ 190,000",£ 0,48,No,No,Budget Holder Approval,NHS Construction Consultancy Framework,17/08/2016,17/08/2020,,, PICK EVERARD
