Ref No,Contract Title,Department,OJEU,Awarded,Has ext option,Expired,Service Type,Actual Cost,Duration  (months),Extended,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Actual exp date,Contracts awarded to
5914,Bromley Fire Station - Yard Gates and Perimeter Fencing,Technical and Service Support,No,Yes,No,No,Works,"£ 74,188",4,No,,09/01/2017,09/05/2017,,,, B.Nokes Contracts Ltd
5913, Leyton Fire Station - Roof Upgrade,Technical and Service Support,No,No,No,No,Works,,2,No,,,,,,,
5912,Trainee Firefighter Recruitment - Attraction ,Human Resources Management,No,No,No,No,Goods/Service,,2,No,,,,,,,
5911,Logistics Consultancy,Technical and Service Support,No,Yes,No,No,Goods/Service,"£ 32,000",3,No,,14/11/2016,14/02/2017,,,, Davies & Robson Logistics Ltd  
5910,Museum Consultancy Services,Communications,No,No,No,No,Goods/Service,,4,No,,,,,,,
5909,Bromley Fire Station – Replacement Heating System,Technical and Service Support,No,Yes,No,No,Works,"£ 339,286",3,No,,04/01/2017,04/04/2017,,,, Purdy Contracts Ltd
5908,Poplar Fire Station – Rewire,Technical and Service Support,No,Yes,No,No,Works,"£ 208,637",3,No,,04/01/2017,04/04/2017,,,, Morrissey Electrical & Building Ltd
5907,Event Management,Strategy and Inclusion,No,Yes,No,No,Goods/Service,"£ 15,000",2,No,,07/11/2016,07/01/2017,,,, Story Events Ltd
5906,audience response system,Operations Directorate,No,Yes,No,No,Goods/Service,"£ 9,750",36,No,,01/11/2016,01/11/2019,,,, Qwizdom UK Ltd
5905,Provision of Undress Uniform,Procurement,Yes,No,No,No,Goods/Service,,12,No,,,,,,,
5904,"Interim Maintenance of Powered and Manually Operated Appliance Bay Doors, Roller Shutters, Tower Grilles/Shutters and Rear gates. ",Technical and Service Support,Yes,No,No,No,Goods/Service,,6,No,,,,,,,
5903,"Support Maintenance Contract for AIUS, CMS,CMS Bulk Document Uploader, Mobile Data Communications Gateway, VMDS, VMDS Comms, GPS and Multiple Callsigns ",Information and Communications Technology ,Yes,Yes,No,No,Goods/Service,"£ 564,705",36,No,,03/08/2014,03/08/2017,,,, Airbus Defence and Space 
5902,Real Fire Training Venue Specialist,Technical and Service Support,No,No,No,No,Goods/Service,,0,No,,,,,,,
5901,Provision of extended duration breathing aspparatus (EDBA) cylinders ,Technical and Service Support,Yes,No,No,No,Goods/Service,,0,No,,,,,,,
5898,Brigade Wide Premises Condition Surveys ,Technical and Service Support,No,No,No,No,Goods/Service,,4,No,,,,,,,
5897, Sidcup Fire Station – Watchroom Relocation ,Technical and Service Support,No,Yes,No,No,Works,"£ 55,715",2,No,,04/01/2017,04/03/2017,,,, B Nokes Contracts Ltd
5896,New Malden FS – Heating Upgrade,Technical and Service Support,No,Yes,No,No,Works,"£ 210,136",3,No,,28/11/2016,28/02/2017,,,, Purdy Contracts Ltd
5895,Trainee Firefighter Selection and Assessment,Human Resources Management,No,Yes,No,No,Goods/Service,"£ 25,000",4,No,,03/10/2016,03/02/2017,,,, Helen Bartimote Consulting 
5894,Design Team Services - Third Training Centre,Technical and Service Support,No,No,No,No,Goods/Service,,45,No,HCA Multi-Disciplinary Panel,22/11/2016,31/03/2017,,,,
5893,Drugs and Alcohol screening,Human Resources Management,No,Yes,Yes,No,Goods/Service,"£ 10,000",48,No,,01/11/2016,01/11/2020,,,, Alere Toxicology PLC
5892,NOGP - new website and online database,Strategy and Inclusion,No,No,No,No,Goods/Service,,18,No,,,,,,,
5891,Software Support Services Agreement ,Information and Communications Technology ,No,Yes,No,Yes,Goods/Service,"£ 167,000",36,No,,19/11/2008,19/11/2011,,,18/11/2011,
5890,Maintenance Agreement for AudioNet Digital recording System ,Information and Communications Technology ,No,Yes,No,Yes,Goods/Service,"£ 2,954",12,No,,16/11/2011,16/11/2011,,,16/11/2012,
5889,Hardware Support and Maintenance Agreement ,Information and Communications Technology ,No,Yes,No,Yes,Goods/Service,"£ 5,145",12,No,,23/05/2012,23/05/2012,,,23/05/2013, Specialist Computer Centre 
5888,Training Delivery Programme Application,Information and Communications Technology ,No,Yes,No,Yes,Goods/Service,"£ 147,155",13,No,,20/06/2011,20/07/2012,,,03/07/2012, QA Ltd
5887,Skills Licence Application ,Information and Communications Technology ,No,Yes,No,Yes,Goods/Service,"£ 147,155",13,No,,22/06/2011,05/07/2012,,,05/07/2012, QA Ltd
5886,Provision of Insurance Broking Services,Finance,No,No,No,No,Goods/Service,,36,No,,,,,,,
5885,Provision of PPE,Procurement,Yes,No,No,No,Goods/Service,,96,No,Kent PPE Framework,,,,,,
5884,Provision of Property and Estates Management Services,Technical and Service Support,Yes,No,No,No,Goods/Service,,60,No,,,,,,,
5883,Hazmat National Operational Guidance Specialist Advisor,Strategy and Inclusion,No,No,No,No,Goods/Service,,12,No,,,,,,,
5881,BT Connectivity To Cloud,Information and Communications Technology ,No,No,No,No,Goods/Service,,12,No,,,,,,,
5880,Procurement Consultancy Support,Procurement,No,No,No,No,Goods/Service,,0,No,Consultancy One,,,,,,
5879,Website Re-Design,Communications,Yes,Yes,No,No,Goods/Service,"£ 250,000",24,No,Digital Marketplace ,01/11/2016,01/11/2018,,,, E3 Ltd
5878,Chelsea Fire Station – Concrete Repair Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 33,498",1,No,,26/09/2016,21/10/2016,,,21/10/2016, Collins Contractors Ltd
5877,Provision & Installation of Replacement Condenser Coils & Chiller Refurbishment @ Union Street LFB HQ,Technical and Service Support,No,Yes,No,No,Works,"£ 222,852",1,No,,06/03/2017,06/04/2017,,,, H & V Building Services Ltd
5876,Chingford Fire Station - Roof Upgrade,Technical and Service Support,No,Yes,No,No,Works,"£ 120,857",2,No,,07/11/2016,07/01/2017,,,, Heartfelt Roofing
5875,Egress encypted solutions,Information and Communications Technology ,No,No,No,No,Goods/Service,,36,No,,,,,,,
5874,Esteem support,Information and Communications Technology ,No,No,No,No,Goods/Service,,12,No,,,,,,,
5873,Provision of Catering Services,Technical and Service Support,No,No,No,No,Goods/Service,,36,No,RM1056,,,,,,
5871,Control Monitor Arms,Operational Response,No,Yes,No,Yes,Goods/Service,"£ 14,035",0,No,,20/07/2016,20/07/2016,,,20/07/2016," Misco Ltd, SCC"
5870,Transcription Services,Procurement,No,Yes,Yes,No,Goods/Service,"£ 6,000",36,No,TfL/91768 - Pan GLA Transcription and General Note Taking Services,01/07/2016,30/06/2019,,,, WordWave International Ltd (T/A DTI)
5869,ICT security testing and consultancy call off contract,Information and Communications Technology ,No,No,No,No,Goods/Service,,36,No,,,,,,,
5868,Non Emergency Telephony System,Information and Communications Technology ,No,Yes,No,No,Goods/Service,"£ 276,454",12,No,RM1045 Network Services,08/07/2016,08/07/2017,,,, Unify Enterprise Communications Ltd
5867,The supply of Printing Services for Operational Readiness Board System,Communications,No,Yes,No,No,Goods/Service,"£ 5,700",12,No,,01/09/2016,01/09/2017,,,, Elle Media Group 
5866,Fire Engineering Services,Fire Safety (Statutory and Community),No,Yes,No,Yes,Goods/Service,"£ 18,333",5,No,,01/07/2016,01/12/2016,,,01/12/2016, Brigly Fire Limited
5864,"Supply, delivery, collection, repair, maintenance, recycling and disposal of freezers and refrigerators",Procurement,No,No,No,No,Goods/Service,,36,No,,,,,,,
5863, Sidcup Fire Station – Replace Central Heating Boiler  ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 74,076",2,No,,25/07/2016,23/09/2016,,,23/09/2016, H&V Building Services Ltd
5862,Provision of Trade Refuse Managment Services,Technical and Service Support,No,Yes,Yes,No,Goods/Service,"£ 140,000",3,Yes,,01/06/2016,31/08/2016,31/12/2016,31/03/2017,, Biffa Group Llimited 
5861,Bromley Fire Station – Rewire ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 201,470",3,No,,15/08/2016,07/11/2016,,,07/11/2016, Morrissey Electrical & Building Ltd
5860,Provision of aerial photography for use in brigade mapping applications,Information and Communications Technology ,No,Yes,No,No,Goods/Service,"£ 23,850",36,No,,01/09/2016,01/09/2019,,,, Getmapping plc
5859,Maintenance Of LFEPA Building Fabric (General Building Works),Technical and Service Support,Yes,No,No,No,Goods/Service,,36,No,MOPAC Repair and maintenance services of building installations,,,,,,
5857,"Mechanical & Electrical, Plumbing and Fabric ",Technical and Service Support,Yes,No,No,No,Goods/Service,,36,No,MOPAC- Engineering Support Services Framework Lot 3,,,,,,
5855,"Framework for the Supply of Minor Works and Projects up to £150,000",Technical and Service Support,Yes,No,No,No,Goods/Service,,36,No,"Framework for the Supply of Minor Works and Projects up to £150,000",,,,,,
5854,Supply Of Cleaning Services,Technical and Service Support,Yes,Yes,Yes,No,Goods/Service,"£ 6,578,895",36,No,MOPAC- Building and Facilities Management Lot 1 ,08/10/2016,09/10/2019,,,, Interserve (Facilities Management) Ltd
5853,Supply Of Pest Control Services,Technical and Service Support,Yes,Yes,Yes,No,Goods/Service,"£ 267,043",36,No,MOPAC Building and Facilities Management Services- Lot 5,01/08/2016,01/08/2019,,,, Maintenance Associated Services Limited
5851,Provision Of Inspection And Maintenance And Occasional Supply Of Gym Equipment,Technical and Service Support,Yes,Yes,Yes,No,Goods/Service,"£ 352,686",36,No,MOPAC Miscellaneous repair and maintenance services,01/08/2016,01/08/2019,,,, Sportsafe U.K Ltd
5850,Supply Of Planned And Reactive Grounds Maintenance Services,Technical and Service Support,Yes,Yes,Yes,No,Goods/Service,"£ 586,660",36,No,MOPAC- Building and Facilities Management Services ,01/08/2016,01/08/2019,,,, G. Burley & Sons Limited.
5849,Provision Of Asbestos Management Services And Removal Works,Technical and Service Support,Yes,Yes,Yes,No,Goods/Service,"£ 842,314",36,No,MOPAC ,01/08/2016,01/08/2019,,,, Environtech
5848,"Supply Of Planned And Reactive Maintenance Services For Appliance Bay Doors, Gates, Barriers And Drill Tower Grills And Shutters",Technical and Service Support,Yes,Yes,Yes,No,Goods/Service,"£ 1,488,465",36,No,MOPAC- Engineering Support Services- Lot 2,01/08/2016,01/08/2019,,,, Total Support Services (Security) Limited
5846,Cloud Backup,Information and Communications Technology ,Yes,No,No,No,Goods/Service,,36,No,,,,,,,
5845,Park Royal CHP flood damaged repair.,Technical and Service Support,No,No,No,No,Works,,2,No,,,,,,,
5844,Sum Total Cyborg,Information and Communications Technology ,Yes,Yes,No,No,Goods/Service,"£ 509,539",60,No,,01/03/2016,01/03/2021,,,, SumTotal Systems UK Limited
5843,Project Manager and QS / Cost Consultancy Services for Third Training Centre,Technical and Service Support,No,Yes,Yes,No,Goods/Service,"£ 190,000",48,No,NHS Construction Consultancy Framework,17/08/2016,17/08/2020,,,, PICK EVERARD
5842,"Annual hosting, support and maintenance of the PMF system",Strategy and Inclusion,No,Yes,Yes,No,Goods/Service,"£ 10,000",24,No,,01/06/2016,01/06/2018,,,, 360 Systems Ltd
5841,169 Union Street - Shower Refurbishment,Technical and Service Support,No,Yes,No,Yes,Works,"£ 122,760",2,No,,01/08/2016,23/09/2016,,,12/10/2016, H&V Building Services Ltd
5840,Accident Reporting and Recording Software Replacment Provision  ,Health and Safety,No,No,No,No,Goods/Service,,24,No,,,,,,,
5839,Supply of Stationery,Procurement,No,No,No,No,Goods/Service,,48,No,LCSG Framework for Office Stationery,,,,,,
5838,Lewisham Fire Station – Fire Safety Works ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 140,630",2,No,,15/08/2016,15/10/2016,,,15/10/2016, Morrissey Electrical & Building Ltd
5837,"CGE Bowties XP, Incident and Audit",Strategy and Inclusion,No,No,No,No,Goods/Service,,0,No,,,,,,,
5836,Poplar Fire Station – Appliance Bay Doors Works,Technical and Service Support,No,Yes,No,No,Works,"£ 150,726",3,No,,19/09/2016,06/01/2017,,,, B Nokes Contracts Ltd 
5835,Hyperconverged Infrastructure,Information and Communications Technology ,Yes,Yes,No,No,Goods/Service,"£ 377,185",36,No,,14/11/2016,14/11/2019,,,, XMA Limited
5834,Poplar Fire Station – Removal of Asbestos Panels Above Appliance Bay Doors,Technical and Service Support,No,Yes,No,Yes,Works,"£ 12,105",1,No,,29/08/2016,16/09/2016,,,16/09/2016, Asbestos First Limited
5833,Windows 10 End-user Computing Gap Analysis,Information and Communications Technology ,No,Yes,No,No,Goods/Service,"£ 150,000",24,No,G Cloud 7,01/03/2016,01/03/2018,,,, Ultima Business Solutions Limited
5832,Facilities Management Contract for Regional Fire Control Centres,Technical and Service Support,No,Yes,Yes,No,Goods/Service,"£ 3,172,960",84,Yes,,01/04/2008,31/03/2015,31/08/2016,31/03/2017,, Babcock Civil Infrastructure Ltd
5830,Expert Witness for Service Issues ,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 30,000",6,No,,31/03/2016,30/09/2016,,,30/09/2016, Hoare Lea and Partners 
5829,Implementation of training review outcomes,Development and Training,No,Yes,No,Yes,Goods/Service,"£ 81,800",3,No,,23/05/2016,23/08/2016,,,23/08/2016, Oxford Consulting and Learning Ltd
5828,Purchase of 2 Lightweight Chemical Detector 3.3,Fire Stations,No,Yes,No,No,Goods/Service,"£ 15,582",3,No,,04/11/2016,04/02/2017,,,, Smiths Detection-Watford Ltd
5827,Purchase of Hazmat ID Elite,Fire Stations,No,No,No,No,Goods/Service,,48,No,,,,,,,
5825,THE PROVISION AND INSTALLATION OF REPLACEMENT BOILER SYSTEM AT HAMMERSMITH FIRE STATION,Technical and Service Support,No,Yes,No,Yes,Works,"£ 34,168",2,No,,09/05/2016,17/06/2016,,,17/06/2016, REAM Contracts
5824,Catering for EUR,Operational Policy,No,Yes,No,Yes,Goods/Service,"£ 21,738",1,No,,29/02/2016,04/03/2016,,,04/03/2016, Frendz Ltd t/a Trenchers Catering
5823,Union Street - Replacement battery cells for emergency lights,Technical and Service Support,No,Yes,No,Yes,Works,"£ 30,463",1,No,,14/04/2016,14/05/2016,,,14/05/2016, Merlin Electrical Services Ltd
5822,EUR Film,Operational Policy,No,Yes,No,Yes,Goods/Service,"£ 14,075",6,No,,29/02/2016,29/08/2016,,,29/08/2016, Takagari
5821,Audio / Visual Equipment Refresh - Union Street,Information and Communications Technology ,No,No,No,No,Goods/Service,,0,No,Technology Products 2 RM3733,,,,,,
5820,Hainault Fire Station – Removal of Asbestos Soffits to Main Station Roof,Technical and Service Support,No,Yes,No,Yes,Works,"£ 7,950",1,No,,01/06/2016,01/07/2016,,,01/07/2016, AA Woods
5819,Travel and Event Management for EUR,Operational Resilience,No,Yes,No,Yes,Goods/Service,"£ 34,482",2,No,,12/02/2016,02/04/2016,,,02/04/2016, Carlson Wagonlit UK Ltd
5818,Replacement upgrade CAM-C Macroface Control Board,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 10,788",2,No,,01/03/2016,30/04/2016,,,30/04/2016, Advanced Ergonomic Technologies Ltd
5817,Temporary Labour,Human Resources Management,Yes,Yes,No,No,Goods/Service,"£ 4,000,000",27,No,TfL/90747 Master Vendor for Supply of Temporary and Permanent Workers,01/02/2016,16/06/2018,,,, Hays Specialist Recruitment Ltd
5816,Southall Fire Station - Refurbishment of showers & BA Room,Technical and Service Support,No,No,No,No,Works,,1,No,,,,,,,
5815,Fire Engineering,Fire Safety (Statutory and Community),No,Yes,No,Yes,Goods/Service,"£ 11,000",3,No,,15/02/2016,14/05/2016,,,14/05/2016, Brigly Fire Limited
5814,Hire of Coaches,Operational Policy,No,Yes,No,Yes,Goods/Service,"£ 21,415",1,No,,22/02/2016,06/03/2016,,,06/03/2016, Coach Direct Ltd
5813,Feltham Fire Station kitchen ventilation system.,Technical and Service Support,No,Yes,No,Yes,Works,"£ 20,351",1,No,,16/05/2016,16/06/2016,,,16/06/2016, CK Direct (Peterborough) Ltd
5812,Northolt Fire Station kitchen supply and extract ventilation system  ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 20,544",1,No,,16/05/2016,16/06/2016,,,16/06/2016, CK Direct (Peterborough) Ltd
5811,Hainault Fire Station – Re-Roofing Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 192,255",2,No,,01/06/2016,13/07/2016,,,13/07/2016, Superior Roofing & Building Services 
5810,"Direct Access Appliance Hardware, Configuration & Support",Information and Communications Technology ,No,Yes,Yes,Yes,Goods/Service,"£ 29,630",36,No,,08/02/2016,08/02/2016,,,31/03/2016, Risual Limited
5806,Hammersmith replacement of VRF A/C System,Technical and Service Support,No,Yes,No,Yes,Works,"£ 24,960",1,No,,25/01/2016,15/02/2016,,,15/02/2016, Quantech Environmental Limited
5805,Homerton Fire Station - Roof Upgrade,Technical and Service Support,No,Yes,No,Yes,Works,"£ 181,106",2,No,,13/06/2016,13/08/2016,,,13/08/2016, Heartfelt Roofing
5804,Chemical Protection Suits,Operational Policy,Yes,Yes,No,No,Goods/Service,"£ 1,000,000",48,No,CFR1008/CPC ,06/06/2016,06/06/2020,,,, Respirex International Ltd
5803,New Malden Fire Station – Window Replacement Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 83,189",2,No,,06/06/2016,08/07/2016,,,08/07/2016, Euro Windows Ltd
5802,Cycle to Work Scheme,Human Resources Management,Yes,No,No,No,Goods/Service,,48,No,,,,,,,
5801,Homerton Fire Station – Yard Gate Motorisation Works ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 57,543",2,No,,31/03/2016,05/05/2016,,,05/05/2016, B.Nokes Contracts Ltd
5799,Stratford Fire Station – Fire Safety Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 80,043",3,No,,15/03/2016,20/05/2016,,,20/05/2016, Lindfield Electrical Services
5797,Replacement Ff Torches,Central Operations,No,Yes,No,No,Goods/Service,"£ 45,000",60,No,,22/07/2016,22/07/2021,,,, Wolf Safety Lamp Company Ltd
5796,FIRE Bag,Operational Policy,No,Yes,No,No,Works,"£ 32,976",60,No,,29/06/2016,29/06/2021,,,, First Products (Sussex) Limited
5795,Agreement for the supply of Public Consultation Analysis services,Communications,No,Yes,No,Yes,Goods/Service,"£ 9,775",1,No,,08/01/2016,08/02/2016,,,08/02/2016, Tonic Consultants Limited
5794,STRATFORD FS - THE REPLACEMENT OF HEATING BOILERS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 43,447",1,No,,15/02/2016,15/03/2016,,,15/03/2016, MOOLANDS Ltd
5793,GTS Disposal,Operational Policy,No,No,No,No,Goods/Service,,0,No,,,,,,,
5792,East Ham Fire Station - Combined Works,Technical and Service Support,No,Yes,No,Yes,Works,"£ 322,942",3,No,,21/03/2016,21/06/2016,,,21/06/2016, B Nokes Contracts Ltd
5791,Sidcup Fire Station – Appliance Bay Heating Control Works ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 12,917",1,No,,03/05/2016,24/05/2016,,,24/05/2016, Morrissey Electrical & Building Ltd
5788,Bespoke Software Delivery to London Situational Awareness Project,Operational Resilience,No,Yes,No,No,Goods/Service,"£ 94,500",24,No,G-Cloud 7,22/12/2015,22/12/2017,,,, GB3 Limited
5786,Battersea Fire Station - Automation of Gates,Technical and Service Support,No,Yes,No,Yes,Works,"£ 50,349",2,No,,04/07/2016,08/08/2016,,,08/08/2016, Frontier Pitts Ltd
5785,Provision of Medical Consumables,Procurement,Yes,Yes,No,No,Goods/Service,"£ 200,000",48,No,"NATIONAL SUPPLY & DELIVERY OF FIRST AID & PHARMACEUTICALS, EMERGENCY LIFE SUPPORT & TRAINING EQUIPMENT AND ASSOCIATED PRODUCTS",11/04/2016,10/04/2020,,,, Aero Healthcare Limited 
5784,Supply of Labtops and Tablet Devices,Information and Communications Technology ,No,Yes,No,No,Goods/Service,"£ 150,000",18,No,CCS RM1054 Technology Products,03/11/2016,03/05/2018,,,, Specialist Computer Centre PLC
5783,Tablet Devices for Fire Inspectors,Procurement,No,Yes,Yes,Yes,Goods/Service,"£ 110,790",3,No,,05/01/2016,05/04/2016,,,05/04/2016, HP Inc Limited
5782,"Supply of Zero Clients, Monitors and Service Wrap",Procurement,Yes,Yes,No,Yes,Goods/Service,"£ 601,450",6,No,Technology Product Framework RM1054 NFC25,17/12/2015,31/05/2016,,,31/05/2016, Kelway Ltd
5781,"Maintenance of high pressure breathable oxygen and air compressors, high pressure pipework and associated distribution systems ",Technical and Service Support,Yes,Yes,No,No,Goods/Service,"£ 175,000",60,No,,16/09/2016,16/09/2021,,,, Gas & Air Services (UK) Limited
5780,Provision of Gardner Denver Purifier Filter Cartridges ,Technical and Service Support,No,No,No,No,Goods/Service,,60,No,,,,,,,
5779,Provision and installation of a warm air Appliance Bay heating system at Homerton Fire Station,Technical and Service Support,No,Yes,No,Yes,Works,"£ 20,611",1,No,,08/02/2016,12/02/2016,,,12/02/2016, Moolands Ltd.
5778,Provision and installation of a warm air appliance bay heating system at Stoke Newington Fire Station,Technical and Service Support,No,Yes,No,Yes,Works,"£ 20,611",1,No,,27/01/2016,03/02/2016,,,03/02/2016, Moolands Ltd.
5777,PROVISION AND INSTALLATION OF DIRECT FIRED WATER HEATER SYSTEM AT WOODFORD FIRE STATION ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 26,241",1,No,,11/01/2016,22/01/2016,,,29/01/2016, Moolands Ltd.
5776,Bexley Fire Station - Electrical Adaptation Works ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 31,946",1,No,,07/03/2016,21/03/2016,,,21/03/2016, Lindfield Electrical Services
5775,SAN Disk expansion ,Information and Communications Technology ,No,Yes,No,Yes,Goods/Service,"£ 84,702",0,No,,15/04/2016,15/04/2016,,,15/04/2016, XMA Limited
5774,Audio and visual technical provision,Communications,No,Yes,No,No,Goods/Service,"£ 55,063",36,No,,01/03/2016,01/03/2019,,,, CVS International 
5773,Re-wire works - Hendon FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 172,618",3,No,,11/04/2016,06/07/2016,,,06/07/2016, Lindfield Electrical Services Ltd
5772,Provision of Signage in Union Street,Technical and Service Support,No,Yes,No,Yes,Goods/Service,"£ 9,850",4,No,,18/01/2016,30/04/2016,,,30/04/2016, Maynard Design Ltd
5771,Boiler Replacement Works: Lambeth Fire Station,Technical and Service Support,No,Yes,No,Yes,Works,"£ 12,895",0,No,,28/11/2015,28/11/2015,,,08/12/2015, Ream Contracts Ltd
5770,Yard Gate Motorisation Works - Islington FS,Technical and Service Support,No,Yes,No,Yes,Works,"£ 55,552",1,No,,01/03/2016,01/04/2016,,,01/04/2016, H&V Building Services Ltd
5769,Gate Works - Stoke Newington FS ,Technical and Service Support,No,Yes,No,Yes,Works,"£ 58,093",1,No,,01/03/2016,01/04/2016,,,01/04/2016, H&V Building Services Ltd
5768,Supply of Diesel for Strategic Reserve Storage Tanks,Procurement,Yes,Yes,No,No,Goods/Service,"£ 1,000,000",24,No,CCS Liquid Fuel,01/10/2015,01/10/2017,,,, WFL Ltd T/A Hall Fuels
5767,SUPPLY OF MARINE FUEL,Procurement,No,Yes,No,No,Goods/Service,"£ 20,000",24,No,LIQUID FUELS RM1013,01/10/2015,01/10/2017,,,, Certas
5766,PWC Review of Authority PAYE Governance and associated policies,Finance,No,Yes,No,Yes,Goods/Service,"£ 14,500",0,No,,14/11/2015,14/11/2015,,,30/11/2015, PWC Ltd
