Ref No,Contract Title,Department,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Duration (months),Extended,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
5911,Logistics Consultancy,Technical and Service Support,No,Yes,No,Goods/Service,Expenditure,"£ 32,000",3,No,,14/11/2016,14/02/2017,,, Davies & Robson Logistics Ltd  
5910,Museum Consultancy Services,Communications,No,Yes,No,Goods/Service,Expenditure,"£ 20,000",4,No,,23/03/2017,23/07/2017,,,Petersham Group Ltd 
5909,Bromley Fire Station – Replacement Heating System,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 339,286",3,No,,04/01/2017,04/04/2017,,, Purdy Contracts Ltd
5908,Poplar Fire Station – Rewire,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 208,637",3,No,,04/01/2017,04/04/2017,,, Morrissey Electrical & Building Ltd
5907,Event Management,Strategy and Inclusion,No,Yes,No,Goods/Service,Expenditure,"£ 15,000",2,No,,07/11/2016,07/01/2017,,, Story Events Ltd
5906,audience response system,Operations Directorate,No,Yes,No,Goods/Service,Expenditure,"£ 9,750",36,No,,01/11/2016,01/11/2019,,, Qwizdom UK Ltd
5905,Provision of Undress Uniform,Procurement,Yes,Yes,No,Goods/Service,Expenditure,"£ 275,000",12,No,,01/10/2016,01/10/2017,,, Waterfront Ltd
5904,"Interim Maintenance of Powered and Manually Operated Appliance Bay Doors, Roller Shutters, Tower Grilles/Shutters and Rear gates. ",Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 180,000",6,No,,18/10/2016,18/04/2017,,, Arkas Limited 
5903,"Support Maintenance Contract for AIUS, CMS,CMS Bulk Document Uploader, Mobile Data Communications Gateway, VMDS, VMDS Comms, GPS and Multiple Callsigns ",Information and Communications Technology ,Yes,Yes,No,Goods/Service,Expenditure,"£ 564,705",36,No,,03/08/2014,03/08/2017,,, Airbus Defence and Space 
5897, Sidcup Fire Station – Watchroom Relocation ,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 55,715",2,No,,04/01/2017,04/03/2017,,, B Nokes Contracts Ltd
5895,Trainee Firefighter Selection and Assessment,Human Resources Management,No,Yes,No,Goods/Service,Expenditure,"£ 25,000",4,No,,03/10/2016,03/02/2017,,, Helen Bartimote Consulting 
5894,Design Team Services - Third Training Centre,Technical and Service Support,No,Yes,No,Goods/Service,Expenditure,"£ 170,475",26,No,HCA Multi-Disciplinary Panel,06/01/2017,06/10/2020,,, BDP
5893,Drugs and Alcohol screening,Human Resources Management,No,Yes,Yes,Goods/Service,Expenditure,"£ 10,000",48,No,,01/11/2016,01/11/2020,,, Alere Toxicology PLC
5892,NOGP - new website and online database,Strategy and Inclusion,No,Yes,No,Goods/Service,Expenditure,"£ 160,000",18,No,,01/12/2016,01/06/2018,,, Panlogic Ltd
5884,Provision of Property and Estates Management Services,Technical and Service Support,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 3,500,000",42,No,,01/04/2017,01/10/2020,,, Dron & Wright
5879,Website Re-Design,Communications,Yes,Yes,No,Goods/Service,Expenditure,"£ 250,000",24,No,Digital Marketplace ,01/11/2016,01/11/2018,,, E3 Ltd
5877,Provision & Installation of Replacement Condenser Coils & Chiller Refurbishment @ Union Street LFB HQ,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 222,852",1,No,,06/03/2017,06/04/2017,,, H & V Building Services Ltd
5873,Provision of Catering Services,Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 200,000",36,No,RM1056,01/04/2017,01/04/2020,,, ESS Government Services
5870,Transcription Services,Procurement,No,Yes,Yes,Goods/Service,Expenditure,"£ 6,000",36,No,TfL/91768 - Pan GLA Transcription and General Note Taking Services,01/07/2016,30/06/2019,,, WordWave International Ltd (T/A DTI)
5868,Non Emergency Telephony System,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 276,454",12,No,RM1045 Network Services,08/07/2016,08/07/2017,,, Unify Enterprise Communications Ltd
5867,The supply of Printing Services for Operational Readiness Board System,Communications,No,Yes,No,Goods/Service,Expenditure,"£ 5,700",12,No,,01/09/2016,01/09/2017,,, Elle Media Group 
5862,Provision of Trade Refuse Managment Services,Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 140,000",3,Yes,,01/06/2016,31/08/2016,01/04/2017,30/09/2017, Biffa Group Llimited 
5860,Provision of aerial photography for use in brigade mapping applications,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 23,850",36,No,,01/09/2016,01/09/2019,,, Getmapping plc
5854,Supply Of Cleaning Services,Technical and Service Support,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 6,578,895",36,No,MOPAC- Building and Facilities Management Lot 1 ,08/10/2016,09/10/2019,,, Interserve (Facilities Management) Ltd
5853,Supply Of Pest Control Services,Technical and Service Support,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 267,043",36,No,MOPAC Building and Facilities Management Services- Lot 5,01/08/2016,01/08/2019,,, Maintenance Associated Services Limited
5851,Provision Of Inspection And Maintenance And Occasional Supply Of Gym Equipment,Technical and Service Support,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 352,686",36,No,MOPAC Miscellaneous repair and maintenance services,01/08/2016,01/08/2019,,, Sportsafe U.K Ltd
5850,Supply Of Planned And Reactive Grounds Maintenance Services,Technical and Service Support,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 586,660",36,No,MOPAC- Building and Facilities Management Services ,01/08/2016,01/08/2019,,, G. Burley & Sons Limited.
5849,Provision Of Asbestos Management Services And Removal Works,Technical and Service Support,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 842,314",36,No,MOPAC ,01/08/2016,01/08/2019,,, Environtech
5848,"Supply Of Planned And Reactive Maintenance Services For Appliance Bay Doors, Gates, Barriers And Drill Tower Grills And Shutters",Technical and Service Support,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 1,488,465",36,No,MOPAC- Engineering Support Services- Lot 2,01/08/2016,01/08/2019,,, Total Support Services (Security) Limited
5844,Sum Total Cyborg,Information and Communications Technology ,Yes,Yes,No,Goods/Service,Expenditure,"£ 509,539",60,No,,01/03/2016,01/03/2021,,, SumTotal Systems UK Limited
5843,Project Manager and QS / Cost Consultancy Services for Third Training Centre,Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 190,000",48,No,NHS Construction Consultancy Framework,17/08/2016,17/08/2020,,, PICK EVERARD
5842,"Annual hosting, support and maintenance of the PMF system",Strategy and Inclusion,No,Yes,Yes,Goods/Service,Expenditure,"£ 10,000",24,No,,01/06/2016,01/06/2018,,, 360 Systems Ltd
5835,Hyperconverged Infrastructure,Information and Communications Technology ,Yes,Yes,No,Goods/Service,Expenditure,"£ 377,185",36,No,,14/11/2016,14/11/2019,,, XMA Limited
5833,Windows 10 End-user Computing Gap Analysis,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 150,000",24,No,G Cloud 7,01/03/2016,01/03/2018,,, Ultima Business Solutions Limited
5832,Facilities Management Contract for Regional Fire Control Centres,Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 3,172,960",84,Yes,,01/04/2008,31/03/2015,01/04/2017,17/08/2017, Babcock Civil Infrastructure Ltd
5817,Temporary Labour,Human Resources Management,Yes,Yes,No,Goods/Service,Expenditure,"£ 4,000,000",27,No,TfL/90747 Master Vendor for Supply of Temporary and Permanent Workers,01/02/2016,16/06/2018,,, Hays Specialist Recruitment Ltd
5804,Chemical Protection Suits,Operational Policy,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,000,000",48,No,CFR1008/CPC ,06/06/2016,06/06/2020,,, Respirex International Ltd
5797,Replacement Ff Torches,Central Operations,No,Yes,No,Goods/Service,Expenditure,"£ 45,000",60,No,,22/07/2016,22/07/2021,,, Wolf Safety Lamp Company Ltd
5796,FIRE Bag,Operational Policy,No,Yes,No,Works,Expenditure,"£ 32,976",60,No,,29/06/2016,29/06/2021,,, First Products (Sussex) Limited
5788,Bespoke Software Delivery to London Situational Awareness Project,Operational Resilience,No,Yes,No,Goods/Service,Expenditure,"£ 94,500",24,No,G-Cloud 7,22/12/2015,22/12/2017,,, GB3 Limited
5785,Provision of Medical Consumables,Procurement,Yes,Yes,No,Goods/Service,Expenditure,"£ 200,000",48,No,"NATIONAL SUPPLY & DELIVERY OF FIRST AID & PHARMACEUTICALS, EMERGENCY LIFE SUPPORT & TRAINING EQUIPMENT AND ASSOCIATED PRODUCTS",11/04/2016,10/04/2020,,, Aero Healthcare Limited 
5784,Supply of Labtops and Tablet Devices,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 150,000",18,No,CCS RM1054 Technology Products,03/11/2016,03/05/2018,,, Specialist Computer Centre PLC
5781,"Maintenance of high pressure breathable oxygen and air compressors, high pressure pipework and associated distribution systems ",Technical and Service Support,Yes,Yes,No,Goods/Service,Expenditure,"£ 175,000",60,No,,16/09/2016,16/09/2021,,, Gas & Air Services (UK) Limited
5780,Provision of Gardner Denver Purifier Filter Cartridges ,Technical and Service Support,No,Yes,No,Goods/Service,Expenditure,"£ 35,000",60,No,,16/09/2016,16/09/2021,,, Gas & Air Services (UK) Limited 
5774,Audio and visual technical provision,Communications,No,Yes,No,Goods/Service,Expenditure,"£ 55,063",36,No,,01/03/2016,01/03/2019,,, CVS International 
5768,Supply of Diesel for Strategic Reserve Storage Tanks,Procurement,Yes,Yes,No,Goods/Service,Expenditure,"£ 1,000,000",24,No,CCS Liquid Fuel,01/10/2015,01/10/2017,,, WFL Ltd T/A Hall Fuels
5767,SUPPLY OF MARINE FUEL,Procurement,No,Yes,No,Goods/Service,Expenditure,"£ 20,000",24,No,LIQUID FUELS RM1013,01/10/2015,01/10/2017,,, Certas
5764,Replacement of N-Shield Connect,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 28,000",36,No,,16/11/2015,16/11/2018,,, Thales E-Security
5760,Library Management System,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 35,550",60,No,,01/02/2016,31/01/2021,,, PTFS Europe Ltd
5757,Heavy Duty Lockers,Procurement,No,Yes,No,Goods/Service,Expenditure,"£ 95,000",60,No,,01/03/2016,01/03/2021,,, Garran Lockers Limited
5755,Catering Consumables,Procurement,No,Yes,Yes,Goods/Service,Expenditure,"£ 76,000",24,No,ESPO Light Catering Framework 97,22/07/2016,22/07/2018,,, NISBETS PLC
5754,Cleaning Consumables,Procurement,No,Yes,No,Goods/Service,Expenditure,"£ 610,000",46,No,LCSG Framework Agreement for the Porvision of Cleaning Materials and Janitorial Products ,14/11/2016,01/09/2019,,, Greenham 
5752,Respiratory Protective Equipment (RPE) Replacement Components,Technical and Service Support,Yes,Yes,No,Goods/Service,Expenditure,"£ 2,000,000",60,No,,01/07/2016,01/07/2021,,, Draeger Limited
5750,Provision of Gas Automated Meter Reading (AMR) Services,Technical and Service Support,No,Yes,No,Goods/Service,Expenditure,"£ 50,000",60,No,CCS Framework RM 896,01/04/2016,01/04/2021,,, Corona Energy
5749,Inspection of Fleet Vehicles,Technical and Service Support,No,Yes,No,Goods/Service,Expenditure,"£ 140,000",36,No,,01/04/2016,01/04/2019,,, Applus Car Testing Service Ltd
5748,Property Integrator,Technical and Service Support,Yes,Yes,No,Goods/Service,Expenditure,"£ 13,000,000",96,No,MOPAC Integrator,03/11/2015,03/11/2023,,, KBR Ltd
5741,Agreement for the supply of Interim Management Services by a Professional Services Ltd Company that has opted out of the Conduct of Employment Agencies and Employment Businesses Regulations 2003,Procurement,No,Yes,Yes,Goods/Service,Expenditure,£ 0,12,Yes,,19/10/2015,18/10/2016,18/10/2016,30/04/2017, Odgers Interim
5739,Lone Worker Protection Services,Fire Safety (Statutory and Community),No,Yes,Yes,Goods/Service,Expenditure,"£ 50,000",36,No,,04/01/2016,04/01/2019,,, Skyguard Limited
5736,Relocation of LFB Museum,Technical and Service Support,Yes,Yes,No,Goods/Service,Expenditure,"£ 250,000",60,No,,01/06/2016,01/06/2021,,," Premier Moves Ltd, Bishop's Move Ltd"
5732,Provision of Security Services,Technical and Service Support,No,Yes,No,Goods/Service,Expenditure,"£ 640,000",36,No,CCS Framework 1056,01/01/2016,31/12/2018,,, Mitie Security Limited 
5723,Agreement for the Supply of Electronic Office Supplies ,Procurement,No,Yes,No,Goods/Service,Expenditure,"£ 228,000",48,No,LCSG,31/05/2016,31/05/2020,,, Supplies Team T/A Banner
5722,Redecorations Package 4 - South Small Sites,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 386,295",28,No,LFB,11/12/2015,31/03/2018,,," B Nokes Contracts Ltd , George Jones & Son (Contractors) Ltd"
5721,Redecorations Package 3 - South Large Sites,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 1,218,440",28,No,LFB,11/12/2015,31/03/2018,,," AD Construction Group, Collins Contractors Ltd, George Jones & Son (Contractors) Ltd, PJ Harte (Decorating Contractors) Ltd"
5720,Redecorations Package 2 - North Small Sites,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 382,889",28,No,LFB,11/12/2015,31/03/2018,,," B Nokes Contracts Ltd, Mulalley & Company Ltd, Smith & O'Sullivan Ltd"
5719,Re-development of 8 Albert Embankment,Technical and Service Support,Yes,Yes,No,Works,Income,"£ 67,000,000",45,No,,24/08/2016,24/05/2020,,, U and I Group PLC 
5718,Re-decoration Framework Package 1 North Large,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 599,760",28,No,LFB,11/12/2015,31/03/2018,,," Collins Contractors Ltd, Mulalley & Company Ltd, Smith & O'Sullivan Ltd"
5708,Provision of Chilled Mains Drinking Water Dispenser Services,Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 35,000",12,Yes,ESPO ref 900W,01/07/2015,30/06/2016,01/04/2017,31/10/2017, Pressure Coolers Ltd T/A Maestro International
5707,Lay flat hose,Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 300,000",35,No,YPO Framework ,01/11/2015,31/10/2018,,, Angus Fire
5706,"Operational research, including modelling, services ",Information and Communications Technology ,Yes,Yes,Yes,Goods/Service,Expenditure,£ 0,60,No,,05/11/2015,05/11/2020,,, Operational Research in Health Ltd (ORH)
5701,Primary sponsorship for LFB's Fire Bike,"Operations, Prevention and Response",No,Yes,Yes,Goods/Service,Expenditure,£ 0,28,No,,01/06/2015,30/09/2017,,, i3d Group Ltd
5699,Provision of Internet Services,Information and Communications Technology ,No,Yes,Yes,Goods/Service,Expenditure,"£ 1,800,000",36,No,CCS - PSN Services RM1498 Lot 1,13/07/2015,12/07/2018,,, British Telecommunications plc
5693,Consultancy Services for Control Room Data Sharing,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 33,000",36,No,CCS - Consultancy One RM1502 Lot 1,27/04/2015,26/04/2018,,, Mott MacDonald Ltd
5690,Consultancy Services For  Partnership Situational Awareness,"Operations, Prevention and Response",No,Yes,No,Goods/Service,Expenditure,"£ 49,995",36,No,CCS - Consultancy One RM1502 Lot 1,27/04/2015,26/04/2018,,, Mott MacDonald Ltd
5687,Contract for the Provision of Vehicle Glass Replacement and Repair Services,Procurement,No,Yes,No,Goods/Service,Expenditure,"£ 40,000",26,No,ESPO - 275,23/02/2015,30/04/2017,,, Nationwide Windscreen Services
5685,Provision of Journals,Information and Communications Technology ,No,Yes,Yes,Goods/Service,Expenditure,"£ 21,000",36,No,,19/01/2015,18/01/2018,,, Prenax Ltd
5672,Mobile Data Terminals and Other Devices for Vehicles and Fire Appliances,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 2,540,000",48,No,"CCS Framework 
RM1054 Technology Products (Lot 1: Technology Hardware)",01/05/2015,30/04/2019,,," Specialist Computer Centres Plc, Insight Direct (UK) Ltd, ERGO Computing UK Ltd "
5670,The supply and maintenance of digital production printers ,Communications,No,Yes,No,Goods/Service,Expenditure,"£ 60,000",36,No,,03/06/2015,02/06/2018,,, Konica Minolta Ltd
5668,Fuel Cards and Associated Services Framework Agreement RM1027,Procurement,No,Yes,No,Goods/Service,Expenditure,"£ 4,000,000",48,No,CCS Framework (CCS ran call off competition),17/01/2015,16/01/2019,,, ALLSTAR BUSINESS SOLUTIONS Ltd
5667,Paper Access Agreement - LCSG Framework,Procurement,No,Yes,No,Goods/Service,Expenditure,£ 0,48,No,,01/11/2014,31/10/2018,,, Office Depot
5660,Undress Uniform: Blue Shirts,Procurement,No,Yes,Yes,Goods/Service,Expenditure,"£ 35,000",60,No,,01/12/2014,30/11/2019,,, Burlington Uniforms Ltd
5656,Provision of a Wide Area Network,Information and Communications Technology ,No,Yes,Yes,Goods/Service,Expenditure,"£ 2,699,077",36,No,CCS RM860,01/07/2015,30/06/2018,,, BT PLC
5648,Childcare Vouchers,Human Resources Management,No,Yes,No,Goods/Service,Expenditure,£ 0,48,No,HTE Europe ,08/11/2014,07/11/2018,,, EdenRed UK Group
5643,Fired-Up Framework Agreement - Supply of Equipment Tagging System,Procurement,Yes,Yes,No,Goods/Service,Expenditure,"£ 20,000,000",48,No,Framework Agreement with Single Operator,07/11/2014,07/11/2018,,, JV Facility Ltd. 
5642,Fired-Up Framework Agreement - Supply of Vehicle Telematics Hardware and Software,Procurement,Yes,Yes,No,Goods/Service,Expenditure,"£ 20,000,000",48,No,Framework Agreement with Single Operator,07/11/2014,07/11/2018,,, Airwave Solutions Ltd. 
5638,E-Tendering software,Procurement,No,Yes,No,Goods/Service,Expenditure,"£ 10,000",48,No,,01/01/2015,31/12/2018,,, EU Supply
5635,NOG Sharepoint,Strategy and Inclusion,No,Yes,Yes,Goods/Service,Expenditure,"£ 165,000",30,No,,13/10/2014,31/03/2017,,, BlueSky Sharepoint Consulting Ltd
5633,Citrix NetScaler and Associated Maintenance,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 76,181",36,No,CCS RM721/L1 (CITHS),09/10/2014,08/10/2017,,, Kelway UK Ltd
5631,De-polluted cars,Procurement,No,Yes,Yes,Goods/Service,Expenditure,£ 0,36,No,,01/02/2015,31/01/2018,,, E&SB Davis
5627,A study into the experience and the operation of the Regulatory Reform (Fire Safety) Order 2005 in London,Fire Safety (Statutory and Community),No,Yes,No,Goods/Service,Expenditure,"£ 35,046",36,No,,07/12/2014,06/12/2017,,, BRE Global Ltd
5625,"Supply, Delivery, Collection and Disposal of Firefighting Foam and Containers","Operations, Prevention and Response",No,Yes,Yes,Goods/Service,Expenditure,£ 0,36,No,,17/04/2015,16/04/2018,,, Angus Fire
5624,"Supply, Delivery, Collection and Disposal of Firefighting Foam and Containers","Operations, Prevention and Response",No,Yes,Yes,Goods/Service,Expenditure,£ 0,36,No,,17/04/2015,16/04/2018,,, Auxquimia S.A
5621,Provision of merchandising and promotional items,Communications,No,Yes,No,Goods/Service,Expenditure,"£ 120,000",48,No,,15/12/2014,14/12/2018,,, Supplies Team
5620,Supply of high visibility surcoats and role badge inserts,Operational Policy,No,Yes,No,Goods/Service,Expenditure,£ 0,60,No,,10/09/2015,09/09/2020,,, B & A Textiles Ltd
5616,RE-FIT Phase 3,Technical and Service Support,No,Yes,No,Works,Expenditure,"£ 1,842,667",36,No,Refit,01/04/2015,31/03/2018,,, Imtech
5615,Electric Vehicle Chargepoints,"Operations, Prevention and Response",No,Yes,No,Goods/Service,Expenditure,"£ 790,000",44,No,Buy for Good (C0096),11/08/2014,31/03/2018,,, Chargemaster Plc
5612,Business Name Dataset Compatible with AddressBase Premium,Information and Communications Technology ,No,Yes,Yes,Goods/Service,Expenditure,"£ 43,000",24,Yes,,01/11/2014,31/10/2016,01/11/2016,31/10/2018, Aligned Assets Ltd
5607,Liquid Tight Suits,Strategy and Inclusion,No,Yes,Yes,Goods/Service,Expenditure,"£ 120,000",36,No,,01/10/2014,30/09/2017,,, Respirex International 
5602,E-recruitment ,Human Resources Management,No,Yes,No,Goods/Service,Expenditure,"£ 24,500",0,No,,01/04/2014,31/03/2017,,, TMP (UK) Ltd
5601,"Risk, Assurance & Technical Authoring",Strategy and Inclusion,Yes,Yes,No,Goods/Service,Expenditure,"£ 800,000",48,No,,06/06/2014,05/06/2018,,," Serco Ltd, DNV Ltd, Slate Marketing Ltd"
5582,Provision of Portable Hygiene Units,Central Operations,No,Yes,Yes,Goods/Service,Expenditure,£ 0,36,No,,01/12/2014,30/11/2017,,, Euroloos Ltd
5581,Provision of anti-entanglement Breathing Apparatus cylinder covers,Technical and Service Support,No,Yes,Yes,Goods/Service,Expenditure,"£ 41,090",36,Yes,,01/05/2014,30/04/2019,30/04/2017,30/04/2019, Ulster Supported Employment Ltd
5571,Supply of ICT Hardware Support and Maintenance Services,Information and Communications Technology ,No,Yes,No,Goods/Service,Expenditure,"£ 1,737,870",60,No,GPS,28/02/2014,27/02/2019,,, Computacenter (UK) Ltd
5558,Scientific Services,Procurement,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 3,526,200",36,Yes,,01/03/2014,28/02/2017,28/02/2017,28/02/2018, Bureau Veritas UK Ltd
5554,Rank and Role Markings,Procurement,No,Yes,Yes,Goods/Service,Expenditure,£ 0,36,Yes,,01/03/2014,28/02/2017,28/02/2017,28/02/2019, Wyedean Weaving Co Ltd
5553,Workwear: Jackets,Procurement,No,Yes,No,Goods/Service,Expenditure,£ 0,48,No,ESPO 144,10/10/2013,09/10/2017,,, Burlington Uniforms (agent for FCC Ltd)
