Date of the Transaction ,Local Authority Department which Incurred the Expenditure ,Beneficiary,Amount,Value Added Tax that cannot be recovered ,Summary of the purpose of the expenditure ,"Merchant category (eg. computers, software etc).",Contact
01/12/2015,Operational Policy,"W M Morrisons, Oxted",7.45,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Alastair Hislop
15/12/2015,Communications,Facebook,19.70,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
16/12/2015,Communications,Facebook,35.00,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
16/12/2015,Communications,Facebook,6.79,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
17/12/2015,Communications,Twitter,30.60,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
17/12/2015,Communications,Facebook,168.88,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
17/12/2015,Communications,Facebook,34.97,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
17/12/2015,Communications,Facebook,364.64,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
17/12/2015,Communications,Facebook,38.22,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
18/12/2015,Communications,Facebook,74.74,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
18/12/2015,Communications,Facebook,527.82,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
18/12/2015,Communications,Facebook,558.89,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
18/12/2015,Communications,Facebook,45.19,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
19/12/2015,Communications,Facebook,582.86,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
19/12/2015,Communications,Facebook,19.16,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
23/12/2015,Communications,Facebook,561.57,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
23/12/2015,Communications,Facebook,40.28,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
24/12/2015,Communications,Twitter,214.20,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
26/12/2015,Communications,Facebook,26.63,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
26/12/2015,Communications,Facebook,573.38,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
30/12/2015,Communications,Facebook,564.40,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
30/12/2015,Communications,Facebook,35.76,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
31/12/2015,Communications,Twitter,214.20,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
31/12/2015,Communications,Facebook,34.08,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
31/12/2015,Communications,Facebook,566.88,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
31/12/2015,Communications,Facebook,602.65,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
31/12/2015,Communications,Facebook,9.94,0,Facebook and Twitter account charges for digital marketing for 999 campaign with London Ambulance Service and 2016/17 Budget Consultation.,Specialist Services,Chris Marshall
14/12/2015,Operational Policy,"Iceland, Stepney",3.05,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Emma Carr
14/12/2015,Operational Policy,"Asda Stores, Greenhithe",96.26,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Emma Carr
15/12/2015,Operational Policy,"Asda Stores, Greenhithe",2.50,0,  Refreshment for staff who are undertaking the build for the Live Exercise.,Catering Services ,Emma Carr
13/12/2015,Operational Policy,"W M Morrisons, Sidcup",70.11,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Terry Gooding
19/12/2015,Operational Policy,"Sainsburies S/Mts, Orpington New",25.15,0,  Refreshment for staff who are undertaking the build for the Live Exercise Unified Response,Catering Services ,Terry Gooding
,,,,,,,
