 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Location Description
800053125,*NPS (SHOES) LTD,13584,74,30.05,CLOTHING,02/10/14,,FOREST HILL FS
800053125,*NPS (SHOES) LTD,13584,75,30.05,CLOTHING,02/10/14,,ORPINGTON FS
800053125,*NPS (SHOES) LTD,13584,76,30.05,CLOTHING,02/10/14,,ERITH FS
800053125,*NPS (SHOES) LTD,13584,77,30.05,CLOTHING,02/10/14,,WANDSWORTH FIRE STATION
800053125,*NPS (SHOES) LTD,13584,78,30.05,CLOTHING,02/10/14,,POPLAR FS
800053125,*NPS (SHOES) LTD,13584,79,30.05,CLOTHING,02/10/14,,EALING FS
800053125,*NPS (SHOES) LTD,13584,80,30.05,CLOTHING,02/10/14,,EALING FS
800053125,*NPS (SHOES) LTD,13584,81,30.05,CLOTHING,02/10/14,,SCHOOLS TEAM
800053125,*NPS (SHOES) LTD,13584,82,29.45,CLOTHING,02/10/14,,ERITH FS
800053125,*NPS (SHOES) LTD,13584,83,29.45,CLOTHING,02/10/14,,ORPINGTON FS
800053125,*NPS (SHOES) LTD,13584,84,29.45,CLOTHING,02/10/14,,WILLESDEN FS
800053125,*NPS (SHOES) LTD,13584,85,29.45,CLOTHING,02/10/14,,HENDON FS
800053125,*NPS (SHOES) LTD,13584,86,29.45,CLOTHING,02/10/14,,ERITH FS
800053125,*NPS (SHOES) LTD,13584,87,29.45,CLOTHING,02/10/14,,EDMONTON FIRE STATION
800053125,*NPS (SHOES) LTD,13584,88,29.45,CLOTHING,02/10/14,,WIMBLEDON FIRE STATION
800053125,*NPS (SHOES) LTD,13584,89,41.10,CLOTHING,02/10/14,,SOUTHGATE FIRE STATION
800053125,*NPS (SHOES) LTD,13584,90,41.10,CLOTHING,02/10/14,,SOUTHGATE FIRE STATION
800052923,REDFERN TRAVEL LTD,1359431,1,477.90,PUBLIC TRANSPORT,02/10/14,477.90,SPECIAL OPERATIONAL GROUP
800052922,REDFERN TRAVEL LTD,1359551,1,652.80,PUBLIC TRANSPORT,02/10/14,652.80,SPECIAL OPERATIONAL GROUP
800052932,REDFERN TRAVEL LTD,1359603,1,436.20,PUBLIC TRANSPORT,02/10/14,436.20,FIRE ENGINEERING
800053126,*NPS (SHOES) LTD,13623,1,29.45,CLOTHING,02/10/14,"2,403.20",SCHOOLS TEAM
800053126,*NPS (SHOES) LTD,13623,2,29.45,CLOTHING,02/10/14,,BROMLEY FS
800053126,*NPS (SHOES) LTD,13623,3,29.45,CLOTHING,02/10/14,,BATTERSEA FIRE STATION
800053126,*NPS (SHOES) LTD,13623,4,29.45,CLOTHING,02/10/14,,EALING FS
800053126,*NPS (SHOES) LTD,13623,5,35.00,CLOTHING,02/10/14,,EALING FS
800053126,*NPS (SHOES) LTD,13623,6,30.05,CLOTHING,02/10/14,,BEXLEY FS
800053126,*NPS (SHOES) LTD,13623,7,30.05,CLOTHING,02/10/14,,LEWISHAM FS
800053126,*NPS (SHOES) LTD,13623,8,30.05,CLOTHING,02/10/14,,LAMBETH RIVER FS
800053126,*NPS (SHOES) LTD,13623,9,30.05,CLOTHING,02/10/14,,PADDINGTON FS
800053126,*NPS (SHOES) LTD,13623,10,30.05,CLOTHING,02/10/14,,WOODFORE FIRE STATION
800053126,*NPS (SHOES) LTD,13623,11,30.05,CLOTHING,02/10/14,,BARKING FIRE STATION
800053126,*NPS (SHOES) LTD,13623,12,30.05,CLOTHING,02/10/14,,NORTH KENSINGTON FS
800053126,*NPS (SHOES) LTD,13623,13,30.05,CLOTHING,02/10/14,,FINCHLEY FS
800053126,*NPS (SHOES) LTD,13623,14,30.05,CLOTHING,02/10/14,,FOREST HILL FS
800053126,*NPS (SHOES) LTD,13623,15,30.05,CLOTHING,02/10/14,,HOMERTON FIRE STATION
800053126,*NPS (SHOES) LTD,13623,16,29.45,CLOTHING,02/10/14,,HAROLD HILL FIRE STATION
800053126,*NPS (SHOES) LTD,13623,17,29.45,CLOTHING,02/10/14,,BARKING FIRE STATION
800053126,*NPS (SHOES) LTD,13623,18,29.45,CLOTHING,02/10/14,,WOODSIDE FS
800053126,*NPS (SHOES) LTD,13623,19,29.45,CLOTHING,02/10/14,,ILFORD FIRE STATION
800053126,*NPS (SHOES) LTD,13623,20,29.45,CLOTHING,02/10/14,,BARKING FIRE STATION
800053126,*NPS (SHOES) LTD,13623,21,29.45,CLOTHING,02/10/14,,EAST HAM FIRE STATION
800053126,*NPS (SHOES) LTD,13623,22,29.45,CLOTHING,02/10/14,,FINCHLEY FS
800053126,*NPS (SHOES) LTD,13623,23,29.45,CLOTHING,02/10/14,,WALTHAMSTOW FS
800053126,*NPS (SHOES) LTD,13623,24,29.45,CLOTHING,02/10/14,,LEYTONSTONE FS
800053126,*NPS (SHOES) LTD,13623,25,29.45,CLOTHING,02/10/14,,FOREST HILL FS
800053126,*NPS (SHOES) LTD,13623,26,29.45,CLOTHING,02/10/14,,KINGSTON FS
800053126,*NPS (SHOES) LTD,13623,27,29.45,CLOTHING,02/10/14,,BARKING FIRE STATION
800053126,*NPS (SHOES) LTD,13623,28,29.45,CLOTHING,02/10/14,,PADDINGTON FS
800053126,*NPS (SHOES) LTD,13623,29,29.45,CLOTHING,02/10/14,,PADDINGTON FS
800053126,*NPS (SHOES) LTD,13623,30,29.45,CLOTHING,02/10/14,,ENFORCEMENT - NORTH EAST
800053126,*NPS (SHOES) LTD,13623,31,29.45,CLOTHING,02/10/14,,PLUMSTEAD FS
800053126,*NPS (SHOES) LTD,13623,32,29.45,CLOTHING,02/10/14,,HOMERTON FIRE STATION
800053126,*NPS (SHOES) LTD,13623,33,29.45,CLOTHING,02/10/14,,FLEET ENGINEERING
800053126,*NPS (SHOES) LTD,13623,34,29.45,CLOTHING,02/10/14,,BARKING FIRE STATION
800053126,*NPS (SHOES) LTD,13623,35,29.45,CLOTHING,02/10/14,,HOLLOWAY FIRE STATION
800053126,*NPS (SHOES) LTD,13623,36,29.45,CLOTHING,02/10/14,,PADDINGTON FS
800053126,*NPS (SHOES) LTD,13623,37,29.45,CLOTHING,02/10/14,,KINGSTON FS
800053126,*NPS (SHOES) LTD,13623,38,29.45,CLOTHING,02/10/14,,ROMFORD FIRE STATION
800053126,*NPS (SHOES) LTD,13623,39,29.45,CLOTHING,02/10/14,,CHISWICK FS
800053126,*NPS (SHOES) LTD,13623,40,28.45,CLOTHING,02/10/14,,WOODSIDE FS
800053126,*NPS (SHOES) LTD,13623,41,30.05,CLOTHING,02/10/14,,PURLEY FS
800053126,*NPS (SHOES) LTD,13623,42,30.05,CLOTHING,02/10/14,,HAYES FS
800053126,*NPS (SHOES) LTD,13623,43,30.05,CLOTHING,02/10/14,,SOUTHALL FS
800053126,*NPS (SHOES) LTD,13623,44,29.45,CLOTHING,02/10/14,,LEE GREEN FS
800053126,*NPS (SHOES) LTD,13623,45,29.45,CLOTHING,02/10/14,,HAYES FS
800053126,*NPS (SHOES) LTD,13623,46,29.45,CLOTHING,02/10/14,,PECKHAM FS
800053126,*NPS (SHOES) LTD,13623,47,29.45,CLOTHING,02/10/14,,HAYES FS
800053126,*NPS (SHOES) LTD,13623,48,29.45,CLOTHING,02/10/14,,LAMBETH FS
800053126,*NPS (SHOES) LTD,13623,49,29.45,CLOTHING,02/10/14,,LAMBETH FS
800053126,*NPS (SHOES) LTD,13623,50,29.45,CLOTHING,02/10/14,,ENFIELD FIRE STATION
800053126,*NPS (SHOES) LTD,13623,51,29.45,CLOTHING,02/10/14,,BECKENHAM FS
800053126,*NPS (SHOES) LTD,13623,52,29.45,CLOTHING,02/10/14,,BETHNAL GREEN FS
800053126,*NPS (SHOES) LTD,13623,53,29.45,CLOTHING,02/10/14,,TOTTENHAM FIRE STATION
800053126,*NPS (SHOES) LTD,13623,54,29.45,CLOTHING,02/10/14,,BETHNAL GREEN FS
800053126,*NPS (SHOES) LTD,13623,55,29.45,CLOTHING,02/10/14,,ENFORCEMENT - NORTH EAST
800053126,*NPS (SHOES) LTD,13623,56,29.45,CLOTHING,02/10/14,,STANMORE FS
800053126,*NPS (SHOES) LTD,13623,57,30.05,CLOTHING,02/10/14,,TOTTENHAM FIRE STATION
800053126,*NPS (SHOES) LTD,13623,58,30.05,CLOTHING,02/10/14,,ENFORCEMENT - NORTH EAST
800053126,*NPS (SHOES) LTD,13623,59,30.05,CLOTHING,02/10/14,,SUTTON FS
800053126,*NPS (SHOES) LTD,13623,60,30.05,CLOTHING,02/10/14,,POPLAR FS
800053126,*NPS (SHOES) LTD,13623,61,30.05,CLOTHING,02/10/14,,HENDON FS
800053126,*NPS (SHOES) LTD,13623,62,30.05,CLOTHING,02/10/14,,HOLLOWAY FIRE STATION
800053126,*NPS (SHOES) LTD,13623,63,30.05,CLOTHING,02/10/14,,TOTTENHAM FIRE STATION
800053126,*NPS (SHOES) LTD,13623,64,30.05,CLOTHING,02/10/14,,CHELSEA FS
800053126,*NPS (SHOES) LTD,13623,65,30.05,CLOTHING,02/10/14,,BROMLEY FS
800053126,*NPS (SHOES) LTD,13623,66,29.45,CLOTHING,02/10/14,,CFS - NEWHAM
800053126,*NPS (SHOES) LTD,13623,67,29.45,CLOTHING,02/10/14,,DEPTFORD FS
800053126,*NPS (SHOES) LTD,13623,68,29.45,CLOTHING,02/10/14,,HARROW FS
800053126,*NPS (SHOES) LTD,13623,69,29.45,CLOTHING,02/10/14,,HAMMERSMITH FS
800053126,*NPS (SHOES) LTD,13623,70,29.45,CLOTHING,02/10/14,,SPECIAL OPERATIONAL GROUP
800053126,*NPS (SHOES) LTD,13623,71,29.45,CLOTHING,02/10/14,,FINCHLEY FS
800053126,*NPS (SHOES) LTD,13623,72,29.45,CLOTHING,02/10/14,,EAST GREENWICH FS
800053126,*NPS (SHOES) LTD,13623,73,29.45,CLOTHING,02/10/14,,EALING FS
800053126,*NPS (SHOES) LTD,13623,74,29.45,CLOTHING,02/10/14,,POPLAR FS
800053126,*NPS (SHOES) LTD,13623,75,29.45,CLOTHING,02/10/14,,STOKE NEWINGTON FIRE STATION
800053126,*NPS (SHOES) LTD,13623,76,29.45,CLOTHING,02/10/14,,HARROW FS
800053126,*NPS (SHOES) LTD,13623,77,29.45,CLOTHING,02/10/14,,HAMMERSMITH FS
800053126,*NPS (SHOES) LTD,13623,78,29.45,CLOTHING,02/10/14,,LAMBETH FS
800053126,*NPS (SHOES) LTD,13623,79,29.45,CLOTHING,02/10/14,,HAMMERSMITH FS
800053126,*NPS (SHOES) LTD,13623,80,29.45,CLOTHING,02/10/14,,HESTON FS
800053126,*NPS (SHOES) LTD,13623,81,29.45,CLOTHING,02/10/14,,RICHMOND FS
110914C,GREATER LONDON AUTHORITY======,1800004273,1,"10,000.00",CONSULTANTS,02/10/14,"10,000.00",COMMS PUBLIC AFFAIRS
290914G,B NOKES CONTRACTS LTD,2375,1,"1,271.25",TACTICAL DAY TO DAY,02/10/14,"1,271.25",PREMISES HOLDING A/C STC
290914G,AUTOGLASS LIMITED=============,23898988,1,984.09,WINDSCREEN & TYRE CHARGES,02/10/14,984.09,LEASE CARS ADMINISTRATION
290914G,AUTOGLASS LIMITED=============,24093015,1,689.36,WINDSCREEN & TYRE CHARGES,02/10/14,689.36,LEASE CARS ADMINISTRATION
800053311,ADECCO UK LIMITED=============,26923280,1,"1,131.20",FRS STAFF AGENCY,02/10/14,"1,131.20",TSS MANAGEMENT
800053325,ADECCO UK LIMITED=============,26923285,1,781.14,FRS STAFF AGENCY,02/10/14,781.14,LEGAL SERVICES
800053316,ADECCO UK LIMITED=============,26923288,1,"1,466.50",FRS STAFF AGENCY,02/10/14,"1,466.50",LEGAL SERVICES
260914G,STORM TECHNOLOGIES============,290646,1,634.27,ACQUISITIONS,02/10/14,"1,226.46",I&CT CONTRACT & ASSET MANGMNT
260914G,STORM TECHNOLOGIES============,290646,2,592.19,ACQUISITIONS,02/10/14,,I&CT CONTRACT & ASSET MANGMNT
260914C,DANS LUXURY TRAVEL LTD========,35148,1,590.00,CONTRACT HIRE,02/10/14,590.00,CFS - HARINGEY
140823,DANS LUXURY TRAVEL LTD========,35588,1,525.00,MILEAGE CHARGES,02/10/14,525.00,LEASE CARS ADMINISTRATION
290914G,R J HOLLAND LTD===============,4957,1,820.00,STRATEGIC (NON CYCLICAL),02/10/14,820.00,HARROW FS
250914C,FLEXERA SOFTWARE LIMITED======,5015171,1,819.00,MAINTENANCE & SUPPORT,02/10/14,"2,457.00",I&CT SYSTEMS & INTEGRATION
250914C,FLEXERA SOFTWARE LIMITED======,5015171,2,819.00,MAINTENANCE & SUPPORT,02/10/14,,I&CT SYSTEMS & INTEGRATION
250914C,FLEXERA SOFTWARE LIMITED======,5015171,3,819.00,MAINTENANCE & SUPPORT,02/10/14,,I&CT SYSTEMS & INTEGRATION
140813,BRITISH GAS BUSINESS==========,6890008141,1,406.12,ELECTRICITY,02/10/14,"11,934.17",ACTON FS
140813,BRITISH GAS BUSINESS==========,6890008141,2,330.90,ELECTRICITY,02/10/14,,ADDINGTON FS
140813,BRITISH GAS BUSINESS==========,6890008141,3,512.20,ELECTRICITY,02/10/14,,BARKING FIRE STATION
140813,BRITISH GAS BUSINESS==========,6890008141,4,554.89,ELECTRICITY,02/10/14,,BARKING FIRE STATION
140813,BRITISH GAS BUSINESS==========,6890008141,5,398.86,ELECTRICITY,02/10/14,,BARNET FS
140813,BRITISH GAS BUSINESS==========,6890008141,6,434.78,ELECTRICITY,02/10/14,,BATTERSEA FIRE STATION
140813,BRITISH GAS BUSINESS==========,6890008141,7,486.77,ELECTRICITY,02/10/14,,BECKENHAM FS
140813,BRITISH GAS BUSINESS==========,6890008141,8,132.79,ELECTRICITY,02/10/14,,BELSIZE FS
140813,BRITISH GAS BUSINESS==========,6890008141,9,402.75,ELECTRICITY,02/10/14,,BETHNAL GREEN FS
140813,BRITISH GAS BUSINESS==========,6890008141,10,551.68,ELECTRICITY,02/10/14,,BEXLEY FS
140813,BRITISH GAS BUSINESS==========,6890008141,11,247.90,ELECTRICITY,02/10/14,,BIGGIN HILL FS
140813,BRITISH GAS BUSINESS==========,6890008141,12,172.24,ELECTRICITY,02/10/14,,BOW FS
140813,BRITISH GAS BUSINESS==========,6890008141,13,389.83,ELECTRICITY,02/10/14,,BRIXTON FS
140813,BRITISH GAS BUSINESS==========,6890008141,14,629.44,ELECTRICITY,02/10/14,,BROMLEY FS
140813,BRITISH GAS BUSINESS==========,6890008141,15,476.76,ELECTRICITY,02/10/14,,CHELSEA FS
140813,BRITISH GAS BUSINESS==========,6890008141,16,348.33,ELECTRICITY,02/10/14,,CHINGFORD FS
140813,BRITISH GAS BUSINESS==========,6890008141,17,137.57,ELECTRICITY,02/10/14,,CHISWICK FS
140813,BRITISH GAS BUSINESS==========,6890008141,18,206.65,ELECTRICITY,02/10/14,,CLAPHAM FS
