Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q10I,Q10J,Q10K,Q10L,Q10M,Q10CQ,Q10CR,Q10CS,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q11H,Q11I,Q11J,Q11K,Q11L,Q11M,Q11CQ,Q11CR,Q11CS,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12I,Q12J,Q12K,Q12L,Q12M,Q13,Q14A,Q14B,Q14C,Q14D,Q14E,Q14F,Q15,Q16A,Q16B,Q16C,Q16D,Q16E,Q16F,Q16G,Q16H,Q16I,Q16J,Q16K,Q16L,Q16M,Q16N,Q16O,Q16P,Q16Q,Q16R,Q16S,Q16T,Q16U,Q16V,Q16W,Q16X,Q16CQ,Q16CR,Q16CS,Q16CT,Q17A,Q17B,Q17C,Q17D,Q17E,Q17F,Q17G,Q17H,Q17I,Q17J,Q17K,Q17L,Q17M,Q17N,Q17O,Q17P,Q17Q,Q17CQ,Q17CR,Q17CS,Q18A,Q18B,Q18C,Q18D,Q18E,Q18F,Q18G,Q18H,Q18I,Q18J,Q18K,Q18L,Q19A,Q19B,Q19C,Q19D,Q19E,Q19F,Q19G,Q19H,Q19I,Q19J,Q19K,Q19L,Q19CQ,Q19CR,Q19CS,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31A,Q31B,Q31C,Q31D,Q31E,Q31F,Q31CQ,Q31CS,Q32,Q33A,Q33B,Q33C,Q33D,Q33E,Q33F,Q33G,Q33H,Q33I,Q33J,Q33K,Q33CQ,Q33CR,Q33CS,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q34G,Q34H,Q34I,Q34J,Q34K,Q35A,Q35B,Q35C,Q35D,Q35E,Q36A,Q36B,Q36C,Q36D,Q36E,Q37,Q38,Q39A,Q39B,Q39C,Q39D,Q39E,Q39F,Q39G,Q39H,Q39I,Q39J,Q39K,Q39L,Q39M,Q39CQ,Q39CR,Q39CS,Q39CT,Q39CU,Q40A,Q40B,Q40C,Q40D,Q40E,Q40F,Q40G,Q40CQ,Q40CR,Q40CS,Q41A,Q41B,Q41C,Q41D,Q41E,Q41F,Q41G,Q41H,Q41CQ,Q41CS,Q42,Q43,Q47A,Q47B,Q47C,Q47D,Q47E,Q47F,Q47G,Q47H,Q47I,Q47J,Q47K,Q47L,Q47M,Q47N,Q47O,Q47P,Q47Q,Q47R,Q47S,Q47T,Q47U,Q47V,Q47W,Q47CQ,Q47CR,Q47CS,Q48,Q50A,Q50B,Q50C,Q50D,Q50E,Q50F,Q50G,Q50H,Q50I,Q50CR,Q50CS,Q51,Q52A,Q52B,Q52C,Q52D,Q52E,Q52F,Q52G,Q52H,Q52I,Q52J,Q52K,Q52L,Q52M,Q52N,Q52O,Q52P,Q52Q,Q52R,Q52S,Q52CQ,Q52CR,Q52CS,Q52CT,Q53A,Q53B,Q53C,Q53D,Q53E,Q53F,Q53G,Q53H,Q53I,Q53J,Q53K,Q53L,Q53M,Q53N,Q53O,Q53P,Q53Q,Q53R,Q53S,Q53CQ,Q53CR,Q53CS,Q53CT,Q54,Q55,Q56A,Q56B,Q56C,Q56D,Q56E,Q56F,Q56G,Q56H,Q56I,Q56J,Q56K,Q56L,Q56M,Q57A,Q57B,Q57C,Q57D,Q57E,Q57F,Q57G,Q57H,Q57I,Q57J,Q57K,Q57L,Q57M,Q57P,Q57CQ,Q57CR,Q57CS,Q58,Q59E,SEG,Q60,Q61,Q62,Q63AA,Q63AB,Q63AC,Q63AD,Q63AE,Q63AF,Q63AG,Q63AH,Q63AI,Q63AJ,Q63AK,Q63AL,Q63AM,Q63AN,Q63AO,Q63AP,Q63ACQ,Q63ACR,Q63ACS,Q63BA,Q63BB,Q63BC,Q63BD,Q63BE,Q63BF,Q63BG,Q63BH,Q63BI,Q63BJ,Q63BK,Q63BL,Q63BM,Q63BN,Q63BO,Q63BP,Q63BCQ,Q63BCR,Q63BCS,Q63BCT,Q63BCU,Q64A,Q64B,Q64C,Q64D,Q64E,Q65
Female,35 - 44,BLACK OR BLACK BRITISH - African,Working - Full time (30+ hrs),Rented from private landlord,Over 2 years up to 5 years,Over 10 years up to 15 years,4 - Fairly satisfied,Fairly satisfied, , , , , , , , , , , , , , , ,Don't know, , , , , , , , , , , , , , , ,Don't know,4 - Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,3 - Fairly safe,4,4,5 - No problem at all,5 - No problem at all,5 - No problem at all,4,3 - Not very worried, , , , , , , , , , , , , , , , , , , , , , , , , , ,Do not feel unsafe in London, , , , , , , , , , , , , , , , , , , ,None of these, ,3,3,3,3,3,3,3,3,5 - No problem at all,5 - No problem at all,3,3, , , , ,Reducing pollution from traffic, , , ,Climate Change, , , , , , ,4 - Fairly satisfied,4 - Fairly satisfied,About the same,About the same, , , ,Some confidence,Some confidence,A lot of confidence,A lot of confidence, , , , , , , ,Don't know,Roads,Reducing traffic congestion, , ,Less pollution from traffic, , , , , , , , , , ,Local buses,Underground services (the tube), , , , , ,Car or van, , , ,4 - Very safe,Very safe, , , ,3 - Fairly safe,Fairly safe, , , ,5 - Strongly agree,3- Neither agree nor disagree, , , ,Bringing more people/tourists to London, ,Improving the local economy, , , , , , , , , , , , , , , , ,Improved transport, , , , , , , , , , , , , , ,Don't know,Yes (correct) - Boris Johnson,Not very much, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Nothing at all, , , , , , , , , , ,Don't know,Gives us only a limited amount of information, , , , , , ,Local/Regional Television, , , , , , , , , , , , , , , , , , , , , , ,Local/Regional Television, , , , , , , , , , , , , , , , ,Definitely disagree,Definitely disagree, , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , ,Don't know,Yes,No,C2,Yes,No,1 car or light van, , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Female,25 - 34,BLACK OR BLACK BRITISH - African,looking after house/children,Rented from private landlord,Up to 1 year,Over 10 years up to 15 years,4 - Fairly satisfied,Fairly satisfied, ,Schools,Health services,Job opportunities, , , , , , , , , , , , , , , , , , , , , , ,The range of housing available,Safety and policing, , , , ,3 - Neither agree nor disagree,Tend to agree,Neither agree nor disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Tend to agree,Tend to agree,4 - Very safe,5 - No problem at all,5 - No problem at all,5 - No problem at all,4,3,3,2 - Fairly worried, , , ,Fear of burglary, , , , , , , , , , , , , , , ,"Run-down local environment (e.g. graffiti, litter, fly-tipping, derelict buildings, etc.)", , , , , , , , , , , ,More police around on foot, , , , , ,"Improving the local environment e.g. removing graffiti, abandoned vehicles etc", , , , , , , , , , ,2,2,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,2,2,Don't know,Don't know,Don't know,2, , , , , , , , ,Climate Change, , ,Dealing with litter, , , ,2 - Fairly dissatisfied,4 - Fairly satisfied,About the same,About the same, , , ,A lot of confidence,A lot of confidence,A lot of confidence,A lot of confidence, , , , , , , ,Don't know,Don't know, , , , , , , , , , , , , ,Don't know,Local buses,Underground services (the tube), , , , , , , , , ,3 - Fairly safe,Fairly safe, , , ,Don't use at night for any other reason,Don't use at night for any other reason, , , ,4 - Tend to agree,4- Tend to agree, , , ,Bringing more people/tourists to London,Benefits for businesses,Improving the local economy, , , , , , , , , , , , , , , , , ,Attracting more tourists, , , , , , , , , , , , , ,Don't know,No/don't know,Nothing at all, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Nothing at all, , , , , , , , , , ,Don't know,Don't know, , , , , , , , , , , , , , , , , , , , , , ,Don't get information, , , , , , ,Local/Regional Television, , , , , , , , , , , , , , , , ,Definitely disagree,Definitely disagree, , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , ,Don't know,No,No,D,Yes,No,1 car or light van, , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , ,None of these, , , , , , ,No access to the Internet, ,TV
Female,25 - 34,WHITE - Any other white background,looking after house/children,Being bought on mortgage,Over 2 years up to 5 years,Over 15 years up to 20 years,5- Very satisfied,Fairly satisfied,Transport, , , , ,The range of shops, , , , , , , , , , , , , , , , , , , , , ,Safety and policing, , , , ,4 - Tend to agree,Tend to agree,Neither agree nor disagree,Tend to agree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3 - Fairly safe,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,4 - Not at all worried, , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , , , ,None of these, ,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all, , ,Protecting plants and wildlife, , , , , , , , , , , , ,4 - Fairly satisfied,4 - Fairly satisfied,More,More,No,Don't know,Don't know,Not much confidence,Not much confidence,Some confidence,Some confidence, , , , , , ,Other, ,Roads,Reducing traffic congestion, , , , , , , , , , , , , ,Local buses,Underground services (the tube),Local train services, , , , ,Car or van, , , ,3 - Fairly safe,Fairly safe,Fairly safe, , ,2 - A bit unsafe,A bit unsafe,A bit unsafe, , ,4 - Tend to agree,2 - Tend to disagree, , , ,Bringing more people/tourists to London, ,Improving the local economy, , , , , , , , , , , , , , , , , ,Attracting more tourists, , , , , , , , , , , , , ,Don't know,Yes (correct) - Boris Johnson,Not very much, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Nothing at all, , , , , , , , , , ,Don't know,Keeps us fairly well informed, ,Leaflets delivered to the door, , , , , , , , , , , , , , , , , , , , , , ,Leaflets delivered to the door, , , , , , , , , , , , , , , , , , , , , ,Tend to disagree,Tend to disagree, , , , , , , , , , , ,None of these, , , ,Health service, , ,Improved public transport,Crime and safety, , , , , , , , , , ,No,Yes,C1,No,No,1 car or light van, , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Male,35 - 44,ASIAN OR ASIAN BRITISH - Any other Asian background,Part-time (9-29 hrs),Rented from private landlord,Over 1 year up to 2 years,Over 5 years up to 10 years,2 - Fairly dissatisfied,Fairly dissatisfied, ,Schools,Health services,Job opportunities, , , , , , , , , , , , , , , , ,The range of parks and open spaces,The range of shops,The range of sports and leisure, , , , , , , , , ,4 - Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to disagree,Neither agree nor disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,3 - Fairly safe,4,5 - No problem at all,5 - No problem at all,3,3,5 - No problem at all,3 - Not very worried, , , ,Fear of burglary, , , , , , , , , , , , , , , , , , , , , , , , , , ,More security cameras (CCTV),More police around on foot,Neighbourhood Watch schemes/ wardens, , , , , , , , , , , , , , , ,4,4,4,4,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,4,4,3, , ,Protecting plants and wildlife,Reducing pollution of rivers and canals, , , , , , , , , , , ,3 - Neither satisfied nor dissatisfied,3 - Neither satisfied nor dissatisfied,Less,Less, , , ,Some confidence,Some confidence,Not much confidence,Not much confidence, , , ,Metropolitan Police Service, , , , ,Buses, , ,More reliable buses and tubes,Less pollution from traffic,More investment in improving London as a place to cycle, , , , , , , , , ,Local buses,Underground services (the tube), , , , , , , , , ,3 - Fairly safe,Fairly safe, , , ,3 - Fairly safe,Fairly safe, , , ,3 - Neither agree nor disagree,3- Neither agree nor disagree, , ,Promoting England/The London area,Bringing more people/tourists to London,Benefits for businesses, , , , , , , , , , , , , , , ,Better leisure facilities,Increased business and job opportunities, , , , , , , ,Government,Mayor/Greater London Authority, , , , , , , ,No/don't know,Not very much,Congestion Charging,Buses,Tube, , , , , , , , , , , , , , , , , , , , , , , ,Not very much, , ,Making decisions on congestion charging,Setting the level of council taxes in London,Questioning the Mayor about his activities, , , , , , ,Gives us only a limited amount of information, , , ,Metro,Evening Standard, , , , , , , , , , , , , , , , , , , , ,Council newspapers and freesheets,Metro, , , , , , , , , , , , , , , , , , , ,Tend to agree,Tend to agree, , ,"Online comment and protest for example through blogs, Twitter, online petitions","On street campaigning, such as a march, protest, demonstration, picket or street stall","Voluntary work, like helping a local charity with fundraising or sponsored activities", , , , , , , , ,Education and training,Local environment,Health service, , , , , , , , , , , , , , ,Yes,No,C2,Yes,No,1 car or light van, , , , , , , , , ,Metro, , , , , , , , , , , , , , , , , , ,Metro, , , , , , , , , , , , ,Yes at home, , , ,TV
Male,25 - 34,ASIAN OR ASIAN BRITISH - Indian,looking after house/children,Being bought on mortgage,Over 1 year up to 2 years,Over 1 year up to 2 years,2 - Fairly dissatisfied,Fairly dissatisfied, , , , , ,The range of shops,The range of sports and leisure, , , , , , , , , , , , , ,The range of parks and open spaces,The range of shops, , , , , , , , , , ,3 - Neither agree nor disagree,Tend to agree,Strongly agree,Strongly disagree,Strongly agree,No opinion,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,No opinion,No opinion,Neither agree nor disagree,4 - Very safe,5 - No problem at all,5 - No problem at all,3,Don't know,5 - No problem at all,5 - No problem at all,3 - Not very worried, , ,Fear of being mugged or physically attacked,Fear of burglary,Fear of harassment or attack due to race or religious beliefs, , , , , , , , , , , , , , , , , , , , , , , , , ,More security cameras (CCTV),More police around on foot,Neighbourhood Watch schemes/ wardens, , , , , , , , , , , , , , , ,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,2, , , ,Reducing pollution of rivers and canals,Reducing pollution from traffic, , , , , , , , , , ,3 - Neither satisfied nor dissatisfied,3 - Neither satisfied nor dissatisfied,About the same,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, , , , , , , ,Don't know,Buses, , ,More reliable buses and tubes,Less pollution from traffic,More investment in improving London as a place to cycle, , , , , , , , , , , ,Local train services,Black cabs, , , , , , , , , ,Don't know,Don't know, , , ,Don't know,Don't know, ,4 - Tend to agree,4- Tend to agree, , , ,Bringing more people/tourists to London,Benefits for businesses,Improving the local economy, , , , , , , , , , , , , , ,Better leisure facilities,Increased business and job opportunities,Improved transport, , , , , , ,Government,Mayor/Greater London Authority, , , , , , , ,No/don't know,Not very much, , ,Tube,Representing London at home and abroad, , , , , , , , , , , , , , , , , , , , , , ,Not very much, , ,Making decisions on congestion charging, , , , , , , , ,Keeps us fairly well informed, , , ,Metro, , , , , , , , , , , , , , , , , , , , , , ,Metro, , , , , , , , , , , , , , , , , , , ,Tend to disagree,Tend to disagree, , , , , , , , , , , ,None of these, , ,Local environment, , , , ,Crime and safety, , , , , , , , , , ,No,No,C1,Yes,No,1 car or light van, , , , , , , , , ,Metro, , , , , , , , , , , , , , , , , , ,Metro, , , , , , , , , , , , ,Yes at home, , , ,TV
Female,55 - 64,ASIAN OR ASIAN BRITISH - Indian,invalid/disabled,Being bought on mortgage,Over 20 years or more,Over 20 years or more,2 - Fairly dissatisfied,Fairly dissatisfied,Transport, , ,Job opportunities,The range of parks and open spaces, , , , , , , , , , , , , , , , , , , , , , , , , ,None of these, ,5 - Strongly agree,Strongly agree,Strongly agree,Tend to agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2 - A bit unsafe,5 - No problem at all,5 - No problem at all,5 - No problem at all,Don't know,3,5 - No problem at all,2 - Fairly worried, , ,Fear of being mugged or physically attacked,Fear of burglary, , , , , , , , , , , , , , , , , , , , , , , , , , ,More security cameras (CCTV),More police around on foot,Neighbourhood Watch schemes/ wardens, , , , , , , , , , , , , , , ,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all, , , ,Reducing pollution of rivers and canals,Reducing pollution from traffic, , , , , , , , , , ,3 - Neither satisfied nor dissatisfied,3 - Neither satisfied nor dissatisfied,About the same,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, , , , , , , ,Don't know,Buses, , ,More reliable buses and tubes,Less pollution from traffic, , , , , , , , , , ,Local buses, ,Local train services, , , , , , , , ,3 - Fairly safe, ,Fairly safe, , ,3 - Fairly safe, ,Fairly safe, , ,3 - Neither agree nor disagree,3- Neither agree nor disagree, , ,Promoting England/The London area,Bringing more people/tourists to London, , , , , , , , , , , , , , , , ,Better leisure facilities, , , , , , , , ,Government,Mayor/Greater London Authority,London Organising Committee of the Olympic Games (LOCOG), , , , , , ,Yes (correct) - Boris Johnson,A fair amount, ,Buses,Tube, , , , , , , , , , , , , , , , , , , , , , , ,Not very much, , , ,Setting the level of council taxes in London,Questioning the Mayor about his activities, , , , , , ,Keeps us fairly well informed, , , ,Metro, , , , , , , , , , , , , , , , , , , , , , ,Metro, , , , , , , , , , , , , , , , , , , ,Tend to agree,Tend to disagree, , , ,"On street campaigning, such as a march, protest, demonstration, picket or street stall", , , , , , , , , , , ,Health service, , , , , , , , , , , , , , ,Yes,No,D,No,No,1 car or light van, , , , , , , , , , , , , , , , , , ,Don't know, , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Male,65+,Refused,Not working - retired,Being bought on mortgage,Over 20 years or more,Over 20 years or more,3- Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Transport, , ,Job opportunities, , , , , , , , , , , , , , , , , ,The range of shops,The range of sports and leisure, , , , , , , , , ,4 - Tend to agree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,3 - Fairly safe,3,5 - No problem at all,5 - No problem at all,3,4,4,1- Very worried, , , ,Fear of burglary, , , , , , , , , , , , , , , , , , , , , , , , , , ,More security cameras (CCTV),More police around on foot,Neighbourhood Watch schemes/ wardens, , , , , , , , , , , , , , , ,4,5 - No problem at all,4,5 - No problem at all,4,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,4, , , , ,Reducing pollution from traffic,Fly tipping, , , , , , , , , ,3 - Neither satisfied nor dissatisfied,3 - Neither satisfied nor dissatisfied,About the same,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, , , , , , , ,Don't know,Buses, , ,More reliable buses and tubes,Less pollution from traffic,More investment in improving London as a place to cycle, , , , , , , , , , ,Underground services (the tube),Local train services, , , , , , , , , ,Don't know,Don't know, , , ,Don't know,Don't know, , ,4 - Tend to agree,4- Tend to agree, ,Improving/regenerating Greater London,Promoting England/The London area,Bringing more people/tourists to London, , , , , , , , , , , , , , , , , ,Increased business and job opportunities,Improved transport, , , , , , ,Government,Mayor/Greater London Authority, , , , , , , ,Yes (correct) - Boris Johnson,A fair amount, ,Buses,Tube, , , , , , , , , , , , , , , , , , , , , , , ,Not very much, , ,Making decisions on congestion charging,Setting the level of council taxes in London, , , , , , , ,Gives us only a limited amount of information, , , , ,Evening Standard, , , , , , , , , , , , , , , , , , , , , ,Metro, , , , , , , , , , , , , , , , , , , ,Tend to agree,Tend to agree, , ,"Online comment and protest for example through blogs, Twitter, online petitions","On street campaigning, such as a march, protest, demonstration, picket or street stall", , , , , , , , , , , ,Health service, ,Policing, , , , , , , , , , , , ,Yes,No,D,No,No,1 car or light van, , , , , , , , , , , ,The Sun, , , , , , , , , , , , , , , , , , ,The Sun, , , , , , , , , , , , , ,Don't know,TV
Male,25 - 34,Any other background,Working - Full time (30+ hrs),Rented from private landlord,Over 1 year up to 2 years,Over 5 years up to 10 years,4 - Fairly satisfied,Fairly satisfied, , , , ,The range of parks and open spaces,The range of shops, , , , , , , , , , , , ,Health services, , , , , , , , , , , , , ,4 - Tend to agree,Tend to agree,Tend to disagree,Tend to disagree,Neither agree nor disagree,No opinion,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,1 - Very unsafe,1 - Major problem,2,2,5 - No problem at all,1 - Major problem,5 - No problem at all,3 - Not very worried, ,People dealing drugs,Fear of being mugged or physically attacked, , , , , , , , , , , , , , , , , , , , , , , , , , ,Traffic restrictions/more pedestrian crossings,More security cameras (CCTV),More police around on foot, , , , , , , , , , , , , , , , ,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all, , , , , , ,Noise from neighbours, , , , , , , , ,5- Very satisfied,5 - Very satisfied,Less,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, ,Home Office,Mayor/Greater London Authority,Metropolitan Police Service, , , , ,Other, , ,More reliable buses and tubes,Less pollution from traffic, , , , , , , , , , ,Local buses,Underground services (the tube), , , , , , , , , ,Don't know,Don't know, , , ,Don't know,Don't know, , , ,3 - Neither agree nor disagree,3- Neither agree nor disagree, , ,Promoting England/The London area,Bringing more people/tourists to London, , , , , , , , , , , , , , , ,More adults participating in sport, ,Increased business and job opportunities, , , , , , , , , , , , , , , ,Don't know,No/don't know,Not very much, , , , , , , , , , , , , , , , , , , , , , , , , ,Don't know,Not very much, , ,Making decisions on congestion charging,Setting the level of council taxes in London, , , , , , , ,Keeps us fairly well informed, , , , , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , , , , , ,None of these, , ,Tend to agree,Tend to agree, , , ,"On street campaigning, such as a march, protest, demonstration, picket or street stall", , , , , , , , , ,Education and training,Local environment,Health service, , , , , , , , , , , , , , ,Yes,No,C2,Yes,No,1 car or light van, , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , ,None of these, , , , ,Yes at home, , , ,TV
Male,55 - 64,WHITE - British,Working - Full time (30+ hrs),Being bought on mortgage,Over 15 years up to 20 years,Over 20 years or more,2 - Fairly dissatisfied,Fairly dissatisfied,Transport, ,Health services,Job opportunities, , , , , , , , , , , , , , , , , , ,The range of sports and leisure,Nightlife (theatres/clubs/bars), , , , , , , , ,No opinion,No opinion,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3 - Fairly safe,4,5 - No problem at all,2,5 - No problem at all,2,2,2 - Fairly worried, , , ,Fear of burglary, , , , , , , , , , , , , , , , , , , , , , , , , , ,More security cameras (CCTV),More police around on foot, , , , , , , , , , , , , , , , ,4,4,4,5 - No problem at all,4,5 - No problem at all,5 - No problem at all,4,4,4,5 - No problem at all,4, , ,Protecting plants and wildlife,Reducing pollution of rivers and canals, , , , , , , , , , , ,3 - Neither satisfied nor dissatisfied,5 - Very satisfied,About the same,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, , , ,Metropolitan Police Service, , , , ,London Underground, ,Cheaper bus and tube fares,More reliable buses and tubes, , , , , , , , , , , , ,Underground services (the tube), , , , , , , , , , ,Fairly safe, , , , ,Fairly safe, , , ,4 - Tend to agree,5- Strongly agree, ,Improving/regenerating Greater London, , , , , , , , , , , , , , , , , ,More adults participating in sport,Better leisure facilities, , , , , , , , ,Government,Mayor/Greater London Authority,London Organising Committee of the Olympic Games (LOCOG), , , , , , ,Yes (correct) - Boris Johnson,A fair amount, ,Buses,Tube,Representing London at home and abroad, , , , , , , , , , , , , , , , , , , , , , ,Not very much,Determining policies and priorities for the GLA/The Mayor,Planning public transport, , , , , , , , , ,Gives us only a limited amount of information, , , , , , , , , , , , , , , , , , , , ,None of these, , , , , , , , , , , , , , , , , , , , , , ,None of these, , ,Tend to agree,Tend to agree, ,Signing a petition,"Online comment and protest for example through blogs, Twitter, online petitions", , , , , , , , , , , , , ,Affordable housing and property prices,Policing, , , , , , , , , , , , ,Yes,No,B,No,No,1 car or light van, , , , ,Daily Telegraph, , , , , , , , , , , , , , , , , , ,Daily Telegraph, , , , , , , , , , , , , , , , , ,Yes at home, , , ,TV
Female,55 - 64,WHITE - Any other white background,Not working - retired,Owned outright,Over 15 years up to 20 years,All my life/born in London,3- Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied, , , ,Job opportunities,The range of parks and open spaces, , , , , , , , , , , , , , ,Job opportunities, ,The range of shops, , , , , , , , , , ,4 - Tend to agree,Tend to agree,Tend to agree,Strongly agree,Tend to agree,Tend to agree,Tend to agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2 - A bit unsafe,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,5 - No problem at all,3 - Not very worried, , , , , , , , , , , , , , , , , ,Press reports about crime, , , , , , , , , , , ,Traffic restrictions/more pedestrian crossings,More security cameras (CCTV),More police around on foot, , , , , , , , , , , , , , , , ,5 - No problem at all,4,4,5 - No problem at all,4,5 - No problem at all,4,5 - No problem at all,5 - No problem at all,5 - No problem at all,4,4, , ,Protecting plants and wildlife,Reducing pollution of rivers and canals, , , , , , , , , , , ,3 - Neither satisfied nor dissatisfied,3 - Neither satisfied nor dissatisfied,Less,About the same, , , ,Some confidence,Some confidence,Some confidence,Some confidence, ,Home Office,Mayor/Greater London Authority,Metropolitan Police Service, , , , ,Buses, , ,More reliable buses and tubes,Less pollution from traffic,More investment in improving London as a place to cycle, , , , , , , , , ,Local buses,Underground services (the tube),Local train services, , , , , , , , ,3 - Fairly safe,Fairly safe,Fairly safe, , ,3 - Fairly safe,A bit unsafe,Fairly safe, , ,3 - Neither agree nor disagree,3- Neither agree nor disagree, , ,Promoting England/The London area,Bringing more people/tourists to London,Benefits for businesses, , , , , , , , , , , , , , , ,Better leisure facilities,Increased business and job opportunities, , , , , , , ,Government,Mayor/Greater London Authority, , , , , , , ,Yes (correct) - Boris Johnson,A fair amount, ,Buses,Tube, , , , , , , , , , , , , , , , , , , , , , , ,Not very much, ,Planning public transport,Making decisions on congestion charging,Setting the level of council taxes in London, , , , , , , ,Gives us only a limited amount of information, ,Leaflets delivered to the door,Council newspapers and freesheets,Metro, , , , , , , , , , , , , , , , , , , , , , ,Metro, , , , , , , , , , , , , , , , , , , ,Tend to agree,Tend to agree, , ,"Online comment and protest for example through blogs, Twitter, online petitions","On street campaigning, such as a march, protest, demonstration, picket or street stall", , , , , , , , , , ,Local environment,Health service, , , , , , , , , , , , , , ,Yes,Yes,B,No,No,1 car or light van, , , , ,Daily Telegraph, , , , , , , , , , , , , , , , , , ,Daily Telegraph, , , , , , , , , , , , , , , , , ,Yes at home, , , ,TV
