Invoice Number, Batch No,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,39,209.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,40,209.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,41,209.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,42,209.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,43,209.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,44,209.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,45,209.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,46,209.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
019189,301017G,FAITHORN FARRELL TIMMS LLP,019189,47,209.00,REACTIVE SMALL WORKS AND PROJ,02/11/17,,Technical and Service Support,Works - Construction
101101946,261017K,AFFINITY BUSINESS RETAIL LTD,101101946,1,530.00,CURRENT HYDRANT COSTS,02/11/17,530.00,Procurement,Works - Construction
101101954,261017K,AFFINITY BUSINESS RETAIL LTD,101101954,1,265.00,CURRENT HYDRANT COSTS,02/11/17,265.00,Procurement,Works - Construction
101103845,301017G,AFFINITY BUSINESS RETAIL LTD,101103845,1,558.00,CURRENT HYDRANT COSTS,02/11/17,558.00,Procurement,Works - Construction
1109787,301017G,*SPRUE SAFETY PRODUCTS LTD,1109787,1,"1,359.60",FIRE DETECTORS,02/11/17,"1,359.60",Fire Stations (South West),Health and Safety
1109789,301017G,*SPRUE SAFETY PRODUCTS LTD,1109789,1,865.20,FIRE DETECTORS,02/11/17,865.20,Fire Stations (South West),Health and Safety
1109807,301017G,*SPRUE SAFETY PRODUCTS LTD,1109807,1,"1,606.80",FIRE DETECTORS,02/11/17,"1,606.80",Fire Stations (South West),Health and Safety
1109810,301017G,*SPRUE SAFETY PRODUCTS LTD,1109810,1,"1,606.80",FIRE DETECTORS,02/11/17,"1,606.80",Fire Stations (South West),Health and Safety
14428/829,301017G,THE MARSTAN PRESS LTD========,14428/829,1,"5,796.36",GENERAL CONSUMABLES,02/11/17,"5,796.36",Procurement,Emergency Services
14848,301017G,THE SPRINGBOARD CONSULTANCY LT,14848,1,"3,033.33",PROFESSIONAL DEVELOPMENT,02/11/17,"3,033.33",Development and Training,Human Resources
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,1,40.00,PLANNED PEST CONTROL,02/11/17,"2,450.69",Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,2,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,3,56.67,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,4,166.67,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,5,52.67,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,6,83.33,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,7,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,8,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,9,41.33,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,10,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,11,53.75,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,12,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,13,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,14,83.33,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,15,71.67,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,16,48.33,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,17,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,18,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,19,116.67,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,20,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,21,46.67,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,22,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,23,83.33,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,24,60.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,25,83.33,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,26,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,27,80.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,28,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,29,48.67,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,30,83.33,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,31,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,32,14.29,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,33,14.29,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,34,14.29,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,35,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,36,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,37,83.33,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,38,53.33,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,39,55.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,40,79.25,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,41,83.33,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,42,40.00,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,43,56.67,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,44,14.29,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,45,14.29,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,46,14.29,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
1504176,800106107,SAFEGUARD PEST CON. & ENV.LTD,1504176,47,14.29,PLANNED PEST CONTROL,02/11/17,,Technical and Service Support,Environmental Services
155636,191017K,H FINE & SON LTD==============,155636,1,520.00,UNIFORMS - POMS,02/11/17,520.00,Procurement,Clothing
17020757,301017G,KIER BUILDING SERV ENGINEERS,17020757,1,"11,940.78",STRATEGIC (CYCLICAL),02/11/17,"11,940.78",Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,1,838.20,REACTIVE MEP,02/11/17,"15,445.23",Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,2,"2,082.20",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,3,"1,238.60",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,4,"1,393.70",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,5,873.40,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,6,65.93,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,7,830.50,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,8,949.74,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,9,51.23,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,10,131.34,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,11,"1,013.65",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,12,43.44,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,13,184.74,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,14,32.80,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,15,"1,071.96",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,16,464.38,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,17,464.38,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,18,464.38,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,19,464.38,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,20,464.38,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,21,464.38,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,22,464.38,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,23,464.38,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,24,464.38,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027787,800105977,ENGIE,1800027787,25,464.38,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027788,800105979,ENGIE,1800027788,1,"1,322.94",REACTIVE MEP,02/11/17,"3,862.70",Technical and Service Support,Works - Construction
1800027788,800105979,ENGIE,1800027788,2,511.96,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027788,800105979,ENGIE,1800027788,3,417.28,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027788,800105979,ENGIE,1800027788,4,842.60,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027788,800105979,ENGIE,1800027788,5,426.69,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027788,800105979,ENGIE,1800027788,6,290.45,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027788,800105979,ENGIE,1800027788,7,50.78,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,1,"2,018.50",REACTIVE MEP,02/11/17,"16,563.94",Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,2,"1,072.50",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,3,174.95,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,4,776.75,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,5,536.35,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,6,633.50,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,7,"1,305.70",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,8,"4,881.38",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,9,149.50,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,10,382.20,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,11,904.81,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,12,"1,772.00",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,13,207.90,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,14,81.40,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,15,128.70,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,16,100.10,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,17,95.70,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,18,410.30,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,19,292.60,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,20,423.50,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027790,800105723,ENGIE,1800027790,21,215.60,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,1,"2,066.05",REACTIVE MEP,02/11/17,"15,204.85",Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,2,872.51,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,3,"3,201.08",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,4,130.25,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,5,602.42,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,6,673.97,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,7,"3,116.40",REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,8,311.30,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,9,158.40,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,10,100.10,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,11,159.50,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,12,203.50,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,13,649.00,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,14,629.20,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,15,99.00,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,16,170.74,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,17,538.48,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,18,826.23,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,19,351.90,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
1800027795,800105726,ENGIE,1800027795,20,344.82,REACTIVE MEP,02/11/17,,Technical and Service Support,Works - Construction
19261499,271017G,COMPASS GROUP LTD,19261499,1,"8,100.00",PUBLIC RELATIONS,02/11/17,"8,100.00",National Operational Guidance Project,Facilities & Management Services
2017062482181,171017K,COTSWOLD OUTDOOR LTD,2017062482181,1,20.54,OPERATIONAL EQUIP-PURCHASE,02/11/17,"1,170.45",Operational Policy,Emergency Services
2017062482181,171017K,COTSWOLD OUTDOOR LTD,2017062482181,2,20.54,OPERATIONAL EQUIP-PURCHASE,02/11/17,,Operational Policy,Emergency Services
2017062482181,171017K,COTSWOLD OUTDOOR LTD,2017062482181,3,20.54,OPERATIONAL EQUIP-PURCHASE,02/11/17,,Operational Policy,Emergency Services
2017062482181,171017K,COTSWOLD OUTDOOR LTD,2017062482181,4,20.54,OPERATIONAL EQUIP-PURCHASE,02/11/17,,Operational Policy,Emergency Services
2017062482181,171017K,COTSWOLD OUTDOOR LTD,2017062482181,5,20.54,OPERATIONAL EQUIP-PURCHASE,02/11/17,,Operational Policy,Emergency Services
2017062482181,171017K,COTSWOLD OUTDOOR LTD,2017062482181,6,20.54,OPERATIONAL EQUIP-PURCHASE,02/11/17,,Operational Policy,Emergency Services
2017062482181,171017K,COTSWOLD OUTDOOR LTD,2017062482181,7,70.83,CLOTHING,02/11/17,,Operational Policy,Clothing
