Vendor Name, Batch Number,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Pro Class
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,5,398.33,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,6,355.76,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,7,349.49,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,8,334.62,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,9,320.56,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,10,311.73,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,11,309.04,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,12,285.2,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,13,276.88,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,14,262.15,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,15,261.65,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,16,260.34,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,17,259.78,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,18,249.61,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,19,249.21,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,20,247.35,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,21,241.28,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,22,240.88,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,23,238.93,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,24,235.63,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,25,235.25,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,26,233.9,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,27,227.65,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,28,224.3,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,29,223.98,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,30,220.67,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,31,218.83,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,32,216.63,FUEL,01/12/2014,,Regulatory Fire Safety,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,33,214.72,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,34,214.38,FUEL,01/12/2014,,Operations Non Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,35,213.29,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,36,212.63,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,37,211.8,FUEL,01/12/2014,,Business Continuity,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,38,206.53,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,39,205.28,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,40,203.96,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,41,202.08,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,42,201.45,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,43,198.57,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,44,183.02,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,45,179.75,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,46,171.63,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,47,161.91,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,48,158.1,FUEL,01/12/2014,,Operational Resilience,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,49,155.32,FUEL,01/12/2014,,Command Units,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,50,152.67,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,51,152.37,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,52,146.79,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,53,139.19,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,54,136.45,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,55,136.28,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,56,135.93,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,57,133.04,FUEL,01/12/2014,,Command Units,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,58,132.13,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,59,129.63,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,60,128.48,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,61,128.45,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,62,127.15,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,63,126.96,FUEL,01/12/2014,,Operational Procedures,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,64,124.14,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,65,123.45,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,66,123.02,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,67,122.98,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,68,121.74,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,69,119.49,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,70,117.5,FUEL,01/12/2014,,Operational Resilience,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,71,114.63,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,72,112.94,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,73,112.02,FUEL,01/12/2014,,Command Units,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,74,108.66,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,75,106.27,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
ALLSTAR BUSINESS SOLUTIONS LTD,800055472,E2003831489,76,97.6,FUEL,01/12/2014,,Operations Fire Stations,Vehicle Management
