Contracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Directorate,Department,Team Name,Service Delivery Contract Manager,CPS allocated to,Classification,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6538,Male Trousers - SMs & above,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 3,124","£ 3,124",£ 0,0,No,No,Delegated Authority,,01/10/2019,30/06/2020,,, Costello & Sons Ltd (vendor no: N/A)
6537,Fire Boat Uniform,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 21,515","£ 21,515",£ 0,3,No,No,Delegated Authority,,01/10/2019,01/01/2020,,, Abaris International Ltd (vendor no: N/A)
6536,Shoes for Operational Staff,Corporate Services Directorate,Procurement,Corporate Procurement Services,Anouska Herman,Kayleigh Goater,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 73,275","£ 73,275",£ 0,9,No,No,Delegated Authority,,01/10/2019,01/07/2020,,, NPS Shoes Ltd (vendor no: N/A)
6531,SP Services Medical Consumables,Corporate Services Directorate,Procurement,Corporate Procurement Services,Gary Phillips,Gary Phillips,Operational Equipment / Medical and Surgical Consumables,No,No,Yes,No,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,12,No,No,Delegated Authority,,21/10/2019,21/10/2020,,, SP Services (vendor no: N/A)
6526,Training Rig Consumables,Corporate Services Directorate,Procurement,Corporate Procurement Services,Maria Sun,Maria Sun,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,12,No,No,Delegated Authority,,25/09/2019,25/09/2020,,, Sigma Security Devices Ltd (vendor no: N/A)
6523,Miscellaneous Pallets and Benches,Corporate Services Directorate,Procurement,Corporate Procurement Services,Maria Sun,Maria Sun,Operational Equipment / Warehousing and Storage,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 2,000","£ 2,000",£ 0,12,No,No,Delegated Authority,,25/09/2019,25/09/2020,,, Rajapack t/a Welco (vendor no: N/A)
6522,Signage,Corporate Services Directorate,Procurement,Corporate Procurement Services,Maria Sun,Maria Sun,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 4,000","£ 4,000",£ 0,12,No,No,Delegated Authority,,25/09/2019,25/09/2020,,, Techniform Graphics (vendor no: N/A)
6520,Gas Detecting and Monitoring Equipment,Corporate Services Directorate,Procurement,Corporate Procurement Services,Maria Sun,Maria Sun,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,12,No,No,Delegated Authority,,19/09/2019,19/09/2020,,, Ribble Enviro Ltd (vendor no: N/A)
6517,ARCO PPE and Related Items,Corporate Services Directorate,Procurement,Corporate Procurement Services,Gary Phillips,Gary Phillips,Clothing and PPE / Clothing and Textiles,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 40,000","£ 40,000",£ 0,24,No,No,Delegated Authority,"RM3837 Construction Products, Consumables and Materials",01/10/2019,01/10/2021,,, ARCO Limited (vendor no: N/A)
6502,Radio Batteries and Accessories (Radiocom Systems Ltd),Corporate Services Directorate,Information and Communications Technology ,ICT Management,Christopher Yiangou,Sharon Donovan,ICT / Services,No,No,Yes,No,Goods/Service,Expenditure,"£ 67,486","£ 67,486",£ 0,12,No,No,Delegated Authority,,09/05/2019,09/05/2020,,,Radiocom Systems Ltd
6500,Replacement Radio Covers (Orbison),Corporate Services Directorate,Procurement,Corporate Procurement Services,Sharon Donovan,Sharon Donovan,ICT / Services,No,No,Yes,No,Goods/Service,Expenditure,"£ 5,130","£ 21,300","(£ 16,170)",12,No,No,Delegated Authority,,15/10/2019,15/10/2020,,,Orbison
6461,Agreement for Provision of Merchandising and Promotional Items,Corporate Services Directorate,Communications,Internal Communications and Events,Elizabeth O'Hare,Anouska Herman,Office Solutions / Office Supplies,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 120,000","£ 120,000",£ 0,24,No,No,Delegated Authority,,23/01/2019,23/01/2021,,, Brand Alchemist (vendor no: N/A)
6458,Statutory Compliance Consultant,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Maria Sun,Construction and FM / Consultancy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 104,000","£ 104,000",£ 0,12,No,No,Delegated Authority,,01/07/2019,30/06/2020,,, Quintain Facilities Management Limited (vendor no: N/A)
6456,Executive Search  ,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Kushalta Saini,John Tunnicliff,Professional Services  / Contingent Labour,No,No,Yes,No,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,4,No,No,Budget Holder Approval,,24/07/2019,24/11/2019,,, frazer jones  (vendor no: N/A)
6449,"Fulham fire station, refurbishment of showers and toilets",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,Maria Sun,Construction and FM / Building Operations,No,No,Yes,No,Works,Expenditure,"£ 106,188","£ 120,000","(£ 13,812)",3,No,No,Budget Holder Approval,,14/10/2019,14/01/2020,,, B Nokes Contracts (vendor no: N/A)
6448,"Paddington fire station, alterations to form new dorms",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,Gary Phillips,Construction and FM / Construction Service Providers,No,No,Yes,No,Works,Expenditure,"£ 100,000","£ 100,000",£ 0,2,No,No,Budget Holder Approval,,04/11/2019,04/01/2020,,, B Nokes Contracts (vendor no: N/A)
6438,Freelance in-house graphic design support,Corporate Services Directorate,Communications,Internal Communications and Events,Justina Leitao,Gary Phillips,Professional Services  / Contingent Labour,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,36,No,No,Budget Holder Approval,,01/09/2019,01/09/2022,,, Karina Beasley Ltd t/a Gabriele (vendor no: N/A)
6434,Strategic Direction piece,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Timothy Powell,Maria Sun,Professional Services  / Consultancy,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 47,860","£ 50,000","(£ 2,140)",2,Yes,No,Delegated Authority,,30/05/2019,02/08/2019,03/08/2019,03/09/2019, Engage (vendor no: N/A)
6433,Performance management Framework (appraisals),Corporate Services Directorate,People Services,HR Advice & Employee Relations,Timothy Powell,Maria Sun,Professional Services  / Consultancy,No,No,Yes,No,Goods/Service,Expenditure,"£ 62,000","£ 10,000","£ 52,000",5,No,No,Delegated Authority,,02/09/2019,31/01/2020,,, Advance 63 (vendor no: N/A)
6424,Level 3 Fire Safety Auditors Qualification,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Robert Fisher,Professional Services  / Learning,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 18,220","£ 18,220",£ 0,12,No,No,Delegated Authority,,26/03/2019,26/09/2019,,, Xact Consultancy and Training LTD (vendor no: 19399)
6423,Senior M&E Consultant,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Devron Cariba,Construction and FM / Technical Services,No,No,Yes,No,Goods/Service,Expenditure,"£ 105,600","£ 105,600",£ 0,12,No,No,Delegated Authority,,04/03/2019,04/03/2020,,, Global Real Estate Ltd (vendor no: 17469)
6422,Mental Health First Aid Training,Corporate Services Directorate,People Services,Wellbeing,Milorad Bodrozic,Remmy Kamya,Professional Services  / Development and Training,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 60,000","£ 60,000",£ 0,3,No,No,Budget Holder Approval,,01/05/2019,30/04/2022,,, MHFA England (vendor no: N/A)
6421,Vehicle Glass Replacement & Repair ,Corporate Services Directorate,Procurement,Vehicle Administration,Floyd Phillip,Maria Sun,Fleet  / Fleet Management,No,No,Yes,No,Goods/Service,Expenditure,"£ 27,000","£ 27,000",£ 0,24,No,No,Budget Holder Approval,ESPO 275,13/05/2019,13/05/2021,,, Nationwide Windscreen Services Limited (vendor no: N/A)
6417,Skills for Justice level 6 Advanced Tactical Incident Command Course,Commissioner,Safety and Assurance Directorate,Incident Command Policy,Julian Spooner,Gary Phillips,Professional Services  / Development and Training,No,No,Yes,No,Goods/Service,Expenditure,"£ 47,520","£ 47,520",£ 0,12,No,No,Budget Holder Approval,,29/03/2019,29/03/2020,,, Fire Service College (vendor no: N/A)
6380,Agreement for the supply of Audio and Visual Technical Equipment,Corporate Services Directorate,Communications,Internal Communications and Events,Elizabeth O'Hare,Remmy Kamya,Professional Services  / Signage & Exhibition Equipment,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 50,393","£ 55,000","(£ 4,607)",36,No,No,Budget Holder Approval,,17/06/2019,17/06/2022,,, CVS International (vendor no: N/A)
6379,Retractable personal lines,Safety and Assurance Directorate,Operational Policy,Respiratory Protective Equipment Project,Patrick Tawney,Gary Phillips,Operational Equipment / Emergency and Rescue Equipment and Supplies,No,No,Yes,No,Goods/Service,Expenditure,"£ 94,000","£ 80,000","£ 14,000",12,No,No,Delegated Authority,,01/07/2019,01/07/2020,,, Speeding's Ltd (vendor no: N/A)
6378,Union Street A/C MER replacement,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Neville Harper,Gary Phillips,Construction and FM / Construction Service Providers,No,No,Yes,No,Works,Expenditure,"£ 89,760","£ 89,760",£ 0,1,No,No,Budget Holder Approval,,14/02/2019,14/03/2019,,, Quantech Environmental Ltd (vendor no: 20499)
6375,"Barking fire station, repointing of brickwork",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,John O'Dor,Construction and FM / Construction Service Providers,No,No,Yes,No,Works,Expenditure,"£ 111,544","£ 130,000","(£ 18,456)",6,No,No,Budget Holder Approval,,25/02/2019,26/08/2019,,, Standage (vendor no: 5710)
6365,Licence renewal of ForcePoint Web security proxy,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Christopher Yiangou,Tom Marshall,ICT / Services,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 82,114","£ 82,114",£ 0,39,No,No,Budget Holder Approval,,18/12/2018,18/03/2022,,, MTI Technology Limited (vendor no: 19820)
6364,MODAS DataPump,Corporate Services Directorate,Information and Communications Technology ,System Support & Improvement,Christopher O'Connor,Tom Marshall,ICT / Software,No,No,Yes,No,Goods/Service,Expenditure,"£ 17,000","£ 17,000",£ 0,36,No,No,Head of Procurement approval for single tender action,,01/03/2019,28/02/2022,,, 3TC Software Limited (vendor no: 21475)
6362,Magic course Multi agency gold incident command training,Safety and Assurance Directorate,Operational Resilience and Special Operations,Emergency Planning,Alex Townsend-Drake,Remmy Kamya,Professional Services  / Operational Services,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 36,500","£ 36,500",£ 0,13,No,No,Budget Holder Approval,,01/04/2019,01/05/2020,,,Tersus Consultancy Limited
6356,Independent review of training,Safety and Assurance Directorate,Training and Professional Development,Training Delivery,Peter Groves,Gary Phillips,Professional Services  / Development and Training,No,No,Yes,No,Goods/Service,Expenditure,"£ 76,000","£ 100,000","(£ 24,000)",6,No,No,Budget Holder Approval,,25/02/2019,25/08/2019,,, Ribband Star Consultancy Ltd (vendor no: 21489)
6353,Cable Cutter Pouches,Commissioner,Safety and Assurance Directorate,Fire Rescue Policy,Thomas Goodall,Gary Phillips,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 4,500","£ 4,500",£ 0,48,No,No,Budget Holder Approval,,03/12/2018,03/12/2022,,, First Products (Sussex) Ltd (vendor no: 21354)
6351,Level 5 Dipolma in Fire Engineering ,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Gary Phillips,Professional Services  / Learning,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 30,000","£ 30,000",£ 0,24,No,Yes,Delegated Authority,,01/06/2019,01/06/2021,,, XACT Consultancy and Training Limited (vendor no: N/A)
6350,Liquid Tight Suits (LTS) Chemical Protective Clothing Respirex,Safety and Assurance Directorate,Operational Policy,Hazmat & Incident Comms Policy,Anthony Farrant,Gary Phillips,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,Goods/Service,Expenditure,"£ 80,000","£ 80,000",£ 0,60,No,No,Budget Holder Approval,,21/01/2019,21/01/2024,,, Respirex International Limited (vendor no: 5179)
6346,Cable Cutters ,Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Thomas Goodall,Gary Phillips,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 8,000","£ 8,000",£ 0,48,No,No,Budget Holder Approval,,03/12/2018,03/12/2022,,, Cannons MSA Ltd (vendor no: 1840)
6345,Performance Management Framework (PMF),Safety and Assurance Directorate,Strategy and Risk,Strategy Risk and Engagement,Regina Bonas,Robert Fisher,ICT / Software,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 18,800","£ 20,000","(£ 1,200)",24,No,No,Head of Procurement approval for single tender action,,01/04/2019,31/03/2020,,, 360 Systems  (vendor no: 18352)
6332,Fire Investigation Basic Pratical Course,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,Professional Services  / Learning,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 10,000","£ 15,000",48,No,No,Delegated Authority,,11/03/2019,11/03/2023,,, Gardiners Associates (vendor no: 18847)
6329,Wimbledon Fire Station - appliance bay doors,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,Maria Sun,Construction and FM / Construction Service Providers,No,No,Yes,No,Works,Expenditure,"£ 379,554","£ 250,000","£ 129,554",4,No,No,Budget Holder Approval,,10/10/2019,10/02/2020,,, Cooper Clarke (vendor no: N/A)
6325,Laundry & Dry Cleaning,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Anouska Herman,Clothing and PPE / Clothing and Textiles,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 380,000","£ 380,000",£ 0,48,No,No,Committee Decision,CCS Framework,01/01/2019,01/01/2023,,, Berendsen UK Ltd (vendor no: N/A)
6323,Provision of Velcro Patches for PPE,Corporate Services Directorate,Communications,Internal Communications and Events,Justina Leitao,Gary Phillips,Clothing and PPE / Clothing and Textiles,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 9,900","£ 20,000","(£ 10,100)",96,No,No,Budget Holder Approval,,19/11/2018,19/11/2026,,, Stitch Tech Ltd (vendor no: 18305)
6318,Museum fundraiser,Corporate Services Directorate,Communications,External Communications and Campaigns,Caroline Davis,Robert Fisher,Professional Services  / Consultancy,No,No,Yes,Yes,Goods/Service,Income,"£ 50,000","£ 39,600","£ 10,400",48,No,No,Budget Holder Approval,,01/11/2018,31/10/2022,,, The Heritage Bureau Ltd (vendor no: 15289)
6313,Fire  Investigation Theory Foundation Course ,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,Professional Services  / Learning,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 48,000","£ 50,000","(£ 2,000)",48,No,No,Delegated Authority,,11/02/2019,11/02/2023,,, Bereau Veritas (vendor no: 7952)
6302,APEA Course for the Petroleum BTCE,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,Professional Services  / Development and Training,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 18,600","£ 18,600",£ 0,40,No,No,Delegated Authority,,04/01/2019,04/05/2022,,, APEA (vendor no: 9560)
6296,LexisLibrary,Corporate Services Directorate,General Counsel,Departmental Management & Business Support,Christopher Marshall,Joseph Newton,Professional Services  / Legal,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 29,930","£ 29,930",£ 0,12,No,No,Head of Procurement approval for single tender action,,16/08/2018,16/08/2019,,, Lexis Nexis (trading name of RELX (UK)Ltd) (vendor no: 17373)
6292,HR Services,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Kushalta Saini,Robert Fisher,Professional Services  / HR Services,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 82,600","£ 80,500","£ 2,100",12,No,No,Delegated Authority,,01/11/2018,31/10/2019,,, You HR Consultancy Ltd  (vendor no: 21404)
6291,BTEC Level 7 Advanced Professional Certificate in Investigative Practice (APCIP),Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,Professional Services  / Development and Training,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 74,000","£ 74,000",£ 0,39,No,No,Delegated Authority,,21/01/2019,21/04/2022,,, Bond Solon (vendor no: 15343)
6290,Fire Station Fridges/Freezers,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Robert Fisher,Construction and FM / Domestic Goods,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 140,000","£ 140,000",£ 0,48,No,No,Budget Holder Approval,ESPO Framework for Supply of Domestic Electrical Appliances,27/11/2018,27/11/2022,,, ESPO (vendor no: Not Listed on POMS)
6288,Interim Provision of Portable Hygiene Units ,Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Liam Hall,Michael McCarthy,Fleet  / Vehicle Hire and Lease,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 116,500","£ 65,000","£ 51,500",3,Yes,Yes,Budget Holder Approval,,02/07/2018,01/10/2018,15/03/2019,14/04/2019, Site-Equip Limited  (vendor no: 21335)
6286,Executive search - Head of London Resilience,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Timothy Powell,Robert Fisher,Professional Services  / HR Services,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 23,500","£ 23,500",£ 0,12,No,No,Delegated Authority,Local Government Resourcing Partnership LGRP,19/07/2018,19/07/2019,,, Gatenbysanderson Limited (vendor no: 21038)
6284,Portable Hygiene Unit Provision,Safety and Assurance Directorate,Operational Policy,Training Delivery,Liam Hall,Robert Fisher,Fleet  / Purchase,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 300,000","£ 300,000",£ 0,36,No,No,Delegated Authority,,13/04/2019,13/04/2022,,, Site-Equip Limited (vendor no: N/A)
6283,Fire Safety Qualifications,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Robert Fisher,Professional Services  / Development and Training,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 469,168","£ 469,168",£ 0,60,No,No,Delegated Authority,,21/06/2019,21/06/2024,,, Xact Training and Consultancy Ltd (vendor no: N/A)
6277,Safety Accredited Contractors:Forecourt Passport Scheme,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,Professional Services  / Operational Services,No,No,Yes,No,Goods/Service,Expenditure,"£ 17,000","£ 17,000",£ 0,56,No,No,Delegated Authority,,03/09/2018,03/05/2023,,, Tersus Consultancy Limited (vendor no: 21427)
6275,Specialist Software Provision ,Safety and Assurance Directorate,Strategy and Risk,National Operational Guidance,Simon Davis,Chris Caesar,ICT / Services,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 10,872","£ 10,872",£ 0,12,No,No,Head of Procurement approval for single tender action,,03/02/2019,03/02/2020,,, CGE Risk Management Solutions B.V. (vendor no: 20913)
6262,Narrow Aisle Forklift (Electric),Corporate Services Directorate,Technical and Service Support,Agency Leavers,Dave Farr,Catherine Bray,Fleet  / Purchase,No,No,Yes,No,Goods/Service,Expenditure,"£ 42,564","£ 37,000","£ 5,564",84,No,No,Delegated Authority,,24/06/2019,23/06/2026,,, Narrow Aisle Limited (vendor no: N/A)
6261,Chaplaincy Services,Operations Directorate,Fire Stations,Croydon (Team),Andrew Williams,Gillian Maxwell,Professional Services  / Welfare,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 60,000","£ 80,000","(£ 20,000)",36,No,No,Budget Holder Approval,,01/06/2018,01/06/2021,,, Guys & St Thomas' NHS Foundation Trust (vendor no: Not Listed on POMS)
6254,Specialist Paper ,Corporate Services Directorate,Communications,Internal Communications and Events,Justina Leitao,Robert Fisher, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 1,500","£ 1,500",£ 0,6,No,No,Delegated Authority,,23/04/2018,24/11/2019,,, HV Sier  (vendor no: 5520)
6250,Fuel Cards and Associated Services ,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Robert Fisher,Fleet  / Fuel,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 2,000,000","£ 2,000,000",£ 0,48,No,No,Delegated Authority,Fuel Cards and Associated Services CCS RM6000,04/07/2019,22/03/2021,,, Allstar Business Solutions Ltd (vendor no: N/A)
6246,Flood Protection barriers,Safety and Assurance Directorate,Operational Policy,Rescue & ISAR Policy,Richard Abbot,Gillian Maxwell,Operational Equipment / Emergency and Rescue Equipment and Supplies,No,No,Yes,No,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,2,No,No,Budget Holder Approval,,21/09/2018,20/09/2020,,, Flood Control International (vendor no: 21271)
6239,Fire Engineering Degree,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,Professional Services  / Development and Training,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 197,600","£ 197,600",£ 0,60,No,No,Head of Procurement approval for single tender action,,01/08/2018,01/08/2023,,, Glasgow Caledonian University (vendor no: 20371)
6205,SUPPORT Plan - Apple devices,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Sharon Donovan,ICT / Services,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 20,988","£ 9,019","£ 11,969",36,No,No,Budget Holder Approval,,01/09/2019,01/09/2022,,, Support Plan (UK) Ltd (vendor no: N/A)
6177,Provision of a Managed Archived Records Storage Service,Corporate Services Directorate,Information and Communications Technology ,Business Intelligence,David Morris,Catherine Bray,ICT / Services,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 190,000","£ 190,000",£ 0,60,No,No,Budget Holder Approval,"CCS - RM3781, Lot 4",02/11/2018,01/11/2023,,, The Document Warehouse Limited (vendor no: 20414)
6176,Non Emergency Telephony System,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Christopher Yiangou,Maria Sun,ICT / Hardware,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 542,000","£ 276,454","£ 265,546",36,No,No,Budget Holder Approval,"RM1045 Network Services, BT Pan London Framework",19/07/2019,18/07/2022,,, Datrix Limited (vendor no: N/A)
6170,Business Name Dataset Compatible with AddressBase Premium,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Gary Phillips,ICT / Services,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 43,000","£ 43,000",£ 0,36,No,No,Budget Holder Approval,,26/11/2018,26/11/2021,,, Aligned Assets Ltd (vendor no: 17993)
6169,HR Systems support,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Remmy Kamya, / ,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 10,442","£ 10,000",£ 442,12,Yes,No,Budget Holder Approval,,17/03/2018,17/03/2019,17/03/2019,17/03/2020, Reed Business (vendor no: 10821)
6166,Fire engineernig consultancy services,Operations Directorate,Fire Safety (Regulatory and Community),FSR Fire Engineering Group,Lynsey Seal,Anouska Herman, / ,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 40,000","£ 40,000",£ 0,48,No,No,Budget Holder Approval,,30/07/2018,30/07/2022,,, Fire Surgery  (vendor no: 21395)
