Invoice Number, Batch Number,Vendor Name, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
10115296,800121610,KIER BUILDING SERV ENGINEERS,56,26.66,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,57,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,58,20.88,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,59,17.91,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,60,251.49,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,61,182.41,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,62,107.46,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,63,35.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115296,800121610,KIER BUILDING SERV ENGINEERS,64,35.82,REACTIVE BUILDING FABRIC,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,1,26.27,REACTIVE MEP,11/1/18,"6,226.25",Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,2,59.10,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,3,5.73,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,4,109.61,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,5,71.64,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,6,89.56,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,7,31.62,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,8,125.37,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,9,48.00,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,10,53.73,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,11,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,12,50.15,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,13,89.55,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,14,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,15,41.19,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,16,30.45,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,17,107.46,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,18,114.98,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,19,17.91,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,20,83.46,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,21,257.88,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,22,28.97,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,23,38.34,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,24,37.73,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,25,17.91,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,26,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,27,151.53,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,28,110.96,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,29,29.73,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,30,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,31,62.69,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,32,87.02,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,33,179.10,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,34,2.97,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,35,19.70,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,36,17.91,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,37,17.91,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,38,40.83,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,39,89.33,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,40,53.73,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,41,8.96,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,42,73.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,43,50.06,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,44,89.55,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,45,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,46,71.64,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,47,53.71,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,48,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,49,107.46,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,50,161.55,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,51,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,52,139.68,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,53,17.91,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,54,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,55,89.55,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,56,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,57,143.28,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,58,71.64,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,59,87.40,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,60,17.91,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,61,31.22,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,62,17.91,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,63,89.55,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,64,277.62,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,65,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,66,154.12,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,67,53.73,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,68,35.77,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,69,75.58,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,70,145.26,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,71,26.66,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,72,49.07,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,73,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,74,11.18,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,75,42.98,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,76,47.43,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,77,88.53,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,78,61.32,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,79,43.58,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,80,108.02,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,81,134.46,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,82,98.51,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,83,190.48,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,84,79.52,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,85,17.91,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,86,67.63,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,87,95.39,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,88,29.61,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,89,22.81,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,90,116.42,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
10115297,800121612,KIER BUILDING SERV ENGINEERS,91,35.82,REACTIVE MEP,11/1/18,,Technical and Service Support,Works - Construction
102563/102905,291018K,TWO SERVICES LTD,1,323.05,CATERING EQUIPMENT,11/1/18,323.05,Fire Stations (North West),Catering
1121703,251018K,FIREANGEL SAFETY TECHNOLOGY LD,1,"1,575.00",FIRE DETECTORS,11/1/18,"1,575.00",Fire Stations (South West),Health and Safety
1121732,251018K,FIREANGEL SAFETY TECHNOLOGY LD,1,525.00,FIRE DETECTORS,11/1/18,525.00,Fire Stations (North West),Health and Safety
1122747,181018G,FIREANGEL SAFETY TECHNOLOGY LD,1,"2,625.00",FIRE DETECTORS,11/1/18,"2,625.00",Fire Stations (North West),Health and Safety
11344,261018K,MERLIN ELECTRICAL SERVICES LTD,1,582.57,REACTIVE MEP,11/1/18,582.57,Technical and Service Support,Works - Construction
1137531,261018K,BT GLOBAL SERVICES,1,541.66,TELECOMMUNICATIONS,11/1/18,541.66,Information and Communication Technology,ICT
1140320604,241018K,KONICA MINOLTA BUSINESS,1,"1,354.95",HARDWARE PRINTERS,11/1/18,"3,892.71",Communications,ICT
1140320604,241018K,KONICA MINOLTA BUSINESS,2,"1,283.14",HARDWARE PRINTERS,11/1/18,,Communications,ICT
1140320604,241018K,KONICA MINOLTA BUSINESS,3,"1,254.62",HARDWARE PRINTERS,11/1/18,,Communications,ICT
1442552,142445,CASTLE WATER LIMITED,1,504.34,WATER & SEWERAGE RATES,11/1/18,504.34,Technical and Service Support,Utilities
1442914,142446,CASTLE WATER LIMITED,1,409.85,WATER & SEWERAGE RATES,11/1/18,409.85,Technical and Service Support,Utilities
1443590,142445,CASTLE WATER LIMITED,1,302.58,WATER & SEWERAGE RATES,11/1/18,302.58,Technical and Service Support,Utilities
1444271,142445,CASTLE WATER LIMITED,1,"1,246.71",WATER & SEWERAGE RATES,11/1/18,"1,246.71",Technical and Service Support,Utilities
18/20/LFBE/009,261018K,CRITICAL RESILIENCE SOLUTIONS,1,"1,524.80",GENERAL,11/1/18,"1,524.80",Central Finance,Consultancy
18016709,261018V,BUREAU VERITAS,1,"102,565.46",SCIENTIFIC SERVICES,11/1/18,"102,565.46",Procurement,Environmental Services
191018,261018K,LIZ NAPIER SOLUTIONS LIMITED,1,737.50,GENERAL,11/1/18,737.50,Central Finance,Consultancy
191018,261018K,PRINCIPEA CONSULTING,1,"1,237.80",GENERAL,11/1/18,,Central Finance,Consultancy
210455,261018K,E3 MEDIA LTD,1,"2,602.35",SOFTWARE COTS,11/1/18,"2,602.35",Information and Communication Technology,ICT
22630,291018K,REAM CONTRACTS LTD,1,588.00,REACTIVE SMALL WORKS AND PROJ,11/1/18,588.00,Technical and Service Support,Works - Construction
22731,251018K,REAM CONTRACTS LTD,1,420.00,REACTIVE MEP,11/1/18,420.00,Technical and Service Support,Works - Construction
230818,251018V,DE VERE HOLBORN BARS,1,"15,000.00",HIRE OF FACILITIES,11/1/18,"15,000.00",Grenfell Investigation Team,Facilities & Management Services
24568/R13332,261018K,ASBESTOS FIRST,1,"3,344.00",REACTIVE ASBESTOS,11/1/18,"3,344.00",Technical and Service Support,Works - Construction
2458,291018K,CRISPIN HUGHES,1,425.00,FILM & VIDEO,11/1/18,425.00,Communications,Facilities & Management Services
2762957,161018K,BANNER GROUP LIMITED,1,462.50,COMMUNITY RELATIONS,11/1/18,462.50,Community Safety,Facilities & Management Services
2762959,161018K,BANNER GROUP LIMITED,1,263.00,PUBLIC RELATIONS,11/1/18,273.00,National Fire Cadets Games,Facilities & Management Services
2762959,161018K,BANNER GROUP LIMITED,2,10.00,ADDITIONAL PURCHASE COSTS,11/1/18,,National Fire Cadets Games,Facilities & Management Services
2910143576,261018K,DRAEGER SAFETY UK LIMITED,1,"6,502.20",PROTECTIVE EQUIPT - PARTS,11/1/18,"9,436.80",Technical and Service Support,Emergency Services
2910143576,261018K,DRAEGER SAFETY UK LIMITED,2,"1,087.40",PROTECTIVE EQUIPT - PARTS,11/1/18,,Technical and Service Support,Emergency Services
2910143576,261018K,DRAEGER SAFETY UK LIMITED,3,"1,847.20",PROTECTIVE EQUIPT - PARTS,11/1/18,,Technical and Service Support,Emergency Services
3/18-12/14/10/2018,291018K,LONDON LEADERS DEVELOPMENT SCH,1,490.40,GENERAL,11/1/18,490.40,Community Safety,Consultancy
31247,291018K,WATERFRONT MANUFACTURING LTD,1,184.61,UNIFORMS,11/1/18,405.20,Fire Stations (North West),Clothing
31247,291018K,WATERFRONT MANUFACTURING LTD,2,220.59,UNIFORMS,11/1/18,,Fire Stations (North West),Clothing
3127,221018K,B & A TEXTILES LTD,1,650.00,UNIFORMS - POMS,11/1/18,747.00,Procurement,Clothing
3127,221018K,B & A TEXTILES LTD,2,97.00,UNIFORMS - POMS,11/1/18,,Procurement,Clothing
3153869,251018K,BRISTOL UNIFORMS LTD,1,189.05,CLOTHING,11/1/18,676.40,Fire Stations (South East),Clothing
3153869,251018K,BRISTOL UNIFORMS LTD,2,149.15,CLOTHING,11/1/18,,Fire Stations (South East),Clothing
3153869,251018K,BRISTOL UNIFORMS LTD,3,189.05,CLOTHING,11/1/18,,Fire Stations (South East),Clothing
3153869,251018K,BRISTOL UNIFORMS LTD,4,149.15,CLOTHING,11/1/18,,Fire Stations (South East),Clothing
3158387,291018K,BRISTOL UNIFORMS LTD,1,520.00,UNIFORMS - POMS,11/1/18,520.00,Procurement,Clothing
363039,291018K,HUNTERS CONTRACTS LIMITED,1,"1,464.80",OFFICE FURNITURE,11/1/18,"1,464.80",Community Safety,Furniture & Soft Furnishings
