Job Title,Value of Offer,Date Received,Description of Offer,Donor/Provider,Outcome
Head of Legal and Democratic Services,£20,05/06/2015,Party at the Sky Garden (whatever that is),"Barristers'chambers, 11 King's Bench Walk",Offer declined
Director of Finance and Contractual Services,est £50 ,09/06/2015,"CFO Event with Speakers, workshops and lab sessions ","Global Business Events Ltd, Dave Bethell, CFO Event ",Offer declined
Commissioner,£100.00,17/06/2015,Invitation to be an esteemed guest to The Worshipful Company of Firefighters Annual Black Tie Dinner on 11 November 2015. ,"The Worshipful Company of Firefighters Charitable Trust, The Master and Officers",Offer accepted
Commissioner,est £187.00,17/06/2015,"A book on the history of Warsaw, an 8'' approx. 10 kilo solid brass Warsaw fire service bell, W.Kruk sterling silver cufflinks, Warsaw fire service velcro tunic badge, Warsaw fire service polo t-shirt, Warsaw fire service cup and a Warsaw fire service plaque.","Warsaw Metro and Warsaw Fire Brigade, Jaroslaw Jozwiak, Deputy Mayor of the Capital City of Warsaw",Offer accepted
Commissioner,approx £40.00,18/06/2015,Reception in Wellington Barracks and an Enhanced Changing of The Queen's Guard followed by a luncheon reception at the RAF Club on 10 July 2015 to commemorate the 75th Anniversary of the Battle of Britain. ,"The Air Force Board, The Air Force Board",Offer accepted
Commissioner,£760,09/07/2015,Glass Vase presented to the Commissioner,"All England Lawn Tennis Club , Carole Hewitt, Executive Assistant to the Chairman ",Offer accepted
Director of Finance and Contractual Services,£30.00,16/07/2015,Evening reception with talks followed by drinks and canapés.,"The Chemistry Club , Chris Blackett, Manager, Guest Relations",Offer declined
Head of Finance,est. £75,05/08/2015,To join Infor in its Box at the England v Ireland World Cup warm up match at Twickenham on 5th September 2015. ,"Infor/FMS Solutions, Tony Hurst",Offer declined
Director of Operations,£50,07/08/2015,Invited to receive a certificate of thanks pitchside and watch a match afterwards.,"Arsenal Football Club, Jack Ironside",Offer accepted
Commissioner,£170,14/08/2015,Ticket to attend the Rugby World cup on 3rd October 2015.,"Securitas , Shaun Kennedy ",Offer declined
Commissioner,£400,17/08/2015,Invitation to be guest at the pride of Britain awards ceremony on 28 September.,"Securitas, Shaun Kennedy",Offer accepted
Commissioner,£70,25/08/2015,Police Committee Dinner ,"City of London, Henry Pollard, Deouty Chairman of the Police Committee ",Offer declined
Commissioner,£40.00,28/08/2015,Fuller's Racksack and associated memorabilia.,"FULLER SMITH & TURNER P, Georgina Wald",Offer accepted
Director of Finance and Contractual Services,£100,02/09/2015,One day seminar on Finance ,"Adaptive Insights , Paul Rokes, CFO",Offer declined
Director of Finance and Contractual Services,£50,03/09/2015,Invitation to evening reception.,"The Chemistry Club, Chris Blackett",Offer declined
Director of Finance and Contractual Services,£100.00,15/09/2015,"Drinks reception and private view of Ai Weiwei arts collection at Burlington House, Piccadilly.","Native Land, Native Land",Offer declined
Director of Finance and Contractual Services,£50,06/10/2015,Evening drinks reception,"The Chemistry Club, Chris Blackett",Offer declined
Commissioner,£50,15/10/2015,The Annual London Air Ambulance Autumn Reception  ,"London Air Ambulance , Graham Hodkin Chief Executive ",Offer declined
Head of Finance,Est £50,19/10/2015,Christmas concert followed by reception at Berkeley hotel including supper.,"Lazard Asset Management Ltd, Bill Smith",Offer declined
Head of Information and Communications Technology ,approx £ 60.00,21/10/2015,"I am pleased to invite you to a private dinner debate chaired by Mark Chillingworth, Editor-in-Chief of CIO magazine, on Monday 23rd November at The Penthouse, Radisson Edwardian London Hampshire in Leicester Square.   The debate is called ‘managing the multi-cloud’. CIOs and CTOs want people to feel empowered to adopt cloud-based IT services – but they also need to ensure they don't create an uncontrollable multi-cloud environment. Amongst a range of issues, we’ll ask what are the best techniques to manage ‘cloud sprawl’ across an Enterprise.  We expect around 20 – 30 CIOs and CTOs in total to keep the debate lively and allow everyone to participate fully. We'll start the evening with drinks at 6.30pm and wrap up by around 9.30pm ","CSC, Dr Sanjiv Gossain ",Offer declined
Head of Information and Communications Technology ,approx £60.00,22/10/2015,"Dinner / talk/ debate , The Ivy Market Grill, London","Silversands, Janet Churchill",Offer declined
Head of Procurement,est. £100,03/11/2015,"To attend a business event which is a joint lessons learned review of the pumping appliance replacement project. The event will be held at The Wokefield Park Hotel, Goodboys Lane, Mortimer, Reading, Berkshire RG7 3AH on 24 November 2015","Babcock Critical Services, Neal Missell",Offer accepted
Commissioner,£50.00,05/11/2015,Invite to Commissioner's Excellence in Total Policing Awards Ceremony 8 February 2016 ,"Metropolitan Police , Sir Bernard Hogan-Howe ",Offer declined
Director of Finance and Contractual Services,£100,06/11/2015,Attend a business event which is a joint lessons learnt review of the pumping appliance replacement project.,"Babcock Critical Services, Neal Missell",Offer accepted
Commissioner,£50,11/11/2015,Invite to IFSEC Fire and Security Excellence Awards to be held at Park Lane Hilton ,"Securitas, Paul Rankin",Offer declined
Commissioner,£250.00,23/11/2015,Statue of Eagle presented to the Commissioner from visitors to the London Fire Brigade from UAE,"Visitors from UAE , Major General Jasem Mohammed Al Marzouqis – Head of UaE Civil Defence",Offer accepted
Head of Information and Communications Technology ,circa £ 50.00,23/11/2015,"I would like to personally invite you to an exclusive invitation-only dinner on Thursday 3rd December at the famous Claridge’s Hotel in Mayfair, London. Coupa is hosting this evening to bring together CIO’s and CPO's to share thoughts, experiences and advice on cloud-solutions as well as emphasizing the importance of success through IT and Procurement working together.   If you haven’t already moved to cloud-based solutions for CRM or HR, you’re probably considering it. Why? Because these solutions deliver innovation and agility on a scale that on-premise ERP systems just can’t match. For these same reasons and more, now is the time to move your spend management to the cloud. I’d like to welcome you in The Clarence Room from 18:30pm for an aperitif, followed by a 3-course dinner, with a finish around 21:30pm.  ","Coupa Software Incorporated, Kendra Von Esh",Offer declined
Director of Finance and Contractual Services,£50.00,25/11/2015,Invite to an evening reception.,"The Chemistry Club, Chris Blackett",Offer declined
Head of Information and Communications Technology ,£75.00,26/11/2015,"The IT Directors' Forum 11-14 May 2016 - on board MV Arcadia  Hi Julian - I sent some information to you regarding your invitation to our 2016 IT Directors' Forum.  As mentioned, the event is taking place on board MV Arcadia sailing from Southampton on 11th-14th May 2016 and there is no charge to attending delegates.  As the forum is on an invitation only basis, it would be great to know if you would like to join the 130 senior level IT delegates already confirmed to be there: ","Richmond Events Ltd, Anne Chambers",Offer declined
Director of Finance and Contractual Services,£100.00,03/12/2015,Official reception & capability demonstration on board HMS SEVERN,"Royal Navy, Commander Philip Tilden (RN)",Offer accepted
Commissioner,£75.00,04/12/2015,The London Government Dinner ,"LMEvents , City of London ",Offer accepted
Director of Finance and Contractual Services,£25,17/12/2015,Two bottles of wine in presentation box.,"FMS solutions, Tony Hurst  (Account Manager) ",Offer accepted
Commissioner,£50,24/12/2015,Invite to lunchtime Organ recital followed by drinks and canapés reception at Bakers Hall.,"The Worshipful Company of Bakers , Adrian Hodgson, Clerk to the Company ",Offer declined
Commissioner,£70,04/01/2016,New Year Reception at the Cinnamon Club - 26 January 2016,"Airbus, The Cinnamon Club ",Offer declined
Commissioner,£100,08/01/2016,Official Reception & Capability Demonstration on board HMS Severn,"Royal Navy, Commander Philip Tilden (RN)",Offer accepted
Commissioner,£50,08/01/2016,Official Lunch onboard HMS Monmouth ,"Royal Navy, Commodore Philip Tilden",Offer accepted
Commissioner,£100.00,08/01/2016,Official Reception and Capability Demonstration on board HMS Monmouth.  ,"Royal Navy , Commander Philip Tilden ",Offer accepted
Director of Finance and Contractual Services,£50,12/01/2016,Attend an evening reception and buffet.,"The Chemistry Club, Chris Blackett",Offer declined
Commissioner,£200,26/01/2016,CST Annual Dinner 2 March 2016 ,"CST Protecting our Jewish Community , David S Delew MBA ",Offer declined
Commissioner,£200,29/01/2016,CST Annual Dinner - 2 March 2016,"CST Protecting out Jewish Community , David S Delew MBA",Offer accepted
Commissioner,£100.00,01/02/2016,Graduation Dinner in the House of Commons ,"Fire Service Parliamentary Scheme, Sir Neil Thorne",Offer declined
Head of Information and Communications Technology ,£50.00,05/02/2016,"Avenue is at 7-9 St James’s Street, London SW1A 1EE. The evening starts at 6.30pm with drinks and canapés and Steve takes the floor at 7.45pm. For those wishing to eat, an informal buffet is served from 8.30pm and the evening draws to a close at around 9.45pm. You are welcome to stay for all or part of the evening. ","The Chemistry Club, Chris Blackett",Offer declined
Head of Information and Communications Technology ,£30.00,17/02/2016, We’re hosting an executive dinner and discussion on ‘Using Hybrid Cloud to Accelerate Business Outcomes’ on the 14th April which I thought would be of interest to you and so I’d like to offer you a complimentary place to attend.  ,"IDC, Mike Conolly",Offer declined
Head of Information and Communications Technology ,£50.00,18/02/2016,"I am delighted to invite you to join us for our Evening Reception on Wednesday, 20th April at Avenue Restaurant when our guest speaker will be Beverley Bryant, Director of Digital Technology, NHS England.   The Chemistry Club brings together senior executives with interests that include transformation, innovation and security. For a flavour of who joins us, I have attached a list of participants from our most recent evenings.   Beverley’s role is to set the direction for technology and informatics and to drive innovation across the NHS in England. She is currently responsible for the delivery of various programmes including Integrated Digital Care Records, NHS E-referrals, Patient Online and Electronic Prescriptions.  Prior to joining NHS England Beverley held various roles in the big-five consultancies, as well as in the Department of Health and NHS.   Avenue is at 7-9 St James’s Street, London SW1A 1EE. The evening starts at 6.30pm with drinks and canapés and Beverley takes the floor at 7.45pm. For those wishing to eat, an informal buffet is served from 8.30pm and the evening draws to a close at around 9.45pm. You are welcome to stay for all or part of the evening. ","The Chemistry Club, Chris Blackett",Offer declined
Director of Finance and Contractual Services,£50.00,22/03/2016,Evening reception,"The Chemistry Club, Chris Blackett",Offer declined
