 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass,
800125514,KIER BUILDING SERV ENGINEERS,10135901,23,223.10,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,24,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,25,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,26,143.28,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,27,179.10,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,28,107.46,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,29,116.40,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,30,871.69,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,31,44.78,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,32,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,33,93.14,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,34,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,35,259.70,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,36,17.91,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,37,205.96,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,38,221.21,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,39,116.42,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,40,71.64,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,41,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,42,152.23,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,43,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,44,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,45,23.28,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,46,89.55,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,47,44.78,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,48,26.87,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,49,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,50,161.18,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,51,98.51,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,52,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,53,127.55,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,54,59.73,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,55,80.60,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,56,503.49,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,57,53.73,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,58,80.61,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,59,17.91,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,60,71.64,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,61,26.87,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,62,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,63,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,64,174.32,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,65,107.45,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,66,121.50,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,67,244.91,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,68,186.28,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,69,62.68,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,70,71.64,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,71,85.24,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,72,80.60,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,73,26.87,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,74,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,75,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,76,26.87,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,77,17.91,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,78,35.82,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,79,17.91,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125514,KIER BUILDING SERV ENGINEERS,10135901,80,62.69,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
300119K,FIREANGEL SAFETY TECHNOLOGY LD,1125068,1,525.00,FIRE DETECTORS,04/02/19,525.00,Fire Stations (North West),Health and Safety,
180119G,FIREANGEL SAFETY TECHNOLOGY LD,1126024,1,600.00,FIRE DETECTORS,04/02/19,900.00,Community Safety,Health and Safety,
180119G,FIREANGEL SAFETY TECHNOLOGY LD,1126024,2,300.00,FIRE DETECTORS,04/02/19,,Community Safety,Health and Safety,
290119V,MERLIN ELECTRICAL SERVICES LTD,11429,1,"5,325.31",REACTIVE SMALL WORKS AND PROJ,04/02/19,"6,336.01",Technical and Service Support,Works - Construction,
290119V,MERLIN ELECTRICAL SERVICES LTD,11429,2,"1,010.70",REACTIVE SMALL WORKS AND PROJ,04/02/19,,Technical and Service Support,Works - Construction,
210119K,A.R.C.S. ENVIRONMENTAL LTD,13051,1,650.00,REACTIVE ASBESTOS,04/02/19,650.00,Technical and Service Support,Works - Construction,
170119K,CK DIRECT,13224,1,"1,356.85",REACTIVE MEP,04/02/19,"1,356.85",Technical and Service Support,Works - Construction,
220119K,CK DIRECT,13229,1,265.00,REACTIVE MEP,04/02/19,430.00,Technical and Service Support,Works - Construction,
220119K,CK DIRECT,13229,2,165.00,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
142562,AFFINITY FOR BUSINESS LTD,13273831M,1,277.69,WATER & SEWERAGE RATES,04/02/19,277.69,Technical and Service Support,Utilities,
142548,CASTLE WATER LIMITED,1610908,1,293.03,WATER & SEWERAGE RATES,04/02/19,293.03,Technical and Service Support,Utilities,
142548,CASTLE WATER LIMITED,1611391,1,782.21,WATER & SEWERAGE RATES,04/02/19,782.21,Technical and Service Support,Utilities,
142548,CASTLE WATER LIMITED,1612936,1,412.84,WATER & SEWERAGE RATES,04/02/19,412.84,Technical and Service Support,Utilities,
142548,CASTLE WATER LIMITED,1614108,1,672.37,WATER & SEWERAGE RATES,04/02/19,672.37,Technical and Service Support,Utilities,
800125296,ENGIE,1800047041,1,182.78,REACTIVE MEP,04/02/19,"22,412.11",Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,2,204.43,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,3,628.44,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,4,145.20,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,5,111.10,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,6,205.91,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,7,303.28,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,8,48.89,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,9,102.24,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,10,248.54,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,11,33.09,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,12,293.24,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,13,69.84,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,14,48.89,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,15,546.35,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,16,163.90,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,17,177.48,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,18,431.95,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,19,278.68,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,20,236.41,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,21,195.08,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,22,33.09,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,23,297.75,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,24,263.28,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,25,493.95,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,26,147.78,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,27,"1,748.28",REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,28,52.28,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,29,422.23,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,30,475.77,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,31,51.70,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,32,666.74,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,33,40.41,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,34,98.47,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,35,386.31,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,36,435.60,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,37,150.52,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,38,548.50,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,39,"1,355.93",REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,40,69.87,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,41,44.09,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,42,208.69,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,43,177.85,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,44,82.72,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,45,110.17,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,46,185.22,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,47,246.18,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,48,198.43,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,49,544.10,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,50,483.55,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,51,586.04,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,52,76.30,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,53,242.43,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,54,127.97,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,55,33.53,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,56,495.00,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,57,66.17,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,58,34.74,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,59,215.67,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,60,117.79,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,61,66.17,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,62,73.80,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,63,129.94,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,64,"1,172.52",REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,65,23.16,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,66,294.86,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,67,66.17,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,68,111.10,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,69,84.38,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,70,151.92,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,71,33.09,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,72,49.54,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,73,198.00,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,74,97.77,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,75,132.34,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,76,74.84,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,77,72.00,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,78,4.96,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,79,77.61,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,80,49.02,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,81,103.93,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,82,344.18,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,83,33.52,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,84,33.09,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,85,33.09,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,86,33.09,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
800125296,ENGIE,1800047041,87,77.61,REACTIVE MEP,04/02/19,,Technical and Service Support,Works - Construction,
