Order Number,Line Number,Date,Order value,Order Description,Location,Supplier,Unit Cost,Order Quantity,Line Cost,Order Number Grouped,Total Order Cost
FPL/33780,7,2/3/16,6001.60,EDMONTON - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,8,2/3/16,6001.60,ELTHAM - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,9,2/3/16,6001.60,FINCHLEY - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,10,2/3/16,6001.60,FOREST HILL - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,11,2/3/16,6001.60,HAYES - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/33780,12,2/3/16,6001.60,HEATHROW - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/33780,13,2/3/16,6001.60,HOLLOWAY - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,14,2/3/16,6001.60,HOMERTON - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,15,2/3/16,6001.60,HORNSEY - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/33780,16,2/3/16,6001.60,KENSINGTON - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,17,2/3/16,6001.60,LAMBETH MAIN - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,18,2/3/16,6001.60,LAMBETH RIVER - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/33780,19,2/3/16,6001.60,LEE GREEN - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,20,2/3/16,6001.60,LEWISHAM STATION - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,21,2/3/16,6001.60,LEWISHAM CU AREA - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/33780,22,2/3/16,6001.60,MILL HILL - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/33780,23,2/3/16,6001.60,NORTH KENSINGTON - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,24,2/3/16,6001.60,PECKHAM - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,25,2/3/16,6001.60,PLUMSTEAD - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/33780,26,2/3/16,6001.60,POPLAR - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,27,2/3/16,6001.60,SHOREDITCH - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,28,2/3/16,6001.60,WALTHAMSTOW - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,29,2/3/16,6001.60,WENNINGTON - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/33780,30,2/3/16,6001.60,WILLESDEN - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33780,31,2/3/16,6001.60,WOODFORD - KITCHEN DEEP CLEAN DECEMBER 2015,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/33788,1,2/3/16,6496.25,REPLACE FLOORING IN OSU CAMP OUT AREA WITH MULBERY SUPACORD,LEE GREEN FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"2,332.00",1.00,"2,332.00",FPL/33788,"6,496.25"
FPL/33788,2,2/3/16,6496.25,REPLACE FLOORING IN OSU OFFICE WITH MULBERY SUPACORD,LEE GREEN FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"2,364.25",1.00,"2,364.25",,
FPL/33788,3,2/3/16,6496.25,REPLACE FLOOR IN MESS/TV ROOM IN BLACK UNIVERSAL SAFETREAD,LEE GREEN FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"1,800.00",1.00,"1,800.00",,
FPL/34044,1,2/12/16,7252.75,REPLACE FLOORING ON GROUND FLOOR SHOWER WITH TIDE ALTRO,CROYDON FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"1,626.50",1.00,"1,626.50",FPL/34044,"7,252.75"
FPL/34044,2,2/12/16,7252.75,REPLACE FLOORING FF DORM INCLUDING SMALL ROOM PACIFIC BLUE,CROYDON FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"3,691.25",1.00,"3,691.25",,
FPL/34044,3,2/12/16,7252.75,REPLACE RECREATION ROOM FLOOR WITH PACIFIC BLUE SUPACORD,CROYDON FIRE STATION,CARPETS & FLOOR COVERS DIRECT=,"1,935.00",1.00,"1,935.00",,
FPL/34299,1,2/24/16,7877.10,ACTON - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,FPL/34299,"7,877.10"
FPL/34299,2,2/24/16,7877.10,ADDINGTON - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,3,2/24/16,7877.10,BARNET - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,4,2/24/16,7877.10,BATTERSEA - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,5,2/24/16,7877.10,CLAPHAM - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,6,2/24/16,7877.10,DOWGATE - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,7,2/24/16,7877.10,DEPTFORD - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,8,2/24/16,7877.10,EALING - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,9,2/24/16,7877.10,ELTHAM - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,11,2/24/16,7877.10,ENFIELD - KITCHEN DEEP CLEAN JANUARY,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,12,2/24/16,7877.10,FELTHAM - KITCHEN DEEP CLEAN JANUARY,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,13,2/24/16,7877.10,FULHAM - KITCHEN DEEP CLEAN JANUARY,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,14,2/24/16,7877.10,HAROLD HILL - KITCHEN DEEP CLEAN JANUARY,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,15,2/24/16,7877.10,HARROW - KITCHEN DEEP CLEAN JANUARY,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,16,2/24/16,7877.10,HENDON - KITCHEN DEEP CLEAN JANUARY,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,17,2/24/16,7877.10,HESTON - KITCHEN DEEP CLEAN JANUARY,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,18,2/24/16,7877.10,HILLINGDON - KITCHEN DEEP CLEAN JANUARY,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,19,2/24/16,7877.10,HORNCHURCH - KITCHEN DEEP CLEAN JANUARY,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,20,2/24/16,7877.10,ILFORD - KITCHEN DEEP CLEAN JANUARY,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,21,2/24/16,7877.10,ISLINGTON - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,22,2/24/16,7877.10,LEYTON - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,23,2/24/16,7877.10,MILLWALL - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,24,2/24/16,7877.10,NORBURY - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,25,2/24/16,7877.10,PARK ROYAL - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,26,2/24/16,7877.10,RICHMOND - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,27,2/24/16,7877.10,ROMFORD - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,28,2/24/16,7877.10,SIDCUP - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,29,2/24/16,7877.10,SOHO - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,30,2/24/16,7877.10,SOUTHALL - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,31,2/24/16,7877.10,SOUTHGATE - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,32,2/24/16,7877.10,STANMORE - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,33,2/24/16,7877.10,STOKE NEWINGTON - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,34,2/24/16,7877.10,SURBITON - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,35,2/24/16,7877.10,TOOTING - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,36,2/24/16,7877.10,TWICKENHAM - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,37,2/24/16,7877.10,WALLINGTON - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,38,2/24/16,7877.10,WANDSWORTH - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,39,2/24/16,7877.10,WEMBLEY - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,41,2/24/16,7877.10,WEST HAMPSTEAD - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,42,2/24/16,7877.10,WHITECHAPEL - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34299,43,2/24/16,7877.10,WOOSIDE- KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34299,44,2/24/16,7877.10,WEST NORWOOD - KITCHEN DEEP CLEAN JANUARY 2016,UNION STREET HQ - FM,REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,1,3/18/16,6717.70,BARKING - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,FPL/34805,"6,717.70"
FPL/34805,2,3/18/16,6717.70,BETHNAL GREEN - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,3,3/18/16,6717.70,BEXLEY - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,5,3/18/16,6717.70,BROMLEY - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,6,3/18/16,6717.70,CHISWICK - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,7,3/18/16,6717.70,CROYDON - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,8,3/18/16,6717.70,DEPTFORD - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,9,3/18/16,6717.70,EDMONTON - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,10,3/18/16,6717.70,ELTHAM - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,11,3/18/16,6717.70,FELTHAM - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,12,3/18/16,6717.70,FINCHLEY - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,13,3/18/16,6717.70,FOREST HILL - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,14,3/18/16,6717.70,HAINAULT - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,15,3/18/16,6717.70,HOLLOWAY - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,16,3/18/16,6717.70,HAYES - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,17,3/18/16,6717.70,HEATHROW - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,18,3/18/16,6717.70,HOMERTON - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,19,3/18/16,6717.70,HORNSEY - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,20,3/18/16,6717.70,KENSINGTON - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,21,3/18/16,6717.70,LAMBETH MAIN - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,22,3/18/16,6717.70,LAMBETH RIVER - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,23,3/18/16,6717.70,LEE GREEN - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,24,3/18/16,6717.70,LEWISHAM - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,25,3/18/16,6717.70,LEWISHAM OFFICES - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,26,3/18/16,6717.70,MILL HILL - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,27,3/18/16,6717.70,MILLWALL - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,28,3/18/16,6717.70,NORTH KENSINGTON - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,29,3/18/16,6717.70,PECKAHM - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,30,3/18/16,6717.70,PLUMSTEAD - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,31,3/18/16,6717.70,POPLAR - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,32,3/18/16,6717.70,SHOREDITCH - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,33,3/18/16,6717.70,WALTHAMSTOW - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,34,3/18/16,6717.70,WENNINGTON - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,170.50,1.00,170.50,,
FPL/34805,35,3/18/16,6717.70,WILLESDEN - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
FPL/34805,36,3/18/16,6717.70,WOODFORD - KITCHEN DEEP CLEAN MARCH 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,204.60,1.00,204.60,,
HAY/00002,1,1/21/16,6227.76,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,COMMUNICATIONS SUPPORT (3 US),HAYS SPECIALIST RECRUITMENT,20.22,308.00,"6,227.76",HAY/00002,"6,227.76"
HAY/00004,1,1/21/16,5245.24,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,17.03,308.00,"5,245.24",HAY/00004,"5,245.24"
HAY/00009,1,1/21/16,7643.16,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,OPS RESILIENCE - EUR,HAYS SPECIALIST RECRUITMENT,20.22,378.00,"7,643.16",HAY/00009,"7,643.16"
HAY/00013,1,1/21/16,5364.45,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,17.03,315.00,"5,364.45",HAY/00013,"5,364.45"
HAY/00015,1,1/21/16,5374.60,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,PROCUREMENT CAR SCHEME (1 US),HAYS SPECIALIST RECRUITMENT,17.45,308.00,"5,374.60",HAY/00015,"5,374.60"
HAY/00017,1,1/21/16,6548.08,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,IT CUSTOMER SUPPORT (1 US),HAYS SPECIALIST RECRUITMENT,21.26,308.00,"6,548.08",HAY/00017,"6,548.08"
HAY/00018,1,1/21/16,5374.60,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR POLICY (2 US),HAYS SPECIALIST RECRUITMENT,17.45,308.00,"5,374.60",HAY/00018,"5,374.60"
HAY/00019,1,1/21/16,6203.12,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,IT CUSTOMER SUPPORT (1 US),HAYS SPECIALIST RECRUITMENT,20.14,308.00,"6,203.12",HAY/00019,"6,203.12"
HAY/00021,1,1/21/16,5245.24,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SW) P &MT:HAMMERSMITH 4TH FLR,HAYS SPECIALIST RECRUITMENT,17.03,308.00,"5,245.24",HAY/00021,"5,245.24"
