Order Number,Date,Order value,Order Description,Location,Supplier,Unit Cost,Order Quantity,Line Cost,Order Number Grouped,Total Order Cost
HAY/01978,25/01/19,6110.72,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR - EMPLOYEE RELATIONS (1 US),HAYS SPECIALIST RECRUITMENT,27.28,224.00,"6,110.72",HAY/01978,"6,110.72"
HAY/01979,25/01/19,8061.13,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,OPERATIONAL POLICY & ASSURANCE,HAYS SPECIALIST RECRUITMENT,39.71,203.00,"8,061.13",HAY/01979,"8,061.13"
HAY/01984,29/01/19,7450.17,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,CORPORATE MANAGEMENT TEAM,HAYS SPECIALIST RECRUITMENT,27.29,273.00,"7,450.17",HAY/01984,"7,450.17"
HAY/01985,29/01/19,8230.95,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,GRENFELL T. INVESTIGATION TEAM,HAYS SPECIALIST RECRUITMENT,18.09,455.00,"8,230.95",HAY/01985,"8,230.95"
HAY/01986,30/01/19,7450.80,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,17.74,420.00,"7,450.80",HAY/01986,"7,450.80"
HAY/01987,30/01/19,7450.80,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,17.74,420.00,"7,450.80",HAY/01987,"7,450.80"
HAY/01989,30/01/19,9051.00,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,RESPIRATORY PROTECTIVE EQUIP,HAYS SPECIALIST RECRUITMENT,21.55,420.00,"9,051.00",HAY/01989,"9,051.00"
HAY/01992,31/01/19,7203.70,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,RADIO GROUP (RUISLIP),HAYS SPECIALIST RECRUITMENT,25.10,287.00,"7,203.70",HAY/01992,"7,203.70"
HAY/01996,05/02/19,8145.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,21.55,378.00,"8,145.90",HAY/01996,"8,145.90"
HAY/02001,06/02/19,9039.59,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,ORGANISATIONAL DEVELOPMENT,HAYS SPECIALIST RECRUITMENT,21.17,427.00,"9,039.59",HAY/02001,"9,039.59"
HAY/02009,13/02/19,7977.69,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,18.09,441.00,"7,977.69",HAY/02009,"7,977.69"
HAY/02010,13/02/19,7719.60,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,P.E. GROUP,HAYS SPECIALIST RECRUITMENT,18.38,420.00,"7,719.60",HAY/02010,"7,719.60"
HAY/02015,18/02/19,7597.80,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,PROC CONTRACTS MANAGEMENT GRP,HAYS SPECIALIST RECRUITMENT,18.09,420.00,"7,597.80",HAY/02015,"7,597.80"
HAY/02016,19/02/19,7719.60,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SE) CFS TEAM - LEWISHAM,HAYS SPECIALIST RECRUITMENT,18.38,420.00,"7,719.60",HAY/02016,"7,719.60"
HAY/02017,19/02/19,7719.60,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SE) CFS TEAM - LEWISHAM,HAYS SPECIALIST RECRUITMENT,18.38,420.00,"7,719.60",HAY/02017,"7,719.60"
HAY/02020,20/02/19,8316.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.00,462.00,"8,316.00",HAY/02020,"8,316.00"
HAY/02021,20/02/19,7597.80,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.09,420.00,"7,597.80",HAY/02021,"7,597.80"
HAY/02022,20/02/19,7597.80,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.09,420.00,"7,597.80",HAY/02022,"7,597.80"
HAY/02023,20/02/19,8357.58,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.09,462.00,"8,357.58",HAY/02023,"8,357.58"
HAY/02024,20/02/19,7823.34,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,17.74,441.00,"7,823.34",HAY/02024,"7,823.34"
HAY/02025,20/02/19,7823.34,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,17.74,441.00,"7,823.34",HAY/02025,"7,823.34"
HAY/02050,04/03/19,7977.69,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,18.09,441.00,"7,977.69",HAY/02050,"7,977.69"
HAY/02051,05/03/19,9051.00,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,NFCC HACKITT REVIEW,HAYS SPECIALIST RECRUITMENT,21.55,420.00,"9,051.00",HAY/02051,"9,051.00"
HAY/02055,07/03/19,8230.95,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,18.09,455.00,"8,230.95",HAY/02055,"8,230.95"
HAY/02057,07/03/19,6068.31,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS,PROC CONTRACTS MANAGEMENT GRP,HAYS SPECIALIST RECRUITMENT,"6,068.31",1.00,"6,068.31",HAY/02057,"6,068.31"
HAY/02058,07/03/19,7299.20,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,ICT - TECHNICAL PROJECTS,HAYS SPECIALIST RECRUITMENT,364.96,20.00,"7,299.20",HAY/02058,"7,299.20"
HAY/02059,08/03/19,5588.10,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FIRE SAFE & WELL VISITS,HAYS SPECIALIST RECRUITMENT,17.74,315.00,"5,588.10",HAY/02059,"5,588.10"
HAY/02061,11/03/19,8045.55,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS,ICT - NETWORK GROUP,HAYS SPECIALIST RECRUITMENT,178.79,45.00,"8,045.55",HAY/02061,"8,045.55"
HAY/02063,11/03/19,9800.70,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR - EMPLOYEE RELATIONS (1 US),HAYS SPECIALIST RECRUITMENT,21.54,455.00,"9,800.70",HAY/02063,"9,800.70"
HAY/02064,11/03/19,8230.95,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPS-A'SSMENT CENTRE- HAM'TH,HAYS SPECIALIST RECRUITMENT,18.09,455.00,"8,230.95",HAY/02064,"8,230.95"
HAY/02065,11/03/19,7994.35,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPS-A'SSMENT CENTRE- HAM'TH,HAYS SPECIALIST RECRUITMENT,17.57,455.00,"7,994.35",HAY/02065,"7,994.35"
HAY/02070,12/03/19,8754.20,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,19.24,455.00,"8,754.20",HAY/02070,"8,754.20"
HAY/02071,12/03/19,8540.35,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,18.77,455.00,"8,540.35",HAY/02071,"8,540.35"
HAY/02073,12/03/19,8357.58,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,18.09,462.00,"8,357.58",HAY/02073,"8,357.58"
HAY/02075,12/03/19,7341.12,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,25.49,288.00,"7,341.12",HAY/02075,"7,341.12"
HAY/02078,12/03/19,7686.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.00,427.00,"7,686.00",HAY/02078,"7,686.00"
HAY/02080,12/03/19,7724.43,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.09,427.00,"7,724.43",HAY/02080,"7,724.43"
HAY/02082,13/03/19,8230.95,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPERATIONS PERSONNEL (1 US),HAYS SPECIALIST RECRUITMENT,18.09,455.00,"8,230.95",HAY/02082,"8,230.95"
HAY/02087,14/03/19,8230.95,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,18.09,455.00,"8,230.95",HAY/02087,"8,230.95"
HAY/02107,18/03/19,5651.52,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,33.64,168.00,"5,651.52",HAY/02107,"5,651.52"
HAY/02108,18/03/19,5606.16,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,33.37,168.00,"5,606.16",HAY/02108,"5,606.16"
HAY/02110,19/03/19,9118.20,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,SWITCHBOARD/RECEPTION (FYR US),HAYS SPECIALIST RECRUITMENT,21.71,420.00,"9,118.20",HAY/02110,"9,118.20"
HAY/02113,19/03/19,7459.92,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS,PROCUREMENT CPS (1 US),HAYS SPECIALIST RECRUITMENT,191.28,39.00,"7,459.92",HAY/02113,"7,459.92"
HAY/02115,19/03/19,7544.12,AGENCY WORKERS - FRS (HAYS)   ADDITIONAL HOURS PLACEMENT,GRENFELL T. INVESTIGATION TEAM,HAYS SPECIALIST RECRUITMENT,17.73,425.50,"7,544.12",HAY/02115,"7,544.12"
HAY/02117,20/03/19,7597.80,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.09,420.00,"7,597.80",HAY/02117,"7,597.80"
HAY/02121,20/03/19,6333.25,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,GRENFELL T. INVESTIGATION TEAM,HAYS SPECIALIST RECRUITMENT,36.19,175.00,"6,333.25",HAY/02121,"6,333.25"
HAY/02128,21/03/19,9187.50,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS,GRENFELL T. INVESTIGATION TEAM,HAYS SPECIALIST RECRUITMENT,31.25,294.00,"9,187.50",HAY/02128,"9,187.50"
HAY/02136,22/03/19,6640.00,AGENCY WORKERS - FRS (HAYS)   BACK PAYMENTS,CORPORATE POTFOLIO OFFICE,HAYS SPECIALIST RECRUITMENT,415.00,16.00,"6,640.00",HAY/02136,"6,640.00"
HAY/02140,22/03/19,5282.20,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,PROCUREMENT CPS (1 US),HAYS SPECIALIST RECRUITMENT,264.11,20.00,"5,282.20",HAY/02140,"5,282.20"
HAY/02143,25/03/19,8230.95,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,(SW) P &MT:HAMMERSMITH 4TH FLR,HAYS SPECIALIST RECRUITMENT,18.09,455.00,"8,230.95",HAY/02143,"8,230.95"
HAY/02149,26/03/19,5726.70,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,NE AREA TEAM STRATFRD,HAYS SPECIALIST RECRUITMENT,18.18,315.00,"5,726.70",HAY/02149,"5,726.70"
HAY/02155,27/03/19,5216.40,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,31.05,168.00,"5,216.40",HAY/02155,"5,216.40"
HAY/02157,27/03/19,5216.40,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,31.05,168.00,"5,216.40",HAY/02157,"5,216.40"
HAY/02158,27/03/19,5216.40,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,31.05,168.00,"5,216.40",HAY/02158,"5,216.40"
HAY/02159,27/03/19,5216.40,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,31.05,168.00,"5,216.40",HAY/02159,"5,216.40"
HAY/02161,27/03/19,5216.40,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,31.05,168.00,"5,216.40",HAY/02161,"5,216.40"
HAY/02163,27/03/19,5216.40,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,31.05,168.00,"5,216.40",HAY/02163,"5,216.40"
ITS/14667,22/02/19,5560.00,SOFTWARE DEVELOPMENT - BESPOKE(ICT),ICT - SERVICE MANAGEMENT,Sequel Business Solutions Ltd,695.00,8.00,"5,560.00",ITS/14667,"5,560.00"
ITS/14670,07/03/19,7556.25,SOFTWARE DEVELOPMENT - BESPOKE(ICT),ICT - TECHNICAL PROJECTS,AZTEC COMPUTING LTD,775.00,9.75,"7,556.25",ITS/14670,"7,556.25"
KBH/00027,18/01/19,5680.00,PLEASE INSTRUCT GRADIENT CONSULTANTS TO ARRANGE FULL DOOR SU,LFB/HQ,GRADIENT CONSULTANTS LLP,455.00,1.00,455.00,KBH/00027,"5,680.00"
KBH/00027,18/01/19,5680.00,PPAS FOR REDECORATING PROJECTS AT HOMERTON,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBH/00027,18/01/19,5680.00,PRE-PROJECT ASBESTOS SURVEY TO BE UNDERTAKEN -,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBH/00027,18/01/19,5680.00,PRE-PROJECT ASBESTOS SURVEY TO BE UNDERTAKEN -,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBH/00027,18/01/19,5680.00,ASBESTOS SERVAY RE SURFACING THE ALLIANCE BAY FLOOR,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBH/00027,18/01/19,5680.00,FOLLOW UP WORK ORDER FOR F178253,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBH/00027,18/01/19,5680.00,PRE PROJECT ASBESTOS REVIEW - SHOWER & TOILET REFURBISHMENT,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBH/00027,18/01/19,5680.00,PRE PROJECT ASBESTOS SURVEY - THE FIRE SAFETY WORKS,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBH/00027,18/01/19,5680.00,HISTORICAL ADVICE REQUIRED FOR REPLACING TH CARPET AT BEXLEY,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBH/00027,18/01/19,5680.00,HISTORICAL ADVICE REQUIRED TO COMPLETE; CARPETS BEING REMOVE,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBH/00027,18/01/19,5680.00,HISTORICAL ADVICE REQUIRED FOR REPLACING TH CARPET AT EAST H,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBH/00027,18/01/19,5680.00,PRE PROJECT ASBESTOS SURVEY - AS PART OF REMEDIAL WORKS,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBI/00003,08/03/19,8410.00,PLEASE INSTRUCT GRADIENT CONSULTANTS TO ARRANGE FULL DOOR SU,LFB/HQ,GRADIENT CONSULTANTS LLP,755.00,1.00,755.00,KBI/00003,"8,410.00"
KBI/00003,08/03/19,8410.00,PLEASE INSTRUCT GRADIENT CONSULTANTS TO ARRANGE FULL DOOR SU,LFB/HQ,GRADIENT CONSULTANTS LLP,755.00,1.00,755.00,,
KBI/00003,08/03/19,8410.00,SIREM - BRIXTON - REMOVAL OF CISTERN,LFB/HQ,GRADIENT CONSULTANTS LLP,455.00,1.00,455.00,,
KBI/00003,08/03/19,8410.00,CRACKED CEILING IN THE 1ST FLOOR RECREATION ROOM,LFB/HQ,GRADIENT CONSULTANTS LLP,365.00,1.00,365.00,,
KBI/00003,08/03/19,8410.00,HISTORICAL ASBESTOS ADVICE REQUIRED.          UNION STREET C,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBI/00003,08/03/19,8410.00,HISTORICAL ASBESTOS ADVICE REQUIRED FOR THE REPLACEMENT OF T,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBI/00003,08/03/19,8410.00,HISTORICAL ADVICE REQUIRED TO COMPLETE; CARPETS BEING REMOVE,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBI/00003,08/03/19,8410.00,HISTORICAL ADVICE REQUIRED TO COMPLETE; CARPETS BEING REMOVE,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBI/00003,08/03/19,8410.00,FOLLOWNG ON FROM WORK ORDER F235625 OUR ENGINEERS HAVE HAD T,LFB/HQ,GRADIENT CONSULTANTS LLP,665.00,1.00,665.00,,
KBI/00003,08/03/19,8410.00,PLEASE INSTRUCT GRADIENT CONSULTANTS TO PREPARE REVIEW OF AS,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBI/00003,08/03/19,8410.00,PLEASE INSTRUCT GRADIENT CONSULTANTS TO PREPARE REVIEW OF AS,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBI/00003,08/03/19,8410.00,PLEASE INSTRUCT GRADIENT CONSULTANTS TO PREPARE REVIEW OF AS,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBI/00003,08/03/19,8410.00,PLEASE INSTRUCT GRADIENT CONSULTANTS TO PREPARE REVIEW OF AS,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBI/00003,08/03/19,8410.00,PLEASE INSTRUCT GRADIENT CONSULTANTS TO PREPARE REVIEW OF AS,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KBI/00003,08/03/19,8410.00,ASBESTOS SAMPLING SURVEY REQUIRED,LFB/HQ,GRADIENT CONSULTANTS LLP,665.00,1.00,665.00,,
KBI/00003,08/03/19,8410.00,FOLLOWING W/O F335319 - PLEASE REVIEW POTENTIAL ASBESTOS,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,,
KCD/00040,19/01/19,7012.57,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),757.02,1.00,757.02,KCD/00040,"7,012.57"
KCD/00040,19/01/19,7012.57,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),949.53,1.00,949.53,,
KCD/00040,19/01/19,7012.57,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),768.39,1.00,768.39,,
KCD/00040,19/01/19,7012.57,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),"1,555.87",1.00,"1,555.87",,
KCD/00040,19/01/19,7012.57,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),"2,405.18",1.00,"2,405.18",,
KCD/00040,19/01/19,7012.57,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),576.58,1.00,576.58,,
KCD/00046,23/02/19,6970.63,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),"1,122.31",1.00,"1,122.31",KCD/00046,"6,970.63"
KCD/00046,23/02/19,6970.63,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),747.65,1.00,747.65,,
KCD/00046,23/02/19,6970.63,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),"2,639.85",1.00,"2,639.85",,
KCD/00046,23/02/19,6970.63,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),619.01,1.00,619.01,,
KCD/00046,23/02/19,6970.63,P_CLEANING_CARRY OUT PLANNED TASKS I.A.W LFC CONTRACT SERVIC,LFB/HQ,INTERSERVE ( FACILITIES MGMT),"1,104.74",1.00,"1,104.74",,
