Ref No,Contract Title,Directorate,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6355,Babcock training centre Harrow/Heating system,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Derek Richardson,Maria Sun,No,No,Yes,No,Works,Expenditure,"£ 39,975","£ 43,500","(£ 3,525)",1,No,No,Budget Holder Approval,,21/01/2019,21/02/2019,,, Quantech Environmental Services Ltd
6353,Cable Cutter Pouches,Commissioner,Safety and Assurance Directorate,Fire Rescue Policy,Thomas Goodall,Gary Phillips,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 4,500","£ 4,500",£ 0,48,No,No,Budget Holder Approval,,03/12/2018,03/12/2022,,, First Products (Sussex) Ltd
6350,Liquid Tight Suits (LTS) Chemical Protective Clothing Respirex,Safety and Assurance Directorate,Operational Policy,Hazmat & Incident Comms Policy,Anthony Farrant,Gary Phillips,No,No,Yes,No,Goods/Service,Expenditure,"£ 80,000","£ 80,000",£ 0,60,No,No,Budget Holder Approval,,21/01/2019,21/01/2024,,, Respirex International Limited
6349,"Tottenham fire station, damp proofing to external wall of Male Showers ",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,Maria Sun,No,No,Yes,No,Works,Expenditure,"£ 41,497","£ 50,000","(£ 8,503)",1,No,No,Budget Holder Approval,,11/02/2019,11/03/2019,,, B Nokes Contracts
6348,"Battersea fire station, Refurbishment of Crew Manager Showers",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,Maria Sun,No,No,Yes,No,Works,Expenditure,"£ 53,977","£ 60,000","(£ 6,023)",1,No,No,Budget Holder Approval,,11/02/2019,11/03/2019,,, Standage & Co Ltd
6347,"Stratford fire station, Refurbishment of Crew Manager Showers",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,Maria Sun,No,No,Yes,No,Works,Expenditure,"£ 63,499","£ 40,000","£ 23,499",1,No,No,Budget Holder Approval,,28/01/2019,28/02/2019,,, B Nokes Contracts
6346,Cable Cutters ,Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Thomas Goodall,Gary Phillips,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 8,000","£ 8,000",£ 0,48,No,No,Budget Holder Approval,,03/12/2018,03/12/2022,,, Cannons MSA Ltd
6345,Performance Management Framework (PMF),Safety and Assurance Directorate,Strategy and Risk,Strategy Risk and Engagement,Regina Bonas,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 18,800","£ 20,000","(£ 1,200)",24,No,No,Head of Procurement approval for single tender action,,01/04/2019,31/03/2020,,, 360 Systems 
6332,Fire Investigation Basic Pratical Course,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 10,000","£ 15,000",48,No,No,Delegated Authority,,11/03/2019,11/03/2023,,, Gardiners Associates
6328,"Woodside fire station, Repairs to front & side elevations",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,Remmy Kamya,No,No,Yes,No,Works,Expenditure,"£ 58,443","£ 80,000","(£ 21,557)",1,No,No,Budget Holder Approval,,24/01/2019,24/02/2019,,, B Nokes Contracts Ltd
6327,Hunter Lodge Video,Corporate Services Directorate,Information and Communications Technology ,Technical Projects,Sally Bigland,Remmy Kamya,No,No,Yes,No,Goods/Service,Expenditure,"£ 23,000","£ 23,000",£ 0,6,No,No,Head of Procurement approval for single tender action,,09/09/2018,09/03/2019,,, Hunter Lodge
6323,Provision of Velcro Patches for PPE,Corporate Services Directorate,Communications,Internal Communications and Events,Justina Leitao,Gary Phillips,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 9,900","£ 20,000","(£ 10,100)",96,No,No,Budget Holder Approval,,19/11/2018,19/11/2026,,, Stitch Tech Ltd
6318,Museum fundraiser,Corporate Services Directorate,Communications,External Communications and Campaigns,Caroline Davis,Robert Fisher,No,No,Yes,No,Goods/Service,Income,"£ 50,000","£ 39,600","£ 10,400",48,No,No,Budget Holder Approval,,01/11/2018,31/10/2022,,, The Heritage Bureau Ltd
6317,Recruitment of Head of General Counsel,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Tracey Dennison,Anouska Herman,No,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 25,000",£ 0,9,No,No,Budget Holder Approval,Local Government Resourcing Partnership Framework,01/08/2018,01/05/2019,,, Gatenby Sanderson
6313,Fire  Investigation Theory Foundation Course ,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 48,000","£ 50,000","(£ 2,000)",48,No,No,Delegated Authority,,11/02/2019,11/02/2023,,, Bereau Veritas
6302,APEA Course for the Petroleum BTCE,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 18,600","£ 18,600",£ 0,40,No,No,Delegated Authority,,04/01/2019,04/05/2022,,, APEA
6296,LexisLibrary,Corporate Services Directorate,General Counsel,Departmental Management & Business Support,Christopher Marshall,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 29,930","£ 29,930",£ 0,12,No,No,Head of Procurement approval for single tender action,,16/08/2018,16/08/2019,,, Lexis Nexis (trading name of RELX (UK)Ltd)
6292,HR Services,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Kushalta Saini,Robert Fisher,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 82,600","£ 80,500","£ 2,100",12,No,No,Delegated Authority,,01/11/2018,31/10/2019,,, You HR Consultancy Ltd 
6291,BTEC Level 7 Advanced Professional Certificate in Investigative Practice (APCIP),Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 74,000","£ 74,000",£ 0,39,No,No,Delegated Authority,,21/01/2019,21/04/2022,,, Bond Solon
6290,Fire Station Fridges/Freezers,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 140,000","£ 140,000",£ 0,48,No,No,Budget Holder Approval,ESPO Framework for Supply of Domestic Electrical Appliances,27/11/2018,27/11/2022,,, ESPO
6288,Interim Provision of Portable Hygiene Units ,Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Liam Hall,Michael McCarthy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 116,500","£ 65,000","£ 51,500",3,Yes,Yes,Budget Holder Approval,,02/07/2018,01/10/2018,15/03/2019,14/04/2019, Site-Equip Limited 
6286,Executive search - Head of London Resilience,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Timothy Powell,Robert Fisher,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 23,500","£ 23,500",£ 0,12,No,No,Delegated Authority,Local Government Resourcing Partnership LGRP,19/07/2018,19/07/2019,,, Gatenbysanderson Limited
6277,Safety Accredited Contractors:Forecourt Passport Scheme,Safety and Assurance Directorate,Training and Professional Development,FSR Learning,Susan Naylor,Remmy Kamya,No,No,Yes,No,Goods/Service,Expenditure,"£ 17,000","£ 17,000",£ 0,56,No,No,Delegated Authority,,03/09/2018,03/05/2023,,, Tersus Consultancy Limited
6275,Specialist Software Provision ,Safety and Assurance Directorate,Strategy and Risk,National Operational Guidance,Simon Davis,Chris Caesar,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 10,872","£ 10,872",£ 0,12,No,No,Head of Procurement approval for single tender action,,03/02/2019,03/02/2020,,, CGE Risk Management Solutions B.V.
6261,Chaplaincy Services,Operations Directorate,Fire Stations,Croydon (Team),Andrew Williams,Gillian Maxwell,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 60,000","£ 80,000","(£ 20,000)",36,No,No,Budget Holder Approval,,01/06/2018,01/06/2021,,, Guys & St Thomas' NHS Foundation Trust
6257,Creation of National Operational Guidance Integration products,Safety and Assurance Directorate,Operational Policy,Management & Admin Policy Team,Rachel Wetheridge,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 25,000","£ 25,000",£ 0,12,No,No,Budget Holder Approval,TFL,02/07/2018,02/07/2019,,, ORC International
6255,HR Policy consultancy,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Catherine Gibbs,Remmy Kamya,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 11,350","£ 12,000",(£ 650),2,No,No,Delegated Authority,CCS HR,05/11/2018,04/04/2019,,, RealWorldHR Limited
6254,Specialist Paper ,Corporate Services Directorate,Communications,Internal Communications and Events,Justina Leitao,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 1,500","£ 1,500",£ 0,6,No,No,Delegated Authority,,23/04/2018,23/10/2018,,, HV Sier 
6247,Alterations to female accommodation,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Christopher Bate,Remmy Kamya,Yes,No,Yes,No,Works,Expenditure,"£ 62,502","£ 50,000","£ 12,502",2,No,No,Budget Holder Approval,,25/10/2018,25/12/2018,,, B Nokes Contracts
6246,Flood Protection barriers,Safety and Assurance Directorate,Operational Policy,Rescue & ISAR Policy,Richard Abbot,Gillian Maxwell,No,No,Yes,No,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,2,No,No,Budget Holder Approval,,21/09/2018,20/09/2020,,, Flood Control International
6239,Fire Engineering Degree,Operations Directorate,Fire Safety (Regulatory and Community),FSR Learning,Susan Naylor,Remmy Kamya,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 197,600","£ 197,600",£ 0,60,No,No,Head of Procurement approval for single tender action,,01/08/2018,01/08/2023,,, Glasgow Caledonian University
6197,Service Desk ITSM Tool,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,Yes,No,Goods/Service,Expenditure,"£ 90,560","£ 90,560",£ 0,12,No,No,Budget Holder Approval,Technology Products 2,01/05/2018,01/05/2019,,, Marval Software Ltd
6177,Provision of a Managed Archived Records Storage Service,Corporate Services Directorate,Information and Communications Technology ,Business Intelligence,David Morris,Catherine Bray,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 190,000","£ 190,000",£ 0,60,No,No,Budget Holder Approval,"CCS - RM3781, Lot 4",02/11/2018,01/11/2023,,, The Document Warehouse Limited
6170,Business Name Dataset Compatible with AddressBase Premium,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Gary Phillips,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 43,000","£ 43,000",£ 0,36,No,No,Budget Holder Approval,,26/11/2018,26/11/2021,,, Aligned Assets Ltd
6169,HR Systems support,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Remmy Kamya,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 10,442","£ 10,000",£ 442,12,Yes,No,Budget Holder Approval,,17/03/2018,17/03/2019,17/03/2019,17/03/2020, Reed Business
6166,Fire engineernig consultancy services,Operations Directorate,Fire Safety (Regulatory and Community),FSR Fire Engineering Group,Lynsey Seal,Anouska Herman,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 40,000","£ 40,000",£ 0,48,No,No,Budget Holder Approval,,30/07/2018,30/07/2022,,, Fire Surgery 
6164,Ballistic PPE: Body Armour,Safety and Assurance Directorate,Operational Resilience and Special Operations,Special Operations Group,Patrick Goulbourne,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 86,930","£ 86,930",£ 0,48,No,No,Budget Holder Approval,Ballistic PPE Capability Framework Agreement ,28/02/2018,28/02/2022,,, Aegis Engineering
6162,Staff Engagement Survey,Safety and Assurance Directorate,Strategy and Risk,Strategy Risk and Engagement,Regina Bonas,Remmy Kamya,No,No,Yes,No,Goods/Service,Expenditure,"£ 50,000","£ 20,000","£ 30,000",15,No,No,Delegated Authority,TFL 91930 CPT Customer Research and Insight Services relating to Employee Research,26/03/2018,26/06/2019,,, ORC International
6158,FRU Dry Suit,Safety and Assurance Directorate,Operational Policy,Rescue & ISAR Policy,Richard Abbot,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,24,No,No,Budget Holder Approval,,10/08/2018,10/08/2020,,, Typhoon
6156,Legal/Loggist Training,Safety and Assurance Directorate,Operational Resilience and Special Operations,Emergency Planning,Alex Townsend-Drake,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 15,000","£ 5,000","£ 10,000",12,No,No,Budget Holder Approval,,11/06/2018,11/06/2019,,, David Burrows-Sutcliffe
6155,Web Based Job Evaluation Scheme,Corporate Services Directorate,People Services,HR Advice & Employee Relations,Robert Bond,Robert Fisher,No,No,Yes,No,Goods/Service,Expenditure,"£ 18,845","£ 18,845",£ 0,48,No,No,Budget Holder Approval,,04/05/2018,04/05/2022,,, PILAT EUROPE LIMITED 
6146,VMware vSphere 6,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Not allocated,,No,Yes,No,Goods/Service,Expenditure,"£ 91,803","£ 91,803",£ 0,36,No,No,Budget Holder Approval,CCS Technology Products 2,01/02/2018,01/02/2021,,, Phoenix Software Ltd
6142,Provision of Black Workwear Jackets for Senior Officers,Operations Directorate,Fire Stations,Tower Hamlets (Team),Richard Tapp,Anouska Herman,No,No,Yes,No,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,12,No,No,Budget Holder Approval,,01/02/2018,01/02/2019,,, Burlington Uniforms
6141,IELP Main Contractor ,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Devron Cariba,No,No,Yes,No,Works,Expenditure,"£ 3,299,183","£ 2,929,000","£ 370,183",10,No,No,Committee Decision,,04/03/2019,13/12/2019,,, ITC Concepts Ltd  
6140,Provision of Visual and Audible Warning Equipment - Cars,Corporate Services Directorate,Procurement,Vehicle Administration,Floyd Phillip,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 15,800","£ 50,000","(£ 34,200)",36,No,No,Budget Holder Approval,,31/05/2018,30/05/2019,,, Redtronic
6137,NEC3 Licence Agreement ,Corporate Services Directorate,Procurement,Corporate Procurement Services,Michael McCarthy,Not allocated,,No,Yes,No,Goods/Service,Expenditure,"£ 1,900","£ 1,900",£ 0,24,No,No,Delegated Authority,TFL NEC Licence Agreement ,03/01/2018,02/01/2020,,, NEC (Thomas Telford) 
6135,Network monitoring software,Corporate Services Directorate,Information and Communications Technology ,Network,Thomas Mohan,Robert Fisher,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 47,467","£ 30,000","£ 17,467",12,No,No,Budget Holder Approval,Technology Products 2 Agreement RM3733 ,09/04/2018,08/04/2019,,, COMPUTACENTER (UK) Ltd 
6133,Sensitivity review service,Safety and Assurance Directorate,Health and Safety,Health & Safety,Adrian Bevan,Remmy Kamya,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 3,000","£ 3,000",£ 0,24,No,No,Budget Holder Approval,RM33781,16/07/2018,16/07/2020,,, Iron Mountain
6130,Inspection of Fleet Vehicles,Corporate Services Directorate,Technical and Service Support,FLEET,Alexander Vispo,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 149,800","£ 160,000","(£ 10,200)",36,No,No,Budget Holder Approval,,01/04/2019,01/04/2022,,, Applus Car Testing Services Ltd
6129,Smoke escape hoods,Safety and Assurance Directorate,Operational Policy,Fire Rescue Policy,Steven Collins,Gillian Maxwell,No,No,Yes,No,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,48,No,No,Budget Holder Approval,Devon and Somerset,20/09/2018,20/09/2022,,, Draeger Safety UK Ltd
6125,A Coaching and Mentoring programme,Corporate Services Directorate,People Services,Cultural Change,Dawne Stephenson,Remmy Kamya,No,No,Yes,No,Goods/Service,Expenditure,"£ 61,500","£ 50,000","£ 11,500",3,No,No,Committee Decision,,04/06/2018,13/04/2019,,, The Advanced Coaching Academy Ltd
6124,Provision of Chilled Mains Drinking Water Dispenser Services,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 39,000","£ 39,000",£ 0,36,No,No,Delegated Authority,ESPO Water Coolers ,31/10/2017,31/10/2019,,, Water Coolers Limited 
6120,E-Tendering Software,Corporate Services Directorate,Procurement,Corporate Procurement Services,Gillian Maxwell,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,24,No,No,Budget Holder Approval,TBC,01/04/2018,01/04/2020,,, EU Supply
6115,Citrix Security Solution,Corporate Services Directorate,Information and Communications Technology ,Virtual Desktop Delivery,Philip Hillary,Joseph Newton,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 102,072","£ 80,000","£ 22,072",36,No,No,Budget Holder Approval,Technology Products 2,08/01/2018,08/01/2021,,, Softcat PLC
6114,Training - Fire Investigation Qualification,Operations Directorate,Fire Safety (Regulatory and Community),FSR Learning,Susan Naylor,Gillian Maxwell,No,No,Yes,No,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,24,No,No,Head of Procurement approval for single tender action,,01/02/2018,01/02/2020,,, Gardiner Associates Training and Research Ltd
6113,Replacement Wireless LAN Controllers,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 119,981","£ 195,000","(£ 75,019)",36,No,No,Budget Holder Approval,Crown Commercial Service Technology Products 2 Framework ,01/01/2018,01/01/2021,,, Q Associates Limited
6112,Flame Retardant Bedding,Operations Directorate,Fire Safety (Regulatory and Community),CS Policy and Projects,Marvin Ikua,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 26,000","£ 26,000",£ 0,48,No,No,Budget Holder Approval,Safe and Well Equipment Framework,01/03/2018,01/03/2022,,," Thomas Kneale & Co Limited  , Vision Support Services "
6110,Provision of Insurance Services,Corporate Services Directorate,Finance,Accountancy & Treasury,Peter Risby,Robert Fisher,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 6,661,418","£ 8,228,196","(£ 1,566,778)",36,No,No,Delegated Authority,,30/06/2018,30/06/2021,,," Risk Management Partners Limited, Travelers Insurance Co Ltd"
6095,Business Administration Apprenticeship Training ,Corporate Services Directorate,People Services,Cultural Change,Damian Candish,Gillian Maxwell,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,12,No,No,Delegated Authority,TFL 93582,08/01/2018,08/01/2019,,, Outsource Training Ltd
6094,Purchase & maintenance of mail screening X-ray scanner,Corporate Services Directorate,Information and Communications Technology ,Business Intelligence,David Morris,Hitesh Mistry,No,No,Yes,No,Goods/Service,Expenditure,"£ 17,177","£ 17,177",£ 0,60,No,No,Budget Holder Approval,,31/12/2017,31/12/2022,,, Todd Research Ltd
6091,Visualfiles Annual Maintenance Agreement ,Corporate Services Directorate,General Counsel,Departmental Management & Business Support,Christopher Marshall,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 44,787","£ 44,787",£ 0,36,No,No,Delegated Authority,,01/04/2017,01/04/2020,,, LexisNexis 
6087,Replacement Paging System,Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,Yes,Goods/Service,Expenditure,"£ 98,390","£ 35,000","£ 63,390",36,No,No,Budget Holder Approval,,13/10/2017,13/10/2020,,, PageOne Communications Limited
6084,Provision and Installation of Replacement UPS Battery System @ LFB Merton LOC,Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Neville Harper,Anouska Herman,No,No,Yes,No,Works,Expenditure,£ 120,£ 120,£ 0,12,No,No,Budget Holder Approval,,08/02/2018,07/02/2019,,,Power Control Limited 
6073,"Project Manager, Quantity Surveyor and Contract Administrator Duties on IELP Project",Corporate Services Directorate,Technical and Service Support,Estates & Major Works,Rupert Palmer,Michael McCarthy,No,No,Yes,No,Goods/Service,Expenditure,"£ 136,762","£ 150,000","(£ 13,238)",29,No,No,Committee Decision,,03/10/2017,31/12/2019,,, Burke Hunter Adams 
6072,"For the provision of water and seawage, automated reading across the LFb estate",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Grace Lukumoi,Robert Fisher,Yes,Yes,Yes,No,Goods/Service,Expenditure,"£ 250,000","£ 250,000",£ 0,60,No,No,Delegated Authority,Water Lot1 Aggregation RM3790,01/08/2018,01/08/2023,,, Anglian Water Business (National) Ltd trading as Wave
6070,Supply of Marine Fuel ,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,24,No,No,Delegated Authority,National Fuels Framework,01/10/2017,01/10/2019,,, Certas Energy UK Ltd
6069,Supply of Diesel for Strategic Reserve Storage Tanks,Operations Directorate,Fire Stations,Fire Stations & Area Team Management,Andrew Roe,Robert Fisher,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,24,No,No,Delegated Authority,National Fuels Framework,01/10/2017,30/09/2019,,, WFL (UK) Ltd t/a Hall Fuels
6067,Netcall Upgrade (telephony),Corporate Services Directorate,Information and Communications Technology ,ICT Management,Julian Martin,Lesley Troke,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 87,000","£ 87,000",£ 0,36,No,No,Budget Holder Approval,,25/07/2017,25/07/2020,,, Netcall Telecom Limited
6066,e-disclosure services,Corporate Services Directorate,General Counsel,Corporate & Commercial,Thomas Davies,Robert Fisher,No,No,Yes,No,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,24,No,No,Delegated Authority,RM3717,11/09/2017,11/09/2019,,, PA Consulting Services Limited
6061,The supply and maintenance of digital production printers,Corporate Services Directorate,Communications,Internal Communications and Events,Justina Leitao,Anouska Herman,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 110,000","£ 140,000","(£ 30,000)",36,No,No,Budget Holder Approval,,02/07/2018,02/07/2021,,, Konica Minolta
6059,Building Fabric ,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 5,137,092","£ 3,000,000","£ 2,137,092",36,No,No,Delegated Authority,,03/12/2018,02/12/2021,,, Close Brothers Rail Ltd 
6058,"Mechanical, Electrical & Plumbing Services (MEP)",Corporate Services Directorate,Technical and Service Support,FM Service Delivery Team,Claire Page,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 19,773,933","£ 3,000,000","£ 16,773,933",36,No,No,Budget Holder Approval,,03/12/2018,03/12/2021,,," Kier Facilities Services Limited   , Servest Group Ltd   "
6057,Provision of Tax Advisory Services,Corporate Services Directorate,Finance,Accountancy & Treasury,Annette Trigg,Robert Fisher,No,No,Yes,Yes,Goods/Service,Expenditure,"£ 33,545","£ 32,000","£ 1,545",36,No,No,Budget Holder Approval,ESPO Consultancy framework 664 ,01/10/2017,01/10/2020,,, PSTAX
6055,Lift Maintenance,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 533,333","£ 175,000","£ 358,333",36,No,No,Committee Decision,,08/04/2018,08/04/2021,,, Apex Lifts & Escalator Engineers Limited
6054,Pest Control Services,Corporate Services Directorate,Technical and Service Support,TSS Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 340,000","£ 175,000","£ 165,000",36,No,No,Delegated Authority,,06/03/2018,06/03/2021,,, Servest Group Limited 
6050,Staff Health Check survey,Safety and Assurance Directorate,Strategy and Risk,Strategy Risk and Engagement,Regina Bonas,Anouska Herman,No,No,Yes,No,Goods/Service,Expenditure,"£ 40,000","£ 40,000",£ 0,24,No,No,Delegated Authority,,20/11/2017,20/11/2019,,,ORC International
