Order Number,Status Code,Type,Initial Entry Date (Display),Amt Tot Hcur,Line Number,Part Description,Centre Name,Vendor Name,Order Number Grouped,Unit Cost,Order Quantity,Line Cost,Order Cost (from Lines)
FPL/36760,5,P,07/06/2016,7023.8,6,CLAPHAM - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,7,DOWGATE - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,8,EALING - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,9,ENFIELD - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,10,EUSTON - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,11,FULHAM - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,12,HAROLD HILL - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,13,HARROW - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,14,HENDON - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,15,HORNCHURCH - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,16,ILFORD - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,17,ISLINGTON - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,18,NORBURY - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,19,PARK ROYAL - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,20,ROMFORD - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,21,SOHO - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,22,SOUTHALL - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,23,SOUTHGATE - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,24,STOKE NEWINGTON - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,25,SURBITON - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,26,TOOTING - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,27,TWICKENHAM - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,28,WALLINGTON - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,29,WANDSWORTH - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,30,WEMBLEY - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,31,WEST HAMPSTEAD - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,32,WEST NORWOOD - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,33,WHITECHAPEL - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,34,WOODFORD - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,207.6,1,207.6,7023.8
FPL/36760,5,P,07/06/2016,7023.8,35,WOODSIDE - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,36,HENDON - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
FPL/36760,5,P,07/06/2016,7023.8,37,HILLINGDON - KITCHEN DEEP CLEAN APRIL 2016,PROPERTY SERVICES (3 US),REGENT OFFICE CARE LTD========,FPL/36760,173,1,173,7023.8
HAY/00125,1,P,01/04/2016,7152.6,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - ESTATES MANAGEMENT,HAYS SPECIALIST RECRUITMENT,HAY/00125,17.03,420,7152.6,7152.6
HAY/00127,1,P,01/04/2016,7152.6,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - ESTATES MANAGEMENT,HAYS SPECIALIST RECRUITMENT,HAY/00127,17.03,420,7152.6,7152.6
HAY/00129,1,P,04/04/2016,6228.04,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,HAY/00129,15.08,413,6228.04,6228.04
HAY/00140,1,P,18/04/2016,6815.9,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FINANCE MGMT & ADMIN (3 US),HAYS SPECIALIST RECRUITMENT,HAY/00140,14.98,455,6815.9,6815.9
HAY/00143,1,P,20/04/2016,6106.8,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(NW) AREA PER/M'TORING WEMBLEY,HAYS SPECIALIST RECRUITMENT,HAY/00143,14.54,420,6106.8,6106.8
HAY/00144,1,P,20/04/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,HAY/00144,14.98,420,6291.6,6291.6
HAY/00147,1,P,26/04/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,P.E. GROUP,HAYS SPECIALIST RECRUITMENT,HAY/00147,14.98,420,6291.6,6291.6
HAY/00148,1,P,27/04/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,HAY/00148,14.98,420,6291.6,6291.6
HAY/00149,1,P,27/04/2016,6396.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,HAY/00149,15.23,420,6396.6,6396.6
HAY/00155,1,P,04/05/2016,8803.2,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,IT CUSTOMER SUPPORT (1 US),HAYS SPECIALIST RECRUITMENT,HAY/00155,20.96,420,8803.2,8803.2
HAY/00166,1,P,11/05/2016,7392,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,IT CUSTOMER SUPPORT (1 US),HAYS SPECIALIST RECRUITMENT,HAY/00166,17.6,420,7392,7392
HAY/00167,1,P,11/05/2016,7152.6,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - WORKS DELIVERY,HAYS SPECIALIST RECRUITMENT,HAY/00167,17.03,420,7152.6,7152.6
HAY/00169,1,P,12/05/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,HR OPS-A'SSMENT CENTRE- HAM'TH,HAYS SPECIALIST RECRUITMENT,HAY/00169,14.98,420,6291.6,6291.6
HAY/00173,1,P,16/05/2016,6333.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,BDC PURLEY WAY,HAYS SPECIALIST RECRUITMENT,HAY/00173,15.08,420,6333.6,6333.6
HAY/00174,1,P,16/05/2016,7748.65,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPERATIONS PERSONNEL (1 US),HAYS SPECIALIST RECRUITMENT,HAY/00174,17.03,455,7748.65,7748.65
HAY/00176,1,P,19/05/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,ESTABLISHMENT PF -STRATFORD,HAYS SPECIALIST RECRUITMENT,HAY/00176,14.98,420,6291.6,6291.6
HAY/00180,1,P,25/05/2016,8895.6,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,HAY/00180,21.18,420,8895.6,8895.6
HAY/00182,1,P,31/05/2016,7392,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,IT CUSTOMER SUPPORT (1 US),HAYS SPECIALIST RECRUITMENT,HAY/00182,17.6,420,7392,7392
HAY/00183,1,P,31/05/2016,6106.8,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,LEGAL SERVICES M&A (G US),HAYS SPECIALIST RECRUITMENT,HAY/00183,14.54,420,6106.8,6106.8
HAY/00187,1,P,01/06/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,HAY/00187,14.98,420,6291.6,6291.6
HAY/00188,1,P,01/06/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,HAY/00188,14.98,420,6291.6,6291.6
HAY/00189,1,P,01/06/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,HAY/00189,14.98,420,6291.6,6291.6
HAY/00190,1,P,01/06/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,PROCUREMENT ADMIN (1 US),HAYS SPECIALIST RECRUITMENT,HAY/00190,14.98,420,6291.6,6291.6
HAY/00193,1,P,03/06/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SE) P'MANCE/M'TORING-LEWISHAM,HAYS SPECIALIST RECRUITMENT,HAY/00193,14.98,420,6291.6,6291.6
HAY/00195,1,P,03/06/2016,7467.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,NATIONAL OPERATIONAL GUIDANCE,HAYS SPECIALIST RECRUITMENT,HAY/00195,17.78,420,7467.6,7467.6
HAY/00204,1,P,08/06/2016,7161,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - WORKS DELIVERY,HAYS SPECIALIST RECRUITMENT,HAY/00204,23.87,300,7161,7161
HAY/00205,1,P,08/06/2016,9159,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - WORKS DELIVERY,HAYS SPECIALIST RECRUITMENT,HAY/00205,30.53,300,9159,9159
HAY/00208,1,P,10/06/2016,6468,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,HEALTH & SAFETY SERVICE (2 US),HAYS SPECIALIST RECRUITMENT,HAY/00208,107.8,60,6468,6468
HAY/00209,1,P,10/06/2016,8463.91,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,HAY/00209,17.03,497,8463.91,8463.91
HAY/00210,1,P,10/06/2016,6106.8,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(NE) CFS TEAM - STRATFORD REAR,HAYS SPECIALIST RECRUITMENT,HAY/00210,14.54,420,6106.8,6106.8
HAY/00214,1,P,13/06/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,OPERATIONAL RISK,HAYS SPECIALIST RECRUITMENT,HAY/00214,14.98,420,6291.6,6291.6
HAY/00215,1,P,13/06/2016,7467.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,IT CUSTOMER SUPPORT (1 US),HAYS SPECIALIST RECRUITMENT,HAY/00215,17.78,420,7467.6,7467.6
HAY/00217,1,P,14/06/2016,7152.6,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - ESTATES MANAGEMENT,HAYS SPECIALIST RECRUITMENT,HAY/00217,17.03,420,7152.6,7152.6
HAY/00218,1,P,14/06/2016,7152.6,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - ESTATES MANAGEMENT,HAYS SPECIALIST RECRUITMENT,HAY/00218,17.03,420,7152.6,7152.6
HAY/00220,1,P,16/06/2016,7467.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,SUSTAINABLE D'MENT TEAM (1 US),HAYS SPECIALIST RECRUITMENT,HAY/00220,17.78,420,7467.6,7467.6
HAY/00221,1,P,16/06/2016,8458.8,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,IT CUSTOMER SUPPORT (1 US),HAYS SPECIALIST RECRUITMENT,HAY/00221,20.14,420,8458.8,8458.8
HAY/00222,1,P,16/06/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,HAY/00222,14.98,420,6291.6,6291.6
HAY/00223,1,P,16/06/2016,6291.6,1,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,HAY/00223,14.98,420,6291.6,6291.6
HAY/00227,1,P,17/06/2016,6333.6,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,HAY/00227,15.08,420,6333.6,6333.6
HAY/00233,1,P,22/06/2016,5496.75,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,HAY/00233,17.45,315,5496.75,5496.75
HAY/00234,1,P,22/06/2016,5364.45,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,HAY/00234,17.03,315,5364.45,5364.45
HAY/00236,1,P,24/06/2016,8447.6,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,PROC CONTRACTS MANAGEMENT GRP,HAYS SPECIALIST RECRUITMENT,HAY/00236,17.24,490,8447.6,8447.6
HAY/00240,1,P,28/06/2016,8550.5,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,PROCUREMENT CAR SCHEME (1 US),HAYS SPECIALIST RECRUITMENT,HAY/00240,17.45,490,8550.5,8550.5
HAY/00241,1,P,29/06/2016,7320.6,1,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,P.E. GROUP,HAYS SPECIALIST RECRUITMENT,HAY/00241,17.43,420,7320.6,7320.6
ITM/01946,5,P,01/04/2016,5429,1,6 MONTHS' SILVER SUPPORT FOR CASS CORE/AI INTRANET/SCANNING,IT BUSINESS SOLUTIONS (1 US),WARWICK IC SYSTEMS LTD=======,ITM/01946,5429,1,5429,5429
ITS/14442,5,P,27/04/2016,6790,1,SOFTWARE DEVELOPMENT -         ICT DEPARTMENT,IT BUSINESS SOLUTIONS (1 US),MOORE STEPHENS CONSULTING LTD=,ITS/14442,6790,1,6790,6790
ITS/14447,5,P,23/05/2016,5500,1,SOFTWARE DEVELOPMENT          (ICT),IT BUSINESS SOLUTIONS (1 US),MOORE STEPHENS CONSULTING LTD=,ITS/14447,1000,5.5,5500,5500
ITS/14449,1,P,31/05/2016,5700,1,SOFTWARE DEVELOPMENT          (ICT),IT BUSINESS SOLUTIONS (1 US),SILVERSANDS LIMITED===========,ITS/14449,950,6,5700,5700
ITS/14451,1,P,02/06/2016,8000,1,SOFTWARE DEVELOPMENT          (ICT),IT BUSINESS SOLUTIONS (1 US),MOORE STEPHENS CONSULTING LTD=,ITS/14451,1000,8,8000,8000
PGS/09891,1,P,06/04/2016,5640,1,WSE CHECKS AT ALL SITES,P.E. GROUP,GAS & AIR SERVICES (UK)=======,PGS/09891,5040,1,5040,5640
PGS/09891,1,P,06/04/2016,5640,2,DOCUMENT REVIEW,P.E. GROUP,GAS & AIR SERVICES (UK)=======,PGS/09891,600,1,600,5640
PGS/09896,5,P,07/04/2016,7866.72,1,BATTERY PACK NIMH (MERLIN),P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09896,99.8,60,5988,7866.72
PGS/09896,5,P,07/04/2016,7866.72,2,ECB RECHARGEABLE BATTERY,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09896,117.42,16,1878.72,7866.72
PGS/09901,1,P,07/04/2016,5285.68,1,MAINTRNANCE CONTRACT TO THE END OF JULY 2016,P.E. GROUP,GAS & AIR SERVICES (UK)=======,PGS/09901,1321.42,4,5285.68,5285.68
PGS/09914,5,P,15/04/2016,6603.32,1,CAPILLARY KIT. 15 YEAR FOR    TWIN PACK CYLINDERS,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,35.4,20,708,6603.32
PGS/09914,5,P,15/04/2016,6603.32,2,PSS7000 CYLINDER STRAP        LOOSE END,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,17.73,20,354.6,6603.32
PGS/09914,5,P,15/04/2016,6603.32,3,PSS7000 CYLINDER STRAP        BUCKLE END,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,11.11,20,222.2,6603.32
PGS/09914,5,P,15/04/2016,6603.32,4,PSS7000 MP HOSE,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,35.88,20,717.6,6603.32
PGS/09914,5,P,15/04/2016,6603.32,5,BACK PLATE ASSEMBLY,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,52.91,2,105.82,6603.32
PGS/09914,5,P,15/04/2016,6603.32,6,FPS 7000 FACEMASK - MASK BODY EPDM-M FPS 7000,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,28.37,50,1418.5,6603.32
PGS/09914,5,P,15/04/2016,6603.32,7,FPS 7000 FACEMASK CLAMP F2.,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,5.31,100,531,6603.32
PGS/09914,5,P,15/04/2016,6603.32,8,ESA CONNECTION - EXHALATION   VALVE DISC,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,7.13,100,713,6603.32
PGS/09914,5,P,15/04/2016,6603.32,9,ESA LDV HOSE ASSY (SHORT),P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,22.6,30,678,6603.32
PGS/09914,5,P,15/04/2016,6603.32,10,ESA LDV INJECTOR-PRESET,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,2.33,20,46.6,6603.32
PGS/09914,5,P,15/04/2016,6603.32,11,PNEUMATICS - SINTERED FILTER,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,2.92,200,584,6603.32
PGS/09914,5,P,15/04/2016,6603.32,12,SILKOSPRAY,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,28,5,140,6603.32
PGS/09914,5,P,15/04/2016,6603.32,13,IN-LINE VALVE HEAD KIT,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,8.1,40,324,6603.32
PGS/09914,5,P,15/04/2016,6603.32,14,SPINDLE BEARING,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09914,3,20,60,6603.32
PGS/09917,5,P,19/04/2016,5625,1,RE-ENGINEERING / EXTENDED LIFE GT SUITS - ND MEDIUM,P.E. GROUP,RESPIREX======================,PGS/09917,225,25,5625,5625
PGS/09951,5,P,25/05/2016,7866.72,1,BATTERY PACK NIMH (MERLIN),P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09951,99.8,60,5988,7866.72
PGS/09951,5,P,25/05/2016,7866.72,2,ECB RECHARGEABLE BATTERY,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09951,117.42,16,1878.72,7866.72
PGS/09953,5,P,26/05/2016,8109.35,1,PISTON BACK UP RING,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,1.65,100,165,8109.35
PGS/09953,5,P,26/05/2016,8109.35,2,LARGE PISTON O RING,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,0.52,100,52,8109.35
PGS/09953,5,P,26/05/2016,8109.35,3,CAPILLARY KIT. 15 YEAR FOR    TWIN PACK CYLINDERS,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,35.4,10,354,8109.35
PGS/09953,5,P,26/05/2016,8109.35,4,PSS7000 SHOULDER PAD(LH),P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,63.65,10,636.5,8109.35
PGS/09953,5,P,26/05/2016,8109.35,5,PSS7000 SHOULDER PAD(RH),P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,63.65,10,636.5,8109.35
PGS/09953,5,P,26/05/2016,8109.35,6,PSS7000 WAISTPAD,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,67.88,5,339.4,8109.35
PGS/09953,5,P,26/05/2016,8109.35,7,PSS7000 CYLINDER STRAP        LOOSE END,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,17.73,10,177.3,8109.35
PGS/09953,5,P,26/05/2016,8109.35,8,PSS7000 MP HOSE,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,35.875,30,1076.25,8109.35
PGS/09953,5,P,26/05/2016,8109.35,9,FPS7000 FACEMASK HEAD HARNESS M/L CR BLACK,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,13.87,70,970.9,8109.35
PGS/09953,5,P,26/05/2016,8109.35,10,FPS 7000 FACEMASK - MASK BODY EPDM-M FPS 7000,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,28.37,80,2269.6,8109.35
PGS/09953,5,P,26/05/2016,8109.35,11,FPS 7000 FACEMASK CLAMP F2.,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,5.31,80,424.8,8109.35
PGS/09953,5,P,26/05/2016,8109.35,12,ESA LDV - ATB ASSY,P.E. GROUP,DRAEGER SAFETY UK LIMITED=====,PGS/09953,38.02,20,760.4,8109.35
