Vendor Name, Batch Number,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department
MOOLANDS LTD,301014E,811,1,875,STRATEGIC (NON CYCLICAL),06/11/2014,875,Technical and Service Support
MOOLANDS LTD,141114C,812,1,896,STRATEGIC (NON CYCLICAL),20/11/2014,896,Technical and Service Support
MOOLANDS LTD,301014E,813,1,941,STRATEGIC (NON CYCLICAL),06/11/2014,941,Technical and Service Support
EDWARDES BROS (DULWICH) LTD,201114E,844450,1,465,PURCHASES-FURNITURE,27/11/2014,465,Technical and Service Support
MOOLANDS LTD,051114C,1078,1,890,STRATEGIC (NON CYCLICAL),13/11/2014,890,Technical and Service Support
MOOLANDS LTD,301014E,1162,1,997,STRATEGIC (NON CYCLICAL),06/11/2014,997,Technical and Service Support
MOOLANDS LTD,301014E,1163,1,889,STRATEGIC (NON CYCLICAL),06/11/2014,889,Technical and Service Support
MOOLANDS LTD,301014E,1167,1,945,STRATEGIC (NON CYCLICAL),06/11/2014,945,Technical and Service Support
MOOLANDS LTD,301014E,1168,1,910,STRATEGIC (NON CYCLICAL),06/11/2014,910,Technical and Service Support
MOOLANDS LTD,301014E,1169,1,915,STRATEGIC (NON CYCLICAL),06/11/2014,915,Technical and Service Support
MOOLANDS LTD,301014E,1170,1,920,STRATEGIC (NON CYCLICAL),06/11/2014,920,Technical and Service Support
HEALTH MANAGEMENT LIMITED=====,171014C,120683,1,"7,161.00",MEDICAL APPEALS,06/11/2014,"7,161.00",HR Excluding Secondments
HEALTH MANAGEMENT LIMITED=====,061114E,120823,1,250,THIRD PARTY REPORTS,13/11/2014,"1,019.32",HR Excluding Secondments
HEALTH MANAGEMENT LIMITED=====,061114E,120823,2,769.32,THIRD PARTY REPORTS,13/11/2014,,HR Excluding Secondments
HEALTH MANAGEMENT LIMITED=====,191114C,121861,1,250,THIRD PARTY REPORTS,27/11/2014,"1,135.98",HR Excluding Secondments
HEALTH MANAGEMENT LIMITED=====,191114C,121861,2,885.98,THIRD PARTY REPORTS,27/11/2014,,HR Excluding Secondments
MOOLANDS LTD,301014E,1249,1,898,STRATEGIC (NON CYCLICAL),06/11/2014,898,Technical and Service Support
MOOLANDS LTD,301014E,1253,1,911,STRATEGIC (NON CYCLICAL),06/11/2014,911,Technical and Service Support
MOOLANDS LTD,301014E,1254,1,833,STRATEGIC (NON CYCLICAL),06/11/2014,833,Technical and Service Support
MOOLANDS LTD,301014E,1257,1,886,STRATEGIC (NON CYCLICAL),06/11/2014,886,Technical and Service Support
MOOLANDS LTD,041114E,1258,1,650.72,STRATEGIC (NON CYCLICAL),10/11/2014,650.72,Technical And Service Support
MOOLANDS LTD,301014E,1330,1,820,STRATEGIC (NON CYCLICAL),06/11/2014,820,Technical and Service Support
MOOLANDS LTD,041114E,1361,1,850,STRATEGIC (NON CYCLICAL),10/11/2014,850,Technical and Service Support
MOOLANDS LTD,041114E,1363,1,917,STRATEGIC (NON CYCLICAL),10/11/2014,917,Technical and Service Support
MOOLANDS LTD,041114E,1365,1,898,STRATEGIC (NON CYCLICAL),10/11/2014,898,Technical and Service Support
MOOLANDS LTD,191114C,1403,1,"1,532.40",STRATEGIC (NON CYCLICAL),24/11/2014,"1,532.40",Technical and Service Support
MOOLANDS LTD,191114C,1416,1,573.1,STRATEGIC (NON CYCLICAL),24/11/2014,573.1,Technical and Service Support
MOOLANDS LTD,191114C,1435,1,"2,775.00",STRATEGIC (NON CYCLICAL),24/11/2014,"2,775.00",Technical and Service Support
ENTEL UK LTD==================,211114C,143628,1,604,RADIO,27/11/2014,784,Information and Communication Technology
ENTEL UK LTD==================,211114C,143628,2,180,RADIO,27/11/2014,,Information and Communication Technology
MOOLANDS LTD,041114E,1259,1,850,STRATEGIC (NON CYCLICAL),10/11/2014,850,Technical and Service Support
MOOLANDS LTD,041114E,1362,1,890,STRATEGIC (NON CYCLICAL),10/11/2014,890,Technical and Service Support
MOOLANDS LTD,041114E,1364,1,889,STRATEGIC (NON CYCLICAL),10/11/2014,889,Technical and Service Support
OGILVIE FLEET LTD=============,140861,307917,1,355.22,LEASE CAR CHARGES,13/11/2014,355.22,Procurement
OGILVIE FLEET LTD=============,140861,307917,2,-30.7,VAT CAR LEASING,13/11/2014,,Finance Services
OGILVIE FLEET LTD=============,140861,307917,3,30.7,LEASE CAR CHARGES,13/11/2014,,Procurement
OGILVIE FLEET LTD=============,140861,307918,1,393.25,LEASE CAR CHARGES,13/11/2014,393.25,Procurement
OGILVIE FLEET LTD=============,140861,307918,2,-34.53,VAT CAR LEASING,13/11/2014,,Finance Services
OGILVIE FLEET LTD=============,140861,307918,3,34.53,LEASE CAR CHARGES,13/11/2014,,Procurement
APPLUS LLT,121114C,312,1,"3,750.00",GENERAL,17/11/2014,"3,750.00",Procurement
LYNN WICKINS,051114C,81,1,"1,067.20",PROFESSIONAL SERVICES,20/11/2014,"1,067.20",Property PFI
ADAM PHONES LTD===============,141114C,1074288,1,496,CELLULAR TELEPHONES,24/11/2014,502.5,Information and Communication Technology
ADAM PHONES LTD===============,141114C,1074288,2,6.5,CELLULAR TELEPHONES,24/11/2014,,Information and Communication Technology
DJW AND ASSOCIATES LIMITED,111114E,0161/DJW/LFB,1,"15,000.00",PROFESSIONAL SERVICES,17/11/2014,"15,000.00",Technical And Service Support
HEALTH & SAFETY LABORATORY====,281014E,38725,1,875,PROFESSIONAL DEVELOPMENT,06/11/2014,875,Operational Procedures
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,1,168.3,CLOTHING,27/11/2014,"5,129.88",Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,2,168.3,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,3,168.3,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,4,168.3,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,5,24.44,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,6,274.95,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,7,"2,040.74",CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,8,39.78,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,9,99.45,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,10,99.45,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,11,26.52,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,12,79.56,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,13,39.78,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,14,46.41,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,15,53.04,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,16,19.89,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,17,19.89,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,18,29.36,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,19,22.02,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,20,124.78,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,21,88.08,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,22,190.84,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,23,528.48,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,24,220.2,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,25,220.2,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,26,88.08,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,241114E,60376,27,80.74,CLOTHING,27/11/2014,,Operations Non Fire Stations
HUNTER APPAREL SOLUTIONS LTD==,191114C,62160,1,112.2,UNIFORMS - POMS,24/11/2014,"1,022.10",Procurement
HUNTER APPAREL SOLUTIONS LTD==,191114C,62160,2,524.5,UNIFORMS - POMS,24/11/2014,,Procurement
HUNTER APPAREL SOLUTIONS LTD==,191114C,62160,3,280.5,UNIFORMS - POMS,24/11/2014,,Procurement
HUNTER APPAREL SOLUTIONS LTD==,191114C,62160,4,104.9,UNIFORMS - POMS,24/11/2014,,Procurement
THAMES WATER UTILITIES LTD====,140861,07054-20579J,1,555.55,WATER & SEWERAGE RATES,13/11/2014,555.55,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,1,561.64,GAS,27/11/2014,"10,303.61",Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,2,6.6,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,3,201.71,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,4,445.68,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,5,519.95,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,6,444.06,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,7,397.4,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,8,330.81,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,9,233.86,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,10,359.17,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,11,272.76,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,12,59.14,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,13,225.98,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,14,288.24,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,15,374.96,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,16,846.74,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,17,390.06,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,18,261.21,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,19,687.45,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,20,57.13,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,21,35.42,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,22,23.92,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,23,276.5,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,24,840.47,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,25,498.31,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,26,231.77,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,27,371.38,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,28,317.67,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,29,201.44,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140873,968310141,30,542.18,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,1,346.12,GAS,27/11/2014,"11,173.45",Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,2,838.1,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,3,628.06,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,4,177.49,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,5,274.18,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,6,324.93,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,7,449.85,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,8,498.33,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,9,781.27,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,10,190.91,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,11,395.05,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,12,374.26,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,13,213.22,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,14,28.72,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,15,41.53,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,16,333.3,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,17,327.74,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,18,130.17,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,19,334.54,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,20,371.85,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,21,623.49,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,22,27.1,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,23,363.69,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,24,260.77,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,25,288.75,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,26,419.84,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,27,441.93,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,28,363.77,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,29,515.29,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,30,432.5,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140874,968310142,31,376.7,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,1,124.6,GAS,27/11/2014,"16,219.59",Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,2,474.21,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,3,377.48,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,4,"1,054.29",GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,5,409.63,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,6,73.04,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,7,157.43,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,8,718.83,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,9,443.09,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,10,501.45,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,11,"1,546.68",GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,12,360.66,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,13,938.87,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,14,276.21,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,15,768.11,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,16,113.07,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,17,226.73,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,18,324.92,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,19,516.66,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,20,325.94,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,21,"1,271.98",GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,22,347.53,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,23,502.57,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,24,194.64,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,25,797.63,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,26,322.88,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,27,378.32,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,28,202.96,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,29,341.58,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,30,739.28,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,31,913.99,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140875,968310143,32,474.33,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,1,168.03,GAS,27/11/2014,"10,469.04",Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,2,373.71,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,3,331.34,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,4,180.16,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,5,"1,571.01",GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,6,392.75,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,7,71.61,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,8,571,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,9,277.42,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,10,"1,009.74",GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,11,251.06,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,12,9.3,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,13,452.81,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,14,517.35,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,15,311.89,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,16,68.31,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,17,60.54,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,18,55.57,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,19,56.42,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,20,56.64,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,21,56.14,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,22,41.66,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,23,410.96,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,24,261.2,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,25,483.55,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,26,280.23,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,27,814.71,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,28,190.17,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,29,372.51,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,30,132.23,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140876,968310144,31,639.02,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140877,968310145,1,330.19,GAS,27/11/2014,"3,010.81",Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140877,968310145,2,367.31,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140877,968310145,3,405.94,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140877,968310145,4,795.92,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140877,968310145,5,480.5,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140877,968310145,6,517.92,GAS,27/11/2014,,Technical And Service Support
CORONA ENERGY RETAIL 4 LTD,140877,968310145,7,113.03,GAS,27/11/2014,,Technical And Service Support
HAYS ACCOUNTANCY & FINANCE====,281014E,1004801117,1,696,FRS STAFF AGENCY,03/11/2014,696,Technical And Service Support
AFFINITY WATER,311014C,101042590,1,507,CURRENT HYDRANT COSTS,06/11/2014,507,Operational Resilience
AFFINITY WATER,281014C,101045858,1,580,CURRENT HYDRANT COSTS,03/11/2014,580,Operational Resilience
AFFINITY WATER,281014C,101045859,1,580,CURRENT HYDRANT COSTS,03/11/2014,580,Operational Resilience
AFFINITY WATER,281014C,101045860,1,510,CURRENT HYDRANT COSTS,03/11/2014,510,Operational Resilience
AFFINITY WATER,281014C,101045861,1,580,CURRENT HYDRANT COSTS,03/11/2014,580,Operational Resilience
AFFINITY WATER,281014C,101045863,1,375,CURRENT HYDRANT COSTS,03/11/2014,375,Operational Resilience
AFFINITY WATER,281014C,101046059,1,769,CURRENT HYDRANT COSTS,03/11/2014,769,Operational Resilience
AFFINITY WATER,181114C,101046981,1,580,CURRENT HYDRANT COSTS,24/11/2014,580,Operational Resilience
AFFINITY WATER,181114C,101046985,1,580,CURRENT HYDRANT COSTS,24/11/2014,580,Operational Resilience
AFFINITY WATER,181114C,101046986,1,375,CURRENT HYDRANT COSTS,24/11/2014,375,Operational Resilience
AFFINITY WATER,181114C,101046988,1,580,CURRENT HYDRANT COSTS,24/11/2014,580,Operational Resilience
AFFINITY WATER,181114C,101046990,1,510,CURRENT HYDRANT COSTS,24/11/2014,510,Operational Resilience
AFFINITY WATER,181114C,101046991,1,375,CURRENT HYDRANT COSTS,24/11/2014,375,Operational Resilience
