Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
32906,800112975,GRADIENT CONSULTANTS LLP,3290,6,450.00,PLANNED ASBESTOS,03/04/18,,Technical and Service Support,Works - Construction
32907,800112975,GRADIENT CONSULTANTS LLP,3290,7,450.00,PLANNED ASBESTOS,03/04/18,,Technical and Service Support,Works - Construction
32908,800112975,GRADIENT CONSULTANTS LLP,3290,8,450.00,PLANNED ASBESTOS,03/04/18,,Technical and Service Support,Works - Construction
32909,800112975,GRADIENT CONSULTANTS LLP,3290,9,450.00,PLANNED ASBESTOS,03/04/18,,Technical and Service Support,Works - Construction
329010,800112975,GRADIENT CONSULTANTS LLP,3290,10,450.00,PLANNED ASBESTOS,03/04/18,,Technical and Service Support,Works - Construction
331841,800112932,ARKAS LIMITED,33184,1,695.00,REACTIVE APPLIANCE BAY DOORS,03/04/18,695.00,Technical and Service Support,Works - Construction
331851,800112941,ARKAS LIMITED,33185,1,947.00,REACTIVE APPLIANCE BAY DOORS,03/04/18,947.00,Technical and Service Support,Works - Construction
331861,800112962,ARKAS LIMITED,33186,1,349.00,REACTIVE APPLIANCE BAY DOORS,03/04/18,349.00,Technical and Service Support,Works - Construction
331871,800112933,ARKAS LIMITED,33187,1,454.05,REACTIVE APPLIANCE BAY DOORS,03/04/18,454.05,Technical and Service Support,Works - Construction
331881,800112942,ARKAS LIMITED,33188,1,331.18,REACTIVE APPLIANCE BAY DOORS,03/04/18,331.18,Technical and Service Support,Works - Construction
331901,800112943,ARKAS LIMITED,33190,1,323.00,REACTIVE APPLIANCE BAY DOORS,03/04/18,323.00,Technical and Service Support,Works - Construction
331981,800112953,ARKAS LIMITED,33198,1,962.30,REACTIVE APPLIANCE BAY DOORS,03/04/18,962.30,Technical and Service Support,Works - Construction
331991,800112963,ARKAS LIMITED,33199,1,"1,836.00",REACTIVE APPLIANCE BAY DOORS,03/04/18,"1,836.00",Technical and Service Support,Works - Construction
342-SW-ATW1,280318K,AME TEAMWORKS,342-SW-ATW,1,285.00,PROFESSIONAL DEVELOPMENT,03/04/18,285.00,Development and Training,Human Resources
37181,270318F,B NOKES CONTRACTS LTD,3718,1,773.50,DEVELOPMENT  EXPENSES-CONTRACT,03/04/18,773.50,Technical and Service Support,"Works - Construction, R&M"
37191,270318F,B NOKES CONTRACTS LTD,3719,1,"5,440.00",DEVELOPMENT  EXPENSES-CONTRACT,03/04/18,"5,440.00",Technical and Service Support,"Works - Construction, R&M"
38814727041,200318K,COMPUTACENTRE,3881472704,1,"1,077.78",ACQUISITIONS,03/04/18,"1,077.78",Fire Stations (South East),"Works - Construction, R&M"
38814727051,200318K,COMPUTACENTRE,3881472705,1,"1,077.78",ACQUISITIONS,03/04/18,"1,088.57",Fire Stations (South East),"Works - Construction, R&M"
38814727052,200318K,COMPUTACENTRE,3881472705,2,10.79,ADDITIONAL PURCHASE COSTS,03/04/18,,Fire Stations (South East),Facilities & Management Services
401575581,142190,LOCAL GOVERNMENT ASSOCIATION,40157558,1,"11,664.71",PROFESSIONAL FEES GENERAL,03/04/18,"11,664.71",Legal & Democratic Services,Legal Services
42181401,260318G,CITY OF LONDON,4218140,1,"90,000.00",FIRE AUTHS-MUTUAL ASSISTANCE,03/04/18,"90,000.00",Operational Resilience,Non Influenceable Spend
4289761,280318K,BRISTOL UNIFORMS LTD,428976,1,"1,553.99",OPERATIONAL EQUIP-PURCHASE,03/04/18,"1,553.99",Operational Resilience,Fire & Rescue
4306641,280318K,FRS COUNTRYWEAR LTD,430664,1,"1,032.00",UNIFORMS - POMS,03/04/18,"1,032.00",Procurement,Clothing
456661,220318K,SAFEQUIP LTD,45666,1,675.00,OPERATIONAL EQUIP-PURCHASE,03/04/18,675.00,Operational Policy,Fire & Rescue
470291,280318G,SCHAWK UK LIMITED,47029,1,820.00,PRINTING,03/04/18,820.00,Communications,Facilities & Management Services
472541,280318G,SCHAWK UK LIMITED,47254,1,485.00,PRINTING,03/04/18,485.00,Communications,Facilities & Management Services
476311,280318F,SCHAWK UK LIMITED,47631,1,"1,708.00",PRINTING,03/04/18,"1,708.00",Communications,Facilities & Management Services
478731,280318F,SCHAWK UK LIMITED,47873,1,255.00,PRINTING,03/04/18,255.00,Community Safety,Facilities & Management Services
481211,280318F,SCHAWK UK LIMITED,48121,1,865.00,PRINTING,03/04/18,865.00,Community Safety,Facilities & Management Services
481551,280318F,SCHAWK UK LIMITED,48155,1,525.00,PRINTING,03/04/18,525.00,Communications,Facilities & Management Services
483141,280318K,SCHAWK UK LIMITED,48314,1,255.00,PRINTING,03/04/18,255.00,Technical and Service Support,Facilities & Management Services
5037597961,142204,LEASEPLAN UK LIMITED,503759796,1,202.24,LEASE CAR CHARGES,03/04/18,"3,885.18",Procurement,Vehicle Management
5037597962,142204,LEASEPLAN UK LIMITED,503759796,2,"3,682.94",P/PAYMTS-CAR LEASG-RENTAL,03/04/18,,Procurement,Vehicle Management
5037597963,142204,LEASEPLAN UK LIMITED,503759796,3,-324.02,VAT CAR LEASING,03/04/18,,Finance Services,Vehicle Management
5037597964,142204,LEASEPLAN UK LIMITED,503759796,4,324.02,LEASE CAR CHARGES,03/04/18,,Procurement,Vehicle Management
5159931,220318K,PRESCO,515993,1,302.52,STATIONERY CONSUMABLES,03/04/18,302.52,Communications,Stationery
58921,270318K,DEALERSHIP SERVICES LTD,5892,1,276.00,CLOTHING,03/04/18,"1,507.05",Community Safety,Clothing
58922,270318K,DEALERSHIP SERVICES LTD,5892,2,69.00,CLOTHING,03/04/18,,Community Safety,Clothing
58923,270318K,DEALERSHIP SERVICES LTD,5892,3,345.00,CLOTHING,03/04/18,,Community Safety,Clothing
58924,270318K,DEALERSHIP SERVICES LTD,5892,4,345.00,CLOTHING,03/04/18,,Community Safety,Clothing
58925,270318K,DEALERSHIP SERVICES LTD,5892,5,138.00,CLOTHING,03/04/18,,Community Safety,Clothing
58926,270318K,DEALERSHIP SERVICES LTD,5892,6,69.00,CLOTHING,03/04/18,,Community Safety,Clothing
58927,270318K,DEALERSHIP SERVICES LTD,5892,7,141.50,CLOTHING,03/04/18,,Community Safety,Clothing
58928,270318K,DEALERSHIP SERVICES LTD,5892,8,70.75,CLOTHING,03/04/18,,Community Safety,Clothing
58929,270318K,DEALERSHIP SERVICES LTD,5892,9,42.90,CLOTHING,03/04/18,,Community Safety,Clothing
589210,270318K,DEALERSHIP SERVICES LTD,5892,10,9.90,CLOTHING,03/04/18,,Community Safety,Clothing
60600297321,160318K,CAPITA SECURE INFO SOLUTIONS,6060029732,1,"124,251.20",CAMS CONTRACT,03/04/18,"124,251.20",Information and Communication Technology,ICT
616491,190318F,THE HEIGHTEC GROUP LTD,61649,1,965.00,PROFESSIONAL DEVELOPMENT,03/04/18,965.00,Development and Training,Human Resources
622131,270318K,FOCUS & VISION TECHNOLOGY LTD,62213,1,757.40,MEDICAL EXPENSES CONTRACT,03/04/18,757.40,HR Management,Human Resources
70250611,270318K,CURRIE & BROWN UK LIMITED,7025061,1,201.06,PLANNED BUILDING DECORATIONS,03/04/18,276.00,Technical and Service Support,Works - Construction
70250612,270318K,CURRIE & BROWN UK LIMITED,7025061,2,74.94,PLANNED BUILDING DECORATIONS,03/04/18,,Technical and Service Support,Works - Construction
70285131,270318F,CURRIE & BROWN UK LIMITED,7028513,1,600.00,PLANNED BUILDING DECORATIONS,03/04/18,600.00,Technical and Service Support,Works - Construction
70285141,270318F,CURRIE & BROWN UK LIMITED,7028514,1,600.00,PLANNED BUILDING DECORATIONS,03/04/18,600.00,Technical and Service Support,Works - Construction
70285161,270318F,CURRIE & BROWN UK LIMITED,7028516,1,600.00,PLANNED BUILDING DECORATIONS,03/04/18,600.00,Technical and Service Support,Works - Construction
70285181,270318F,CURRIE & BROWN UK LIMITED,7028518,1,600.00,PLANNED BUILDING DECORATIONS,03/04/18,600.00,Technical and Service Support,Works - Construction
