 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclasws
270716K,ENGIE,1800008646,2,941.13,STRATEGIC (CYCLICAL),01/08/2016,,Technical and Service Support,"Works - Construction, R&M"
270716K,ENGIE,1800008646,3,"22,495.51",TACTICAL DAY TO DAY,01/08/2016,,Technical and Service Support,"Works - Construction, R&M"
270716K,ENGIE,1800008646,4,353.4,TACTICAL DAY TO DAY,01/08/2016,,Technical and Service Support,"Works - Construction, R&M"
220716K,XYZ SURVEYS LIMITED,2016184R,1,"5,160.00",PROF FEES-MISCELLANEOUS,01/08/2016,"5,160.00",Technical and Service Support,Environmental Services
250716K,KENT FIRE & RESCUE SERVICE,201825,1,"4,682.26",FIRE AUTHORITIES,01/08/2016,"4,682.26",National Operational Guidance Project,Statutory Bodies
141568,ARTHUR J. GALLAGHER (UK),22795762,1,"19,690.38",INSURANCE PREMIUMS,01/08/2016,"27,453.84",Procurement,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22795762,2,"6,563.46",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22795762,3,900,CONTRACT HIRE,01/08/2016,,Development and Training,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22795762,4,300,PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22795779,1,"4,209.55",INSURANCE PREMIUMS,01/08/2016,"5,612.73",Procurement,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22795779,2,"1,403.18",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22800557,1,"13,395.77",PREMIUMS,01/08/2016,"17,861.03",Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22800557,2,"4,465.26",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22800795,1,"4,084.19",PREMIUMS,01/08/2016,"5,445.59",Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22800795,2,"1,361.40",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22800891,1,"17,246.25",PREMIUMS,01/08/2016,"22,995.00",Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22800891,2,"5,748.75",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22801245,1,"16,425.00",PREMIUMS,01/08/2016,"21,900.00",Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22801245,2,"5,475.00",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22801415,1,"15,731.04",PREMIUMS,01/08/2016,"20,974.72",Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22801415,2,"5,243.68",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22801545,1,"1,082.41",PREMIUMS,01/08/2016,"1,443.21",Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22801545,2,360.8,PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22802003,1,"110,752.84",PREMIUMS,01/08/2016,"147,670.45",Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22802003,2,"36,917.61",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22802185,1,"98,878.50",PREMIUMS,01/08/2016,"312,162.60",Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22802185,2,"32,959.50",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22802185,3,"135,243.45",PREMIUMS,01/08/2016,,Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22802185,4,"45,081.15",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22802651,1,"4,171.95",PREMIUMS,01/08/2016,"5,562.60",Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22802651,2,"1,390.65",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22803349,1,"67,753.13",PREMIUMS,01/08/2016,"90,337.50",Central Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22803349,2,"22,584.37",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22899837,1,"404,449.20",INSURANCE PREMIUMS,01/08/2016,"771,350.85",Procurement,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22899837,2,"134,816.40",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22899837,3,"174,063.94",INSURANCE,01/08/2016,,Procurement,Consultancy
141568,ARTHUR J. GALLAGHER (UK),22899837,4,"58,021.31",PAYMENTS IN ADVANCE,01/08/2016,,Finance,Consultancy
180716K,*LOCKHART CATERING EQUIPMENT,2739785,1,7.25,CATERING EQUIPMENT,01/08/2016,381.79,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,2,4.04,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,3,7.19,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,4,18.44,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,5,18.44,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,6,6.2,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,7,6.2,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,8,6.2,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,9,6.2,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,10,6.2,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,11,6.2,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,12,14.39,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,13,82.46,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,14,62.98,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,15,11.69,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,16,2.33,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,17,10.78,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,18,6.74,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,19,30.14,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,20,3.87,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,21,7.19,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,22,10.34,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,23,3.14,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,24,5.38,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,25,2.07,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,26,1.43,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,27,1.97,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,28,1.79,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,29,3.59,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,30,2.68,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,31,11.69,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,32,8.09,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739785,33,4.49,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South East),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739811,1,31.48,CATERING EQUIPMENT,01/08/2016,266.68,Fire Stations (South West),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739811,2,62.98,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South West),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739811,3,30.14,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South West),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739811,4,14.38,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South West),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739811,5,20.68,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South West),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739811,6,29,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South West),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739811,7,14.38,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South West),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739811,8,26.76,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South West),Catering
180716K,*LOCKHART CATERING EQUIPMENT,2739811,9,36.88,CATERING EQUIPMENT,01/08/2016,,Fire Stations (South West),Catering
260716K,B & A TEXTILES LTD===========,2864,1,"1,180.00",UNIFORMS - POMS,01/08/2016,"1,180.00",Procurement,Clothing
260716K,B NOKES CONTRACTS LTD,3260,1,"6,202.00",PLANNED BUILDING DECORATIONS,01/08/2016,"6,202.00",Technical and Service Support,"Works - Construction, R&M"
260716K,B NOKES CONTRACTS LTD,3261,1,"9,828.50",PLANNED BUILDING DECORATIONS,01/08/2016,"9,828.50",Technical and Service Support,"Works - Construction, R&M"
150716K,SAFEQUIP LTD==================,39156,1,"1,440.00",PROTECTIVE EQUIPMENT,01/08/2016,"1,547.95",Technical and Service Support,Fire & Rescue
150716K,SAFEQUIP LTD==================,39156,2,100,PROTECTIVE EQUIPMENT,01/08/2016,,Technical and Service Support,Fire & Rescue
150716K,SAFEQUIP LTD==================,39156,3,7.95,PROTECTIVE EQUIPMENT,01/08/2016,,Technical and Service Support,Fire & Rescue
141568,LOCAL GOVERNMENT ASSOCIATION==,40148882,1,"1,485.00",PROFESSIONAL DEVELOPMENT,01/08/2016,"1,485.00",Legal & Democratic Services,Financial Services
260716K,CANON (UK) LTD===============,401790488,1,48.54,OFFICE EQUIPMENT,01/08/2016,801.53,Operational Response,ICT
260716K,CANON (UK) LTD===============,401790488,2,752.99,OFFICE EQUIPMENT,01/08/2016,,Operational Response,ICT
260716K,*HOMEPACK LTD=================,44707,1,101.2,OPERATIONAL EQUIP-PURCHASE,01/08/2016,303.6,Fire Stations (South East),Building Constr Materials
260716K,*HOMEPACK LTD=================,44707,2,101.2,OPERATIONAL EQUIP-PURCHASE,01/08/2016,,Fire Stations (South East),Building Constr Materials
260716K,*HOMEPACK LTD=================,44707,3,101.2,OPERATIONAL EQUIP-PURCHASE,01/08/2016,,Fire Stations (South East),Building Constr Materials
270716K,CARPETS & FLOOR COVERS DIRECT=,4787,1,617.7,FIXTURES & FITTINGS,01/08/2016,617.7,Technical and Service Support,Building Constr Materials
270716K,CARPETS & FLOOR COVERS DIRECT=,4807,1,"1,383.00",FIXTURES & FITTINGS,01/08/2016,"1,383.00",Technical and Service Support,Building Constr Materials
270716K,CARPETS & FLOOR COVERS DIRECT=,4808,1,"1,227.60",FIXTURES & FITTINGS,01/08/2016,"5,010.40",Technical and Service Support,Building Constr Materials
270716K,CARPETS & FLOOR COVERS DIRECT=,4808,2,612,FIXTURES & FITTINGS,01/08/2016,,Technical and Service Support,Building Constr Materials
270716K,CARPETS & FLOOR COVERS DIRECT=,4808,3,"1,504.00",FIXTURES & FITTINGS,01/08/2016,,Technical and Service Support,Building Constr Materials
270716K,CARPETS & FLOOR COVERS DIRECT=,4808,4,"1,666.80",FIXTURES & FITTINGS,01/08/2016,,Technical and Service Support,Building Constr Materials
270716K,CARPETS & FLOOR COVERS DIRECT=,4809,1,"1,640.00",FIXTURES & FITTINGS,01/08/2016,"1,640.00",Technical and Service Support,Building Constr Materials
270716K,CARPETS & FLOOR COVERS DIRECT=,4810,1,"4,135.00",PLANNED BUILDING DECORATIONS,01/08/2016,"4,135.00",Technical and Service Support,Building Constr Materials
270716K,CARPETS & FLOOR COVERS DIRECT=,4812,1,"1,600.00",FIXTURES & FITTINGS,01/08/2016,"1,600.00",Technical and Service Support,Building Constr Materials
270716K,SPORTSAFE UK LTD==============,491285,1,270,PLANNED GYM EQUIPMENT,01/08/2016,270,Technical and Service Support,Sports & Playground Equip
270716K,SPORTSAFE UK LTD==============,491287,1,927.23,TACTICAL DAY TO DAY,01/08/2016,927.23,Technical and Service Support,Sports & Playground Equip
200716K,BIFFA WASTE SERVICES LTD======,501M69193,1,332.83,PLANNED REFUSE COLLECTION,01/08/2016,"17,361.52",Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,2,123.13,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,3,214.32,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,4,92.89,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,5,135.26,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,6,97.46,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,7,148,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,8,150.38,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,9,47.6,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,10,134.34,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,11,148,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,12,289.92,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,13,123.13,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,14,306.5,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,15,147.2,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,16,298.21,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,17,30.24,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,18,390.86,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,19,148,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,20,76.31,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,21,84.6,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,22,123.13,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,23,97.46,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,24,243.1,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,25,223.6,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,26,97.46,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,27,135.26,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,28,291.38,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,29,123.13,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,30,110.27,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,31,168.42,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,32,106.55,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,33,179.7,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,34,130.62,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,35,97.46,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,36,240.18,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,37,240.18,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,38,185,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,39,92.16,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,40,84.6,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,41,215.92,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,42,255.3,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,43,135.26,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,44,97.46,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,45,97.46,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,46,114.84,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,47,274.8,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,48,76.31,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,49,105.75,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,50,107.28,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,51,83.02,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,52,148,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,53,84.6,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,54,274.8,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,55,135.26,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,56,84.6,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,57,84.6,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,58,273.34,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,59,92.89,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,60,274.8,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,61,49.86,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,62,123.13,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,63,148,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,64,151.11,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,65,126.97,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,66,340.63,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,67,114.04,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
200716K,BIFFA WASTE SERVICES LTD======,501M69193,68,114.84,PLANNED REFUSE COLLECTION,01/08/2016,,Technical and Service Support,Environmental Services
