Order Number,Date,Order value,Order Description,Location,Supplier,Unit Cost,Order Quantity,Line Cost,Order Number Grouped,Total Order Cost
HAY/02194,03/04/19,9782.50,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,27.95,350.00,"9,782.50",HAY/02194,"9,782.50"
HAY/02196,03/04/19,5726.70,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,18.18,315.00,"5,726.70",HAY/02196,"5,726.70"
HAY/02197,03/04/19,8145.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,ORGANISATIONAL DEVELOPMENT,HAYS SPECIALIST RECRUITMENT,25.86,315.00,"8,145.90",HAY/02197,"8,145.90"
HAY/02198,03/04/19,9051.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,25.86,350.00,"9,051.00",HAY/02198,"9,051.00"
HAY/02199,03/04/19,6999.30,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,18.18,385.00,"6,999.30",HAY/02199,"6,999.30"
HAY/02200,03/04/19,9051.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,25.86,350.00,"9,051.00",HAY/02200,"9,051.00"
HAY/02202,03/04/19,8799.70,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,19.34,455.00,"8,799.70",HAY/02202,"8,799.70"
HAY/02203,03/04/19,9782.50,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,27.95,350.00,"9,782.50",HAY/02203,"9,782.50"
HAY/02205,03/04/19,8581.30,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,18.86,455.00,"8,581.30",HAY/02205,"8,581.30"
HAY/02208,03/04/19,9051.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,25.86,350.00,"9,051.00",HAY/02208,"9,051.00"
HAY/02209,03/04/19,9051.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,25.86,350.00,"9,051.00",HAY/02209,"9,051.00"
HAY/02210,03/04/19,9051.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,25.86,350.00,"9,051.00",HAY/02210,"9,051.00"
HAY/02212,03/04/19,7495.88,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,28.18,266.00,"7,495.88",HAY/02212,"7,495.88"
HAY/02214,03/04/19,6062.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,NFCC HACKITT REVIEW,HAYS SPECIALIST RECRUITMENT,21.65,280.00,"6,062.00",HAY/02214,"6,062.00"
HAY/02215,03/04/19,9051.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,25.86,350.00,"9,051.00",HAY/02215,"9,051.00"
HAY/02218,03/04/19,5090.40,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,18.18,280.00,"5,090.40",HAY/02218,"5,090.40"
HAY/02219,03/04/19,6964.65,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.09,385.00,"6,964.65",HAY/02219,"6,964.65"
HAY/02221,03/04/19,7110.95,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,P.E. GROUP,HAYS SPECIALIST RECRUITMENT,18.47,385.00,"7,110.95",HAY/02221,"7,110.95"
HAY/02227,04/04/19,8271.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPERATIONS PERSONNEL (1 US),HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02227,"8,271.90"
HAY/02231,04/04/19,8230.95,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,PROC CONTRACTS MANAGEMENT GRP,HAYS SPECIALIST RECRUITMENT,18.09,455.00,"8,230.95",HAY/02231,"8,230.95"
HAY/02234,04/04/19,8145.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,GENERAL COUNSEL'S DEPARTMENT,HAYS SPECIALIST RECRUITMENT,25.86,315.00,"8,145.90",HAY/02234,"8,145.90"
HAY/02240,04/04/19,8271.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02240,"8,271.90"
HAY/02243,04/04/19,9817.21,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,PROCUREMENT CPS (1 US),HAYS SPECIALIST RECRUITMENT,265.33,37.00,"9,817.21",HAY/02243,"9,817.21"
HAY/02256,04/04/19,5726.70,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FIRE SAFE & WELL VISITS,HAYS SPECIALIST RECRUITMENT,18.18,315.00,"5,726.70",HAY/02256,"5,726.70"
HAY/02260,05/04/19,9850.75,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR EMPLOYEE RELAT'NS MS (1 US),HAYS SPECIALIST RECRUITMENT,21.65,455.00,"9,850.75",HAY/02260,"9,850.75"
HAY/02266,05/04/19,8271.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02266,"8,271.90"
HAY/02267,05/04/19,5726.70,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,18.18,315.00,"5,726.70",HAY/02267,"5,726.70"
HAY/02269,05/04/19,8271.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPERATIONS-REC (1 US),HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02269,"8,271.90"
HAY/02270,05/04/19,8035.30,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPERATIONS-REC (1 US),HAYS SPECIALIST RECRUITMENT,17.66,455.00,"8,035.30",HAY/02270,"8,035.30"
HAY/02276,05/04/19,8271.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,(SW) P &MT:HAMMERSMITH 4TH FLR,HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02276,"8,271.90"
HAY/02279,05/04/19,9891.00,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,GRENFELL T. INVESTIGATION TEAM,HAYS SPECIALIST RECRUITMENT,31.40,315.00,"9,891.00",HAY/02279,"9,891.00"
HAY/02280,05/04/19,9850.75,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,21.65,455.00,"9,850.75",HAY/02280,"9,850.75"
HAY/02282,05/04/19,6235.74,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,CENTRAL PROGRAMME OFFICE,HAYS SPECIALIST RECRUITMENT,18.18,343.00,"6,235.74",HAY/02282,"6,235.74"
HAY/02283,08/04/19,5430.60,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,GENERAL COUNSEL'S DEPARTMENT,HAYS SPECIALIST RECRUITMENT,25.86,210.00,"5,430.60",HAY/02283,"5,430.60"
HAY/02284,08/04/19,8227.80,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,GENERAL COUNSEL'S DEPARTMENT,HAYS SPECIALIST RECRUITMENT,39.18,210.00,"8,227.80",HAY/02284,"8,227.80"
HAY/02288,10/04/19,5668.32,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,EMERGENCY PLANNING -MERTON 1ST,HAYS SPECIALIST RECRUITMENT,33.74,168.00,"5,668.32",HAY/02288,"5,668.32"
HAY/02290,10/04/19,7757.40,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SE) P'MANCE/M'TORING-LEWISHAM,HAYS SPECIALIST RECRUITMENT,18.47,420.00,"7,757.40",HAY/02290,"7,757.40"
HAY/02296,16/04/19,9850.75,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,SWITCHBOARD/RECEPTION (FYR US),HAYS SPECIALIST RECRUITMENT,21.65,455.00,"9,850.75",HAY/02296,"9,850.75"
HAY/02297,16/04/19,9923.55,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,COMMS PRESS OFFICE (3 US),HAYS SPECIALIST RECRUITMENT,21.81,455.00,"9,923.55",HAY/02297,"9,923.55"
HAY/02302,25/04/19,8399.16,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FIRE SAFE & WELL VISITS,HAYS SPECIALIST RECRUITMENT,18.18,462.00,"8,399.16",HAY/02302,"8,399.16"
HAY/02306,25/04/19,8271.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02306,"8,271.90"
HAY/02309,26/04/19,6516.65,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,RESPIRATORY PROTECTIVE EQUIP,HAYS SPECIALIST RECRUITMENT,21.65,301.00,"6,516.65",HAY/02309,"6,516.65"
HAY/02310,26/04/19,7126.56,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,18.18,392.00,"7,126.56",HAY/02310,"7,126.56"
HAY/02311,26/04/19,8271.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,NE AREA TEAM STRATFRD,HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02311,"8,271.90"
HAY/02312,30/04/19,9850.75,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,NFCC HACKITT REVIEW,HAYS SPECIALIST RECRUITMENT,21.65,455.00,"9,850.75",HAY/02312,"9,850.75"
HAY/02313,30/04/19,8144.64,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,448.00,"8,144.64",HAY/02313,"8,144.64"
HAY/02314,30/04/19,7293.58,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,HR OPERATIONS PERSONNEL (1 US),HAYS SPECIALIST RECRUITMENT,17.66,413.00,"7,293.58",HAY/02314,"7,293.58"
HAY/02315,30/04/19,8144.64,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,448.00,"8,144.64",HAY/02315,"8,144.64"
HAY/02316,30/04/19,7635.60,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,420.00,"7,635.60",HAY/02316,"7,635.60"
HAY/02317,30/04/19,8017.38,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,441.00,"8,017.38",HAY/02317,"8,017.38"
HAY/02318,30/04/19,8144.64,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,448.00,"8,144.64",HAY/02318,"8,144.64"
HAY/02320,30/04/19,8271.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02320,"8,271.90"
HAY/02328,07/05/19,8403.85,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,(SE) CFS TEAM - LEWISHAM,HAYS SPECIALIST RECRUITMENT,18.47,455.00,"8,403.85",HAY/02328,"8,403.85"
HAY/02330,07/05/19,8017.38,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,441.00,"8,017.38",HAY/02330,"8,017.38"
HAY/02331,08/05/19,7911.68,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,COMM. FIRE CADETS CNTRL (2 US),HAYS SPECIALIST RECRUITMENT,17.66,448.00,"7,911.68",HAY/02331,"7,911.68"
HAY/02332,08/05/19,7911.68,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,COMM. FIRE CADETS CNTRL (2 US),HAYS SPECIALIST RECRUITMENT,17.66,448.00,"7,911.68",HAY/02332,"7,911.68"
HAY/02334,08/05/19,8526.42,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,469.00,"8,526.42",HAY/02334,"8,526.42"
HAY/02336,09/05/19,8271.90,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,GRENFELL T. INVESTIGATION TEAM,HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02336,"8,271.90"
HAY/02341,10/05/19,7240.80,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,ORGANISATIONAL DEVELOPMENT,HAYS SPECIALIST RECRUITMENT,25.86,280.00,"7,240.80",HAY/02341,"7,240.80"
HAY/02342,14/05/19,8526.42,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,18.18,469.00,"8,526.42",HAY/02342,"8,526.42"
HAY/02344,14/05/19,6181.00,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SW) P &MT:HAMMERSMITH 4TH FLR,HAYS SPECIALIST RECRUITMENT,17.66,350.00,"6,181.00",HAY/02344,"6,181.00"
HAY/02346,14/05/19,9547.65,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FINANCE ACCOUNTANCY (3 US),HAYS SPECIALIST RECRUITMENT,21.65,441.00,"9,547.65",HAY/02346,"9,547.65"
HAY/02347,15/05/19,9923.55,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,SWITCHBOARD/RECEPTION (FYR US),HAYS SPECIALIST RECRUITMENT,21.81,455.00,"9,923.55",HAY/02347,"9,923.55"
HAY/02368,21/05/19,7635.60,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,18.18,420.00,"7,635.60",HAY/02368,"7,635.60"
HAY/02371,22/05/19,8144.64,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,(SW) P &MT:HAMMERSMITH 4TH FLR,HAYS SPECIALIST RECRUITMENT,18.18,448.00,"8,144.64",HAY/02371,"8,144.64"
HAY/02372,23/05/19,7508.34,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,PROC CONTRACTS MANAGEMENT GRP,HAYS SPECIALIST RECRUITMENT,18.18,413.00,"7,508.34",HAY/02372,"7,508.34"
HAY/02373,23/05/19,5090.40,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,280.00,"5,090.40",HAY/02373,"5,090.40"
HAY/02377,30/05/19,9850.75,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,LEARNING SUPPORT,HAYS SPECIALIST RECRUITMENT,21.65,455.00,"9,850.75",HAY/02377,"9,850.75"
HAY/02379,01/06/19,8403.85,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,P.E. GROUP,HAYS SPECIALIST RECRUITMENT,18.47,455.00,"8,403.85",HAY/02379,"8,403.85"
HAY/02387,05/06/19,9278.15,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,27.05,343.00,"9,278.15",HAY/02387,"9,278.15"
HAY/02397,07/06/19,8271.90,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,LEGAL SERVICES M&A (G US),HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02397,"8,271.90"
HAY/02400,07/06/19,8271.90,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,LIFE LFB FUNDED PROJECTS (US),HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02400,"8,271.90"
HAY/02401,07/06/19,8935.08,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,19.34,462.00,"8,935.08",HAY/02401,"8,935.08"
HAY/02402,07/06/19,8602.44,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,18.62,462.00,"8,602.44",HAY/02402,"8,602.44"
HAY/02403,10/06/19,8399.16,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPERATIONS PERSONNEL (1 US),HAYS SPECIALIST RECRUITMENT,18.18,462.00,"8,399.16",HAY/02403,"8,399.16"
HAY/02404,11/06/19,8271.90,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,GRENFELL T. INVESTIGATION TEAM,HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02404,"8,271.90"
HAY/02412,13/06/19,8158.92,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPS-A'SSMENT CENTRE- HAM'TH,HAYS SPECIALIST RECRUITMENT,17.66,462.00,"8,158.92",HAY/02412,"8,158.92"
HAY/02413,13/06/19,8399.16,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,HR OPS-A'SSMENT CENTRE- HAM'TH,HAYS SPECIALIST RECRUITMENT,18.18,462.00,"8,399.16",HAY/02413,"8,399.16"
HAY/02419,18/06/19,6668.20,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,PERFORMANCE & IMPROVMENT,HAYS SPECIALIST RECRUITMENT,21.65,308.00,"6,668.20",HAY/02419,"6,668.20"
HAY/02423,20/06/19,9850.75,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,TSS - FM SERVICE DELIVERY,HAYS SPECIALIST RECRUITMENT,21.65,455.00,"9,850.75",HAY/02423,"9,850.75"
HAY/02424,20/06/19,8035.30,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,(SW) CFS TEAM - HAMMERSMITH,HAYS SPECIALIST RECRUITMENT,17.66,455.00,"8,035.30",HAY/02424,"8,035.30"
HAY/02427,21/06/19,8230.95,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.09,455.00,"8,230.95",HAY/02427,"8,230.95"
HAY/02429,24/06/19,8713.32,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,INFORMATION MANAGEMENT  (G US),HAYS SPECIALIST RECRUITMENT,18.86,462.00,"8,713.32",HAY/02429,"8,713.32"
HAY/02432,25/06/19,6235.74,AGENCY WORKERS - FRS (HAYS)   EXTENSION PLACEMENT,FIRE SAFE & WELL VISITS,HAYS SPECIALIST RECRUITMENT,18.18,343.00,"6,235.74",HAY/02432,"6,235.74"
HAY/02435,26/06/19,7890.12,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,434.00,"7,890.12",HAY/02435,"7,890.12"
HAY/02436,26/06/19,8144.64,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,448.00,"8,144.64",HAY/02436,"8,144.64"
HAY/02437,26/06/19,8144.64,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,FSR - ADMIN SUPPORT TEAM,HAYS SPECIALIST RECRUITMENT,18.18,448.00,"8,144.64",HAY/02437,"8,144.64"
HAY/02438,26/06/19,9850.75,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,LEGAL SERVICES M&A (G US),HAYS SPECIALIST RECRUITMENT,21.65,455.00,"9,850.75",HAY/02438,"9,850.75"
HAY/02439,27/06/19,8271.90,AGENCY WORKERS - FRS (HAYS)   INITIAL PLACEMENT,LEGAL SERVICES M&A (G US),HAYS SPECIALIST RECRUITMENT,18.18,455.00,"8,271.90",HAY/02439,"8,271.90"
ITS/14678,02/04/19,5425.00,SOFTWARE DEVELOPMENT - BESPOKE(ICT),SYSTEMS SUPPORT & IMPROVEMENT,AZTEC COMPUTING LTD,775.00,2.00,"1,550.00",ITS/14678,"5,425.00"
ITS/14678,02/04/19,5425.00,SOFTWARE DEVELOPMENT - BESPOKE(ICT),SYSTEMS SUPPORT & IMPROVEMENT,AZTEC COMPUTING LTD,775.00,2.00,"1,550.00",,
ITS/14678,02/04/19,5425.00,SOFTWARE DEVELOPMENT - BESPOKE(ICT),SYSTEMS SUPPORT & IMPROVEMENT,AZTEC COMPUTING LTD,775.00,3.00,"2,325.00",,
ITS/14685,07/05/19,7220.00,SOFTWARE DEVELOPMENT - BESPOKE(ICT),ICT - TECHNICAL PROJECTS,Sequel Business Solutions Ltd,"5,720.00",1.00,"5,720.00",ITS/14685,"7,220.00"
ITS/14685,07/05/19,7220.00,SOFTWARE DEVELOPMENT - BESPOKE(ICT),ICT - TECHNICAL PROJECTS,Sequel Business Solutions Ltd,"1,500.00",1.00,"1,500.00",,
ITS/14687,07/05/19,9800.25,SOFTWARE SUPPORT              (ICT),ICT - TECHNICAL PROJECTS,SILVERSANDS LIMITED,"9,800.25",1.00,"9,800.25",ITS/14687,"9,800.25"
ITS/14688,14/05/19,9600.00,SOFTWARE DEVELOPMENT - BESPOKE(ICT),ICT - TECHNICAL PROJECTS,AZTEC COMPUTING LTD,800.00,12.00,"9,600.00",ITS/14688,"9,600.00"
ITS/14690,21/05/19,6540.00,SOFTWARE DEVELOPMENT - BESPOKE(ICT),ICT - TECHNICAL PROJECTS,SILVERSANDS LIMITED,"6,540.00",1.00,"6,540.00",ITS/14690,"6,540.00"
ITS/14698,24/06/19,5500.00,SOFTWARE DEVELOPMENT - BESPOKE(ICT),SYSTEMS SUPPORT & IMPROVEMENT,Sequel Business Solutions Ltd,"1,000.00",5.50,"5,500.00",ITS/14698,"5,500.00"
KAM/00012,06/04/19,5002.78,PLEASE CAN YOU RAISE ME A NEW WO FOR WALTHAMSTOW FIRE STATIO,LFB/HQ,ARKAS LIMITED,"5,002.78",1.00,"5,002.78",KAM/00012,"5,002.78"
KAM/00124,04/06/19,6586.20,SECURITY GATE IS NOT CLOSEING STUCK OPEN VECHILE GATE NUMBER,LFB/HQ,ARKAS LIMITED,"6,586.20",1.00,"6,586.20",KAM/00124,"6,586.20"
KBK/00004,18/04/19,7460.00,PRE PROJECT ASBESTOS SURVEY TO BE CARRIED OUT,LFB/HQ,GRADIENT CONSULTANTS LLP,475.00,1.00,475.00,KBK/00004,"7,460.00"
KBK/00004,18/04/19,7460.00,HISTORICAL ADVICE REQUIRED TO COMPLETE; CARPETS BEING REMOVE,LFB/HQ,GRADIENT CONSULTANTS LLP,665.00,1.00,665.00,,
KBK/00004,18/04/19,7460.00,2ND FLOOR - TOILET SYTERN - REQUIRES A REPLACEMENT,LFB/HQ,GRADIENT CONSULTANTS LLP,455.00,1.00,455.00,,
