,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Department,Team Name,Contract Owner,CPS allocated to,Term Contract,OJEU,Awarded,Has ext option,Expired,Service Type,Budget Implications,Actual Cost,Est Cost ,Cost variance,Duration  (months),Extended,Ext post contract,Auth to tender,Framework agreement,Initial start date,Initial end date,Ext start date,Ext end date,Actual exp date,Contracts awarded to
6048,Vehicle Glass Replacement & Repair,Procurement,Vehicle Administration,Floyd Phillip,Hitesh Mistry,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 40,000","£ 40,000",£ 0,24,No,No,Budget Holder Approval,,01/06/2017,01/06/2019,,,, Nationwide Windscreen Services
6047,Asbestos Management Services ,Technical and Service Support,Property Operations Management,Lloyd Bentley,Michael McCarthy,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 117,223","£ 117,223",£ 0,10,No,No,Delegated Authority,,01/06/2017,01/04/2018,,,, Gratient Consultancy Ltd
6046,Learning Support; Assessment and Tutoring Services,Development and Training,Personal Development,Andrew Worsam,Dean Kinsella,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 30,000",,12,No,No,Budget Holder Approval,,,,,,,
6044,Replacement of Extended Duration Breathing Apparatus (EDBA) Cylinders,Technical and Service Support,Protective Equipment Group,Geoffrey Avis,Anouska Herman,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 400,000",,60,No,No,Budget Holder Approval,Devon/Somerset Fire & Rescue Service Ref DS 072-11,,,,,,
6043,New Cross Fire Station Rear Yard and Forecourt Upgrade,Technical and Service Support,Property Project Delivery,David Attfield,Dean Kinsella,No,No,No,No,No,Works,Expenditure,,"£ 255,000",,8,No,No,Budget Holder Approval,,,,,,,
6041,Liquid tight suits LTS,Operational Policy,Hazmat Policy,Anthony Farrant,Gillian Maxwell,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 20,000",,60,No,No,Budget Holder Approval,,,,,,,
6040,The Provision and Supply of Smoke Alarms and Related Products,Fire Safety (Statutory and Community),CS Policy and Projects,Mark Hazelton,Gillian Maxwell,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 50,000",,48,No,No,Delegated Authority,,,,,,,
6039,Lease Cars,Procurement,Vehicle Administration,Floyd Phillip,Adwoa Bonsu,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 4,000,000",,36,No,No,Budget Holder Approval,Halton Housing Framework,,,,,,
6038,Bromley Fire Station – lintel repairs to basement windows,Technical and Service Support,Property Operations Management,Christopher Bate,Robert Fisher,No,No,No,No,No,Works,Expenditure,,"£ 22,500",,2,No,No,Budget Holder Approval,,,,,,,
6037,Disposal of written-off Museum stock,Communications,External Communications and Campaigns,Caroline Davis,Dean Kinsella,No,No,No,No,No,Works,Income,,"£ 5,000",,0,No,No,Budget Holder Approval,,,,,,,
6036,"Kingston Fire Station, shower refurbishment",Technical and Service Support,Property Operations Management,Christopher Bate,Dean Kinsella,No,No,No,No,No,Works,Expenditure,,"£ 20,000",,2,No,No,Budget Holder Approval,,,,,,,
6035,Electric Vehicle Chargepoints,Procurement,Contracts Management Group,Alexander Berce,Dean Kinsella,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 387,912",,36,No,No,Delegated Authority,Buy for Best,,,,,,
6034,Pest Control Services ,Procurement,Property Supply Chain Management,Claire Page,Michael McCarthy,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 29,408","£ 29,408",£ 0,12,No,No,Delegated Authority,,06/03/2017,06/03/2018,,,, Safeguard Pest Control and Environmental Services Limited 
6033,Recruitment Campaign - Creative Services GLA Framework ,Communications,External Communications and Campaigns,Caroline Davis,Dean Kinsella,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 100,000",,48,No,No,Budget Holder Approval,91209- Lot 3 Creative for Functional Bodies,,,,,,
6032,SDK development and support,Information and Communications Technology ,Enterprise Application Management,Victoria Semmens,Adwoa Bonsu,No,No,No,No,No,Goods/Service,Expenditure,,"£ 136,000",,24,No,No,Budget Holder Approval,,,,,,,
6031,Aztec - Support Contract,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,12,No,No,Delegated Authority,,01/04/2017,01/04/2018,,,, Aztec
6030,169 Union Street Breakout Spaces,Technical and Service Support,Property Strategic Planning,John Grey,Anouska Herman,No,No,No,No,No,Works,Expenditure,,"£ 150,000",,2,No,No,Delegated Authority,,,,,,,
6029,Questionmark Assessment Tool,Human Resources Management,HR Operations,Kelly Knight,Robert Fisher,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 35,000",,36,No,No,Budget Holder Approval,,,,,,,
6028,Chemdata Subscription Renewal,Information and Communications Technology ,ICT Management,Phillip Freestone,Robert Fisher,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 34,350","£ 34,350",£ 0,12,No,No,Budget Holder Approval,,01/07/2017,01/07/2018,,,, Ricardo-AEA Ltd
6027,Bromley Fire Station showers & toilets refurbishment,Technical and Service Support,Property Operations Management,Christopher Bate,Robert Fisher,No,No,No,No,No,Works,Expenditure,,"£ 85,000",,4,No,No,Budget Holder Approval,,,,,,,
6026,LFBe governance review,Finance,Budget,Adrian Bloomfield,Robert Fisher,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 14,802","£ 20,000","(£ 5,198)",1,No,No,Budget Holder Approval,ConsultancyOne ,23/06/2017,01/09/2017,,,, RSM Risk Assurance Services LLP 
6025,Supply of Electricity and Ancilliary Services,Technical and Service Support,Property Operations Management,Lloyd Bentley,Gillian Maxwell,Yes,Yes,Yes,No,No,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,60,No,No,Delegated Authority,CCS ,01/04/2016,01/04/2021,,,, EDF Energy
6023,Cloud adoption asssement,Information and Communications Technology ,ICT Management,Julian Martin,Dean Kinsella,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 15,000","£ 15,000",£ 0,6,No,No,Budget Holder Approval,G-loud 8,01/05/2017,01/11/2017,,,, Eduserv
6022,Provision of Undress Uniform,Procurement,Corporate Procurement Services,Gillian Maxwell,Gillian Maxwell,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 10,000,000",,36,No,No,Delegated Authority,,,,,,,
6021,Provision of printing services,Communications,Internal Communications and Events,Justina Leitao,Robert Fisher,No,No,No,No,No,Goods/Service,Expenditure,,"£ 110,000",,24,No,No,Budget Holder Approval,,,,,,,
6020,Travel Management,Procurement,Contracts Management Group,David Catchpole,Michael McCarthy,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 720,000",,48,No,No,Committee Decision,,,,,,,
6019,THE SUPPLY OF PROCUREMENT AND IMPROVEMENT SERVICES,Procurement,Contracts Management Group,Mark Atkinson,Lesley Troke,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 60,000","£ 60,000",£ 0,12,No,No,Head of Procurement approval for single tender action,,03/04/2017,03/04/2018,,,, ACTIVE EPROC SOLUTIONS LTD
6018,Training Centre - Appointment of Design & Build Contractor,Technical and Service Support,Property Supply Chain Management,Rupert Palmer,Michael McCarthy,Yes,Yes,No,No,No,Works,Expenditure,,"£ 10,000,000",,36,No,No,Committee Decision,,,,,,,
6017,LFB Training Centre - Communications Consultant,Technical and Service Support,Property Supply Chain Management,Rupert Palmer,Michael McCarthy,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 39,662","£ 20,000","£ 19,662",33,No,No,Committee Decision,,08/06/2017,08/03/2020,,,, SP Broadway Ltd  
6016,"License to use 60 car parking spaces at Gallions Reach shopping centre, Beckton",Development and Training,Training Assurance,Jackie Adams-Bonitto,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 21,900","£ 21,900",£ 0,12,No,No,Committee Decision,,01/03/2017,01/03/2018,,,, INHOCO 3107 Limited
6014,Appointment of interim Head of HR Management,Human Resources Management,Commissioner & Directors,Susan Budden,Dean Kinsella,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 160,000","£ 160,000",£ 0,9,No,No,Head of Procurement approval for single tender action,,10/05/2017,10/02/2018,,,, Odgers Interim
6013,NOG conference venue,Strategy and Inclusion,National Operational Guidance,Hazel McGrouther,Dean Kinsella,No,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 16,000","£ 16,000",£ 0,0,No,No,Head of Procurement approval for single tender action,,07/06/2017,07/06/2017,,,07/06/2017, Mercure Hotels Walton Hall
6011,LFB Website Managed Support Service,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 18,334","£ 18,334",£ 0,12,No,No,Budget Holder Approval,,01/04/2017,01/04/2018,,,, Clarity Information Solutions
6010,Provision of Occupational Health Services,Human Resources Management,Employment Relations,David Amis,Gillian Maxwell,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 6,000,000",,36,No,No,Committee Decision,,,,,,,
6009,SF67652 - LFB Proposal for ScCourier Integration with ORD System,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 17,500","£ 17,500",£ 0,3,No,No,Budget Holder Approval,,03/05/2017,31/08/2017,,,, Airbus defence & Space
6008,Automatic External Defibrillators (AED),Operational Policy,Operational Tactics,Colin Parker,Michael McCarthy,No,Yes,Yes,No,Yes,Goods/Service,Expenditure,"£ 208,000","£ 208,000",£ 0,1,No,No,Delegated Authority,Capital Solutions,17/03/2017,17/04/2017,,,17/04/2017, ZOLL Medical UK
6007,Replacement four VRF units at Hammersmith Fire Station,Technical and Service Support,Property Project Delivery,Mahmoud Mokhtari,Michael McCarthy,No,No,No,No,No,Works,Expenditure,,"£ 220,000",,1,No,No,Delegated Authority,,,,,,,
6006,Esri Gazetteer Support,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 65,000","£ 65,000",£ 0,36,No,No,Budget Holder Approval,,01/05/2017,01/05/2020,,,, ESRI Ltd
6004,VMDS Support and Maintenance,Information and Communications Technology ,ICT Management,Phillip Freestone,Robert Fisher,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 140,000",,24,No,No,Budget Holder Approval,,,,,,,
6003,IM Training Passport,Information and Communications Technology ,ICT Management,Phillip Freestone,Robert Fisher,No,No,No,No,No,Goods/Service,Expenditure,,"£ 12,000",,12,No,No,Budget Holder Approval,,,,,,,
6002,ICT Training Passport,Information and Communications Technology ,ICT Management,Phillip Freestone,Robert Fisher,No,No,No,No,No,Goods/Service,Expenditure,,"£ 25,000",,12,No,No,Budget Holder Approval,,,,,,,
6001,Cognos support renewal ,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 120,000","£ 120,000",£ 0,36,No,No,Budget Holder Approval,,01/03/2017,28/02/2018,,,, IBM
6000,Silversands Application Support,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,No,No,No,Goods/Service,Expenditure,,"£ 120,000",,36,No,No,Budget Holder Approval,,,,,,,
5999,SharePoint Platform Support,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 60,000",,36,No,No,Budget Holder Approval,,,,,,,
5998,MDT Movement System,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,No,No,No,Goods/Service,Expenditure,,"£ 30,000",,36,No,No,Budget Holder Approval,,,,,,,
5997,PRDS,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,No,No,No,Goods/Service,Expenditure,,£ 36,,15000,No,No,Budget Holder Approval,,,,,,,
5996,Personal Development Plan (PDP),Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,No,No,No,Goods/Service,Expenditure,,"£ 24,000",,36,No,No,Budget Holder Approval,,,,,,,
5995,Individual Training Records System (ITRS),Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,No,No,No,Goods/Service,Expenditure,,"£ 45,000",,36,No,No,Budget Holder Approval,,,,,,,
5994,Business Sheet,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,No,No,No,Goods/Service,Expenditure,,"£ 60,000",,36,No,No,Budget Holder Approval,,,,,,,
5993,Operational Risk Database (ORD),Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,Yes,No,No,No,Goods/Service,Expenditure,,"£ 180,000",,36,No,No,Budget Holder Approval,,,,,,,
5992,Personal Development Record (PDR),Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,Yes,No,No,No,Goods/Service,Expenditure,,"£ 210,000",,36,No,No,Budget Holder Approval,,,,,,,
5991,Station Diary,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,No,No,No,No,Goods/Service,Expenditure,,"£ 90,000",,36,No,No,Budget Holder Approval,,,,,,,
5990,Appliance Workload App,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,Yes,No,No,No,Goods/Service,Expenditure,,"£ 300,000",,36,No,No,Budget Holder Approval,,,,,,,
5989,Integrated Training System for Babcock LMS,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,Yes,No,No,No,Goods/Service,Expenditure,,"£ 240,000",,36,No,No,Budget Holder Approval,,,,,,,
5988,Incident Management System (IMS),Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 100,000",,36,No,No,Budget Holder Approval,,,,,,,
5987,StARS,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,Yes,No,No,No,Goods/Service,Expenditure,,"£ 240,000",,36,No,No,Budget Holder Approval,,,,,,,
5986,Moore Stephens Application Support,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 432,000",,36,No,No,Budget Holder Approval,,,,,,,
5985,Atkins Mobile Solution Development,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,No,Yes,No,No,No,Goods/Service,Expenditure,,"£ 250,000",,24,No,No,Budget Holder Approval,,,,,,,
5984,Atkins Support and Development,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 2,560,000",,24,No,No,Budget Holder Approval,,,,,,,
5983,Microsoft EA Renewal(s),Information and Communications Technology ,ICT Management,Phillip Freestone,Not allocated,,Yes,No,No,No,Goods/Service,Expenditure,,"£ 2,000,000",,36,No,No,Budget Holder Approval,,,,,,,
5982,Microsoft Premier Support,Information and Communications Technology ,ICT Management,Phillip Freestone,Dean Kinsella,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 55,000","£ 55,000",£ 0,12,No,No,Budget Holder Approval,,01/04/2017,31/03/2018,,,, Microsoft
5980,HR Systems support,Human Resources Management,Employment Relations,Patrick Gallagher,Dean Kinsella,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,12,No,No,Budget Holder Approval,,17/03/2017,17/03/2018,,,, RBI reed business infomation
5979,Citrix – License Increase for email,Information and Communications Technology ,ICT Management,Christopher Yiangou,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 43,000","£ 43,000",£ 0,24,No,No,Budget Holder Approval,,13/03/2017,13/03/2019,,,, Insight Direct (UK) Limited
5978,Renewal of franking machine,Information and Communications Technology ,Business Intelligence,David Morris,Dean Kinsella,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 23,000","£ 23,000",£ 0,60,No,No,Head of Procurement approval for single tender action,,23/03/2017,23/03/2022,,,, Pitney Bowes
5977,Business Analyst,Information and Communications Technology ,Enterprise Application Management,Sally Bigland,Lesley Troke,No,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 91,000","£ 100,000","(£ 9,000)",7,No,No,Budget Holder Approval,,06/03/2017,31/03/2017,,,, Badnoch & Clark
5976,Erith Fire Station replacement Appliance Bay Heater,Strategy and Inclusion,Property Project Delivery,Mahmoud Mokhtari,Michael McCarthy,No,No,No,No,No,Works,Expenditure,,"£ 16,500",,1,No,No,Budget Holder Approval,,,,,,,
5974,Electronic meeting Room Booking System LFB HQ ,Technical and Service Support,Property Strategic Planning,John Grey,Hitesh Mistry,No,No,No,No,No,Goods/Service,Expenditure,,"£ 40,000",,1,No,No,Delegated Authority,,,,,,,
5973,Sidcup Fire Station – Passive fire works  ,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Michael McCarthy,No,No,No,No,No,Works,Expenditure,,"£ 40,000",,2,No,No,Delegated Authority,,,,,,,
5972,Forest Hill Fire Station – Rewire & Fire Safety Works,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Michael McCarthy,No,No,No,No,No,Works,Expenditure,,"£ 280,000",,2,No,No,Delegated Authority,,,,,,,
5971,Cardinus Risk Management,Information and Communications Technology ,ICT Management,Phillip Freestone,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 30,000","£ 30,000",£ 0,36,No,No,Budget Holder Approval,TP2,03/02/2017,03/02/2020,,,, Cardinus
5969,"Labour and project management to convert desks and replace carpets at LFB HQ 169, Union Street, SE1 0LL",Technical and Service Support,Property Strategic Planning,John Grey,Michael McCarthy,No,No,Yes,No,Yes,Works,Income,"£ 143,722","£ 110,000","£ 33,722",1,No,No,Delegated Authority,,24/04/2017,24/05/2017,,,24/05/2017, London Fit Out 
5968,"Supply of carpet for LFB HQ 169, Union Street, SE1 0LL",Technical and Service Support,Property Strategic Planning,John Grey,Dean Kinsella,No,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 149,400","£ 155,555","(£ 6,155)",12,No,No,Delegated Authority,CCS RM3747 lot 7,16/02/2017,16/02/2018,,,, crown flooring
5967,"Proviosion of desk components for LFB HQ, 169 Union Street, London SE1 0LL",Technical and Service Support,Property Strategic Planning,John Grey,Michael McCarthy,No,No,Yes,No,Yes,Goods/Service,Expenditure,"£ 75,000","£ 85,000","(£ 10,000)",0,No,No,Delegated Authority,,15/03/2017,15/03/2017,,,30/04/2017, Showcase Interiors 
5965,Urban Search and Rescue canine search capability,Operational Policy,Operational Tactics,David O'Neill,Kaya Rajan,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 6,500","£ 6,500",£ 0,12,No,No,Budget Holder Approval,,13/02/2017,13/02/2018,,,, Capital SAR Dogs Ltd
5964,Multi-Disciplinary Professional Services Framework,Technical and Service Support,Property Supply Chain Management,Rupert Palmer,Michael McCarthy,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 3,500,000",,48,No,No,Committee Decision,,,,,,,
5963,Paddington FS: Yard Gates,Technical and Service Support,Property Project Delivery,Francis Daly,Gillian Maxwell,No,No,No,No,No,Works,Expenditure,,"£ 43,648",,1,No,No,Delegated Authority,,,,,,,
5962,Mediation Services,Strategy and Inclusion,Strategy Risk and Engagement,Regina Bonas,Gillian Maxwell,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 30,000",,12,No,No,Delegated Authority,,,,,,,
5960,"Agreement for the supply, delivery and recycling of batteries ",Procurement,Corporate Procurement Services,Robert Fisher,Robert Fisher,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 50,000",,24,No,No,Delegated Authority,,,,,,,
5959,Citrix Renewal,Information and Communications Technology ,ICT Management,Christopher Yiangou,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 465,000","£ 150,000","£ 315,000",36,No,No,Delegated Authority,Technology Products 2,01/02/2017,01/02/2020,,,, Insight Direct
5958,Business Intelligence Future State Architecture,Information and Communications Technology ,Enterprise Application Management,Sally Bigland,Hitesh Mistry,No,No,Yes,No,No,Goods/Service,Expenditure,"£ 55,080","£ 55,080",£ 0,5,No,No,Budget Holder Approval,,24/04/2017,24/09/2017,,,, Altius
5957,VM Ware Renewal,Procurement,Corporate Procurement Services,Joseph Newton,Lesley Troke,Yes,No,Yes,Yes,No,Goods/Service,Expenditure,"£ 15,000","£ 15,000",£ 0,12,No,No,Budget Holder Approval,Technology Products 2,17/01/2017,17/01/2018,,,, Phoenix
5956,"The Provision of Planned And Reactive Maintenance Work For Appliance Bay Doors, Gates, Barriers And Drill Tower Grills And Shutters ",Technical and Service Support,Property Operations Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 1,875,000",,36,No,No,Committee Decision,,,,,,,
5955,Euston Fire Station - 3rd Floor Office Refurbishment,Technical and Service Support,Property Project Delivery,David Attfield,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 50,690","£ 40,000","£ 10,690",2,No,No,Delegated Authority,,24/02/2017,24/04/2017,,,24/04/2017, Adrem Contracts Ltd
5953,Control Room Video Wallboard Display,Operational Response,Brigade Control Management Team,Scott Hayward,Hitesh Mistry,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 84,796",,36,No,No,Budget Holder Approval,,,,,,,
5950,E-Recruitment system,Human Resources Management,HR Operations,Kelly Knight,Dean Kinsella,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 80,000","£ 80,000",£ 0,60,No,No,Budget Holder Approval,,01/04/2017,01/04/2022,,,, lumesse
5949,The Supply of Lifts and Lifting Equipment Maintenance and Repair,Technical and Service Support,Property Operations Management,Lloyd Bentley,Michael McCarthy,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 175,000",,60,No,No,Delegated Authority,,,,,,,
5948,National Operational Learning Trial - Software and Techincal Support,Strategy and Inclusion,National Operational Guidance,Simon Davis,Hitesh Mistry,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 19,800",,12,No,No,Head of Procurement approval for single tender action,,,,,,,
5947,Technical Architecture Panel,Information and Communications Technology ,ICT Management,Phillip Freestone,Hitesh Mistry,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 100,000",,36,No,No,Budget Holder Approval,,,,,,,
5946,Security panel,Information and Communications Technology ,ICT Security Policy,Jacqueline Knowler,Hitesh Mistry,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 100,000",,36,No,No,Delegated Authority,,,,,,,
5945,Lexis Library,Legal & Democratic Services,Legal Services Management & Business Support,Christopher Marshall,Not allocated,,No,Yes,No,No,Goods/Service,Expenditure,"£ 28,000","£ 28,000",£ 0,12,No,No,Head of Procurement approval for single tender action,,16/08/2016,16/08/2017,,,, LexisNexis 
5944,SOLCASE TO VISUALFILES MIGRATION PROJECT AND ONGOING MAINTENANCE AGREEMENT,Legal & Democratic Services,Legal Services Management & Business Support,Christopher Marshall,Robert Fisher,Yes,No,Yes,No,No,Goods/Service,Expenditure,"£ 31,239","£ 60,000","(£ 28,761)",12,No,No,Head of Procurement approval for single tender action,,02/02/2017,31/03/2018,,,, LexisNexis 
5943,Airwave,Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 1,530,000",,12,No,No,Budget Holder Approval,Local Government Radio,,,,,,
5942,Fit Out works on 2nd Floor US for use by LPP,Technical and Service Support,Property Strategic Planning,Marguerite Cameron,Not allocated,,No,Yes,No,Yes,Works,Income,"£ 68,896","£ 62,633","£ 6,263",1,No,No,Head of Procurement approval for single tender action,,03/12/2016,03/01/2017,,,03/01/2017, London Fit Out
5941,Applications Support (MSC),Information and Communications Technology ,ICT Management,Phillip Freestone,Joseph Newton,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 2,000,000",,60,No,No,Delegated Authority,,,,,,,
5940,SharePoint Environment Software Support Agreement,Information and Communications Technology ,ICT Management,Phillip Freestone,Not allocated,,Yes,Yes,Yes,Yes,Goods/Service,Expenditure,"£ 200,000","£ 200,000",£ 0,36,Yes,No,Budget Holder Approval,,19/11/2013,19/11/2016,19/11/2016,18/11/2017,05/12/2016, Silversands Limited
5939,Barking Fire Station - Shower/Toilet Refurbishment ,Technical and Service Support,Property Strategic Planning,Ian McLaughlin,Not allocated,,No,Yes,No,Yes,Works,Expenditure,"£ 82,396","£ 67,308","£ 15,088",3,No,No,Delegated Authority,,10/03/2017,20/05/2017,,,20/05/2017, B Nokes Contracts Ltd
5938,Airbus - Resilient gateway - software support & maintenance,Information and Communications Technology ,ICT Management,Julian Martin,Joseph Newton,No,No,No,No,No,Goods/Service,Expenditure,,"£ 22,000",,12,No,No,Budget Holder Approval,,,,,,,
5937,Mobile Telephony,Information and Communications Technology ,ICT Management,Julian Martin,Dean Kinsella,Yes,No,No,No,No,Goods/Service,Expenditure,,"£ 100,000",,24,No,No,Budget Holder Approval,,,,,,,
5936,IP Desk Telephony,Information and Communications Technology ,ICT Management,Julian Martin,Anouska Herman,Yes,Yes,No,No,No,Goods/Service,Expenditure,,"£ 278,000",,24,No,No,Budget Holder Approval,,,,,,,
