 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,proclass,proclass
030918K,E&S B DAVIS LTD,106,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,108,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North East),Fire & Rescue,Environmental Services
300818F,MERLIN ELECTRICAL SERVICES LTD,10918,1,551.05,REACTIVE SMALL WORKS AND PROJ,06/09/18,551.05,Technical and Service Support,Works - Construction,Facilities & Management S
030918K,E&S B DAVIS LTD,111,1,295.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,295.00,Fire Stations (North West),Fire & Rescue,Environmental Services
030918K,FIREANGEL SAFETY TECHNOLOGY LD,1120691,1,"1,470.00",FIRE DETECTORS,06/09/18,"1,470.00",Fire Stations (South East),Health and Safety,Health & Safety
030918K,FIREANGEL SAFETY TECHNOLOGY LD,1120692,1,"1,050.00",FIRE DETECTORS,06/09/18,"1,050.00",Fire Stations (South East),Health and Safety,Health & Safety
220818K,FIREANGEL SAFETY TECHNOLOGY LD,1120908,1,300.00,FIRE DETECTORS,06/09/18,900.00,Fire Stations (South East),Health and Safety,Health & Safety
220818K,FIREANGEL SAFETY TECHNOLOGY LD,1120908,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
220818K,FIREANGEL SAFETY TECHNOLOGY LD,1120908,3,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120909,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120909,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120910,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120910,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120912,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120912,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120913,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120913,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120915,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120915,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120916,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120916,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120918,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120918,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
280818K,FIREANGEL SAFETY TECHNOLOGY LD,1120928,1,300.00,FIRE DETECTORS,06/09/18,900.00,Fire Stations (South East),Health and Safety,Health & Safety
280818K,FIREANGEL SAFETY TECHNOLOGY LD,1120928,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
280818K,FIREANGEL SAFETY TECHNOLOGY LD,1120928,3,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120933,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120933,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120935,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120935,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120937,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120937,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120941,1,300.00,FIRE DETECTORS,06/09/18,600.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120941,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120944,1,150.00,FIRE DETECTORS,06/09/18,750.00,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120944,2,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
210818K,FIREANGEL SAFETY TECHNOLOGY LD,1120944,3,300.00,FIRE DETECTORS,06/09/18,,Fire Stations (South East),Health and Safety,Health & Safety
290818V,KONICA MINOLTA BUSINESS,1136652429,1,385.72,HARDWARE PRINTERS,06/09/18,"5,593.32",Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136652429,2,"1,777.26",HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136652429,3,"1,843.67",HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136652429,4,"1,481.20",HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136652429,5,105.47,HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136807374,1,0.85,HARDWARE PRINTERS,06/09/18,"8,254.19",Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136807374,2,81.75,HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136807374,3,200.47,HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136807374,4,"3,960.51",HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136807374,5,136.58,HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136807374,6,253.05,HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1136807374,7,"3,620.98",HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818K,BT GLOBAL SERVICES,1137400,1,541.66,TELECOMMUNICATIONS,06/09/18,541.66,Information and Communication Technology,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1138341679,1,1.14,HARDWARE PRINTERS,06/09/18,"6,554.21",Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1138341679,2,57.45,HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1138341679,3,41.36,HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1138341679,4,313.55,HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1138341679,5,"1,985.97",HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
290818V,KONICA MINOLTA BUSINESS,1138341679,6,"4,154.74",HARDWARE PRINTERS,06/09/18,,Communications,ICT,ICT
030918K,E&S B DAVIS LTD,115,1,590.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,590.00,Fire Stations (North West),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,117,1,"1,180.00",OPERATIONAL EQUIP-PURCHASE,06/09/18,"1,180.00",Fire Stations (North West),Fire & Rescue,Environmental Services
030918K,INFOR (UNITED KINGDOM) LIMITED,11817452-GB04G,1,340.00,SOFTWARE BESPOKE,06/09/18,340.00,Information and Communication Technology,ICT,ICT
030918K,E&S B DAVIS LTD,119,1,325.00,OPERATIONAL EQUIP-PURCHASE,06/09/18,325.00,Fire Stations (South East),Fire & Rescue,Environmental Services
030918K,E&S B DAVIS LTD,120,1,"1,000.00",OPERATIONAL EQUIP-PURCHASE,06/09/18,"1,000.00",Fire Stations (North East),Fire & Rescue,Environmental Services
142387,CASTLE WATER LIMITED,1284412,1,892.01,WATER & SEWERAGE RATES,06/09/18,892.01,Technical and Service Support,Utilities,Utilities
142387,CASTLE WATER LIMITED,1286281,1,427.01,WATER & SEWERAGE RATES,06/09/18,427.01,Technical and Service Support,Utilities,Utilities
142387,CASTLE WATER LIMITED,1294768,1,259.64,WATER & SEWERAGE RATES,06/09/18,259.64,Technical and Service Support,Utilities,Utilities
142387,CASTLE WATER LIMITED,1295940,1,317.83,WATER & SEWERAGE RATES,06/09/18,317.83,Technical and Service Support,Utilities,Utilities
142387,CASTLE WATER LIMITED,1299802,1,484.00,WATER & SEWERAGE RATES,06/09/18,484.00,Technical and Service Support,Utilities,Utilities
300818F,FRANKHAM CONSULTANCY GROUP LTD,146790,1,"2,626.80",PROF FEES-MISCELLANEOUS,06/09/18,"2,626.80",Technical and Service Support,Consultancy,Consultancy
300818F,FRANKHAM CONSULTANCY GROUP LTD,146957,1,"2,649.30",PROF FEES-MISCELLANEOUS,06/09/18,"2,649.30",Technical and Service Support,Consultancy,Consultancy
300818F,FRANKHAM CONSULTANCY GROUP LTD,146960,1,875.60,PROF FEES-MISCELLANEOUS,06/09/18,875.60,Technical and Service Support,Consultancy,Consultancy
300818F,FRANKHAM CONSULTANCY GROUP LTD,146966,1,810.50,PROF FEES-MISCELLANEOUS,06/09/18,810.50,Technical and Service Support,Consultancy,Consultancy
220818K,HALLMARK CATERING & EQUIP HIRE,16827,1,288.75,PUBLIC RELATIONS,06/09/18,465.75,Community Safety,Facilities & Management Services,Catering
220818K,HALLMARK CATERING & EQUIP HIRE,16827,2,143.00,PUBLIC RELATIONS,06/09/18,,Community Safety,Facilities & Management Services,Catering
220818K,HALLMARK CATERING & EQUIP HIRE,16827,3,34.00,ADDITIONAL PURCHASE COSTS,06/09/18,,Community Safety,Facilities & Management Services,Catering
280818K,HALLMARK CATERING & EQUIP HIRE,16828,1,352.00,PUBLIC RELATIONS,06/09/18,352.00,Community Safety,Facilities & Management Services,Catering
800118763,ENGIE,1800040674,1,176.41,REACTIVE MEP,06/09/18,"20,708.24",Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,2,181.91,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,3,"1,502.11",REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,4,93.65,REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,5,"1,129.17",REACTIVE MEP,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,6,116.78,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,7,233.55,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,8,134.66,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,9,39.38,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,10,50.30,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,11,233.55,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,12,112.26,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,13,55.38,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,14,62.86,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,15,28.80,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,16,116.78,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,17,61.48,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,18,182.25,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,19,98.69,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,20,178.44,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,21,43.84,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,22,266.55,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,23,40.46,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,24,266.55,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,25,261.05,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,26,222.44,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,27,62.16,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,28,53.89,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,29,113.06,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,30,83.48,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,31,972.89,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,32,233.55,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,33,175.16,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,34,233.55,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,35,50.30,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,36,77.83,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,37,"1,101.75",REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,38,299.44,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,39,99.26,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,40,57.88,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,41,86.97,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,42,78.62,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,43,245.93,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,44,57.91,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,45,54.80,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,46,33.75,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,47,88.17,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,48,49.63,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,49,762.32,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,50,566.76,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,51,33.09,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,52,56.46,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,53,91.79,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,54,49.63,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,55,33.09,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,56,204.99,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,57,105.60,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,58,196.81,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,59,45.33,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,60,179.89,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,61,145.47,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,62,"1,455.00",REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,63,42.68,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,64,61.23,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,65,33.09,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,66,121.73,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,67,103.54,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,68,59.56,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,69,134.13,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,70,81.72,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,71,89.59,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,72,760.27,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,73,638.84,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,74,249.17,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,75,24.16,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,76,48.45,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,77,262.78,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,78,647.88,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,79,"1,060.87",REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,80,33.09,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,81,626.60,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,82,35.73,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,83,72.25,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,84,66.17,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,85,35.73,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,86,85.02,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,87,33.70,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,88,66.17,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,89,905.67,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,90,33.09,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,91,57.16,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
800118763,ENGIE,1800040674,92,112.66,REACTIVE BUILDING FABRIC,06/09/18,,Technical and Service Support,Works - Construction,"Works - Construction, R&M"
