 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Pro Class
800056728,ADECCO UK LIMITED=============,27008916,1,554.75,FRS STAFF AGENCY,08/01/2015,554.75,Strategy & Performance,Human Resources
800056739,ADECCO UK LIMITED=============,27015841,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Regulatory Fire Safety,Human Resources
800056742,ADECCO UK LIMITED=============,27015844,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Technical And Service Support,Human Resources
800056745,ADECCO UK LIMITED=============,27015847,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Regulatory Fire Safety,Human Resources
800056746,ADECCO UK LIMITED=============,27015848,1,420.76,FRS STAFF AGENCY,08/01/2015,420.76,Operational Directorates Support Group,Human Resources
800056747,ADECCO UK LIMITED=============,27015849,1,"1,445.40",FRS STAFF AGENCY,08/01/2015,"1,445.40",National Operational Guidance Project,Human Resources
800056748,ADECCO UK LIMITED=============,27015850,1,733.21,FRS STAFF AGENCY,08/01/2015,733.21,Legal & Democratic Services,Human Resources
800056750,ADECCO UK LIMITED=============,27015852,1,499.52,FRS STAFF AGENCY,08/01/2015,499.52,Operational Directorates Support Group,Human Resources
800056751,ADECCO UK LIMITED=============,27015853,1,635.17,FRS STAFF AGENCY,08/01/2015,635.17,Corporate Management Secretariat,Human Resources
800056753,ADECCO UK LIMITED=============,27015855,1,996.04,FRS STAFF AGENCY,08/01/2015,996.04,Technical And Service Support,Human Resources
800056754,ADECCO UK LIMITED=============,27015856,1,900.2,FRS STAFF AGENCY,08/01/2015,900.2,National Operational Guidance Project,Human Resources
800056755,ADECCO UK LIMITED=============,27015857,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800056756,ADECCO UK LIMITED=============,27015858,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Regulatory Fire Safety,Human Resources
800056761,ADECCO UK LIMITED=============,27015863,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Technical And Service Support,Human Resources
800056762,ADECCO UK LIMITED=============,27015864,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800056763,ADECCO UK LIMITED=============,27015865,1,973.14,FRS STAFF AGENCY,08/01/2015,973.14,Review of Property Services,Human Resources
800056765,ADECCO UK LIMITED=============,27015867,1,544.12,FRS STAFF AGENCY,08/01/2015,544.12,Operational Directorates Support Group,Human Resources
800056767,ADECCO UK LIMITED=============,27015869,1,374.64,FRS STAFF AGENCY,08/01/2015,374.64,Regulatory Fire Safety,Human Resources
800056768,ADECCO UK LIMITED=============,27015870,1,263.76,FRS STAFF AGENCY,08/01/2015,263.76,Technical And Service Support,Human Resources
800056769,ADECCO UK LIMITED=============,27015871,1,508.44,FRS STAFF AGENCY,08/01/2015,508.44,Regulatory Fire Safety,Human Resources
800056772,ADECCO UK LIMITED=============,27015874,1,554.75,FRS STAFF AGENCY,08/01/2015,554.75,Strategy & Performance,Human Resources
800056774,ADECCO UK LIMITED=============,27019651,1,"1,131.20",FRS STAFF AGENCY,08/01/2015,"1,131.20",Technical And Service Support,Human Resources
800056775,ADECCO UK LIMITED=============,27019652,1,"1,131.20",FRS STAFF AGENCY,08/01/2015,"1,131.20",Technical And Service Support,Human Resources
800056776,ADECCO UK LIMITED=============,27019653,1,"1,131.20",FRS STAFF AGENCY,08/01/2015,"1,131.20",Technical And Service Support,Human Resources
800056784,ADECCO UK LIMITED=============,27019654,1,941.92,FRS STAFF AGENCY,08/01/2015,941.92,Communications,Human Resources
800056785,ADECCO UK LIMITED=============,27019655,1,"1,177.40",FRS STAFF AGENCY,08/01/2015,"1,177.40",Communications,Human Resources
800056786,ADECCO UK LIMITED=============,27019656,1,"1,241.25",FRS STAFF AGENCY,08/01/2015,"1,241.25",Communications,Human Resources
800056781,ADECCO UK LIMITED=============,27019663,1,"1,281.25",FRS STAFF AGENCY,08/01/2015,"1,281.25",Information and Communication Technology,Human Resources
800056782,ADECCO UK LIMITED=============,27019664,1,"1,281.25",FRS STAFF AGENCY,08/01/2015,"1,281.25",Information and Communication Technology,Human Resources
800056790,ADECCO UK LIMITED=============,27022902,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Strategy & Performance,Human Resources
800056791,ADECCO UK LIMITED=============,27022903,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Regulatory Fire Safety,Human Resources
800056794,ADECCO UK LIMITED=============,27022906,1,439.6,FRS STAFF AGENCY,08/01/2015,439.6,Technical And Service Support,Human Resources
800056797,ADECCO UK LIMITED=============,27022909,1,351.68,FRS STAFF AGENCY,08/01/2015,351.68,Regulatory Fire Safety,Human Resources
800056798,ADECCO UK LIMITED=============,27022910,1,408.2,FRS STAFF AGENCY,08/01/2015,408.2,Operational Directorates Support Group,Human Resources
800056799,ADECCO UK LIMITED=============,27022911,1,"1,337.03",FRS STAFF AGENCY,08/01/2015,"1,337.03",Legal & Democratic Services,Human Resources
800056801,ADECCO UK LIMITED=============,27022913,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operational Directorates Support Group,Human Resources
800056802,ADECCO UK LIMITED=============,27022914,1,"1,270.34",FRS STAFF AGENCY,08/01/2015,"1,270.34",Corporate Management Secretariat,Human Resources
800056804,ADECCO UK LIMITED=============,27022916,1,"1,076.80",FRS STAFF AGENCY,08/01/2015,"1,076.80",Technical And Service Support,Human Resources
800056806,ADECCO UK LIMITED=============,27022918,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800056809,ADECCO UK LIMITED=============,27022921,1,351.68,FRS STAFF AGENCY,08/01/2015,351.68,Technical And Service Support,Human Resources
800056810,ADECCO UK LIMITED=============,27022922,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800056811,ADECCO UK LIMITED=============,27022923,1,973.14,FRS STAFF AGENCY,08/01/2015,973.14,Review of Property Services,Human Resources
800056812,ADECCO UK LIMITED=============,27022924,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Procurement,Human Resources
800056818,ADECCO UK LIMITED=============,27022930,1,554.75,FRS STAFF AGENCY,08/01/2015,554.75,Strategy & Performance,Human Resources
800056819,ADECCO UK LIMITED=============,27022931,1,561.96,FRS STAFF AGENCY,08/01/2015,561.96,Operational Directorates Support Group,Human Resources
800056820,ADECCO UK LIMITED=============,27022932,1,263.76,FRS STAFF AGENCY,08/01/2015,263.76,HR Excluding Secondments,Human Resources
800056952,ADECCO UK LIMITED=============,27029345,1,263.76,FRS STAFF AGENCY,08/01/2015,263.76,Technical And Service Support,Human Resources
800056953,ADECCO UK LIMITED=============,27029346,1,540.12,FRS STAFF AGENCY,08/01/2015,540.12,National Operational Guidance Project,Human Resources
800056955,ADECCO UK LIMITED=============,27029348,1,263.76,FRS STAFF AGENCY,08/01/2015,263.76,Regulatory Fire Safety,Human Resources
800056956,ADECCO UK LIMITED=============,27029349,1,263.76,FRS STAFF AGENCY,08/01/2015,263.76,Operational Directorates Support Group,Human Resources
800056957,ADECCO UK LIMITED=============,27029350,1,948.86,FRS STAFF AGENCY,08/01/2015,948.86,Legal & Democratic Services,Human Resources
800056958,ADECCO UK LIMITED=============,27029351,1,357.28,FRS STAFF AGENCY,08/01/2015,357.28,Vehicle & Equipment Programme,Human Resources
800056959,ADECCO UK LIMITED=============,27029352,1,374.64,FRS STAFF AGENCY,08/01/2015,374.64,Operational Directorates Support Group,Human Resources
800056948,ADECCO UK LIMITED=============,27029353,1,"1,471.35",FRS STAFF AGENCY,08/01/2015,"1,471.35",Legal & Democratic Services,Human Resources
800056949,ADECCO UK LIMITED=============,27029354,1,646.08,FRS STAFF AGENCY,08/01/2015,646.08,Technical And Service Support,Human Resources
800056941,ADECCO UK LIMITED=============,27029355,1,540.12,FRS STAFF AGENCY,08/01/2015,540.12,National Operational Guidance Project,Human Resources
800056945,ADECCO UK LIMITED=============,27029356,1,374.64,FRS STAFF AGENCY,08/01/2015,374.64,Operations Non Fire Stations,Human Resources
800056943,ADECCO UK LIMITED=============,27029360,1,624.4,FRS STAFF AGENCY,08/01/2015,624.4,Operations Non Fire Stations,Human Resources
800056960,ADECCO UK LIMITED=============,27029362,1,374.64,FRS STAFF AGENCY,08/01/2015,374.64,Operations Non Fire Stations,Human Resources
800056962,ADECCO UK LIMITED=============,27029363,1,695.1,FRS STAFF AGENCY,08/01/2015,695.1,Review of Property Services,Human Resources
800056963,ADECCO UK LIMITED=============,27029364,1,374.64,FRS STAFF AGENCY,08/01/2015,374.64,Procurement,Human Resources
800056966,ADECCO UK LIMITED=============,27029365,1,263.76,FRS STAFF AGENCY,08/01/2015,263.76,Technical And Service Support,Human Resources
800056964,ADECCO UK LIMITED=============,27029371,1,498.24,FRS STAFF AGENCY,08/01/2015,498.24,Mobilising,Human Resources
800056965,ADECCO UK LIMITED=============,27029372,1,374.64,FRS STAFF AGENCY,08/01/2015,374.64,Strategy & Performance,Human Resources
800056961,ADECCO UK LIMITED=============,27029373,1,263.76,FRS STAFF AGENCY,08/01/2015,263.76,Technical And Service Support,Human Resources
231214E,RS COMPONENTS LTD=============,277981542,1,380.72,PROTECTIVE EQUIPT - PARTS,08/01/2015,380.72,Technical and Service Support,Building Constr Materials
221214C,DRAEGER SAFETY UK LIMITED=====,2910002316,1,"2,295.40",PROTECTIVE EQUIPT - PARTS,08/01/2015,"2,295.40",Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910002671,1,543.6,PROTECTIVE EQUIPT - PARTS,08/01/2015,809.1,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910002671,2,265.5,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910002753,1,150,PROTECTIVE EQUIPT - PARTS,08/01/2015,"1,778.30",Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910002753,2,111.1,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910002753,3,432.6,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910002753,4,8.8,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910002753,5,851.1,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910002753,6,213.9,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910002753,7,10.8,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003120,1,796.5,PROTECTIVE EQUIPT - PARTS,08/01/2015,796.5,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003261,1,162,PROTECTIVE EQUIPT - PARTS,08/01/2015,"3,880.20",Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003261,2,484.8,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003261,3,354.6,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003261,4,"1,138.60",PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003261,5,380.2,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003261,6,226,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003261,7,76,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003261,8,50,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003261,9,876,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003261,10,132,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003385,1,"1,138.60",PROTECTIVE EQUIPT - PARTS,08/01/2015,"1,533.20",Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003385,2,380.2,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003385,3,14.4,PROTECTIVE EQUIPT - PARTS,08/01/2015,,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003407,1,350,REPAIR & MAINTENANCE,08/01/2015,350,Technical And Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003468,1,427.8,PROTECTIVE EQUIPT - PARTS,08/01/2015,427.8,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003546,1,954.75,PROTECTIVE EQUIPT - PARTS,08/01/2015,954.75,Technical and Service Support,Fire & Rescue
221214C,DRAEGER SAFETY UK LIMITED=====,2910003547,1,954.75,PROTECTIVE EQUIPT - PARTS,08/01/2015,954.75,Technical and Service Support,Fire & Rescue
