IncidentNumber,FinalDescription [at time of mobilisation],DDDateTimeOfCall,IncType,Motive,ActionParent [firefighting action],[Firefighting] Action,PropertyType,ParentPropertyType,PropertyClass,AtStopDamageSpreadSize,OrganisationName,OrganisationDetail,SaonDescription,StreetDescriptor,PostCode,IncGeo_BoroughName,IncGeo_WardName,LondonBorough,MainCause,LocationFireStarted,LocationOfFirestartOther,MainCauseGroup,IgnitionSourceGroup,WereActiveSafetySystemsPresent,NumberOfFireFightingSystems
19302131,SMELL OF BURNING,14/02/2013 12:39,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,,Northolt Park Childrens Centre,,,Newmarket Avenue,UB5 4HB,Ealing,Northolt Mandeville,Outer London,Combustible articles too close to heat source (or fire),Reception area,,Human Element,Heating appliances,No,0
22488131,SIX PUMP FIRE. TL REQUIRED,21/02/2013 11:59,Primary Fire,Not Known,Main branch/Jet (J),"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to floor of origin (not whole building),Hereward House School,,,Strathray Gardens,NW3 4NY,Camden,Belsize,Inner London,Unsafe use of equipment or appliance (heat source),Roof space,,Human Element,Heating appliances,No,0
24430131,SMOKE IN STAFF ROOM,25/02/2013 06:29,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Harlington Community School,,,Pinkwell Lane,UB3 1PB,Hillingdon,Pinkwell,Outer London,"Overheating, unknown cause",Roof space,,Faulty Appliance or Supply,Electrical distribution,Unknown,0
29430131,SMOKE ISSUING FROM ELECTRICAL INTAKE CUPBOARD,08/03/2013 11:34,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Marys C of E School,,,Lewisham High Street,SE13 6NX,Lewisham,Lewisham Central,Inner London,Faulty fuel supplies – Electricity,Store room,,Faulty Appliance or Supply,Electrical distribution,No,0
30487131,FIRE,10/03/2013 14:18,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,The Northcote Gardens,,,Salcott Road,SW11 6DQ,Wandsworth,Northcote,Inner London,Unsafe use of heat source - due to unsafe disposal,External structures,,Human Element,Smoking related,No,0
30966131,SMOKE ISSUING,11/03/2013 15:42,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,,Hillsgrove Primary School,,,Sidmouth Road,DA16 1DR,Bexley,St. Michael's,Outer London,Cooking – other cooking,Kitchen,,Human Element,Cooker,No,0
31788131,SMELL OF BURNING,13/03/2013 10:19,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Goldstar Nursery,,,Baker Street,EN1 3QS,Enfield,Chase,Outer London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,Lighting,No,0
33794131,MATERIAL ALIGHT ON SCHOOL ROOF  ALP X 1,17/03/2013 20:15,Primary Fire,Deliberate,"Beating, stamping",Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Mary Magdalenes Primary School,,,Rowington Close,W2 5TF,Westminster,Westbourne,Inner London,Heat source and combustibles brought together deliberately,Roof space,,Human Element,Matches and Candles,No,0
34837131,AFA ACTUATING,20/03/2013 09:13,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,Lower Richmond Road,TW9 4NZ,Richmond upon Thames,North Richmond,Outer London,Unsafe use of equipment or appliance (heat source),Kitchen,,Human Element,Kitchen appliances,No,0
34851131,INCOMPLETE CALL TO FIRE COMMUNITY CENTRE,20/03/2013 09:41,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,Broadway,DA6 8DB,Bexley,Christchurch,Outer London,Fault in equipment or appliance,Meeting room,,Faulty Appliance or Supply,Lighting,No,0
35270131,FIRE,21/03/2013 11:18,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Surbiton High School for Girls,,,Surbiton Crescent,KT1 2JT,Kingston upon Thames,Grove,Outer London,Faulty fuel supplies – Electricity,Stairs,,Faulty Appliance or Supply,Lighting,No,0
35788131,FIRE,22/03/2013 14:25,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,,Whitgift School,,,Haling Park,CR2 6YT,Croydon,Waddon,Outer London,Combustible articles too close to heat source (or fire),Process/Production room,,Human Element,DIY,No,0
37974131,FIRE ALL OUT BRIGADE REQUIRED,27/03/2013 09:18,Primary Fire,Not Known,No firefighting,None,Secondary school,Education,Non Residential,Limited to room of origin,Sacred Heart of Mary Girls School,,,St. Marys Lane,RM14 2QR,Havering,Upminster,Outer London,Pending Fire Investigation Team findings,Bathroom/Toilet,,Other,Not confirmed,No,0
38087131,FIRE,27/03/2013 13:58,Primary Fire,Accidental,Removal from/of heat source,Small means,Pre School/nursery ,Education,Non Residential,Limited to room of origin,Kids Unlimited Day Nursery,,,North Side Wandsworth Common,SW18 2SS,Wandsworth,Fairfield,Inner London,Fault in equipment or appliance,Reception area,,Faulty Appliance or Supply,Other item,No,0
38104131,SMELL OF BURNING FROM CEILING DUCTS,27/03/2013 15:00,Primary Fire,Accidental,Cutting away,Small means,Infant/Primary school,Education,Non Residential,,Marshgate Primary School,,,Queens Road,TW10 6HY,Richmond upon Thames,South Richmond,Outer London,"Overheating, unknown cause",Bathroom/Toilet,,Faulty Appliance or Supply,Other item,No,0
38138131,FIRE ALL OUT,27/03/2013 16:31,Primary Fire,Accidental,No firefighting,None,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Acton & West London College,,,Gunnersbury Lane,W3 8UX,Ealing,South Acton,Outer London,Faulty fuel supplies – Electricity,Utility room,,Faulty Appliance or Supply,Electrical distribution,No,0
40315131,RUBBISH ALIGHT,01/04/2013 14:11,Primary Fire,Deliberate,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to room of origin,Longlands Primary School,,,Woodside Road,DA15 7JG,Bexley,Longlands,Outer London,Heat source and combustibles brought together deliberately,External structures,,Human Element,Matches and Candles,No,0
41693131,AFA ACTUATING,04/04/2013 13:26,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Wren Academy,,,Hilton Avenue,N12 9HB,Barnet,Woodhouse,Outer London,Unsafe use of heat source - due to unsafe disposal,Bathroom/Toilet,,Human Element,Smoking related,No,0
41780131,SKIP ALIGHT,04/04/2013 17:29,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Monteagle School,,,Burnham Road,RM9 4RB,Barking and Dagenham,Eastbury,Outer London,Unsafe use of heat source - due to unsafe disposal,External fittings,,Human Element,Smoking related,No,0
47399131,AFA ACTUATING,17/04/2013 04:24,Primary Fire,Accidental,Removal from/of heat source,Small means,Secondary school,Education,Non Residential,Limited to item 1st ignited,Grieg City Academy,,,High Street,N8 7NU,Haringey,Hornsey,Inner London,Combustible articles too close to heat source (or fire),Process/Production room,,Human Element,Cooker,No,0
47924131,SMELL OF BURNING,18/04/2013 07:43,Primary Fire,Accidental,"Water, soda acid, gas expulsion etc (water stored pressure)",Portable extinguishers,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,Middle Path,HA2 0HP,Harrow,Harrow on the Hill,Outer London,Accumulation of flammable material,Meeting room,,Human Element,Heating appliances,No,0
48065131,FIRE AND AFA ACTUATING,18/04/2013 14:45,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,,Tubbenden Junior School,,,Sandy Bury,BR6 9SD,Bromley,Farnborough and Crofton,Outer London,Fault in equipment or appliance,Corridor/Hall,,Faulty Appliance or Supply,White goods,No,0
48370131,ELECTRICAL FIRE IN UNDERSTORE,19/04/2013 07:43,Primary Fire,Accidental,CO2 (carbon dioxide),Portable extinguishers,Secondary school,Education,Non Residential,Limited to item 1st ignited,Queens Park Community School,,,Aylestone Avenue,NW6 7BQ,Brent,Brondesbury Park,Outer London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
50459131,SMOKE ISSUING AND AFA ACTUATING,23/04/2013 12:52,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,,The Skinners Academy,,,Woodberry Grove,N4 1SY,Hackney,Woodberry Down,Inner London,Unsafe use of heat source - due to unsafe disposal,Refuse store/Bin room,,Human Element,Smoking related,Yes,1
52483131,AFA ACTUATING,27/04/2013 16:12,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,London Christian School,,,Tabard Street,SE1 4JU,Southwark,Chaucer,Inner London,Faulty fuel supplies – Electricity,Reception area,,Faulty Appliance or Supply,Electrical distribution,No,0
53112131,BONFIRE,28/04/2013 19:27,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,,,,,Cazenove Road,N16 6AD,Hackney,Cazenove,Inner London,Bonfire going out of control,Other,Playground,Human Element,Other ignition source,No,0
53861131,AFA AND SMELL OF BURNING,30/04/2013 11:31,Primary Fire,Accidental,Dry powder (DP),Portable extinguishers,Secondary school,Education,Non Residential,Limited to item 1st ignited,Forest Gate Community School,,,Forest Lane,E7 9BB,Newham,Forest Gate North,Inner London,Fault in equipment or appliance,Boiler room,,Faulty Appliance or Supply,Heating appliances,No,0
58755131,FIRE ALL OUT,09/05/2013 11:05,Primary Fire,Accidental,Removal from/of heat source,Small means,Infant/Primary school,Education,Non Residential,,Alif Academy,,,Katherine Road,E7 8PJ,Newham,Green Street East,Inner London,Cooking – chip pan/deep fat fryer,Kitchen,,Human Element,Cooker,No,0
64632131,FIRE AND POSSIBLE GAS LEAK,22/05/2013 08:43,Primary Fire,Accidental,"Water, soda acid, gas expulsion etc (water stored pressure)",Portable extinguishers,Secondary school,Education,Non Residential,Limited to item 1st ignited,Chiswick Community School,,,Burlington Lane,W4 3UN,Hounslow,Chiswick Riverside,Outer London,Unsafe use of equipment or appliance (heat source),Boiler room,,Human Element,DIY,No,0
65088131,AFA ACTUATING,23/05/2013 10:46,Primary Fire,Deliberate,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to room of origin,Woodfield School,,,Glenwood Avenue,NW9 7LY,Brent,Welsh Harp,Outer London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Smoking related,No,0
65577131,FIRE,24/05/2013 12:56,Primary Fire,Deliberate,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to room of origin,Beachcroft School,,,Finchley Road,NW8 0NW,Westminster,Abbey Road,Inner London,Heat source and combustibles brought together deliberately,Cloakroom,,Human Element,Matches and Candles,No,0
65800131,"AFA ACTUATING , SMELL OF SMOKE",24/05/2013 21:17,Primary Fire,Accidental,CO2 (carbon dioxide),Portable extinguishers,Secondary school,Education,Non Residential,Limited to room of origin,Bexleyheath Academy,,,Woolwich Road,DA6 7DA,Bexley,Christchurch,Outer London,Faulty fuel supplies – Electricity,Power house/Plant/Generator,,Faulty Appliance or Supply,Electrical distribution,No,0
67873131,SMOKE ISSUING,29/05/2013 13:45,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Virginia Primary School,,,Virginia Road,E2 7NQ,Tower Hamlets,Weavers,Inner London,Faulty fuel supplies – Electricity,Other,Class room,Faulty Appliance or Supply,Electrical distribution,No,0
71602131,FIRE,06/06/2013 10:09,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Heathfield Infant School,,,Cobbett Road,TW2 6EN,Richmond upon Thames,Heathfield,Outer London,Faulty fuel supplies – Electricity,Kitchen,,Faulty Appliance or Supply,Electrical distribution,No,0
73607131,FIRE,10/06/2013 09:19,Primary Fire,Accidental,Removal from/of heat source,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Rokeby Boys School,,,George Road,KT2 7NR,Kingston upon Thames,Coombe Hill,Outer London,Faulty fuel supplies – Electricity,Bathroom/Toilet,,Faulty Appliance or Supply,Electrical distribution,Unknown,0
73611131,AFA ACTUATING,10/06/2013 09:31,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to room of origin,Elmhurst Primary School,,,Upton Park Road,E7 8JY,Newham,Green Street West,Inner London,Unsafe use of equipment or appliance (heat source),Kitchen,,Human Element,Cooker,No,0
75074131,BIN ALIGHT IN SPORTS HALL,13/06/2013 13:15,Primary Fire,Deliberate,No firefighting,None,Secondary school,Education,Non Residential,Limited to room of origin,Harrow High School,,,Gayton Road,HA1 2JG,Harrow,Greenhill,Outer London,Heat source and combustibles brought together deliberately,Other,Sports hall,Human Element,Other ignition source,Unknown,0
75657131,SMOKE ISSUING FROM LIGHT FITTING,14/06/2013 17:05,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,,J F S School,,,The Mall,HA3 9TE,Brent,Barnhill,Outer London,Fault in equipment or appliance,Canteen/Restaurant,,Faulty Appliance or Supply,Lighting,No,0
76956131,FIRE ALL OUT,17/06/2013 09:11,Primary Fire,Deliberate,No firefighting,None,Secondary school,Education,Non Residential,Limited to room of origin,Langdon Comprehensive School,,,Sussex Road,E6 2PS,Newham,Wall End,Inner London,Heat source and combustibles brought together deliberately,Bathroom/Toilet,,Human Element,Other ignition source,No,0
78274131,FIRE,19/06/2013 20:20,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to room of origin,Stoke Newington School Media Arts & Science College,,,Clissold Road,N16 9EX,Hackney,Clissold,Inner London,Fault in equipment or appliance,Other,CLASS ROOM,Faulty Appliance or Supply,Other ignition source,No,0
79958131,FOUR PUMP FIRE,23/06/2013 11:55,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to room of origin,All Saints C of E Primary School,,,Blackheath Vale,SE3 0TX,Lewisham,Blackheath,Inner London,Fault in equipment or appliance,Other,Classroom,Faulty Appliance or Supply,Other item,No,0
80177131,SHED ALIGHT,23/06/2013 19:52,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to room of origin,The Compton School,,,Summers Lane,N12 0QG,Barnet,Woodhouse,Outer London,Unsafe use of equipment or appliance (heat source),External structures,,Human Element,Cooker,No,0
80345131,SMELL OF BURNING,24/06/2013 09:38,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,London Welsh School,,,Shakespeare Avenue,NW10 8NG,Brent,Stonebridge,Outer London,Fault in equipment or appliance,Meeting room,,Faulty Appliance or Supply,Lighting,No,0
80351131,FOUR PUMP FIRE PERSONS REPORTED,24/06/2013 09:54,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to room of origin,Stanley Park High School,,,Damson Way,SM5 4NS,Sutton,Carshalton South and Clockhouse,Outer London,Fault in equipment or appliance,Process/Production room,,Faulty Appliance or Supply,Other item,Yes,1
81863131,FIRE ALARM ACTUATING,27/06/2013 11:08,Primary Fire,Deliberate,Water - domestic supply,Small means,Secondary school,Education,Non Residential,Limited to item 1st ignited,,,,Norman Road,E6 6HN,Newham,East Ham South,Inner London,Heat source and combustibles brought together deliberately,Reception area,,Human Element,Other ignition source,No,0
83189131,ROOF ALIGHT,29/06/2013 21:26,Primary Fire,Deliberate,Hosereel (low pressure) (HR) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,External roof only,Davidson Primary School,,,Dartnell Road,CR0 6JA,Croydon,Addiscombe,Outer London,Heat source and combustibles brought together deliberately,Roof,,Human Element,Other ignition source,No,0
84903131,"SIX PUMP FIRE HLR 1, ALP 1",02/07/2013 22:05,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Pre School/nursery ,Education,Non Residential,Roof space and other floors(s),Kingsmeadow Day Nursery,,,Hampden Road,KT1 3HG,Kingston upon Thames,Norbiton,Outer London,Unsafe use of equipment or appliance (heat source),Roof space,,Human Element,Other item,No,0
88906131,SMELL OF BURNING,09/07/2013 14:51,Primary Fire,Accidental,No firefighting,None,Secondary school,Education,Non Residential,Limited to item 1st ignited,Pield Heath House RC School,,,Pield Heath Road,UB8 3NW,Hillingdon,Brunel,Outer London,Faulty fuel supplies – Electricity,Store room,,Faulty Appliance or Supply,Electrical distribution,No,0
90112131,SMELL OF BURNING IN ELECTRICAL INTAKE ROOM,11/07/2013 11:40,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Five Elms School,,,Wood Lane,RM9 5TB,Barking and Dagenham,Heath,Outer London,Faulty fuel supplies – Electricity,Other,Electric intake room,Faulty Appliance or Supply,Electrical distribution,No,0
91035131,SMOKE ISSUING,12/07/2013 20:21,Primary Fire,Deliberate,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,External roof only,Thames View Infant School,,,Bastable Avenue,IG11 0LG,Barking and Dagenham,Thames,Outer London,Heat source and combustibles brought together deliberately,External structures,,Human Element,Matches and Candles,No,0
92777131,FIRE ALL OUT BRIGADE REQUIRED,15/07/2013 08:35,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Marylebone C of E Secondary School,,,Marylebone High Street,W1U 5BA,Westminster,Marylebone High Street,Inner London,Fault in equipment or appliance,Kitchen,,Faulty Appliance or Supply,White goods,No,0
98096131,AFA   ACTUATING,21/07/2013 20:57,Primary Fire,Accidental,Removal from/of heat source,Small means,Secondary school,Education,Non Residential,Limited to room of origin,Highbury Grove School,,,Highbury Grove,N5 2EQ,Islington,Highbury East,Inner London,Fault in equipment or appliance,IT server/Mainframe room,,Faulty Appliance or Supply,Other item,No,0
100014131,SMOKE ISSUING,24/07/2013 14:41,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,,The Regina Codi School,,,Pampisford Road,CR2 6DF,Croydon,Waddon,Outer London,"Overheating, unknown cause",Boiler room,,Faulty Appliance or Supply,Heating appliances,No,0
101494131,AFA ACTUATING,26/07/2013 18:23,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Hillel School,,,Chase Road,N14 4LG,Enfield,Southgate,Outer London,Unsafe use of equipment or appliance (heat source),Office,,Human Element,Cooker,No,0
102346131,SIX PUMP FIRE,28/07/2013 01:18,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,,,,West Square,SE11 4SN,Southwark,Cathedrals,Inner London,Playing with fire (or heat source),Not known,,Human Element,Other ignition source,No,0
104320131,POSSIBLE FIRE IN ROOF VOID,01/08/2013 09:09,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,Highlands Primary School,,,Highlands Gardens,IG1 3LE,Redbridge,Cranbrook,Outer London,Unsafe use of equipment or appliance (heat source),Roof,,Human Element,DIY,No,0
107242131,FIRE,06/08/2013 12:20,Primary Fire,Accidental,Other small means,Small means,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Graceland Day Nursery,,,Homerton High Street,E9 6BP,Hackney,Homerton,Inner London,Unsafe use of equipment or appliance (heat source),Utility room,,Human Element,White goods,No,0
108763131,FIRE,09/08/2013 11:00,Primary Fire,Accidental,"Water, soda acid, gas expulsion etc (water stored pressure)",Portable extinguishers,Secondary school,Education,Non Residential,Limited to item 1st ignited,Ricards Lodge High School,,,Lake Road,SW19 7HB,Merton,Village,Outer London,Unsafe use of equipment or appliance (heat source),Other,Class room,Human Element,Cooker,No,0
111599131,SMELL OF BURNING,14/08/2013 10:20,Primary Fire,Accidental,Disconnection of fuel supply,Small means,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,Happy Child Nursery,,,Francis Road,HA1 2QZ,Harrow,Greenhill,Outer London,"Overheating, unknown cause",Bathroom/Toilet,,Faulty Appliance or Supply,Electrical distribution,No,0
111855131,SKIP ALIGHT IN GROUNDS,14/08/2013 19:16,Primary Fire,Not Known,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Limited to floor of origin (not whole building),Salvatorian College,,,High Road,HA3 5DY,Harrow,Wealdstone,Outer London,Accumulation of flammable material,Other,skip at side of building,Human Element,Not confirmed,No,0
112091131,EIGHT PUMP FIRE AERIALS X  2,15/08/2013 09:10,Primary Fire,Accidental,Main branch/Jet (J),"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to floor of origin (not whole building),St. Pauls C of E Primary School,,,St. Pauls Road,TW8 0PN,Hounslow,Syon,Outer London,Unsafe use of equipment or appliance (heat source),Roof,,Human Element,Other item,No,0
112603131,FIRE,16/08/2013 09:25,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - tank supply only,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to item 1st ignited,St. Pauls C of E Primary School,,,St. Pauls Road,TW8 0PN,Hounslow,Syon,Outer London,Combustible articles too close to heat source (or fire),Roof,,Human Element,Other ignition source,No,0
112685131,SMOKE ISSUING,16/08/2013 13:42,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Infant/Primary school,Education,Non Residential,Limited to room of origin,St. Pauls C of E Primary School,,,St. Pauls Road,TW8 0PN,Hounslow,Syon,Outer London,Combustible articles too close to heat source (or fire),Roof,,Human Element,Other ignition source,No,0
115426131,AFA ACTUATING AND SMOKE IN BASEMENT,21/08/2013 17:15,Primary Fire,Accidental,Cutting away,Small means,Infant/Primary school,Education,Non Residential,,Gallions Mount Primary School,,,Purrett Road,SE18 1JR,Greenwich,Plumstead,Outer London,Combustible articles too close to heat source (or fire),Other,classroom,Human Element,DIY,Unknown,0
119207131,ROOF ALIGHT,28/08/2013 13:13,Primary Fire,Accidental,Hosereel (high pressure) (HRJ) - augmented supply,"Hosereels, jets, monitors",Secondary school,Education,Non Residential,Roof space only,Dormers Wells High School,,,Dormers Wells Lane,UB1 3HZ,Ealing,Dormers Wells,Outer London,Combustible articles too close to heat source (or fire),Roof space,,Human Element,Other ignition source,No,0
123183131,FIRE IN KITCHEN,04/09/2013 11:11,Primary Fire,Accidental,No firefighting,None,Infant/Primary school,Education,Non Residential,,Upminster Primary School,,,St. Marys Lane,RM14 3BS,Havering,Upminster,Outer London,Cooking – chip pan/deep fat fryer,Kitchen,,Human Element,Kitchen appliances,Yes,1
127228131,SMOKE ISSUING FROM CENTRAL  HEATING CONTROL,12/09/2013 13:08,Primary Fire,Accidental,CO2 (carbon dioxide),Portable extinguishers,Secondary school,Education,Non Residential,Limited to item 1st ignited,Stormont House School,,,Mount Pleasant Lane,E5 9JG,Hackney,Springfield,Inner London,Faulty fuel supplies – Electricity,Corridor/Hall,,Faulty Appliance or Supply,Electrical distribution,No,0
127859131,SMOKE ISSUING FROM TUMBLE DRYER,13/09/2013 17:06,Primary Fire,Accidental,"Water, soda acid, gas expulsion etc (water stored pressure)",Portable extinguishers,Pre School/nursery ,Education,Non Residential,Limited to item 1st ignited,,,,Lavender Hill,SW11 5QF,Wandsworth,Shaftesbury,Inner London,Accumulation of flammable material,Utility room,,Human Element,White goods,No,0
