Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
31780,260219G,WATERFRONT MANUFACTURING LTD,31780,2,625.00,UNIFORMS,04/03/19,,Fire Stations (Management),Clothing
35765,800126965,ARKAS LIMITED,35765,1,395.00,REACTIVE APPLIANCE BAY DOORS,04/03/19,395.00,Technical and Service Support,Works - Construction
35769,800126972,ARKAS LIMITED,35769,1,405.81,REACTIVE APPLIANCE BAY DOORS,04/03/19,405.81,Technical and Service Support,Works - Construction
35770,800126970,ARKAS LIMITED,35770,1,"1,566.45",REACTIVE APPLIANCE BAY DOORS,04/03/19,"1,566.45",Technical and Service Support,Works - Construction
39317,270219K,DELTOR COMMUNICATIONS LTD,39317,1,189.00,GENERAL CONSUMABLES,04/03/19,893.12,Procurement,Emergency Services
39317,270219K,DELTOR COMMUNICATIONS LTD,39317,2,151.32,GENERAL CONSUMABLES,04/03/19,,Procurement,Emergency Services
39317,270219K,DELTOR COMMUNICATIONS LTD,39317,3,296.00,GENERAL CONSUMABLES,04/03/19,,Procurement,Emergency Services
39317,270219K,DELTOR COMMUNICATIONS LTD,39317,4,256.80,GENERAL CONSUMABLES,04/03/19,,Procurement,Emergency Services
484231,270219K,BURLINGTON UNIFORMS LTD,484231,1,273.60,UNIFORMS - POMS,04/03/19,592.20,Procurement,Clothing
484231,270219K,BURLINGTON UNIFORMS LTD,484231,2,149.60,UNIFORMS - POMS,04/03/19,,Procurement,Clothing
484231,270219K,BURLINGTON UNIFORMS LTD,484231,3,169.00,UNIFORMS - POMS,04/03/19,,Procurement,Clothing
538815,800126939,SPORTSAFE UK LTD,538815,1,456.46,REACTIVE GYM EQUIPMENT,04/03/19,456.46,Technical and Service Support,Sports & Playground Equipment & Maintenance
606048,260219G,STORM TECHNOLOGIES,606048,1,"1,880.00",ACQUISITIONS,04/03/19,"1,880.00",Central Operations,ICT
606545,260219G,STORM TECHNOLOGIES,606545,1,610.84,ACQUISITIONS,04/03/19,610.84,Communications,ICT
6176890,260219G,RICARDO-AEA LTD,6176890,1,510.00,GENERAL,04/03/19,510.00,Operational Policy,Consultancy
6182320,260219G,L B OF HACKNEY,6182320,1,"1,000.00",GENERAL,04/03/19,"1,000.00",Community Safety,Consultancy
6400225340,260219G,LONDON BOROUGH OF BEXLEY,6400225340,1,"1,000.00",GENERAL,04/03/19,"1,000.00",Community Safety,Consultancy
6886,270219V,LINDFIELD ELECTRICAL SERVICES,6886,1,"7,546.02",DEVELOPMENT  EXPENSES-CONTRACT,04/03/19,"7,546.02",Technical and Service Support,"Works - Construction, R&M"
7197,260219V,THE FULKER CONSULTANCY LIMITED,7197,1,"3,307.75",PROF FEES-MISCELLANEOUS,04/03/19,"8,342.32",Technical and Service Support,Consultancy
7197,260219V,THE FULKER CONSULTANCY LIMITED,7197,2,269.00,PROF FEES-MISCELLANEOUS,04/03/19,,Technical and Service Support,Consultancy
7197,260219V,THE FULKER CONSULTANCY LIMITED,7197,3,725.00,PROF FEES-MISCELLANEOUS,04/03/19,,Technical and Service Support,Consultancy
7197,260219V,THE FULKER CONSULTANCY LIMITED,7197,4,"4,040.57",PROF FEES-MISCELLANEOUS,04/03/19,,Technical and Service Support,Consultancy
7198,270219K,THE FULKER CONSULTANCY LIMITED,7198,1,361.71,PROF FEES-MISCELLANEOUS,04/03/19,950.00,Technical and Service Support,Consultancy
7198,270219K,THE FULKER CONSULTANCY LIMITED,7198,2,588.29,PROF FEES-MISCELLANEOUS,04/03/19,,Technical and Service Support,Consultancy
75161,800126518,SERVEST GROUP LIMITED,75161,1,242.00,REACTIVE MEP,04/03/19,"7,548.59",Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,2,"3,738.06",REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,3,131.05,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,4,16.52,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,5,56.80,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,6,17.90,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,7,53.70,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,8,27.35,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,9,394.74,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,10,17.90,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,11,8.82,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,12,8.82,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,13,32.00,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,14,18.23,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,15,53.70,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,16,30.65,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,17,17.90,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,18,36.39,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,19,17.90,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,20,53.70,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,21,17.64,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,22,72.92,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,23,18.23,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,24,33.04,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,25,79.36,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,26,11.96,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,27,44.75,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,28,101.45,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,29,100.62,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,30,89.50,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,31,49.56,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,32,16.52,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,33,190.15,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,34,145.84,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,35,118.57,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,36,44.75,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,37,35.80,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,38,27.35,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,39,36.43,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,40,18.23,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,41,49.56,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,42,11.96,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,43,99.78,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,44,92.90,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,45,146.54,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,46,126.24,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,47,16.52,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,48,171.86,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,49,44.84,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,50,191.15,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,51,104.79,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,52,87.92,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
75161,800126518,SERVEST GROUP LIMITED,75161,53,177.73,REACTIVE MEP,04/03/19,,Technical and Service Support,Works - Construction
8,270219K,ACE VEHICLE SERVICES LIMITED,8,1,295.00,OPERATIONAL EQUIP-PURCHASE,04/03/19,295.00,Fire Stations (South East),Fire & Rescue
8619,270219K,ACTICA CONSULTING LTD,8619,1,"3,371.87",SOFTWARE BESPOKE,04/03/19,"3,371.87",Information and Communication Technology,ICT
90581148,260219G,L B OF HILLINGDON,90581148,1,"1,000.00",GENERAL,04/03/19,"1,000.00",Community Safety,Consultancy
919515,270219K,SP SERVICES,919515,1,1.70,MEDICAL SUPPLIES,04/03/19,292.91,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,2,1.70,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,3,8.20,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,4,3.87,HYGIENE,04/03/19,,Fire Stations (North East),Cleaning & Janitorial
919515,270219K,SP SERVICES,919515,5,3.87,HYGIENE,04/03/19,,Fire Stations (North East),Cleaning & Janitorial
919515,270219K,SP SERVICES,919515,6,6.00,HYGIENE,04/03/19,,Fire Stations (North East),Cleaning & Janitorial
919515,270219K,SP SERVICES,919515,7,6.80,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,8,5.15,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,9,5.20,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,10,21.00,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,11,59.90,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,12,35.16,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,13,0.06,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,14,0.06,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,15,0.06,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,16,0.06,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,17,0.60,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,18,2.30,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,19,4.50,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,20,4.90,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,21,7.90,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,22,0.20,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,23,0.20,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,24,0.20,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,25,0.20,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,26,9.30,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,27,3.65,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,28,25.90,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,29,9.75,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,30,7.50,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,31,7.50,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,32,6.00,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,33,4.00,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,34,7.00,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,35,1.80,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,36,2.80,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,37,4.30,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,38,0.60,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,39,20.40,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919515,270219K,SP SERVICES,919515,40,2.62,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North East),Healthcare
919524,260219G,SP SERVICES,919524,1,21.00,MEDICAL SUPPLIES,04/03/19,338.06,Fire Stations (North West),Healthcare
919524,260219G,SP SERVICES,919524,2,21.00,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North West),Healthcare
919524,260219G,SP SERVICES,919524,3,35.94,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North West),Healthcare
919524,260219G,SP SERVICES,919524,4,87.90,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North West),Healthcare
919524,260219G,SP SERVICES,919524,5,21.00,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North West),Healthcare
919524,260219G,SP SERVICES,919524,6,21.00,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North West),Healthcare
919524,260219G,SP SERVICES,919524,7,59.90,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North West),Healthcare
919524,260219G,SP SERVICES,919524,8,70.32,MEDICAL SUPPLIES,04/03/19,,Fire Stations (North West),Healthcare
GP00103354M032N6,270219K,BRITISH TELECOM,GP00103354M032N6,1,600.50,TELECOMMUNICATIONS,04/03/19,600.50,Information and Communication Technology,ICT
GP00103354M035Z1,270219K,BRITISH TELECOM,GP00103354M035Z1,1,600.50,TELECOMMUNICATIONS,04/03/19,600.50,Information and Communication Technology,ICT
GP00103354M0362O030119,270219K,BRITISH TELECOM,GP00103354M0362O030119,1,600.50,TELECOMMUNICATIONS,04/03/19,600.50,Information and Communication Technology,ICT
INV0281166,270219K,CORPORATE DIRECT (EUROPE) LTD,INV0281166,1,720.00,ACQUISITIONS,04/03/19,728.95,Control and Mobilising,ICT
INV0281166,270219K,CORPORATE DIRECT (EUROPE) LTD,INV0281166,2,8.95,ADDITIONAL PURCHASE COSTS,04/03/19,,Control and Mobilising,Facilities & Management Services
LS008,270219K,REVO SECCUS LTD,LS008,1,460.00,GENERAL,04/03/19,460.00,Community Safety,Consultancy
MANF022971,800126554,INTERSERVE ( FACILITIES MGMT),MANF022971,1,"3,359.05",PLANNED CLEANING,04/03/19,"3,359.05",Technical and Service Support,Cleaning & Janitorial
MANF022972,800126560,INTERSERVE ( FACILITIES MGMT),MANF022972,1,139.16,REACTIVE CLEANING,04/03/19,345.85,Technical and Service Support,Cleaning & Janitorial
MANF022972,800126560,INTERSERVE ( FACILITIES MGMT),MANF022972,2,173.96,REACTIVE CLEANING,04/03/19,,Technical and Service Support,Cleaning & Janitorial
MANF022972,800126560,INTERSERVE ( FACILITIES MGMT),MANF022972,3,32.73,REACTIVE CLEANING,04/03/19,,Technical and Service Support,Cleaning & Janitorial
MCE615,260219V,B NOKES CONTRACTS LTD,MCE615,1,"51,259.84",DEVELOPMENT  EXPENSES-CONTRACT,04/03/19,"51,259.84",Technical and Service Support,"Works - Construction, R&M"
MCE617,260219V,B NOKES CONTRACTS LTD,MCE617,1,"12,521.15",REACTIVE SMALL WORKS AND PROJ,04/03/19,"12,521.15",Technical and Service Support,Works - Construction
OP/I836481,260219G,PHOENIX SOFTWARE LTD,OP/I836481,1,556.80,SOFTWARE COTS,04/03/19,556.80,Information and Communication Technology,ICT
P98419,250219O,PCMG,P98419,1,"1,821.71",PROFESSIONAL SERVICES,04/03/19,"1,821.71",Technical and Service Support,Consultancy
PA182322,270219K,KCOM GROUP,PA182322,1,"1,138.00",TELECOMMUNICATIONS,04/03/19,"1,138.00",Information and Communication Technology,ICT
PI78478,270219K,PILLINGER CONTROLS LTD,PI78478,1,"1,335.78",REACTIVE SMALL WORKS AND PROJ,04/03/19,"1,335.78",Technical and Service Support,Works - Construction
PI78479,270219K,PILLINGER CONTROLS LTD,PI78479,1,"1,835.02",REACTIVE SMALL WORKS AND PROJ,04/03/19,"1,835.02",Technical and Service Support,Works - Construction
RSI 524210,902941,THERMO FISHER SCIENTIFIC MESST,RSI 524210,1,"5,687.00",TELEMETRY MAINTENANCE,04/03/19,"5,813.00",Technical and Service Support,Fire & Rescue
RSI 524210,902941,THERMO FISHER SCIENTIFIC MESST,RSI 524210,2,105.00,TELEMETRY MAINTENANCE,04/03/19,,Technical and Service Support,Fire & Rescue
RSI 524210,902941,THERMO FISHER SCIENTIFIC MESST,RSI 524210,3,21.00,TELEMETRY MAINTENANCE,04/03/19,,Technical and Service Support,Fire & Rescue
SI009728,270219K,BATES OFFICE SERVICES LTD,SI009728,1,"1,578.36",OPERATIONAL EQUIP-PURCHASE,04/03/19,"1,926.36",Procurement,Fire & Rescue
SI009728,270219K,BATES OFFICE SERVICES LTD,SI009728,2,348.00,OPERATIONAL EQUIP-PURCHASE,04/03/19,,Procurement,Fire & Rescue
SID-098032,270219K,JAMES FISHER NUCLEAR LIMITED,SID-098032,1,145.00,TELEMETRY MAINTENANCE,04/03/19,"1,260.62",Technical and Service Support,Fire & Rescue
SID-098032,270219K,JAMES FISHER NUCLEAR LIMITED,SID-098032,2,75.00,TELEMETRY MAINTENANCE,04/03/19,,Technical and Service Support,Fire & Rescue
SID-098032,270219K,JAMES FISHER NUCLEAR LIMITED,SID-098032,3,50.00,TELEMETRY MAINTENANCE,04/03/19,,Technical and Service Support,Fire & Rescue
