 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Pro Class
140938,BOURNE CONSTRUCTION COMPANY,14/516,1,250,STRATEGIC (NON CYCLICAL),02/02/2015,450,Technical and Service Support,"Works - Construction, R&M"
140938,BOURNE CONSTRUCTION COMPANY,14/516,2,200,STRATEGIC (NON CYCLICAL),02/02/2015,,Technical and Service Support,"Works - Construction, R&M"
150115C,BUREAU VERITAS HS&E LTD=======,15000397,1,"96,450.00",SCIENTIFIC SERVICES,02/02/2015,"96,450.00",Procurement,Environmental Services
270115E,FALTECH LIMITED,1501-017,1,"5,497.70",RADIO,02/02/2015,"6,654.20",Information and Communication Technology,ICT
270115E,FALTECH LIMITED,1501-017,2,821.7,RADIO,02/02/2015,,Information and Communication Technology,ICT
270115E,FALTECH LIMITED,1501-017,3,162.5,RADIO,02/02/2015,,Information and Communication Technology,ICT
270115E,FALTECH LIMITED,1501-017,4,172.3,RADIO,02/02/2015,,Information and Communication Technology,ICT
210115C,AIRSERVICES(UK)===============,17644,1,143,REPAIR & MAINTENANCE,02/02/2015,258,Technical And Service Support,Fire & Rescue
210115C,AIRSERVICES(UK)===============,17644,2,91,REPAIR & MAINTENANCE,02/02/2015,,Technical And Service Support,Fire & Rescue
210115C,AIRSERVICES(UK)===============,17644,3,6,REPAIR & MAINTENANCE,02/02/2015,,Technical And Service Support,Fire & Rescue
210115C,AIRSERVICES(UK)===============,17644,4,18,REPAIR & MAINTENANCE,02/02/2015,,Technical And Service Support,Fire & Rescue
140940,ARKAS LIMITED=================,26228,1,"1,083.11",STRATEGIC (CYCLICAL),02/02/2015,"1,445.11",Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26228,2,214,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26228,3,148,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26412,1,346,STRATEGIC (CYCLICAL),02/02/2015,"1,440.76",Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26412,2,247,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26412,3,551.26,TACTICAL DAY TO DAY,02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26412,4,296.5,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26413,1,924.28,STRATEGIC (CYCLICAL),02/02/2015,"2,053.73",Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26413,2,464.5,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26413,3,500.45,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26413,4,164.5,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26414,1,376.15,STRATEGIC (CYCLICAL),02/02/2015,"1,108.88",Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26414,2,198.7,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26414,3,181,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26414,4,353.03,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26415,1,183.89,STRATEGIC (CYCLICAL),02/02/2015,895.73,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26415,2,333.34,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26415,3,197.5,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
270115E,ARKAS LIMITED=================,26415,4,181,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26427,1,108.23,STRATEGIC (CYCLICAL),02/02/2015,902.15,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26427,2,167.62,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26427,3,99,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26427,4,527.3,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26429,1,313,STRATEGIC (CYCLICAL),02/02/2015,576.5,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26429,2,263.5,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26500,1,276,STRATEGIC (CYCLICAL),02/02/2015,276,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26518,1,148,STRATEGIC (CYCLICAL),02/02/2015,"1,309.61",Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26518,2,300.3,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26518,3,214,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26518,4,647.31,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26519,1,214,STRATEGIC (CYCLICAL),02/02/2015,"1,730.15",Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26519,2,834.21,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26519,3,253.44,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26519,4,428.5,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26520,1,317.48,STRATEGIC (CYCLICAL),02/02/2015,909.98,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26520,2,181,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26520,3,181,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26520,4,230.5,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26521,1,197.5,STRATEGIC (CYCLICAL),02/02/2015,"1,015.52",Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26521,2,214,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26521,3,406.52,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26521,4,197.5,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26522,1,577.42,STRATEGIC (CYCLICAL),02/02/2015,"1,880.83",Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26522,2,301.13,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26522,3,233.41,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26522,4,768.87,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26523,1,281.95,STRATEGIC (CYCLICAL),02/02/2015,"1,704.32",Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26523,2,887.68,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26523,3,197.5,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26523,4,337.19,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26524,1,216.05,STRATEGIC (CYCLICAL),02/02/2015,880.95,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26524,2,214,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26524,3,269.9,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26524,4,181,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26525,1,348.4,STRATEGIC (CYCLICAL),02/02/2015,"1,369.74",Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26525,2,201.39,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26525,3,655.45,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26525,4,164.5,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26526,1,276.11,STRATEGIC (CYCLICAL),02/02/2015,763.66,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26526,2,247,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26526,3,240.55,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26527,1,230.5,STRATEGIC (CYCLICAL),02/02/2015,"1,239.97",Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26527,2,183.03,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
140940,ARKAS LIMITED=================,26527,3,826.44,STRATEGIC (CYCLICAL),02/02/2015,,Technical And Service Support,"Works - Construction, R&M"
800057920,ADECCO UK LIMITED=============,26934355,1,"1,445.40",FRS STAFF AGENCY,02/02/2015,"1,445.40",National Operational Guidance Project,Human Resources
800057921,ADECCO UK LIMITED=============,26934356,1,"1,445.40",FRS STAFF AGENCY,02/02/2015,"1,445.40",National Operational Guidance Project,Human Resources
800057936,ADECCO UK LIMITED=============,26963829,1,900.2,FRS STAFF AGENCY,02/02/2015,900.2,National Operational Guidance Project,Human Resources
800057919,ADECCO UK LIMITED=============,26982879,1,"1,510.07",FRS STAFF AGENCY,02/02/2015,"1,510.07",Legal & Democratic Services,Human Resources
800056687,ADECCO UK LIMITED=============,27006046,1,"1,674.75",FRS STAFF AGENCY,02/02/2015,"1,674.75",Information and Communication Technology,Human Resources
800057933,ADECCO UK LIMITED=============,27019657,1,498.6,FRS STAFF AGENCY,02/02/2015,498.6,Legal & Democratic Services,Human Resources
800057826,ADECCO UK LIMITED=============,27037588,1,"1,281.25",FRS STAFF AGENCY,02/02/2015,"1,281.25",Information and Communication Technology,Human Resources
800057837,ADECCO UK LIMITED=============,27040158,1,439.6,FRS STAFF AGENCY,02/02/2015,439.6,Operations Non Fire Stations,Human Resources
800057857,ADECCO UK LIMITED=============,27040178,1,"1,835.15",FRS STAFF AGENCY,02/02/2015,"1,835.15",Vehicle & Equipment Programme,Human Resources
800057861,ADECCO UK LIMITED=============,27040182,1,624.4,FRS STAFF AGENCY,02/02/2015,624.4,Operations Non Fire Stations,Human Resources
280115C,BRISTOL UNIFORMS LTD==========,282721,1,"3,101.02",CLOTHING,02/02/2015,"3,101.02",Operations Non Fire Stations,Clothing
270115E,DRAEGER SAFETY UK LIMITED=====,2910004339,1,381.9,PROTECTIVE EQUIPT - PARTS,02/02/2015,381.9,Technical and Service Support,Fire & Rescue
270115E,DRAEGER SAFETY UK LIMITED=====,2910004778,1,"1,062.00",PROTECTIVE EQUIPT - PARTS,02/02/2015,"1,062.00",Technical and Service Support,Fire & Rescue
270115E,DRAEGER SAFETY UK LIMITED=====,2910004779,1,407.7,PROTECTIVE EQUIPT - PARTS,02/02/2015,407.7,Technical and Service Support,Fire & Rescue
270115E,DRAEGER SAFETY UK LIMITED=====,2910004979,1,"2,694.60",PROTECTIVE EQUIPT - PARTS,02/02/2015,"2,694.60",Technical and Service Support,Fire & Rescue
270115E,DRAEGER SAFETY UK LIMITED=====,2910004981,1,"13,972.00",PROTECTIVE EQUIPT - PARTS,02/02/2015,"13,972.00",Technical and Service Support,Fire & Rescue
270115E,DRAEGER SAFETY UK LIMITED=====,2910005352,1,"8,882.20",PROTECTIVE EQUIPT - PARTS,02/02/2015,"8,882.20",Technical and Service Support,Fire & Rescue
200115E,DRAEGER SAFETY UK LIMITED=====,2910005501,1,43,PROTECTIVE EQUIPT - PARTS,02/02/2015,"2,284.95",Technical and Service Support,Fire & Rescue
200115E,DRAEGER SAFETY UK LIMITED=====,2910005501,2,76.6,PROTECTIVE EQUIPT - PARTS,02/02/2015,,Technical and Service Support,Fire & Rescue
200115E,DRAEGER SAFETY UK LIMITED=====,2910005501,3,277.75,PROTECTIVE EQUIPT - PARTS,02/02/2015,,Technical and Service Support,Fire & Rescue
200115E,DRAEGER SAFETY UK LIMITED=====,2910005501,4,760.4,PROTECTIVE EQUIPT - PARTS,02/02/2015,,Technical and Service Support,Fire & Rescue
200115E,DRAEGER SAFETY UK LIMITED=====,2910005501,5,452,PROTECTIVE EQUIPT - PARTS,02/02/2015,,Technical and Service Support,Fire & Rescue
200115E,DRAEGER SAFETY UK LIMITED=====,2910005501,6,584,PROTECTIVE EQUIPT - PARTS,02/02/2015,,Technical and Service Support,Fire & Rescue
200115E,DRAEGER SAFETY UK LIMITED=====,2910005501,7,88,PROTECTIVE EQUIPT - PARTS,02/02/2015,,Technical and Service Support,Fire & Rescue
200115E,DRAEGER SAFETY UK LIMITED=====,2910005501,8,3.2,PROTECTIVE EQUIPT - PARTS,02/02/2015,,Technical and Service Support,Fire & Rescue
140941,STORM TECHNOLOGIES============,307402,1,289.2,ACQUISITIONS,02/02/2015,289.2,Information and Communication Technology,ICT
280115C,HUNTERS CONTRACTS LIMITED,348613,1,334.3,OFFICE FURNITURE,02/02/2015,334.3,Operations Fire Stations,Furniture
270115E,UNDERSTANDING RECRUITMENT,3537,1,"4,140.00",FRS STAFF AGENCY,02/02/2015,"4,140.00",Information and Communication Technology,Human Resources
150115C,UNDERSTANDING RECRUITMENT,3591,1,"5,040.00",CONSULTANTS,02/02/2015,"5,040.00",Information and Communication Technology,Human Resources
140941,COMPUTACENTRE================,3880368696,1,"17,900.10",MAINTENANCE & SUPPORT,02/02/2015,"17,900.10",Information and Communication Technology,ICT
140941,COMPUTACENTRE================,3880369775,1,"2,097.60",MAINTENANCE & SUPPORT,02/02/2015,"2,097.60",Information and Communication Technology,ICT
270115E,PLASTOR=======================,38983,1,644.4,REPAIR & MAINTENANCE,02/02/2015,"2,049.00",Technical And Service Support,Fire & Rescue
270115E,PLASTOR=======================,38983,2,"1,404.60",REPAIR & MAINTENANCE,02/02/2015,,Technical And Service Support,Fire & Rescue
270115E,PLASTOR=======================,39985,1,214.8,OFFICE EQUIPMENT,02/02/2015,833.95,Technical And Service Support,Fire & Rescue
270115E,PLASTOR=======================,39985,2,468.2,OFFICE EQUIPMENT,02/02/2015,,Technical And Service Support,Fire & Rescue
270115E,PLASTOR=======================,39985,3,141,OFFICE EQUIPMENT,02/02/2015,,Technical And Service Support,Fire & Rescue
270115E,PLASTOR=======================,39985,4,9.95,REPAIR & MAINTENANCE,02/02/2015,,Technical And Service Support,Fire & Rescue
270115E,CANON (UK) LTD===============,401607302,1,"1,494.06",OFFICE EQUIPMENT,02/02/2015,"1,494.06",Technical And Service Support,ICT
701627,BRITISH GAS BUSINESS==========,5501512141,1,"1,099.16",ELECTRICITY,02/02/2015,"1,099.16",Technical And Service Support,Utilities
800057663,*GREENHAM TRADING LTD=========,5670165,1,278.94,HYGIENE,02/02/2015,278.94,Technical And Service Support,Cleaning & Janitorial
270115E,GAS & AIR SERVICES (UK)=======,6556,1,"5,880.00",REPAIR & MAINTENANCE,02/02/2015,"5,880.00",Technical And Service Support,Building Constr Materials
270115E,GAS & AIR SERVICES (UK)=======,6559,1,"1,321.42",REPAIR & MAINTENANCE,02/02/2015,"1,321.42",Technical And Service Support,Building Constr Materials
280115C,CANON (UK) LTD===============,770507600,1,225.06,OFFICE EQUIPMENT,02/02/2015,"1,125.30",Regulatory Fire Safety,ICT
280115C,CANON (UK) LTD===============,770507600,2,225.06,OFFICE EQUIPMENT,02/02/2015,,Operations Non Fire Stations,ICT
280115C,CANON (UK) LTD===============,770507600,3,225.06,OFFICE EQUIPMENT,02/02/2015,,Community Safety Delivery,ICT
280115C,CANON (UK) LTD===============,770507600,4,225.06,OFFICE EQUIPMENT,02/02/2015,,Operations Fire Stations,ICT
280115C,CANON (UK) LTD===============,770507600,5,225.06,OFFICE EQUIPMENT,02/02/2015,,Operations Non Fire Stations,ICT
140940,TWO SERVICES LTD==============,80336,1,264.5,TACTICAL DAY TO DAY,02/02/2015,264.5,Technical And Service Support,Catering
190115C,*OFFICE DEPOT UK LTD,963840037,1,"1,190.00",STATIONERY CONSUMABLES,02/02/2015,"1,190.00",Technical And Service Support,Stationery
270115E,MULTITONE ELECTRONICS PLC=====,98556/98967,1,279.5,RADIO,02/02/2015,862.5,Information and Communication Technology,ICT
270115E,MULTITONE ELECTRONICS PLC=====,98556/98967,2,134.5,RADIO,02/02/2015,,Information and Communication Technology,ICT
270115E,MULTITONE ELECTRONICS PLC=====,98556/98967,3,448.5,RADIO,02/02/2015,,Information and Communication Technology,ICT
270115E,PITNEY BOWES PURCHASE POWER,BC306396,1,"4,040.00",POSTAL SERVICES,02/02/2015,"4,040.00",Strategy & Performance,Mail Services
140940,GMO GLOBALSIGN LTD============,BM2014000247435,1,"1,041.00",MAINTENANCE & SUPPORT,02/02/2015,"1,041.00",Information and Communication Technology,ICT
270115E,SURVITEC SERVICE &DISTRIBUTION,CD30808040,1,118.6,PROTECTIVE EQUIPT - PARTS,02/02/2015,473.8,Technical and Service Support,Fire & Rescue
270115E,SURVITEC SERVICE &DISTRIBUTION,CD30808040,2,340.2,PROTECTIVE EQUIPT - PARTS,02/02/2015,,Technical and Service Support,Fire & Rescue
270115E,SURVITEC SERVICE &DISTRIBUTION,CD30808040,3,15,REPAIR & MAINTENANCE,02/02/2015,,Technical And Service Support,Fire & Rescue
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,1,729.28,FUEL,02/02/2015,"15,685.89",Operations Non Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,2,553.59,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,3,455.65,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,4,438.24,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,5,403.35,FUEL,02/02/2015,,Procurement,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,6,361.93,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,7,310.22,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,8,290.98,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,9,286.73,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,10,275.32,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,11,275.21,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,12,268.57,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,13,258.49,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,14,250.5,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,15,244.28,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,16,241.18,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,17,240.86,FUEL,02/02/2015,,Regulatory Fire Safety,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,18,239.88,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,19,236.1,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,20,235.09,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,21,233.87,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,22,233.28,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,23,224.96,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,24,214,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,25,212.48,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,26,209.98,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,27,206.01,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,28,205.04,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,29,197.65,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,30,196.71,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,31,192.05,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,32,185.92,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,33,183.07,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,34,182.97,FUEL,02/02/2015,,Information and Communication Technology,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,35,173.46,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,36,169.33,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,37,163.83,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
800057866,ALLSTAR BUSINESS SOLUTIONS LTD,E2004149466,38,159.28,FUEL,02/02/2015,,Operations Fire Stations,Vehicle Management
